lyr,mean,time
CRW_SST|1997-01-01 12:00:00,12.62187547745791,1997-01-01T12:00:00Z
CRW_SST|1997-01-02 12:00:00,12.59398017991897,1997-01-02T12:00:00Z
CRW_SST|1997-01-03 12:00:00,12.548788026983424,1997-01-03T12:00:00Z
CRW_SST|1997-01-04 12:00:00,12.497402472652576,1997-01-04T12:00:00Z
CRW_SST|1997-01-05 12:00:00,12.423186711126121,1997-01-05T12:00:00Z
CRW_SST|1997-01-06 12:00:00,12.48864662226888,1997-01-06T12:00:00Z
CRW_SST|1997-01-07 12:00:00,12.493356800245662,1997-01-07T12:00:00Z
CRW_SST|1997-01-08 12:00:00,12.500094590962071,1997-01-08T12:00:00Z
CRW_SST|1997-01-09 12:00:00,12.57239878420071,1997-01-09T12:00:00Z
CRW_SST|1997-01-10 12:00:00,12.642449039915883,1997-01-10T12:00:00Z
CRW_SST|1997-01-11 12:00:00,12.132092655709828,1997-01-11T12:00:00Z
CRW_SST|1997-01-12 12:00:00,12.017547071034645,1997-01-12T12:00:00Z
CRW_SST|1997-01-13 12:00:00,12.060793275629354,1997-01-13T12:00:00Z
CRW_SST|1997-01-14 12:00:00,12.045915314525807,1997-01-14T12:00:00Z
CRW_SST|1997-01-15 12:00:00,12.062219446791419,1997-01-15T12:00:00Z
CRW_SST|1997-01-16 12:00:00,11.896234062915031,1997-01-16T12:00:00Z
CRW_SST|1997-01-17 12:00:00,11.732529401692927,1997-01-17T12:00:00Z
CRW_SST|1997-01-18 12:00:00,11.760616876329994,1997-01-18T12:00:00Z
CRW_SST|1997-01-19 12:00:00,11.907437194796444,1997-01-19T12:00:00Z
CRW_SST|1997-01-20 12:00:00,11.971955345729999,1997-01-20T12:00:00Z
CRW_SST|1997-01-21 12:00:00,12.043197706541495,1997-01-21T12:00:00Z
CRW_SST|1997-01-22 12:00:00,12.17483697395042,1997-01-22T12:00:00Z
CRW_SST|1997-01-23 12:00:00,12.1671718401776,1997-01-23T12:00:00Z
CRW_SST|1997-01-24 12:00:00,12.230424723508296,1997-01-24T12:00:00Z
CRW_SST|1997-01-25 12:00:00,12.426189700709655,1997-01-25T12:00:00Z
CRW_SST|1997-01-26 12:00:00,12.511314207929676,1997-01-26T12:00:00Z
CRW_SST|1997-01-27 12:00:00,12.534492292328775,1997-01-27T12:00:00Z
CRW_SST|1997-01-28 12:00:00,12.308609329640282,1997-01-28T12:00:00Z
CRW_SST|1997-01-29 12:00:00,12.084876141379508,1997-01-29T12:00:00Z
CRW_SST|1997-01-30 12:00:00,11.518921534555624,1997-01-30T12:00:00Z
CRW_SST|1997-01-31 12:00:00,11.48460288038314,1997-01-31T12:00:00Z
CRW_SST|1997-02-01 12:00:00,12.4737019211281,1997-02-01T12:00:00Z
CRW_SST|1997-02-02 12:00:00,12.709403563748321,1997-02-02T12:00:00Z
CRW_SST|1997-02-03 12:00:00,12.766216952973755,1997-02-03T12:00:00Z
CRW_SST|1997-02-04 12:00:00,12.71527745308166,1997-02-04T12:00:00Z
CRW_SST|1997-02-05 12:00:00,12.73802884970311,1997-02-05T12:00:00Z
CRW_SST|1997-02-06 12:00:00,12.732961416494739,1997-02-06T12:00:00Z
CRW_SST|1997-02-07 12:00:00,12.48509207165484,1997-02-07T12:00:00Z
CRW_SST|1997-02-08 12:00:00,12.30868205629146,1997-02-08T12:00:00Z
CRW_SST|1997-02-09 12:00:00,12.213096823675631,1997-02-09T12:00:00Z
CRW_SST|1997-02-10 12:00:00,12.2413205152617,1997-02-10T12:00:00Z
CRW_SST|1997-02-11 12:00:00,12.154066347815789,1997-02-11T12:00:00Z
CRW_SST|1997-02-12 12:00:00,12.230699947818222,1997-02-12T12:00:00Z
CRW_SST|1997-02-13 12:00:00,11.876500180275945,1997-02-13T12:00:00Z
CRW_SST|1997-02-14 12:00:00,11.896070825452131,1997-02-14T12:00:00Z
CRW_SST|1997-02-15 12:00:00,11.646130216304188,1997-02-15T12:00:00Z
CRW_SST|1997-02-16 12:00:00,11.9637040073668,1997-02-16T12:00:00Z
CRW_SST|1997-02-17 12:00:00,11.94338001196308,1997-02-17T12:00:00Z
CRW_SST|1997-02-18 12:00:00,11.939428100870003,1997-02-18T12:00:00Z
CRW_SST|1997-02-19 12:00:00,11.73537429902726,1997-02-19T12:00:00Z
CRW_SST|1997-02-20 12:00:00,11.503282930029506,1997-02-20T12:00:00Z
CRW_SST|1997-02-21 12:00:00,11.525818511301525,1997-02-21T12:00:00Z
CRW_SST|1997-02-22 12:00:00,11.470567410663538,1997-02-22T12:00:00Z
CRW_SST|1997-02-23 12:00:00,11.508159718833944,1997-02-23T12:00:00Z
CRW_SST|1997-02-24 12:00:00,11.558670556698125,1997-02-24T12:00:00Z
CRW_SST|1997-02-25 12:00:00,11.687632250240387,1997-02-25T12:00:00Z
CRW_SST|1997-02-26 12:00:00,11.81867596655491,1997-02-26T12:00:00Z
CRW_SST|1997-02-27 12:00:00,11.033789054118229,1997-02-27T12:00:00Z
CRW_SST|1997-02-28 12:00:00,11.007640243341903,1997-02-28T12:00:00Z
CRW_SST|1997-03-01 12:00:00,11.063960614145063,1997-03-01T12:00:00Z
CRW_SST|1997-03-02 12:00:00,11.091923544506628,1997-03-02T12:00:00Z
CRW_SST|1997-03-03 12:00:00,11.549775063860238,1997-03-03T12:00:00Z
CRW_SST|1997-03-04 12:00:00,11.47059041186832,1997-03-04T12:00:00Z
CRW_SST|1997-03-05 12:00:00,11.628290492822241,1997-03-05T12:00:00Z
CRW_SST|1997-03-06 12:00:00,11.573198816788409,1997-03-06T12:00:00Z
CRW_SST|1997-03-07 12:00:00,11.32813099156153,1997-03-07T12:00:00Z
CRW_SST|1997-03-08 12:00:00,11.046738334841466,1997-03-08T12:00:00Z
CRW_SST|1997-03-09 12:00:00,10.923584538655632,1997-03-09T12:00:00Z
CRW_SST|1997-03-10 12:00:00,10.84831314328995,1997-03-10T12:00:00Z
CRW_SST|1997-03-11 12:00:00,10.596711131350895,1997-03-11T12:00:00Z
CRW_SST|1997-03-12 12:00:00,10.289941079595648,1997-03-12T12:00:00Z
CRW_SST|1997-03-13 12:00:00,10.176220742768347,1997-03-13T12:00:00Z
CRW_SST|1997-03-14 12:00:00,9.778187414555845,1997-03-14T12:00:00Z
CRW_SST|1997-03-15 12:00:00,9.688516170903517,1997-03-15T12:00:00Z
CRW_SST|1997-03-16 12:00:00,10.246958938032597,1997-03-16T12:00:00Z
CRW_SST|1997-03-17 12:00:00,10.681042707443241,1997-03-17T12:00:00Z
CRW_SST|1997-03-18 12:00:00,10.933087625099525,1997-03-18T12:00:00Z
CRW_SST|1997-03-19 12:00:00,10.954043530294932,1997-03-19T12:00:00Z
CRW_SST|1997-03-20 12:00:00,11.053776664860939,1997-03-20T12:00:00Z
CRW_SST|1997-03-21 12:00:00,11.302356725562404,1997-03-21T12:00:00Z
CRW_SST|1997-03-22 12:00:00,11.328952098086306,1997-03-22T12:00:00Z
CRW_SST|1997-03-23 12:00:00,11.142821762172055,1997-03-23T12:00:00Z
CRW_SST|1997-03-24 12:00:00,11.09286027678719,1997-03-24T12:00:00Z
CRW_SST|1997-03-25 12:00:00,11.039082806110855,1997-03-25T12:00:00Z
CRW_SST|1997-03-26 12:00:00,10.974708106911685,1997-03-26T12:00:00Z
CRW_SST|1997-03-27 12:00:00,10.93843102822821,1997-03-27T12:00:00Z
CRW_SST|1997-03-28 12:00:00,10.922584773972561,1997-03-28T12:00:00Z
CRW_SST|1997-03-29 12:00:00,10.933296353321394,1997-03-29T12:00:00Z
CRW_SST|1997-03-30 12:00:00,10.972839071245618,1997-03-30T12:00:00Z
