lyr,mean,time
CRW_SST|2007-01-01 12:00:00,13.002844335061386,2007-01-01T12:00:00Z
CRW_SST|2007-01-02 12:00:00,13.201991021559978,2007-01-02T12:00:00Z
CRW_SST|2007-01-03 12:00:00,12.931206207450169,2007-01-03T12:00:00Z
CRW_SST|2007-01-04 12:00:00,13.14733300771321,2007-01-04T12:00:00Z
CRW_SST|2007-01-05 12:00:00,12.751848807128935,2007-01-05T12:00:00Z
CRW_SST|2007-01-06 12:00:00,12.725632923113778,2007-01-06T12:00:00Z
CRW_SST|2007-01-07 12:00:00,12.625479837477814,2007-01-07T12:00:00Z
CRW_SST|2007-01-08 12:00:00,12.830038480018517,2007-01-08T12:00:00Z
CRW_SST|2007-01-09 12:00:00,12.851598871941583,2007-01-09T12:00:00Z
CRW_SST|2007-01-10 12:00:00,12.372966515943368,2007-01-10T12:00:00Z
CRW_SST|2007-01-11 12:00:00,12.358184680106818,2007-01-11T12:00:00Z
CRW_SST|2007-01-12 12:00:00,12.11289750552515,2007-01-12T12:00:00Z
CRW_SST|2007-01-13 12:00:00,12.112221742129071,2007-01-13T12:00:00Z
CRW_SST|2007-01-14 12:00:00,12.201066068625993,2007-01-14T12:00:00Z
CRW_SST|2007-01-15 12:00:00,12.244306829827927,2007-01-15T12:00:00Z
CRW_SST|2007-01-16 12:00:00,12.375300822315868,2007-01-16T12:00:00Z
CRW_SST|2007-01-17 12:00:00,12.354009646723444,2007-01-17T12:00:00Z
CRW_SST|2007-01-18 12:00:00,12.396612336020445,2007-01-18T12:00:00Z
CRW_SST|2007-01-19 12:00:00,12.439322781152283,2007-01-19T12:00:00Z
CRW_SST|2007-01-20 12:00:00,12.279587478227109,2007-01-20T12:00:00Z
CRW_SST|2007-01-21 12:00:00,12.376781694221942,2007-01-21T12:00:00Z
CRW_SST|2007-01-22 12:00:00,12.484858441585134,2007-01-22T12:00:00Z
CRW_SST|2007-01-23 12:00:00,12.603410006044847,2007-01-23T12:00:00Z
CRW_SST|2007-01-24 12:00:00,12.59484851270172,2007-01-24T12:00:00Z
CRW_SST|2007-01-25 12:00:00,12.493966221392501,2007-01-25T12:00:00Z
CRW_SST|2007-01-26 12:00:00,12.476363851647456,2007-01-26T12:00:00Z
CRW_SST|2007-01-27 12:00:00,12.40602003321248,2007-01-27T12:00:00Z
CRW_SST|2007-01-28 12:00:00,12.335201056476105,2007-01-28T12:00:00Z
CRW_SST|2007-01-29 12:00:00,12.466159597335002,2007-01-29T12:00:00Z
CRW_SST|2007-01-30 12:00:00,12.708788744061492,2007-01-30T12:00:00Z
CRW_SST|2007-01-31 12:00:00,12.897271681962838,2007-01-31T12:00:00Z
CRW_SST|2007-02-01 12:00:00,12.770756810248464,2007-02-01T12:00:00Z
CRW_SST|2007-02-02 12:00:00,12.820710440473503,2007-02-02T12:00:00Z
CRW_SST|2007-02-03 12:00:00,12.94633919987689,2007-02-03T12:00:00Z
CRW_SST|2007-02-04 12:00:00,13.194049436290731,2007-02-04T12:00:00Z
CRW_SST|2007-02-05 12:00:00,12.65014843615048,2007-02-05T12:00:00Z
CRW_SST|2007-02-06 12:00:00,12.892466902661122,2007-02-06T12:00:00Z
CRW_SST|2007-02-07 12:00:00,13.042353703494443,2007-02-07T12:00:00Z
CRW_SST|2007-02-08 12:00:00,13.095347982961746,2007-02-08T12:00:00Z
CRW_SST|2007-02-09 12:00:00,13.102426348443913,2007-02-09T12:00:00Z
CRW_SST|2007-02-10 12:00:00,13.108548122876062,2007-02-10T12:00:00Z
CRW_SST|2007-02-11 12:00:00,13.164994690176147,2007-02-11T12:00:00Z
CRW_SST|2007-02-12 12:00:00,13.061755354025092,2007-02-12T12:00:00Z
CRW_SST|2007-02-13 12:00:00,13.11657692365211,2007-02-13T12:00:00Z
CRW_SST|2007-02-14 12:00:00,13.070865604600556,2007-02-14T12:00:00Z
CRW_SST|2007-02-15 12:00:00,13.133413310764942,2007-02-15T12:00:00Z
CRW_SST|2007-02-16 12:00:00,13.175875976117899,2007-02-16T12:00:00Z
CRW_SST|2007-02-17 12:00:00,13.222859068240577,2007-02-17T12:00:00Z
CRW_SST|2007-02-18 12:00:00,13.231741103692391,2007-02-18T12:00:00Z
CRW_SST|2007-02-19 12:00:00,12.981701477442147,2007-02-19T12:00:00Z
CRW_SST|2007-02-20 12:00:00,12.689604325491374,2007-02-20T12:00:00Z
CRW_SST|2007-02-21 12:00:00,12.814919450994699,2007-02-21T12:00:00Z
CRW_SST|2007-02-22 12:00:00,12.777739409541264,2007-02-22T12:00:00Z
CRW_SST|2007-02-23 12:00:00,12.652325539096081,2007-02-23T12:00:00Z
CRW_SST|2007-02-24 12:00:00,12.690101160617733,2007-02-24T12:00:00Z
CRW_SST|2007-02-25 12:00:00,12.679807594502927,2007-02-25T12:00:00Z
CRW_SST|2007-02-26 12:00:00,12.523074932880144,2007-02-26T12:00:00Z
CRW_SST|2007-02-27 12:00:00,12.43085119350233,2007-02-27T12:00:00Z
CRW_SST|2007-02-28 12:00:00,12.374480588407465,2007-02-28T12:00:00Z
CRW_SST|2007-03-01 12:00:00,12.256245079712516,2007-03-01T12:00:00Z
CRW_SST|2007-03-02 12:00:00,12.191677330662749,2007-03-02T12:00:00Z
CRW_SST|2007-03-03 12:00:00,12.206938205290223,2007-03-03T12:00:00Z
CRW_SST|2007-03-04 12:00:00,12.373035997325855,2007-03-04T12:00:00Z
CRW_SST|2007-03-05 12:00:00,12.764454394336946,2007-03-05T12:00:00Z
CRW_SST|2007-03-06 12:00:00,12.698770808549606,2007-03-06T12:00:00Z
CRW_SST|2007-03-07 12:00:00,12.501371262545073,2007-03-07T12:00:00Z
CRW_SST|2007-03-08 12:00:00,12.241555210843787,2007-03-08T12:00:00Z
CRW_SST|2007-03-09 12:00:00,12.241973243713813,2007-03-09T12:00:00Z
CRW_SST|2007-03-10 12:00:00,12.412041819684733,2007-03-10T12:00:00Z
CRW_SST|2007-03-11 12:00:00,12.548712303574645,2007-03-11T12:00:00Z
CRW_SST|2007-03-12 12:00:00,12.7311881718285,2007-03-12T12:00:00Z
CRW_SST|2007-03-13 12:00:00,12.865857587707673,2007-03-13T12:00:00Z
CRW_SST|2007-03-14 12:00:00,12.683081179197146,2007-03-14T12:00:00Z
CRW_SST|2007-03-15 12:00:00,12.614512728166387,2007-03-15T12:00:00Z
CRW_SST|2007-03-16 12:00:00,12.490580540862988,2007-03-16T12:00:00Z
CRW_SST|2007-03-17 12:00:00,12.53748965717347,2007-03-17T12:00:00Z
CRW_SST|2007-03-18 12:00:00,12.408184810034067,2007-03-18T12:00:00Z
CRW_SST|2007-03-19 12:00:00,12.442943095470863,2007-03-19T12:00:00Z
CRW_SST|2007-03-20 12:00:00,12.283232688817947,2007-03-20T12:00:00Z
CRW_SST|2007-03-21 12:00:00,12.093957049373822,2007-03-21T12:00:00Z
CRW_SST|2007-03-22 12:00:00,12.338462658173949,2007-03-22T12:00:00Z
CRW_SST|2007-03-23 12:00:00,12.532859983492774,2007-03-23T12:00:00Z
CRW_SST|2007-03-24 12:00:00,12.482051046081496,2007-03-24T12:00:00Z
CRW_SST|2007-03-25 12:00:00,12.485846079175959,2007-03-25T12:00:00Z
CRW_SST|2007-03-26 12:00:00,12.276932860940171,2007-03-26T12:00:00Z
CRW_SST|2007-03-27 12:00:00,11.937330563337753,2007-03-27T12:00:00Z
CRW_SST|2007-03-28 12:00:00,11.73597300418881,2007-03-28T12:00:00Z
CRW_SST|2007-03-29 12:00:00,11.884363905478782,2007-03-29T12:00:00Z
CRW_SST|2007-03-30 12:00:00,12.027481329548355,2007-03-30T12:00:00Z
CRW_SST|2007-03-31 12:00:00,12.02438159106584,2007-03-31T12:00:00Z
CRW_SST|2007-04-01 12:00:00,11.759822557234523,2007-04-01T12:00:00Z
CRW_SST|2007-04-02 12:00:00,12.072170407521805,2007-04-02T12:00:00Z
CRW_SST|2007-04-03 12:00:00,12.35817485834992,2007-04-03T12:00:00Z
CRW_SST|2007-04-04 12:00:00,12.046176269492365,2007-04-04T12:00:00Z
CRW_SST|2007-04-05 12:00:00,12.3346125982433,2007-04-05T12:00:00Z
CRW_SST|2007-04-06 12:00:00,12.34755396743846,2007-04-06T12:00:00Z
CRW_SST|2007-04-07 12:00:00,11.978901843420525,2007-04-07T12:00:00Z
CRW_SST|2007-04-08 12:00:00,12.12583473995902,2007-04-08T12:00:00Z
CRW_SST|2007-04-09 12:00:00,12.130679843644469,2007-04-09T12:00:00Z
CRW_SST|2007-04-10 12:00:00,12.010663749926577,2007-04-10T12:00:00Z
CRW_SST|2007-04-11 12:00:00,12.028590181045244,2007-04-11T12:00:00Z
CRW_SST|2007-04-12 12:00:00,11.76699047980417,2007-04-12T12:00:00Z
CRW_SST|2007-04-13 12:00:00,11.730685823384471,2007-04-13T12:00:00Z
CRW_SST|2007-04-14 12:00:00,11.713455398664946,2007-04-14T12:00:00Z
CRW_SST|2007-04-15 12:00:00,11.4622905675501,2007-04-15T12:00:00Z
CRW_SST|2007-04-16 12:00:00,11.436190335459612,2007-04-16T12:00:00Z
CRW_SST|2007-04-17 12:00:00,11.775859747087923,2007-04-17T12:00:00Z
CRW_SST|2007-04-18 12:00:00,11.603505785029974,2007-04-18T12:00:00Z
CRW_SST|2007-04-19 12:00:00,11.259432736246335,2007-04-19T12:00:00Z
CRW_SST|2007-04-20 12:00:00,11.475255191785676,2007-04-20T12:00:00Z
CRW_SST|2007-04-21 12:00:00,11.646240387413725,2007-04-21T12:00:00Z
CRW_SST|2007-04-22 12:00:00,11.694206915282544,2007-04-22T12:00:00Z
CRW_SST|2007-04-23 12:00:00,11.760238688532514,2007-04-23T12:00:00Z
CRW_SST|2007-04-24 12:00:00,11.835420517793038,2007-04-24T12:00:00Z
CRW_SST|2007-04-25 12:00:00,11.697903784197608,2007-04-25T12:00:00Z
CRW_SST|2007-04-26 12:00:00,11.269029356205962,2007-04-26T12:00:00Z
CRW_SST|2007-04-27 12:00:00,11.560562433598022,2007-04-27T12:00:00Z
CRW_SST|2007-04-28 12:00:00,11.688965893238912,2007-04-28T12:00:00Z
CRW_SST|2007-04-29 12:00:00,11.528458618693879,2007-04-29T12:00:00Z
CRW_SST|2007-04-30 12:00:00,11.538208757360373,2007-04-30T12:00:00Z
CRW_SST|2007-05-01 12:00:00,11.729010362975979,2007-05-01T12:00:00Z
CRW_SST|2007-05-02 12:00:00,11.76959955330278,2007-05-02T12:00:00Z
CRW_SST|2007-05-03 12:00:00,11.830733873823627,2007-05-03T12:00:00Z
CRW_SST|2007-05-04 12:00:00,11.939099348297352,2007-05-04T12:00:00Z
CRW_SST|2007-05-05 12:00:00,11.415585875034134,2007-05-05T12:00:00Z
CRW_SST|2007-05-06 12:00:00,11.85247355543823,2007-05-06T12:00:00Z
CRW_SST|2007-05-07 12:00:00,12.060689776025267,2007-05-07T12:00:00Z
CRW_SST|2007-05-08 12:00:00,12.360830937843875,2007-05-08T12:00:00Z
CRW_SST|2007-05-09 12:00:00,12.340951779286929,2007-05-09T12:00:00Z
CRW_SST|2007-05-10 12:00:00,12.296741957239421,2007-05-10T12:00:00Z
CRW_SST|2007-05-11 12:00:00,12.253768114951841,2007-05-11T12:00:00Z
CRW_SST|2007-05-12 12:00:00,12.231920344482763,2007-05-12T12:00:00Z
CRW_SST|2007-05-13 12:00:00,11.914857664513452,2007-05-13T12:00:00Z
CRW_SST|2007-05-14 12:00:00,11.874204352665958,2007-05-14T12:00:00Z
CRW_SST|2007-05-15 12:00:00,12.014560023001152,2007-05-15T12:00:00Z
CRW_SST|2007-05-16 12:00:00,11.80216195754336,2007-05-16T12:00:00Z
CRW_SST|2007-05-17 12:00:00,11.728476600178839,2007-05-17T12:00:00Z
CRW_SST|2007-05-18 12:00:00,11.549316173944945,2007-05-18T12:00:00Z
CRW_SST|2007-05-19 12:00:00,11.590901369695132,2007-05-19T12:00:00Z
CRW_SST|2007-05-20 12:00:00,11.492091374245286,2007-05-20T12:00:00Z
CRW_SST|2007-05-21 12:00:00,11.422341054565825,2007-05-21T12:00:00Z
CRW_SST|2007-05-22 12:00:00,11.609543727923173,2007-05-22T12:00:00Z
CRW_SST|2007-05-23 12:00:00,11.718299692807564,2007-05-23T12:00:00Z
CRW_SST|2007-05-24 12:00:00,11.881583706244756,2007-05-24T12:00:00Z
CRW_SST|2007-05-25 12:00:00,12.101135437734662,2007-05-25T12:00:00Z
CRW_SST|2007-05-26 12:00:00,12.270653998824672,2007-05-26T12:00:00Z
CRW_SST|2007-05-27 12:00:00,12.17701209335611,2007-05-27T12:00:00Z
CRW_SST|2007-05-28 12:00:00,12.290229419199404,2007-05-28T12:00:00Z
CRW_SST|2007-05-29 12:00:00,12.42544648559559,2007-05-29T12:00:00Z
CRW_SST|2007-05-30 12:00:00,12.67318208569688,2007-05-30T12:00:00Z
CRW_SST|2007-05-31 12:00:00,12.706790623029594,2007-05-31T12:00:00Z
CRW_SST|2007-06-01 12:00:00,12.614389365906204,2007-06-01T12:00:00Z
CRW_SST|2007-06-02 12:00:00,12.609550586712642,2007-06-02T12:00:00Z
CRW_SST|2007-06-03 12:00:00,12.73475974314419,2007-06-03T12:00:00Z
CRW_SST|2007-06-04 12:00:00,12.642802093724226,2007-06-04T12:00:00Z
CRW_SST|2007-06-05 12:00:00,12.48196001832452,2007-06-05T12:00:00Z
CRW_SST|2007-06-06 12:00:00,12.1679241260415,2007-06-06T12:00:00Z
CRW_SST|2007-06-07 12:00:00,12.547352172877716,2007-06-07T12:00:00Z
CRW_SST|2007-06-08 12:00:00,12.538289766804736,2007-06-08T12:00:00Z
CRW_SST|2007-06-09 12:00:00,12.50188781771441,2007-06-09T12:00:00Z
CRW_SST|2007-06-10 12:00:00,12.856513314665007,2007-06-10T12:00:00Z
CRW_SST|2007-06-11 12:00:00,12.419506591241309,2007-06-11T12:00:00Z
CRW_SST|2007-06-12 12:00:00,12.855164095946165,2007-06-12T12:00:00Z
CRW_SST|2007-06-13 12:00:00,13.168210013821373,2007-06-13T12:00:00Z
CRW_SST|2007-06-14 12:00:00,13.372473052754039,2007-06-14T12:00:00Z
CRW_SST|2007-06-15 12:00:00,13.53836935650533,2007-06-15T12:00:00Z
CRW_SST|2007-06-16 12:00:00,13.54172081735693,2007-06-16T12:00:00Z
CRW_SST|2007-06-17 12:00:00,13.279935422794386,2007-06-17T12:00:00Z
CRW_SST|2007-06-18 12:00:00,13.279385660192672,2007-06-18T12:00:00Z
CRW_SST|2007-06-19 12:00:00,13.449753074483251,2007-06-19T12:00:00Z
CRW_SST|2007-06-20 12:00:00,13.542742786200913,2007-06-20T12:00:00Z
CRW_SST|2007-06-21 12:00:00,13.16277784342492,2007-06-21T12:00:00Z
CRW_SST|2007-06-22 12:00:00,13.59046176412087,2007-06-22T12:00:00Z
CRW_SST|2007-06-23 12:00:00,13.362168470349182,2007-06-23T12:00:00Z
CRW_SST|2007-06-24 12:00:00,13.125010555251265,2007-06-24T12:00:00Z
CRW_SST|2007-06-25 12:00:00,12.797468149688347,2007-06-25T12:00:00Z
CRW_SST|2007-06-26 12:00:00,12.819774470020059,2007-06-26T12:00:00Z
