lyr,mean,time
CRW_SST|2004-01-01 12:00:00,21.18213472435768,2004-01-01T12:00:00Z
CRW_SST|2004-01-02 12:00:00,21.066174571060035,2004-01-02T12:00:00Z
CRW_SST|2004-01-03 12:00:00,21.012842847065492,2004-01-03T12:00:00Z
CRW_SST|2004-01-04 12:00:00,21.0568623807946,2004-01-04T12:00:00Z
CRW_SST|2004-01-05 12:00:00,21.11652240636621,2004-01-05T12:00:00Z
CRW_SST|2004-01-06 12:00:00,20.917587647372308,2004-01-06T12:00:00Z
CRW_SST|2004-01-07 12:00:00,20.87753573452253,2004-01-07T12:00:00Z
CRW_SST|2004-01-08 12:00:00,20.68606345444378,2004-01-08T12:00:00Z
CRW_SST|2004-01-09 12:00:00,20.679307762666518,2004-01-09T12:00:00Z
CRW_SST|2004-01-10 12:00:00,20.75450532849536,2004-01-10T12:00:00Z
CRW_SST|2004-01-11 12:00:00,20.594362655128414,2004-01-11T12:00:00Z
CRW_SST|2004-01-12 12:00:00,20.605604549801537,2004-01-12T12:00:00Z
CRW_SST|2004-01-13 12:00:00,20.996812777016377,2004-01-13T12:00:00Z
CRW_SST|2004-01-14 12:00:00,20.591421368104076,2004-01-14T12:00:00Z
CRW_SST|2004-01-15 12:00:00,20.248574117193424,2004-01-15T12:00:00Z
CRW_SST|2004-01-16 12:00:00,20.29910221311077,2004-01-16T12:00:00Z
CRW_SST|2004-01-17 12:00:00,20.71786028494845,2004-01-17T12:00:00Z
CRW_SST|2004-01-18 12:00:00,20.865019436768044,2004-01-18T12:00:00Z
CRW_SST|2004-01-19 12:00:00,20.475780211197993,2004-01-19T12:00:00Z
CRW_SST|2004-01-20 12:00:00,20.58054748175741,2004-01-20T12:00:00Z
CRW_SST|2004-01-21 12:00:00,20.27689384914155,2004-01-21T12:00:00Z
CRW_SST|2004-01-22 12:00:00,20.902287556986487,2004-01-22T12:00:00Z
CRW_SST|2004-01-23 12:00:00,20.27461028901001,2004-01-23T12:00:00Z
CRW_SST|2004-01-24 12:00:00,20.524043545485064,2004-01-24T12:00:00Z
CRW_SST|2004-01-25 12:00:00,20.470273260466882,2004-01-25T12:00:00Z
CRW_SST|2004-01-26 12:00:00,20.15769128375257,2004-01-26T12:00:00Z
CRW_SST|2004-01-27 12:00:00,20.509829496373012,2004-01-27T12:00:00Z
CRW_SST|2004-01-28 12:00:00,20.026338287375737,2004-01-28T12:00:00Z
CRW_SST|2004-01-29 12:00:00,20.088658852625276,2004-01-29T12:00:00Z
CRW_SST|2004-01-30 12:00:00,20.192777680939198,2004-01-30T12:00:00Z
CRW_SST|2004-01-31 12:00:00,20.417832734905012,2004-01-31T12:00:00Z
CRW_SST|2004-02-01 12:00:00,20.627367745181953,2004-02-01T12:00:00Z
CRW_SST|2004-02-02 12:00:00,20.830395790957066,2004-02-02T12:00:00Z
CRW_SST|2004-02-03 12:00:00,20.636607590061065,2004-02-03T12:00:00Z
CRW_SST|2004-02-04 12:00:00,20.45059908343318,2004-02-04T12:00:00Z
CRW_SST|2004-02-05 12:00:00,20.343023098025622,2004-02-05T12:00:00Z
CRW_SST|2004-02-06 12:00:00,20.34349630053666,2004-02-06T12:00:00Z
CRW_SST|2004-02-07 12:00:00,20.374907477358228,2004-02-07T12:00:00Z
CRW_SST|2004-02-08 12:00:00,20.345698362200213,2004-02-08T12:00:00Z
CRW_SST|2004-02-09 12:00:00,20.239526993632456,2004-02-09T12:00:00Z
CRW_SST|2004-02-10 12:00:00,20.19716506330639,2004-02-10T12:00:00Z
CRW_SST|2004-02-11 12:00:00,20.11507717247351,2004-02-11T12:00:00Z
CRW_SST|2004-02-12 12:00:00,20.07462607628054,2004-02-12T12:00:00Z
CRW_SST|2004-02-13 12:00:00,20.01943972904752,2004-02-13T12:00:00Z
CRW_SST|2004-02-14 12:00:00,20.07973971367938,2004-02-14T12:00:00Z
CRW_SST|2004-02-15 12:00:00,20.30577186691926,2004-02-15T12:00:00Z
CRW_SST|2004-02-16 12:00:00,20.034871353099735,2004-02-16T12:00:00Z
CRW_SST|2004-02-17 12:00:00,20.032313563274727,2004-02-17T12:00:00Z
CRW_SST|2004-02-18 12:00:00,20.227680730295408,2004-02-18T12:00:00Z
CRW_SST|2004-02-19 12:00:00,20.61537953222576,2004-02-19T12:00:00Z
CRW_SST|2004-02-20 12:00:00,20.401896075134076,2004-02-20T12:00:00Z
CRW_SST|2004-02-21 12:00:00,20.430179465456725,2004-02-21T12:00:00Z
CRW_SST|2004-02-22 12:00:00,20.22745641170107,2004-02-22T12:00:00Z
CRW_SST|2004-02-23 12:00:00,20.458757374369196,2004-02-23T12:00:00Z
CRW_SST|2004-02-24 12:00:00,20.68495112560585,2004-02-24T12:00:00Z
CRW_SST|2004-02-25 12:00:00,20.616530751593487,2004-02-25T12:00:00Z
CRW_SST|2004-02-26 12:00:00,20.276794518979006,2004-02-26T12:00:00Z
CRW_SST|2004-02-27 12:00:00,20.101962158196162,2004-02-27T12:00:00Z
CRW_SST|2004-02-28 12:00:00,20.048270891418657,2004-02-28T12:00:00Z
CRW_SST|2004-02-29 12:00:00,20.192176415644724,2004-02-29T12:00:00Z
CRW_SST|2004-03-01 12:00:00,19.842198062077273,2004-03-01T12:00:00Z
CRW_SST|2004-03-02 12:00:00,20.26180365493349,2004-03-02T12:00:00Z
CRW_SST|2004-03-03 12:00:00,20.538385656191252,2004-03-03T12:00:00Z
CRW_SST|2004-03-04 12:00:00,20.77581885348298,2004-03-04T12:00:00Z
CRW_SST|2004-03-05 12:00:00,20.589190210581844,2004-03-05T12:00:00Z
CRW_SST|2004-03-06 12:00:00,20.913657276591795,2004-03-06T12:00:00Z
CRW_SST|2004-03-07 12:00:00,20.88752581424759,2004-03-07T12:00:00Z
CRW_SST|2004-03-08 12:00:00,21.193119957932,2004-03-08T12:00:00Z
CRW_SST|2004-03-09 12:00:00,20.767953308477082,2004-03-09T12:00:00Z
CRW_SST|2004-03-10 12:00:00,20.741265473382466,2004-03-10T12:00:00Z
CRW_SST|2004-03-11 12:00:00,20.6968133396007,2004-03-11T12:00:00Z
CRW_SST|2004-03-12 12:00:00,20.691126411542726,2004-03-12T12:00:00Z
CRW_SST|2004-03-13 12:00:00,20.757138180600858,2004-03-13T12:00:00Z
CRW_SST|2004-03-14 12:00:00,20.788128845894487,2004-03-14T12:00:00Z
CRW_SST|2004-03-15 12:00:00,20.72220462114761,2004-03-15T12:00:00Z
CRW_SST|2004-03-16 12:00:00,20.88902125370335,2004-03-16T12:00:00Z
CRW_SST|2004-03-17 12:00:00,20.86663802102791,2004-03-17T12:00:00Z
CRW_SST|2004-03-18 12:00:00,21.106299044319293,2004-03-18T12:00:00Z
CRW_SST|2004-03-19 12:00:00,21.409779720337955,2004-03-19T12:00:00Z
CRW_SST|2004-03-20 12:00:00,21.68922873032868,2004-03-20T12:00:00Z
CRW_SST|2004-03-21 12:00:00,21.71139552425084,2004-03-21T12:00:00Z
CRW_SST|2004-03-22 12:00:00,21.61991118153758,2004-03-22T12:00:00Z
CRW_SST|2004-03-23 12:00:00,21.382912418020116,2004-03-23T12:00:00Z
CRW_SST|2004-03-24 12:00:00,21.2355906664954,2004-03-24T12:00:00Z
