nms,lyr,mean,time
FKNMS,analysed_sst|1998-01-01 12:00:00,22.49430786221814,1998-01-01T12:00:00Z
FKNMS,analysed_sst|1998-01-02 12:00:00,22.549806872345638,1998-01-02T12:00:00Z
FKNMS,analysed_sst|1998-01-03 12:00:00,21.690023008230703,1998-01-03T12:00:00Z
FKNMS,analysed_sst|1998-01-04 12:00:00,21.79121572113253,1998-01-04T12:00:00Z
FKNMS,analysed_sst|1998-01-05 12:00:00,21.84768856046008,1998-01-05T12:00:00Z
FKNMS,analysed_sst|1998-01-06 12:00:00,22.435098364353134,1998-01-06T12:00:00Z
FKNMS,analysed_sst|1998-01-07 12:00:00,22.628205664930338,1998-01-07T12:00:00Z
FKNMS,analysed_sst|1998-01-08 12:00:00,22.696444416735005,1998-01-08T12:00:00Z
FKNMS,analysed_sst|1998-01-09 12:00:00,22.91339872780403,1998-01-09T12:00:00Z
FKNMS,analysed_sst|1998-01-10 12:00:00,22.911078765595327,1998-01-10T12:00:00Z
FKNMS,analysed_sst|1998-01-11 12:00:00,22.82725796368535,1998-01-11T12:00:00Z
FKNMS,analysed_sst|1998-01-12 12:00:00,22.834091596983153,1998-01-12T12:00:00Z
FKNMS,analysed_sst|1998-01-13 12:00:00,22.843913457710354,1998-01-13T12:00:00Z
FKNMS,analysed_sst|1998-01-14 12:00:00,22.94240003322242,1998-01-14T12:00:00Z
FKNMS,analysed_sst|1998-01-15 12:00:00,23.006677491586913,1998-01-15T12:00:00Z
FKNMS,analysed_sst|1998-01-16 12:00:00,23.06565458164012,1998-01-16T12:00:00Z
FKNMS,analysed_sst|1998-01-17 12:00:00,22.977754252927703,1998-01-17T12:00:00Z
FKNMS,analysed_sst|1998-01-18 12:00:00,22.664582446394498,1998-01-18T12:00:00Z
FKNMS,analysed_sst|1998-01-19 12:00:00,22.32296825289507,1998-01-19T12:00:00Z
FKNMS,analysed_sst|1998-01-20 12:00:00,22.315329972206257,1998-01-20T12:00:00Z
FKNMS,analysed_sst|1998-01-21 12:00:00,22.56885911847474,1998-01-21T12:00:00Z
FKNMS,analysed_sst|1998-01-22 12:00:00,22.77541343655446,1998-01-22T12:00:00Z
FKNMS,analysed_sst|1998-01-23 12:00:00,22.918110747986436,1998-01-23T12:00:00Z
FKNMS,analysed_sst|1998-01-24 12:00:00,22.871755748944615,1998-01-24T12:00:00Z
FKNMS,analysed_sst|1998-01-25 12:00:00,22.578240331839314,1998-01-25T12:00:00Z
FKNMS,analysed_sst|1998-01-26 12:00:00,22.382524828071876,1998-01-26T12:00:00Z
FKNMS,analysed_sst|1998-01-27 12:00:00,22.18698516849817,1998-01-27T12:00:00Z
FKNMS,analysed_sst|1998-01-28 12:00:00,22.19561120854688,1998-01-28T12:00:00Z
FKNMS,analysed_sst|1998-01-29 12:00:00,22.18542048694267,1998-01-29T12:00:00Z
FKNMS,analysed_sst|1998-01-30 12:00:00,22.002503547973358,1998-01-30T12:00:00Z
FKNMS,analysed_sst|1998-01-31 12:00:00,22.26988261564886,1998-01-31T12:00:00Z
FKNMS,analysed_sst|1998-02-01 12:00:00,22.333244071830148,1998-02-01T12:00:00Z
FKNMS,analysed_sst|1998-02-02 12:00:00,22.470658319530116,1998-02-02T12:00:00Z
FKNMS,analysed_sst|1998-02-03 12:00:00,22.352328702936152,1998-02-03T12:00:00Z
FKNMS,analysed_sst|1998-02-04 12:00:00,22.074286952974504,1998-02-04T12:00:00Z
FKNMS,analysed_sst|1998-02-05 12:00:00,21.77914676711029,1998-02-05T12:00:00Z
FKNMS,analysed_sst|1998-02-06 12:00:00,21.462013654856364,1998-02-06T12:00:00Z
FKNMS,analysed_sst|1998-02-07 12:00:00,21.601967954112446,1998-02-07T12:00:00Z
FKNMS,analysed_sst|1998-02-08 12:00:00,21.449353205529018,1998-02-08T12:00:00Z
FKNMS,analysed_sst|1998-02-09 12:00:00,21.44707537737208,1998-02-09T12:00:00Z
FKNMS,analysed_sst|1998-02-10 12:00:00,21.7060304913781,1998-02-10T12:00:00Z
FKNMS,analysed_sst|1998-02-11 12:00:00,21.693852250027298,1998-02-11T12:00:00Z
FKNMS,analysed_sst|1998-02-12 12:00:00,21.784838678048118,1998-02-12T12:00:00Z
FKNMS,analysed_sst|1998-02-13 12:00:00,21.510939582681498,1998-02-13T12:00:00Z
FKNMS,analysed_sst|1998-02-14 12:00:00,21.449819221691026,1998-02-14T12:00:00Z
