lyr,mean,time
CRW_SST|2022-01-01 12:00:00,17.73878609940818,2022-01-01T12:00:00Z
CRW_SST|2022-01-02 12:00:00,17.952019453789767,2022-01-02T12:00:00Z
CRW_SST|2022-01-03 12:00:00,17.703296843755812,2022-01-03T12:00:00Z
CRW_SST|2022-01-04 12:00:00,17.325557324991372,2022-01-04T12:00:00Z
CRW_SST|2022-01-05 12:00:00,16.98388588484018,2022-01-05T12:00:00Z
CRW_SST|2022-01-06 12:00:00,16.972106682963542,2022-01-06T12:00:00Z
CRW_SST|2022-01-07 12:00:00,17.204813162372666,2022-01-07T12:00:00Z
CRW_SST|2022-01-08 12:00:00,16.952713539446616,2022-01-08T12:00:00Z
CRW_SST|2022-01-09 12:00:00,16.7505446558595,2022-01-09T12:00:00Z
CRW_SST|2022-01-10 12:00:00,16.69283008056331,2022-01-10T12:00:00Z
CRW_SST|2022-01-11 12:00:00,16.495253602848294,2022-01-11T12:00:00Z
CRW_SST|2022-01-12 12:00:00,16.219949884459474,2022-01-12T12:00:00Z
CRW_SST|2022-01-13 12:00:00,15.900513173098346,2022-01-13T12:00:00Z
CRW_SST|2022-01-14 12:00:00,15.954438385803169,2022-01-14T12:00:00Z
CRW_SST|2022-01-15 12:00:00,15.558551241410361,2022-01-15T12:00:00Z
CRW_SST|2022-01-16 12:00:00,15.705052522751155,2022-01-16T12:00:00Z
CRW_SST|2022-01-17 12:00:00,15.446357856296517,2022-01-17T12:00:00Z
CRW_SST|2022-01-18 12:00:00,15.388066512399295,2022-01-18T12:00:00Z
CRW_SST|2022-01-19 12:00:00,14.881348804808011,2022-01-19T12:00:00Z
CRW_SST|2022-01-20 12:00:00,14.928075979628293,2022-01-20T12:00:00Z
CRW_SST|2022-01-21 12:00:00,15.274589556536672,2022-01-21T12:00:00Z
CRW_SST|2022-01-22 12:00:00,15.434378082594998,2022-01-22T12:00:00Z
CRW_SST|2022-01-23 12:00:00,14.725158792249706,2022-01-23T12:00:00Z
CRW_SST|2022-01-24 12:00:00,14.533346229296908,2022-01-24T12:00:00Z
CRW_SST|2022-01-25 12:00:00,14.474917732416456,2022-01-25T12:00:00Z
CRW_SST|2022-01-26 12:00:00,14.607379082841243,2022-01-26T12:00:00Z
CRW_SST|2022-01-27 12:00:00,14.167749381707955,2022-01-27T12:00:00Z
CRW_SST|2022-01-28 12:00:00,13.925679988447996,2022-01-28T12:00:00Z
CRW_SST|2022-01-29 12:00:00,13.426931725780376,2022-01-29T12:00:00Z
CRW_SST|2022-01-30 12:00:00,12.800543440602388,2022-01-30T12:00:00Z
CRW_SST|2022-01-31 12:00:00,12.682305256534343,2022-01-31T12:00:00Z
CRW_SST|2022-02-01 12:00:00,12.42684255364606,2022-02-01T12:00:00Z
CRW_SST|2022-02-02 12:00:00,12.74753577446284,2022-02-02T12:00:00Z
CRW_SST|2022-02-03 12:00:00,12.67079338387832,2022-02-03T12:00:00Z
CRW_SST|2022-02-04 12:00:00,13.17691776910223,2022-02-04T12:00:00Z
CRW_SST|2022-02-05 12:00:00,13.541940033489833,2022-02-05T12:00:00Z
CRW_SST|2022-02-06 12:00:00,12.885834729778505,2022-02-06T12:00:00Z
CRW_SST|2022-02-07 12:00:00,12.787792487425797,2022-02-07T12:00:00Z
CRW_SST|2022-02-08 12:00:00,13.181832863614602,2022-02-08T12:00:00Z
CRW_SST|2022-02-09 12:00:00,12.541688061332664,2022-02-09T12:00:00Z
CRW_SST|2022-02-10 12:00:00,12.747052337410103,2022-02-10T12:00:00Z
CRW_SST|2022-02-11 12:00:00,12.590560063779689,2022-02-11T12:00:00Z
CRW_SST|2022-02-12 12:00:00,12.425596385287664,2022-02-12T12:00:00Z
CRW_SST|2022-02-13 12:00:00,12.691302900931193,2022-02-13T12:00:00Z
CRW_SST|2022-02-14 12:00:00,12.702358781640692,2022-02-14T12:00:00Z
CRW_SST|2022-02-15 12:00:00,12.594556625023278,2022-02-15T12:00:00Z
CRW_SST|2022-02-16 12:00:00,12.829491664994018,2022-02-16T12:00:00Z
CRW_SST|2022-02-17 12:00:00,13.131963398506779,2022-02-17T12:00:00Z
CRW_SST|2022-02-18 12:00:00,13.718162846591328,2022-02-18T12:00:00Z
CRW_SST|2022-02-19 12:00:00,13.595305235579605,2022-02-19T12:00:00Z
CRW_SST|2022-02-20 12:00:00,13.402398031538173,2022-02-20T12:00:00Z
CRW_SST|2022-02-21 12:00:00,13.751954899173436,2022-02-21T12:00:00Z
CRW_SST|2022-02-22 12:00:00,14.451070529030556,2022-02-22T12:00:00Z
CRW_SST|2022-02-23 12:00:00,15.196288353626871,2022-02-23T12:00:00Z
CRW_SST|2022-02-24 12:00:00,15.619367767519279,2022-02-24T12:00:00Z
CRW_SST|2022-02-25 12:00:00,16.209436751742246,2022-02-25T12:00:00Z
CRW_SST|2022-02-26 12:00:00,16.704346049734323,2022-02-26T12:00:00Z
CRW_SST|2022-02-27 12:00:00,16.325060527268985,2022-02-27T12:00:00Z
CRW_SST|2022-02-28 12:00:00,15.839643992247645,2022-02-28T12:00:00Z
CRW_SST|2022-03-01 12:00:00,14.934539512255704,2022-03-01T12:00:00Z
CRW_SST|2022-03-02 12:00:00,15.080757623560217,2022-03-02T12:00:00Z
CRW_SST|2022-03-03 12:00:00,15.569732526446698,2022-03-03T12:00:00Z
CRW_SST|2022-03-04 12:00:00,15.773794480397843,2022-03-04T12:00:00Z
CRW_SST|2022-03-05 12:00:00,15.944018551032498,2022-03-05T12:00:00Z
CRW_SST|2022-03-06 12:00:00,15.797169019291072,2022-03-06T12:00:00Z
CRW_SST|2022-03-07 12:00:00,16.09561231220894,2022-03-07T12:00:00Z
CRW_SST|2022-03-08 12:00:00,16.706292375065274,2022-03-08T12:00:00Z
CRW_SST|2022-03-09 12:00:00,17.56758039990255,2022-03-09T12:00:00Z
CRW_SST|2022-03-10 12:00:00,17.2718410814329,2022-03-10T12:00:00Z
CRW_SST|2022-03-11 12:00:00,17.519663776406,2022-03-11T12:00:00Z
CRW_SST|2022-03-12 12:00:00,16.843427427394747,2022-03-12T12:00:00Z
CRW_SST|2022-03-13 12:00:00,16.280822628916848,2022-03-13T12:00:00Z
CRW_SST|2022-03-14 12:00:00,16.06882616326615,2022-03-14T12:00:00Z
CRW_SST|2022-03-15 12:00:00,15.986801471002563,2022-03-15T12:00:00Z
CRW_SST|2022-03-16 12:00:00,16.797139735027027,2022-03-16T12:00:00Z
CRW_SST|2022-03-17 12:00:00,16.53983301223402,2022-03-17T12:00:00Z
CRW_SST|2022-03-18 12:00:00,16.688700872090468,2022-03-18T12:00:00Z
CRW_SST|2022-03-19 12:00:00,17.0187845855858,2022-03-19T12:00:00Z
CRW_SST|2022-03-20 12:00:00,16.746633695316053,2022-03-20T12:00:00Z
CRW_SST|2022-03-21 12:00:00,17.164493628312528,2022-03-21T12:00:00Z
CRW_SST|2022-03-22 12:00:00,17.327596115646646,2022-03-22T12:00:00Z
CRW_SST|2022-03-23 12:00:00,17.576247691117427,2022-03-23T12:00:00Z
CRW_SST|2022-03-24 12:00:00,17.325157425574233,2022-03-24T12:00:00Z
CRW_SST|2022-03-25 12:00:00,17.35749236208163,2022-03-25T12:00:00Z
CRW_SST|2022-03-26 12:00:00,17.66175083598757,2022-03-26T12:00:00Z
CRW_SST|2022-03-27 12:00:00,17.558990629008157,2022-03-27T12:00:00Z
CRW_SST|2022-03-28 12:00:00,17.556272444411984,2022-03-28T12:00:00Z
