lyr,mean,time
CRW_SST|2007-01-01 12:00:00,24.981606271257444,2007-01-01T12:00:00Z
CRW_SST|2007-01-02 12:00:00,25.106635762629445,2007-01-02T12:00:00Z
CRW_SST|2007-01-03 12:00:00,25.05707200143738,2007-01-03T12:00:00Z
CRW_SST|2007-01-04 12:00:00,24.937535645892073,2007-01-04T12:00:00Z
CRW_SST|2007-01-05 12:00:00,24.911095691386993,2007-01-05T12:00:00Z
CRW_SST|2007-01-06 12:00:00,24.90148000853099,2007-01-06T12:00:00Z
CRW_SST|2007-01-07 12:00:00,24.782488935453273,2007-01-07T12:00:00Z
CRW_SST|2007-01-08 12:00:00,24.74789770721094,2007-01-08T12:00:00Z
CRW_SST|2007-01-09 12:00:00,24.666453326044028,2007-01-09T12:00:00Z
CRW_SST|2007-01-10 12:00:00,24.63287724469796,2007-01-10T12:00:00Z
CRW_SST|2007-01-11 12:00:00,24.832056950491953,2007-01-11T12:00:00Z
CRW_SST|2007-01-12 12:00:00,24.704750625851826,2007-01-12T12:00:00Z
CRW_SST|2007-01-13 12:00:00,24.66071849752329,2007-01-13T12:00:00Z
CRW_SST|2007-01-14 12:00:00,24.61161841463116,2007-01-14T12:00:00Z
CRW_SST|2007-01-15 12:00:00,24.455156775565623,2007-01-15T12:00:00Z
CRW_SST|2007-01-16 12:00:00,24.462320921240824,2007-01-16T12:00:00Z
CRW_SST|2007-01-17 12:00:00,24.33211210226998,2007-01-17T12:00:00Z
CRW_SST|2007-01-18 12:00:00,24.286422012887822,2007-01-18T12:00:00Z
CRW_SST|2007-01-19 12:00:00,24.298042884353677,2007-01-19T12:00:00Z
CRW_SST|2007-01-20 12:00:00,24.33359457317706,2007-01-20T12:00:00Z
CRW_SST|2007-01-21 12:00:00,24.389030711479375,2007-01-21T12:00:00Z
CRW_SST|2007-01-22 12:00:00,24.372870420125047,2007-01-22T12:00:00Z
CRW_SST|2007-01-23 12:00:00,24.377359064811987,2007-01-23T12:00:00Z
CRW_SST|2007-01-24 12:00:00,24.32164246600504,2007-01-24T12:00:00Z
CRW_SST|2007-01-25 12:00:00,24.327066517809445,2007-01-25T12:00:00Z
CRW_SST|2007-01-26 12:00:00,24.340369333601394,2007-01-26T12:00:00Z
CRW_SST|2007-01-27 12:00:00,24.298288382003292,2007-01-27T12:00:00Z
CRW_SST|2007-01-28 12:00:00,24.29041538340652,2007-01-28T12:00:00Z
CRW_SST|2007-01-29 12:00:00,24.26463120867817,2007-01-29T12:00:00Z
CRW_SST|2007-01-30 12:00:00,24.336506128068844,2007-01-30T12:00:00Z
CRW_SST|2007-01-31 12:00:00,24.432862787895736,2007-01-31T12:00:00Z
CRW_SST|2007-02-01 12:00:00,24.47687099007799,2007-02-01T12:00:00Z
CRW_SST|2007-02-02 12:00:00,24.309485066687177,2007-02-02T12:00:00Z
CRW_SST|2007-02-03 12:00:00,24.141211106378456,2007-02-03T12:00:00Z
CRW_SST|2007-02-04 12:00:00,24.057014464589447,2007-02-04T12:00:00Z
CRW_SST|2007-02-05 12:00:00,24.02823776737039,2007-02-05T12:00:00Z
CRW_SST|2007-02-06 12:00:00,23.9839630505133,2007-02-06T12:00:00Z
CRW_SST|2007-02-07 12:00:00,24.10271160573208,2007-02-07T12:00:00Z
CRW_SST|2007-02-08 12:00:00,24.03345103612886,2007-02-08T12:00:00Z
CRW_SST|2007-02-09 12:00:00,23.94408709675639,2007-02-09T12:00:00Z
CRW_SST|2007-02-10 12:00:00,23.987915036666564,2007-02-10T12:00:00Z
CRW_SST|2007-02-11 12:00:00,23.926463255776905,2007-02-11T12:00:00Z
CRW_SST|2007-02-12 12:00:00,23.956699486016333,2007-02-12T12:00:00Z
CRW_SST|2007-02-13 12:00:00,23.97056049355416,2007-02-13T12:00:00Z
CRW_SST|2007-02-14 12:00:00,23.972937791473452,2007-02-14T12:00:00Z
CRW_SST|2007-02-15 12:00:00,23.997415157271075,2007-02-15T12:00:00Z
CRW_SST|2007-02-16 12:00:00,24.076386833579114,2007-02-16T12:00:00Z
CRW_SST|2007-02-17 12:00:00,24.13916637265149,2007-02-17T12:00:00Z
CRW_SST|2007-02-18 12:00:00,24.066627450044574,2007-02-18T12:00:00Z
CRW_SST|2007-02-19 12:00:00,24.063071669893652,2007-02-19T12:00:00Z
CRW_SST|2007-02-20 12:00:00,24.017531965708866,2007-02-20T12:00:00Z
CRW_SST|2007-02-21 12:00:00,23.980665034842346,2007-02-21T12:00:00Z
CRW_SST|2007-02-22 12:00:00,24.009195629332044,2007-02-22T12:00:00Z
CRW_SST|2007-02-23 12:00:00,24.08427971898875,2007-02-23T12:00:00Z
CRW_SST|2007-02-24 12:00:00,24.114608688711634,2007-02-24T12:00:00Z
CRW_SST|2007-02-25 12:00:00,24.307610076508364,2007-02-25T12:00:00Z
CRW_SST|2007-02-26 12:00:00,24.280176968605602,2007-02-26T12:00:00Z
CRW_SST|2007-02-27 12:00:00,24.204490727356973,2007-02-27T12:00:00Z
CRW_SST|2007-02-28 12:00:00,24.252547790469688,2007-02-28T12:00:00Z
CRW_SST|2007-03-01 12:00:00,24.297825725757573,2007-03-01T12:00:00Z
CRW_SST|2007-03-02 12:00:00,24.381482833426883,2007-03-02T12:00:00Z
CRW_SST|2007-03-03 12:00:00,24.42785181251611,2007-03-03T12:00:00Z
CRW_SST|2007-03-04 12:00:00,24.37459238540521,2007-03-04T12:00:00Z
CRW_SST|2007-03-05 12:00:00,24.409321610127382,2007-03-05T12:00:00Z
CRW_SST|2007-03-06 12:00:00,24.54102155772793,2007-03-06T12:00:00Z
CRW_SST|2007-03-07 12:00:00,24.55193736583736,2007-03-07T12:00:00Z
CRW_SST|2007-03-08 12:00:00,24.547941892195247,2007-03-08T12:00:00Z
CRW_SST|2007-03-09 12:00:00,24.455102154450728,2007-03-09T12:00:00Z
CRW_SST|2007-03-10 12:00:00,24.38047068923615,2007-03-10T12:00:00Z
CRW_SST|2007-03-11 12:00:00,24.314446804676084,2007-03-11T12:00:00Z
CRW_SST|2007-03-12 12:00:00,24.352660207822108,2007-03-12T12:00:00Z
CRW_SST|2007-03-13 12:00:00,24.293290517555004,2007-03-13T12:00:00Z
CRW_SST|2007-03-14 12:00:00,24.34210123388264,2007-03-14T12:00:00Z
CRW_SST|2007-03-15 12:00:00,24.352473977663998,2007-03-15T12:00:00Z
CRW_SST|2007-03-16 12:00:00,24.39650925540183,2007-03-16T12:00:00Z
CRW_SST|2007-03-17 12:00:00,24.517593981786412,2007-03-17T12:00:00Z
CRW_SST|2007-03-18 12:00:00,24.528153420651748,2007-03-18T12:00:00Z
CRW_SST|2007-03-19 12:00:00,24.49147584057535,2007-03-19T12:00:00Z
CRW_SST|2007-03-20 12:00:00,24.521556413170305,2007-03-20T12:00:00Z
CRW_SST|2007-03-21 12:00:00,24.551693268662785,2007-03-21T12:00:00Z
CRW_SST|2007-03-22 12:00:00,24.581019623182605,2007-03-22T12:00:00Z
CRW_SST|2007-03-23 12:00:00,24.509786554973925,2007-03-23T12:00:00Z
CRW_SST|2007-03-24 12:00:00,24.509041169192827,2007-03-24T12:00:00Z
CRW_SST|2007-03-25 12:00:00,24.47049049073488,2007-03-25T12:00:00Z
CRW_SST|2007-03-26 12:00:00,24.38896908887601,2007-03-26T12:00:00Z
CRW_SST|2007-03-27 12:00:00,24.397564020977207,2007-03-27T12:00:00Z
CRW_SST|2007-03-28 12:00:00,24.491856218568238,2007-03-28T12:00:00Z
CRW_SST|2007-03-29 12:00:00,24.65193428167801,2007-03-29T12:00:00Z
CRW_SST|2007-03-30 12:00:00,24.69410191577231,2007-03-30T12:00:00Z
CRW_SST|2007-03-31 12:00:00,24.71717855681461,2007-03-31T12:00:00Z
CRW_SST|2007-04-01 12:00:00,24.77939083672344,2007-04-01T12:00:00Z
CRW_SST|2007-04-02 12:00:00,24.584935465244232,2007-04-02T12:00:00Z
CRW_SST|2007-04-03 12:00:00,24.427666670120832,2007-04-03T12:00:00Z
CRW_SST|2007-04-04 12:00:00,24.41519447745333,2007-04-04T12:00:00Z
CRW_SST|2007-04-05 12:00:00,24.429701132843398,2007-04-05T12:00:00Z
CRW_SST|2007-04-06 12:00:00,24.435938124436657,2007-04-06T12:00:00Z
CRW_SST|2007-04-07 12:00:00,24.630909849969772,2007-04-07T12:00:00Z
CRW_SST|2007-04-08 12:00:00,24.720723174859554,2007-04-08T12:00:00Z
CRW_SST|2007-04-09 12:00:00,24.692542368620845,2007-04-09T12:00:00Z
CRW_SST|2007-04-10 12:00:00,24.79395846130375,2007-04-10T12:00:00Z
CRW_SST|2007-04-11 12:00:00,24.72830500366084,2007-04-11T12:00:00Z
CRW_SST|2007-04-12 12:00:00,24.75925248057377,2007-04-12T12:00:00Z
CRW_SST|2007-04-13 12:00:00,24.83781624947927,2007-04-13T12:00:00Z
CRW_SST|2007-04-14 12:00:00,24.875368922261682,2007-04-14T12:00:00Z
CRW_SST|2007-04-15 12:00:00,24.896496598752876,2007-04-15T12:00:00Z
CRW_SST|2007-04-16 12:00:00,24.854491751593358,2007-04-16T12:00:00Z
CRW_SST|2007-04-17 12:00:00,24.779754806069647,2007-04-17T12:00:00Z
CRW_SST|2007-04-18 12:00:00,24.772691079703886,2007-04-18T12:00:00Z
CRW_SST|2007-04-19 12:00:00,24.76627186327626,2007-04-19T12:00:00Z
CRW_SST|2007-04-20 12:00:00,24.671579600621392,2007-04-20T12:00:00Z
CRW_SST|2007-04-21 12:00:00,24.702545538477402,2007-04-21T12:00:00Z
CRW_SST|2007-04-22 12:00:00,24.689554178479117,2007-04-22T12:00:00Z
CRW_SST|2007-04-23 12:00:00,24.67637206717124,2007-04-23T12:00:00Z
CRW_SST|2007-04-24 12:00:00,24.589517707044177,2007-04-24T12:00:00Z
CRW_SST|2007-04-25 12:00:00,24.63286289181192,2007-04-25T12:00:00Z
CRW_SST|2007-04-26 12:00:00,24.66747707678054,2007-04-26T12:00:00Z
CRW_SST|2007-04-27 12:00:00,24.737496276721746,2007-04-27T12:00:00Z
CRW_SST|2007-04-28 12:00:00,24.839192476412617,2007-04-28T12:00:00Z
CRW_SST|2007-04-29 12:00:00,24.75800291854051,2007-04-29T12:00:00Z
CRW_SST|2007-04-30 12:00:00,24.74716599735523,2007-04-30T12:00:00Z
CRW_SST|2007-05-01 12:00:00,24.772750652055237,2007-05-01T12:00:00Z
CRW_SST|2007-05-02 12:00:00,24.782170422236575,2007-05-02T12:00:00Z
CRW_SST|2007-05-03 12:00:00,24.70521736468479,2007-05-03T12:00:00Z
CRW_SST|2007-05-04 12:00:00,24.685740307583938,2007-05-04T12:00:00Z
CRW_SST|2007-05-05 12:00:00,24.82519007670332,2007-05-05T12:00:00Z
CRW_SST|2007-05-06 12:00:00,24.929375387969785,2007-05-06T12:00:00Z
CRW_SST|2007-05-07 12:00:00,24.91031491965157,2007-05-07T12:00:00Z
CRW_SST|2007-05-08 12:00:00,24.71732520960341,2007-05-08T12:00:00Z
CRW_SST|2007-05-09 12:00:00,24.73652884906154,2007-05-09T12:00:00Z
CRW_SST|2007-05-10 12:00:00,24.626677425693078,2007-05-10T12:00:00Z
CRW_SST|2007-05-11 12:00:00,24.53458447868677,2007-05-11T12:00:00Z
CRW_SST|2007-05-12 12:00:00,24.80156977429505,2007-05-12T12:00:00Z
CRW_SST|2007-05-13 12:00:00,24.93209830960461,2007-05-13T12:00:00Z
CRW_SST|2007-05-14 12:00:00,24.913440487422854,2007-05-14T12:00:00Z
