lyr,mean,time
CRW_SST|2018-01-01 12:00:00,13.662624920760976,2018-01-01T12:00:00Z
CRW_SST|2018-01-02 12:00:00,13.817499803120084,2018-01-02T12:00:00Z
CRW_SST|2018-01-03 12:00:00,14.337499389770556,2018-01-03T12:00:00Z
CRW_SST|2018-01-04 12:00:00,14.29149982204486,2018-01-04T12:00:00Z
CRW_SST|2018-01-05 12:00:00,14.417999330480777,2018-01-05T12:00:00Z
CRW_SST|2018-01-06 12:00:00,14.520999577695656,2018-01-06T12:00:00Z
CRW_SST|2018-01-07 12:00:00,14.51012442644594,2018-01-07T12:00:00Z
CRW_SST|2018-01-08 12:00:00,14.440749410496,2018-01-08T12:00:00Z
CRW_SST|2018-01-09 12:00:00,14.300749126689135,2018-01-09T12:00:00Z
CRW_SST|2018-01-10 12:00:00,13.97924926287794,2018-01-10T12:00:00Z
CRW_SST|2018-01-11 12:00:00,13.689499324576774,2018-01-11T12:00:00Z
CRW_SST|2018-01-12 12:00:00,13.836000003559388,2018-01-12T12:00:00Z
CRW_SST|2018-01-13 12:00:00,13.698874370762377,2018-01-13T12:00:00Z
CRW_SST|2018-01-14 12:00:00,13.616749771954943,2018-01-14T12:00:00Z
CRW_SST|2018-01-15 12:00:00,13.993124552613823,2018-01-15T12:00:00Z
CRW_SST|2018-01-16 12:00:00,14.142749818488449,2018-01-16T12:00:00Z
CRW_SST|2018-01-17 12:00:00,14.233874530425135,2018-01-17T12:00:00Z
CRW_SST|2018-01-18 12:00:00,13.499623252201127,2018-01-18T12:00:00Z
CRW_SST|2018-01-19 12:00:00,13.618249268435276,2018-01-19T12:00:00Z
CRW_SST|2018-01-20 12:00:00,13.833999666302182,2018-01-20T12:00:00Z
CRW_SST|2018-01-21 12:00:00,13.786374745448622,2018-01-21T12:00:00Z
CRW_SST|2018-01-22 12:00:00,13.571874816038006,2018-01-22T12:00:00Z
CRW_SST|2018-01-23 12:00:00,13.66137500037383,2018-01-23T12:00:00Z
CRW_SST|2018-01-24 12:00:00,13.837750181942642,2018-01-24T12:00:00Z
CRW_SST|2018-01-25 12:00:00,13.799500094219908,2018-01-25T12:00:00Z
CRW_SST|2018-01-26 12:00:00,13.758375081495682,2018-01-26T12:00:00Z
CRW_SST|2018-01-27 12:00:00,13.81212535719628,2018-01-27T12:00:00Z
CRW_SST|2018-01-28 12:00:00,14.002000287046808,2018-01-28T12:00:00Z
CRW_SST|2018-01-29 12:00:00,13.23712324827089,2018-01-29T12:00:00Z
CRW_SST|2018-01-30 12:00:00,13.864248666692133,2018-01-30T12:00:00Z
CRW_SST|2018-01-31 12:00:00,13.990999837367529,2018-01-31T12:00:00Z
CRW_SST|2018-02-01 12:00:00,13.714498660012149,2018-02-01T12:00:00Z
CRW_SST|2018-02-02 12:00:00,14.08312557087592,2018-02-02T12:00:00Z
CRW_SST|2018-02-03 12:00:00,13.985624695670207,2018-02-03T12:00:00Z
CRW_SST|2018-02-04 12:00:00,14.304375142632248,2018-02-04T12:00:00Z
CRW_SST|2018-02-05 12:00:00,14.381999765538094,2018-02-05T12:00:00Z
CRW_SST|2018-02-06 12:00:00,14.332624569267571,2018-02-06T12:00:00Z
CRW_SST|2018-02-07 12:00:00,14.38162464636149,2018-02-07T12:00:00Z
CRW_SST|2018-02-08 12:00:00,14.475624672389033,2018-02-08T12:00:00Z
CRW_SST|2018-02-09 12:00:00,14.60425018213798,2018-02-09T12:00:00Z
CRW_SST|2018-02-10 12:00:00,14.292499834119663,2018-02-10T12:00:00Z
CRW_SST|2018-02-11 12:00:00,14.23012463411217,2018-02-11T12:00:00Z
CRW_SST|2018-02-12 12:00:00,14.062249636655073,2018-02-12T12:00:00Z
CRW_SST|2018-02-13 12:00:00,13.8157498659209,2018-02-13T12:00:00Z
CRW_SST|2018-02-14 12:00:00,13.863124623895887,2018-02-14T12:00:00Z
CRW_SST|2018-02-15 12:00:00,13.852499751008526,2018-02-15T12:00:00Z
CRW_SST|2018-02-16 12:00:00,13.918374682524945,2018-02-16T12:00:00Z
CRW_SST|2018-02-17 12:00:00,13.923875045803806,2018-02-17T12:00:00Z
CRW_SST|2018-02-18 12:00:00,13.863124909952607,2018-02-18T12:00:00Z
CRW_SST|2018-02-19 12:00:00,13.504124663373569,2018-02-19T12:00:00Z
CRW_SST|2018-02-20 12:00:00,13.183999775691836,2018-02-20T12:00:00Z
CRW_SST|2018-02-21 12:00:00,13.054249770235666,2018-02-21T12:00:00Z
CRW_SST|2018-02-22 12:00:00,13.16637459537445,2018-02-22T12:00:00Z
CRW_SST|2018-02-23 12:00:00,13.049249688283309,2018-02-23T12:00:00Z
CRW_SST|2018-02-24 12:00:00,12.876249914459338,2018-02-24T12:00:00Z
CRW_SST|2018-02-25 12:00:00,12.758000062541145,2018-02-25T12:00:00Z
CRW_SST|2018-02-26 12:00:00,12.769375046752787,2018-02-26T12:00:00Z
CRW_SST|2018-02-27 12:00:00,12.635499639846689,2018-02-27T12:00:00Z
CRW_SST|2018-02-28 12:00:00,12.571500047132858,2018-02-28T12:00:00Z
CRW_SST|2018-03-01 12:00:00,12.431124971342674,2018-03-01T12:00:00Z
CRW_SST|2018-03-02 12:00:00,12.337374762555514,2018-03-02T12:00:00Z
CRW_SST|2018-03-03 12:00:00,12.433749684001695,2018-03-03T12:00:00Z
CRW_SST|2018-03-04 12:00:00,12.410374608806931,2018-03-04T12:00:00Z
CRW_SST|2018-03-05 12:00:00,12.642124556300887,2018-03-05T12:00:00Z
CRW_SST|2018-03-06 12:00:00,12.515999720312367,2018-03-06T12:00:00Z
CRW_SST|2018-03-07 12:00:00,12.873125116386102,2018-03-07T12:00:00Z
CRW_SST|2018-03-08 12:00:00,13.206249633351787,2018-03-08T12:00:00Z
CRW_SST|2018-03-09 12:00:00,13.076874268934231,2018-03-09T12:00:00Z
CRW_SST|2018-03-10 12:00:00,13.612623885696745,2018-03-10T12:00:00Z
CRW_SST|2018-03-11 12:00:00,13.121124514796895,2018-03-11T12:00:00Z
CRW_SST|2018-03-12 12:00:00,13.46574962814947,2018-03-12T12:00:00Z
CRW_SST|2018-03-13 12:00:00,13.229249567252575,2018-03-13T12:00:00Z
CRW_SST|2018-03-14 12:00:00,13.150624607029918,2018-03-14T12:00:00Z
CRW_SST|2018-03-15 12:00:00,13.138374920559189,2018-03-15T12:00:00Z
CRW_SST|2018-03-16 12:00:00,13.106749937617053,2018-03-16T12:00:00Z
CRW_SST|2018-03-17 12:00:00,13.075375071751775,2018-03-17T12:00:00Z
CRW_SST|2018-03-18 12:00:00,13.168750006889923,2018-03-18T12:00:00Z
CRW_SST|2018-03-19 12:00:00,13.234375051478732,2018-03-19T12:00:00Z
CRW_SST|2018-03-20 12:00:00,13.130000161172859,2018-03-20T12:00:00Z
CRW_SST|2018-03-21 12:00:00,12.776499947335079,2018-03-21T12:00:00Z
CRW_SST|2018-03-22 12:00:00,13.303749802868536,2018-03-22T12:00:00Z
CRW_SST|2018-03-23 12:00:00,12.966749700906098,2018-03-23T12:00:00Z
CRW_SST|2018-03-24 12:00:00,13.009249542537496,2018-03-24T12:00:00Z
CRW_SST|2018-03-25 12:00:00,13.061374453154786,2018-03-25T12:00:00Z
CRW_SST|2018-03-26 12:00:00,12.879624811509096,2018-03-26T12:00:00Z
CRW_SST|2018-03-27 12:00:00,12.9243751135069,2018-03-27T12:00:00Z
CRW_SST|2018-03-28 12:00:00,12.972500206480673,2018-03-28T12:00:00Z
CRW_SST|2018-03-29 12:00:00,13.384750514454558,2018-03-29T12:00:00Z
CRW_SST|2018-03-30 12:00:00,13.610000485590096,2018-03-30T12:00:00Z
CRW_SST|2018-03-31 12:00:00,12.793375936747669,2018-03-31T12:00:00Z
CRW_SST|2018-04-01 12:00:00,13.43487504196162,2018-04-01T12:00:00Z
CRW_SST|2018-04-02 12:00:00,13.656374749751897,2018-04-02T12:00:00Z
CRW_SST|2018-04-03 12:00:00,13.418874589851113,2018-04-03T12:00:00Z
CRW_SST|2018-04-04 12:00:00,12.991374526061051,2018-04-04T12:00:00Z
CRW_SST|2018-04-05 12:00:00,13.337625427696416,2018-04-05T12:00:00Z
CRW_SST|2018-04-06 12:00:00,13.525625972958723,2018-04-06T12:00:00Z
CRW_SST|2018-04-07 12:00:00,13.960874867220172,2018-04-07T12:00:00Z
CRW_SST|2018-04-08 12:00:00,13.902124818023466,2018-04-08T12:00:00Z
