lyr,mean,time
CRW_SST|2020-01-01 12:00:00,13.460678704991569,2020-01-01T12:00:00Z
CRW_SST|2020-01-02 12:00:00,13.376050912451413,2020-01-02T12:00:00Z
CRW_SST|2020-01-03 12:00:00,13.39862359843076,2020-01-03T12:00:00Z
CRW_SST|2020-01-04 12:00:00,13.266939411475052,2020-01-04T12:00:00Z
CRW_SST|2020-01-05 12:00:00,13.23912202235812,2020-01-05T12:00:00Z
CRW_SST|2020-01-06 12:00:00,13.2827770476978,2020-01-06T12:00:00Z
CRW_SST|2020-01-07 12:00:00,13.221466171921314,2020-01-07T12:00:00Z
CRW_SST|2020-01-08 12:00:00,12.930213997856054,2020-01-08T12:00:00Z
CRW_SST|2020-01-09 12:00:00,12.960566931585392,2020-01-09T12:00:00Z
CRW_SST|2020-01-10 12:00:00,12.951085906825877,2020-01-10T12:00:00Z
CRW_SST|2020-01-11 12:00:00,12.84859341585603,2020-01-11T12:00:00Z
CRW_SST|2020-01-12 12:00:00,12.828380110924861,2020-01-12T12:00:00Z
CRW_SST|2020-01-13 12:00:00,12.686135327654418,2020-01-13T12:00:00Z
CRW_SST|2020-01-14 12:00:00,12.549651405112563,2020-01-14T12:00:00Z
CRW_SST|2020-01-15 12:00:00,12.586791535544416,2020-01-15T12:00:00Z
CRW_SST|2020-01-16 12:00:00,12.493951685293283,2020-01-16T12:00:00Z
CRW_SST|2020-01-17 12:00:00,12.518217910535196,2020-01-17T12:00:00Z
CRW_SST|2020-01-18 12:00:00,12.410309743152034,2020-01-18T12:00:00Z
CRW_SST|2020-01-19 12:00:00,12.413687177856,2020-01-19T12:00:00Z
CRW_SST|2020-01-20 12:00:00,12.523562274087494,2020-01-20T12:00:00Z
CRW_SST|2020-01-21 12:00:00,12.469168683593635,2020-01-21T12:00:00Z
CRW_SST|2020-01-22 12:00:00,12.593695324864223,2020-01-22T12:00:00Z
CRW_SST|2020-01-23 12:00:00,12.569988501234263,2020-01-23T12:00:00Z
CRW_SST|2020-01-24 12:00:00,12.68775977262343,2020-01-24T12:00:00Z
CRW_SST|2020-01-25 12:00:00,12.74857636581115,2020-01-25T12:00:00Z
CRW_SST|2020-01-26 12:00:00,12.646302537089964,2020-01-26T12:00:00Z
CRW_SST|2020-01-27 12:00:00,12.77883315008421,2020-01-27T12:00:00Z
CRW_SST|2020-01-28 12:00:00,12.70582891449762,2020-01-28T12:00:00Z
CRW_SST|2020-01-29 12:00:00,12.66989673492391,2020-01-29T12:00:00Z
CRW_SST|2020-01-30 12:00:00,12.493724052117273,2020-01-30T12:00:00Z
CRW_SST|2020-01-31 12:00:00,12.303313544892099,2020-01-31T12:00:00Z
CRW_SST|2020-02-01 12:00:00,12.752147064093569,2020-02-01T12:00:00Z
CRW_SST|2020-02-02 12:00:00,12.604566695122816,2020-02-02T12:00:00Z
CRW_SST|2020-02-03 12:00:00,12.36480663780047,2020-02-03T12:00:00Z
CRW_SST|2020-02-04 12:00:00,12.138573593453462,2020-02-04T12:00:00Z
