lyr,mean,time
CRW_SST|1993-01-01 12:00:00,13.822831476932002,1993-01-01T12:00:00Z
CRW_SST|1993-01-02 12:00:00,13.410669824041848,1993-01-02T12:00:00Z
CRW_SST|1993-01-03 12:00:00,13.062608277284587,1993-01-03T12:00:00Z
CRW_SST|1993-01-04 12:00:00,12.913945003568648,1993-01-04T12:00:00Z
CRW_SST|1993-01-05 12:00:00,12.645164719034609,1993-01-05T12:00:00Z
CRW_SST|1993-01-06 12:00:00,12.61873036858109,1993-01-06T12:00:00Z
CRW_SST|1993-01-07 12:00:00,12.857869581591052,1993-01-07T12:00:00Z
CRW_SST|1993-01-08 12:00:00,12.836654519564826,1993-01-08T12:00:00Z
CRW_SST|1993-01-09 12:00:00,12.858001811881637,1993-01-09T12:00:00Z
CRW_SST|1993-01-10 12:00:00,12.708780906267531,1993-01-10T12:00:00Z
CRW_SST|1993-01-11 12:00:00,12.661420152655683,1993-01-11T12:00:00Z
CRW_SST|1993-01-12 12:00:00,12.825106143669329,1993-01-12T12:00:00Z
CRW_SST|1993-01-13 12:00:00,12.965224504246077,1993-01-13T12:00:00Z
CRW_SST|1993-01-14 12:00:00,12.978063644450728,1993-01-14T12:00:00Z
CRW_SST|1993-01-15 12:00:00,12.674517804437974,1993-01-15T12:00:00Z
CRW_SST|1993-01-16 12:00:00,12.77609261634857,1993-01-16T12:00:00Z
CRW_SST|1993-01-17 12:00:00,12.875731459591693,1993-01-17T12:00:00Z
CRW_SST|1993-01-18 12:00:00,13.10777790725895,1993-01-18T12:00:00Z
CRW_SST|1993-01-19 12:00:00,12.970586006279486,1993-01-19T12:00:00Z
CRW_SST|1993-01-20 12:00:00,12.858457871615979,1993-01-20T12:00:00Z
CRW_SST|1993-01-21 12:00:00,12.850608739307386,1993-01-21T12:00:00Z
CRW_SST|1993-01-22 12:00:00,13.109791606202048,1993-01-22T12:00:00Z
CRW_SST|1993-01-23 12:00:00,13.043406642613446,1993-01-23T12:00:00Z
CRW_SST|1993-01-24 12:00:00,13.260518636108015,1993-01-24T12:00:00Z
CRW_SST|1993-01-25 12:00:00,13.000363404872402,1993-01-25T12:00:00Z
CRW_SST|1993-01-26 12:00:00,13.145226043858344,1993-01-26T12:00:00Z
CRW_SST|1993-01-27 12:00:00,13.44536159583932,1993-01-27T12:00:00Z
CRW_SST|1993-01-28 12:00:00,13.042772166182974,1993-01-28T12:00:00Z
CRW_SST|1993-01-29 12:00:00,12.850069132479119,1993-01-29T12:00:00Z
CRW_SST|1993-01-30 12:00:00,12.936309864506972,1993-01-30T12:00:00Z
CRW_SST|1993-01-31 12:00:00,12.800597152917264,1993-01-31T12:00:00Z
CRW_SST|1993-02-01 12:00:00,12.938643489822285,1993-02-01T12:00:00Z
CRW_SST|1993-02-02 12:00:00,12.857136321199306,1993-02-02T12:00:00Z
CRW_SST|1993-02-03 12:00:00,12.889755684192192,1993-02-03T12:00:00Z
CRW_SST|1993-02-04 12:00:00,12.649278281467215,1993-02-04T12:00:00Z
CRW_SST|1993-02-05 12:00:00,12.71205768047401,1993-02-05T12:00:00Z
CRW_SST|1993-02-06 12:00:00,12.771011449772232,1993-02-06T12:00:00Z
CRW_SST|1993-02-07 12:00:00,12.823051031911346,1993-02-07T12:00:00Z
CRW_SST|1993-02-08 12:00:00,13.252151213609784,1993-02-08T12:00:00Z
CRW_SST|1993-02-09 12:00:00,13.237398974901378,1993-02-09T12:00:00Z
CRW_SST|1993-02-10 12:00:00,13.210634997724126,1993-02-10T12:00:00Z
CRW_SST|1993-02-11 12:00:00,13.293810304983309,1993-02-11T12:00:00Z
CRW_SST|1993-02-12 12:00:00,13.385962424777327,1993-02-12T12:00:00Z
CRW_SST|1993-02-13 12:00:00,13.241069291626758,1993-02-13T12:00:00Z
CRW_SST|1993-02-14 12:00:00,13.304466782565207,1993-02-14T12:00:00Z
CRW_SST|1993-02-15 12:00:00,13.296978411999815,1993-02-15T12:00:00Z
CRW_SST|1993-02-16 12:00:00,13.568835824384863,1993-02-16T12:00:00Z
CRW_SST|1993-02-17 12:00:00,13.377714494027812,1993-02-17T12:00:00Z
CRW_SST|1993-02-18 12:00:00,13.071120351072437,1993-02-18T12:00:00Z
CRW_SST|1993-02-19 12:00:00,13.217906884497035,1993-02-19T12:00:00Z
CRW_SST|1993-02-20 12:00:00,13.053519212255605,1993-02-20T12:00:00Z
CRW_SST|1993-02-21 12:00:00,13.18745705814696,1993-02-21T12:00:00Z
CRW_SST|1993-02-22 12:00:00,13.100889218370256,1993-02-22T12:00:00Z
CRW_SST|1993-02-23 12:00:00,13.091593311738926,1993-02-23T12:00:00Z
CRW_SST|1993-02-24 12:00:00,12.977456942208875,1993-02-24T12:00:00Z
CRW_SST|1993-02-25 12:00:00,12.882931692713484,1993-02-25T12:00:00Z
CRW_SST|1993-02-26 12:00:00,12.968980944634755,1993-02-26T12:00:00Z
CRW_SST|1993-02-27 12:00:00,13.184726517131647,1993-02-27T12:00:00Z
CRW_SST|1993-02-28 12:00:00,12.929736785342495,1993-02-28T12:00:00Z
CRW_SST|1993-03-01 12:00:00,12.845864941687942,1993-03-01T12:00:00Z
CRW_SST|1993-03-02 12:00:00,13.131634534647583,1993-03-02T12:00:00Z
CRW_SST|1993-03-03 12:00:00,13.17404745440279,1993-03-03T12:00:00Z
CRW_SST|1993-03-04 12:00:00,13.103494346840936,1993-03-04T12:00:00Z
CRW_SST|1993-03-05 12:00:00,13.170406306072334,1993-03-05T12:00:00Z
CRW_SST|1993-03-06 12:00:00,13.121912478200082,1993-03-06T12:00:00Z
CRW_SST|1993-03-07 12:00:00,13.395923956984959,1993-03-07T12:00:00Z
CRW_SST|1993-03-08 12:00:00,13.65321249143258,1993-03-08T12:00:00Z
CRW_SST|1993-03-09 12:00:00,13.576714013559332,1993-03-09T12:00:00Z
CRW_SST|1993-03-10 12:00:00,13.143516309496018,1993-03-10T12:00:00Z
CRW_SST|1993-03-11 12:00:00,12.930058235935263,1993-03-11T12:00:00Z
CRW_SST|1993-03-12 12:00:00,12.97887290283267,1993-03-12T12:00:00Z
CRW_SST|1993-03-13 12:00:00,12.821183470183641,1993-03-13T12:00:00Z
CRW_SST|1993-03-14 12:00:00,12.939468818796605,1993-03-14T12:00:00Z
CRW_SST|1993-03-15 12:00:00,12.925421524136425,1993-03-15T12:00:00Z
CRW_SST|1993-03-16 12:00:00,13.200879286309346,1993-03-16T12:00:00Z
CRW_SST|1993-03-17 12:00:00,13.6230751357813,1993-03-17T12:00:00Z
CRW_SST|1993-03-18 12:00:00,13.831026844659016,1993-03-18T12:00:00Z
CRW_SST|1993-03-19 12:00:00,14.17817308034866,1993-03-19T12:00:00Z
CRW_SST|1993-03-20 12:00:00,13.492926527750308,1993-03-20T12:00:00Z
CRW_SST|1993-03-21 12:00:00,13.392028725555477,1993-03-21T12:00:00Z
CRW_SST|1993-03-22 12:00:00,13.532960204454374,1993-03-22T12:00:00Z
CRW_SST|1993-03-23 12:00:00,13.87031593774958,1993-03-23T12:00:00Z
CRW_SST|1993-03-24 12:00:00,13.978577849919818,1993-03-24T12:00:00Z
CRW_SST|1993-03-25 12:00:00,13.897351800887616,1993-03-25T12:00:00Z
CRW_SST|1993-03-26 12:00:00,13.828499299034046,1993-03-26T12:00:00Z
CRW_SST|1993-03-27 12:00:00,13.439090632486309,1993-03-27T12:00:00Z
CRW_SST|1993-03-28 12:00:00,13.239238134163203,1993-03-28T12:00:00Z
CRW_SST|1993-03-29 12:00:00,13.037362759219466,1993-03-29T12:00:00Z
CRW_SST|1993-03-30 12:00:00,13.173410595767885,1993-03-30T12:00:00Z
CRW_SST|1993-03-31 12:00:00,13.596080416408098,1993-03-31T12:00:00Z
CRW_SST|1993-04-01 12:00:00,13.707451671171263,1993-04-01T12:00:00Z
CRW_SST|1993-04-02 12:00:00,13.427870949660837,1993-04-02T12:00:00Z
CRW_SST|1993-04-03 12:00:00,13.479670730869907,1993-04-03T12:00:00Z
CRW_SST|1993-04-04 12:00:00,13.101460004454502,1993-04-04T12:00:00Z
CRW_SST|1993-04-05 12:00:00,13.252417363752373,1993-04-05T12:00:00Z
CRW_SST|1993-04-06 12:00:00,13.575126882534185,1993-04-06T12:00:00Z
CRW_SST|1993-04-07 12:00:00,13.620248469122886,1993-04-07T12:00:00Z
CRW_SST|1993-04-08 12:00:00,13.589021000712604,1993-04-08T12:00:00Z
CRW_SST|1993-04-09 12:00:00,13.425006108331402,1993-04-09T12:00:00Z
CRW_SST|1993-04-10 12:00:00,13.117206761207395,1993-04-10T12:00:00Z
CRW_SST|1993-04-11 12:00:00,12.820904184060568,1993-04-11T12:00:00Z
CRW_SST|1993-04-12 12:00:00,12.696228284254067,1993-04-12T12:00:00Z
CRW_SST|1993-04-13 12:00:00,12.454155652574071,1993-04-13T12:00:00Z
CRW_SST|1993-04-14 12:00:00,12.565131998199494,1993-04-14T12:00:00Z
CRW_SST|1993-04-15 12:00:00,12.222101900164322,1993-04-15T12:00:00Z
CRW_SST|1993-04-16 12:00:00,12.340630660349412,1993-04-16T12:00:00Z
CRW_SST|1993-04-17 12:00:00,12.34015250783141,1993-04-17T12:00:00Z
CRW_SST|1993-04-18 12:00:00,12.188616299374067,1993-04-18T12:00:00Z
CRW_SST|1993-04-19 12:00:00,12.176871704842664,1993-04-19T12:00:00Z
CRW_SST|1993-04-20 12:00:00,12.148731940301548,1993-04-20T12:00:00Z
CRW_SST|1993-04-21 12:00:00,12.090029764953025,1993-04-21T12:00:00Z
CRW_SST|1993-04-22 12:00:00,11.970764327821495,1993-04-22T12:00:00Z
CRW_SST|1993-04-23 12:00:00,12.343656553649565,1993-04-23T12:00:00Z
CRW_SST|1993-04-24 12:00:00,12.593133046015774,1993-04-24T12:00:00Z
CRW_SST|1993-04-25 12:00:00,12.736826522425613,1993-04-25T12:00:00Z
CRW_SST|1993-04-26 12:00:00,12.433409100741706,1993-04-26T12:00:00Z
CRW_SST|1993-04-27 12:00:00,12.355530547234064,1993-04-27T12:00:00Z
CRW_SST|1993-04-28 12:00:00,12.396932888590943,1993-04-28T12:00:00Z
CRW_SST|1993-04-29 12:00:00,11.649618886662951,1993-04-29T12:00:00Z
CRW_SST|1993-04-30 12:00:00,11.737309571448824,1993-04-30T12:00:00Z
CRW_SST|1993-05-01 12:00:00,11.742887689461412,1993-05-01T12:00:00Z
CRW_SST|1993-05-02 12:00:00,11.70570324729899,1993-05-02T12:00:00Z
CRW_SST|1993-05-03 12:00:00,11.733958519730956,1993-05-03T12:00:00Z
