lyr,mean,time
CRW_SST|2002-01-01 12:00:00,28.948518605470337,2002-01-01T12:00:00Z
CRW_SST|2002-01-02 12:00:00,28.970155000663265,2002-01-02T12:00:00Z
CRW_SST|2002-01-03 12:00:00,29.11227616606079,2002-01-03T12:00:00Z
CRW_SST|2002-01-04 12:00:00,29.562374036807476,2002-01-04T12:00:00Z
CRW_SST|2002-01-05 12:00:00,29.567883792699273,2002-01-05T12:00:00Z
CRW_SST|2002-01-06 12:00:00,29.330075004687444,2002-01-06T12:00:00Z
CRW_SST|2002-01-07 12:00:00,28.950264360483978,2002-01-07T12:00:00Z
CRW_SST|2002-01-08 12:00:00,29.01853646825013,2002-01-08T12:00:00Z
CRW_SST|2002-01-09 12:00:00,29.047404553002348,2002-01-09T12:00:00Z
CRW_SST|2002-01-10 12:00:00,29.26197023687323,2002-01-10T12:00:00Z
CRW_SST|2002-01-11 12:00:00,29.3100093591803,2002-01-11T12:00:00Z
CRW_SST|2002-01-12 12:00:00,29.239578043475234,2002-01-12T12:00:00Z
CRW_SST|2002-01-13 12:00:00,29.4119294085426,2002-01-13T12:00:00Z
CRW_SST|2002-01-14 12:00:00,29.37979206173191,2002-01-14T12:00:00Z
CRW_SST|2002-01-15 12:00:00,29.397051095290422,2002-01-15T12:00:00Z
CRW_SST|2002-01-16 12:00:00,29.307888809561657,2002-01-16T12:00:00Z
CRW_SST|2002-01-17 12:00:00,29.22638659589913,2002-01-17T12:00:00Z
CRW_SST|2002-01-18 12:00:00,28.882658715281647,2002-01-18T12:00:00Z
CRW_SST|2002-01-19 12:00:00,29.188821713182637,2002-01-19T12:00:00Z
CRW_SST|2002-01-20 12:00:00,29.24364998294609,2002-01-20T12:00:00Z
CRW_SST|2002-01-21 12:00:00,29.18750749896787,2002-01-21T12:00:00Z
CRW_SST|2002-01-22 12:00:00,29.15520878964799,2002-01-22T12:00:00Z
CRW_SST|2002-01-23 12:00:00,29.18482673610948,2002-01-23T12:00:00Z
CRW_SST|2002-01-24 12:00:00,29.15582318940776,2002-01-24T12:00:00Z
CRW_SST|2002-01-25 12:00:00,29.010866171889315,2002-01-25T12:00:00Z
CRW_SST|2002-01-26 12:00:00,28.93104502161868,2002-01-26T12:00:00Z
CRW_SST|2002-01-27 12:00:00,29.113756138102694,2002-01-27T12:00:00Z
CRW_SST|2002-01-28 12:00:00,29.13208507634006,2002-01-28T12:00:00Z
CRW_SST|2002-01-29 12:00:00,29.17360270640301,2002-01-29T12:00:00Z
CRW_SST|2002-01-30 12:00:00,29.289818969581756,2002-01-30T12:00:00Z
CRW_SST|2002-01-31 12:00:00,29.274874154784925,2002-01-31T12:00:00Z
CRW_SST|2002-02-01 12:00:00,29.245197590760586,2002-02-01T12:00:00Z
CRW_SST|2002-02-02 12:00:00,29.160732600601758,2002-02-02T12:00:00Z
CRW_SST|2002-02-03 12:00:00,29.138589659566875,2002-02-03T12:00:00Z
CRW_SST|2002-02-04 12:00:00,29.01360386446379,2002-02-04T12:00:00Z
CRW_SST|2002-02-05 12:00:00,29.355011015876077,2002-02-05T12:00:00Z
CRW_SST|2002-02-06 12:00:00,29.448450405143003,2002-02-06T12:00:00Z
CRW_SST|2002-02-07 12:00:00,29.491648488090075,2002-02-07T12:00:00Z
CRW_SST|2002-02-08 12:00:00,29.503743751646383,2002-02-08T12:00:00Z
CRW_SST|2002-02-09 12:00:00,29.191846512194626,2002-02-09T12:00:00Z
CRW_SST|2002-02-10 12:00:00,29.568709336293743,2002-02-10T12:00:00Z
CRW_SST|2002-02-11 12:00:00,29.61091833034877,2002-02-11T12:00:00Z
CRW_SST|2002-02-12 12:00:00,29.659135837224916,2002-02-12T12:00:00Z
CRW_SST|2002-02-13 12:00:00,29.68727134701065,2002-02-13T12:00:00Z
CRW_SST|2002-02-14 12:00:00,29.692041515853774,2002-02-14T12:00:00Z
CRW_SST|2002-02-15 12:00:00,29.657241721964404,2002-02-15T12:00:00Z
CRW_SST|2002-02-16 12:00:00,29.496113648481707,2002-02-16T12:00:00Z
CRW_SST|2002-02-17 12:00:00,29.53430680261173,2002-02-17T12:00:00Z
CRW_SST|2002-02-18 12:00:00,29.516940608432268,2002-02-18T12:00:00Z
CRW_SST|2002-02-19 12:00:00,29.412847209949664,2002-02-19T12:00:00Z
CRW_SST|2002-02-20 12:00:00,29.583288971420956,2002-02-20T12:00:00Z
CRW_SST|2002-02-21 12:00:00,29.62048910588188,2002-02-21T12:00:00Z
CRW_SST|2002-02-22 12:00:00,29.61080735298321,2002-02-22T12:00:00Z
CRW_SST|2002-02-23 12:00:00,29.54175589714067,2002-02-23T12:00:00Z
CRW_SST|2002-02-24 12:00:00,29.498566969121484,2002-02-24T12:00:00Z
CRW_SST|2002-02-25 12:00:00,29.545379948636203,2002-02-25T12:00:00Z
CRW_SST|2002-02-26 12:00:00,29.641791628195843,2002-02-26T12:00:00Z
CRW_SST|2002-02-27 12:00:00,29.642228795856305,2002-02-27T12:00:00Z
CRW_SST|2002-02-28 12:00:00,29.614547184685335,2002-02-28T12:00:00Z
CRW_SST|2002-03-01 12:00:00,29.6508389158977,2002-03-01T12:00:00Z
CRW_SST|2002-03-02 12:00:00,29.74336998294185,2002-03-02T12:00:00Z
CRW_SST|2002-03-03 12:00:00,29.64993405534585,2002-03-03T12:00:00Z
CRW_SST|2002-03-04 12:00:00,29.58424374147791,2002-03-04T12:00:00Z
CRW_SST|2002-03-05 12:00:00,29.674960373775225,2002-03-05T12:00:00Z
CRW_SST|2002-03-06 12:00:00,29.67573024034079,2002-03-06T12:00:00Z
CRW_SST|2002-03-07 12:00:00,29.648994693333265,2002-03-07T12:00:00Z
CRW_SST|2002-03-08 12:00:00,29.702976825637073,2002-03-08T12:00:00Z
CRW_SST|2002-03-09 12:00:00,29.617916326081293,2002-03-09T12:00:00Z
CRW_SST|2002-03-10 12:00:00,30.272098644007528,2002-03-10T12:00:00Z
CRW_SST|2002-03-11 12:00:00,30.20685843912914,2002-03-11T12:00:00Z
CRW_SST|2002-03-12 12:00:00,30.35255595990724,2002-03-12T12:00:00Z
CRW_SST|2002-03-13 12:00:00,30.368537250037907,2002-03-13T12:00:00Z
CRW_SST|2002-03-14 12:00:00,30.46447776244801,2002-03-14T12:00:00Z
CRW_SST|2002-03-15 12:00:00,30.372548859562052,2002-03-15T12:00:00Z
CRW_SST|2002-03-16 12:00:00,30.38274342844698,2002-03-16T12:00:00Z
CRW_SST|2002-03-17 12:00:00,30.28216480756001,2002-03-17T12:00:00Z
CRW_SST|2002-03-18 12:00:00,30.10777125291574,2002-03-18T12:00:00Z
CRW_SST|2002-03-19 12:00:00,29.736218867121437,2002-03-19T12:00:00Z
CRW_SST|2002-03-20 12:00:00,29.766555689969636,2002-03-20T12:00:00Z
CRW_SST|2002-03-21 12:00:00,29.8749519309422,2002-03-21T12:00:00Z
CRW_SST|2002-03-22 12:00:00,29.922137157665553,2002-03-22T12:00:00Z
CRW_SST|2002-03-23 12:00:00,29.86561664864633,2002-03-23T12:00:00Z
CRW_SST|2002-03-24 12:00:00,29.771875589246044,2002-03-24T12:00:00Z
CRW_SST|2002-03-25 12:00:00,29.734157563288818,2002-03-25T12:00:00Z
CRW_SST|2002-03-26 12:00:00,29.67899176850027,2002-03-26T12:00:00Z
CRW_SST|2002-03-27 12:00:00,29.849963185864468,2002-03-27T12:00:00Z
CRW_SST|2002-03-28 12:00:00,29.79831683125533,2002-03-28T12:00:00Z
CRW_SST|2002-03-29 12:00:00,29.751728270504614,2002-03-29T12:00:00Z
CRW_SST|2002-03-30 12:00:00,29.656040891017007,2002-03-30T12:00:00Z
CRW_SST|2002-03-31 12:00:00,29.632561016829197,2002-03-31T12:00:00Z
CRW_SST|2002-04-01 12:00:00,29.757126306015685,2002-04-01T12:00:00Z
CRW_SST|2002-04-02 12:00:00,29.785116069515503,2002-04-02T12:00:00Z
CRW_SST|2002-04-03 12:00:00,29.68565011413958,2002-04-03T12:00:00Z
CRW_SST|2002-04-04 12:00:00,29.888987937712002,2002-04-04T12:00:00Z
CRW_SST|2002-04-05 12:00:00,29.48898572837333,2002-04-05T12:00:00Z
CRW_SST|2002-04-06 12:00:00,29.525730951616993,2002-04-06T12:00:00Z
CRW_SST|2002-04-07 12:00:00,29.458249497225562,2002-04-07T12:00:00Z
CRW_SST|2002-04-08 12:00:00,29.599066538393355,2002-04-08T12:00:00Z
CRW_SST|2002-04-09 12:00:00,29.578057034953577,2002-04-09T12:00:00Z
CRW_SST|2002-04-10 12:00:00,29.679296527199515,2002-04-10T12:00:00Z
CRW_SST|2002-04-11 12:00:00,29.681624158447978,2002-04-11T12:00:00Z
CRW_SST|2002-04-12 12:00:00,29.667403593340904,2002-04-12T12:00:00Z
CRW_SST|2002-04-13 12:00:00,29.622621141262357,2002-04-13T12:00:00Z
CRW_SST|2002-04-14 12:00:00,29.58056515911308,2002-04-14T12:00:00Z
CRW_SST|2002-04-15 12:00:00,29.65459079156796,2002-04-15T12:00:00Z
CRW_SST|2002-04-16 12:00:00,29.699122692170494,2002-04-16T12:00:00Z
CRW_SST|2002-04-17 12:00:00,29.674037599776494,2002-04-17T12:00:00Z
CRW_SST|2002-04-18 12:00:00,29.679825164900876,2002-04-18T12:00:00Z
CRW_SST|2002-04-19 12:00:00,29.704505883543007,2002-04-19T12:00:00Z
CRW_SST|2002-04-20 12:00:00,29.707761456321954,2002-04-20T12:00:00Z
CRW_SST|2002-04-21 12:00:00,29.369102202768435,2002-04-21T12:00:00Z
CRW_SST|2002-04-22 12:00:00,29.336056214402284,2002-04-22T12:00:00Z
CRW_SST|2002-04-23 12:00:00,28.87608323217205,2002-04-23T12:00:00Z
CRW_SST|2002-04-24 12:00:00,28.824302810940427,2002-04-24T12:00:00Z
CRW_SST|2002-04-25 12:00:00,28.85271614545327,2002-04-25T12:00:00Z
CRW_SST|2002-04-26 12:00:00,28.849416269687115,2002-04-26T12:00:00Z
CRW_SST|2002-04-27 12:00:00,28.981466619114975,2002-04-27T12:00:00Z
CRW_SST|2002-04-28 12:00:00,29.10650897658521,2002-04-28T12:00:00Z
CRW_SST|2002-04-29 12:00:00,29.1200286033651,2002-04-29T12:00:00Z
CRW_SST|2002-04-30 12:00:00,29.048668763817,2002-04-30T12:00:00Z
CRW_SST|2002-05-01 12:00:00,29.270670141173696,2002-05-01T12:00:00Z
CRW_SST|2002-05-02 12:00:00,29.307309579734653,2002-05-02T12:00:00Z
CRW_SST|2002-05-03 12:00:00,29.159438789911786,2002-05-03T12:00:00Z
CRW_SST|2002-05-04 12:00:00,28.897600054209516,2002-05-04T12:00:00Z
CRW_SST|2002-05-05 12:00:00,28.711276662270603,2002-05-05T12:00:00Z
CRW_SST|2002-05-06 12:00:00,28.774174662439105,2002-05-06T12:00:00Z
CRW_SST|2002-05-07 12:00:00,28.637033546767366,2002-05-07T12:00:00Z
CRW_SST|2002-05-08 12:00:00,28.67475403980813,2002-05-08T12:00:00Z
CRW_SST|2002-05-09 12:00:00,29.07507982181719,2002-05-09T12:00:00Z
CRW_SST|2002-05-10 12:00:00,29.032212056351227,2002-05-10T12:00:00Z
CRW_SST|2002-05-11 12:00:00,29.322221491041617,2002-05-11T12:00:00Z
CRW_SST|2002-05-12 12:00:00,29.444793644092158,2002-05-12T12:00:00Z
CRW_SST|2002-05-13 12:00:00,29.848368749191973,2002-05-13T12:00:00Z
CRW_SST|2002-05-14 12:00:00,29.56912172698926,2002-05-14T12:00:00Z
CRW_SST|2002-05-15 12:00:00,29.46760644040137,2002-05-15T12:00:00Z
CRW_SST|2002-05-16 12:00:00,29.044747442903628,2002-05-16T12:00:00Z
CRW_SST|2002-05-17 12:00:00,29.05484764406679,2002-05-17T12:00:00Z
CRW_SST|2002-05-18 12:00:00,29.06791700760507,2002-05-18T12:00:00Z
CRW_SST|2002-05-19 12:00:00,28.808914794406427,2002-05-19T12:00:00Z
CRW_SST|2002-05-20 12:00:00,29.00040990207466,2002-05-20T12:00:00Z
CRW_SST|2002-05-21 12:00:00,28.91846563202042,2002-05-21T12:00:00Z
CRW_SST|2002-05-22 12:00:00,28.952024674266866,2002-05-22T12:00:00Z
CRW_SST|2002-05-23 12:00:00,28.7477188499726,2002-05-23T12:00:00Z
CRW_SST|2002-05-24 12:00:00,28.738046975045197,2002-05-24T12:00:00Z
CRW_SST|2002-05-25 12:00:00,28.387389208973968,2002-05-25T12:00:00Z
CRW_SST|2002-05-26 12:00:00,28.535686389028903,2002-05-26T12:00:00Z
CRW_SST|2002-05-27 12:00:00,28.54333881292795,2002-05-27T12:00:00Z
CRW_SST|2002-05-28 12:00:00,28.71093569336742,2002-05-28T12:00:00Z
CRW_SST|2002-05-29 12:00:00,28.604238416312743,2002-05-29T12:00:00Z
CRW_SST|2002-05-30 12:00:00,28.782664957197674,2002-05-30T12:00:00Z
CRW_SST|2002-05-31 12:00:00,28.741673626238292,2002-05-31T12:00:00Z
CRW_SST|2002-06-01 12:00:00,28.55728764413172,2002-06-01T12:00:00Z
CRW_SST|2002-06-02 12:00:00,28.538940231023528,2002-06-02T12:00:00Z
CRW_SST|2002-06-03 12:00:00,28.644887003642687,2002-06-03T12:00:00Z
CRW_SST|2002-06-04 12:00:00,28.664241513546994,2002-06-04T12:00:00Z
CRW_SST|2002-06-05 12:00:00,28.71487815919122,2002-06-05T12:00:00Z
CRW_SST|2002-06-06 12:00:00,28.78238040418096,2002-06-06T12:00:00Z
CRW_SST|2002-06-07 12:00:00,28.679724369032286,2002-06-07T12:00:00Z
CRW_SST|2002-06-08 12:00:00,28.38584828900391,2002-06-08T12:00:00Z
CRW_SST|2002-06-09 12:00:00,28.38042295020963,2002-06-09T12:00:00Z
CRW_SST|2002-06-10 12:00:00,28.42530530960719,2002-06-10T12:00:00Z
CRW_SST|2002-06-11 12:00:00,28.445051727260328,2002-06-11T12:00:00Z
CRW_SST|2002-06-12 12:00:00,28.480455652504695,2002-06-12T12:00:00Z
CRW_SST|2002-06-13 12:00:00,28.430271323261973,2002-06-13T12:00:00Z
CRW_SST|2002-06-14 12:00:00,28.434575697219966,2002-06-14T12:00:00Z
CRW_SST|2002-06-15 12:00:00,28.367225217308995,2002-06-15T12:00:00Z
CRW_SST|2002-06-16 12:00:00,28.06751462159918,2002-06-16T12:00:00Z
CRW_SST|2002-06-17 12:00:00,28.344712994090166,2002-06-17T12:00:00Z
CRW_SST|2002-06-18 12:00:00,28.472843048701417,2002-06-18T12:00:00Z
CRW_SST|2002-06-19 12:00:00,28.53184520290864,2002-06-19T12:00:00Z
CRW_SST|2002-06-20 12:00:00,28.4220293376232,2002-06-20T12:00:00Z
CRW_SST|2002-06-21 12:00:00,28.26062687429981,2002-06-21T12:00:00Z
CRW_SST|2002-06-22 12:00:00,28.25059564380911,2002-06-22T12:00:00Z
CRW_SST|2002-06-23 12:00:00,28.20588452227629,2002-06-23T12:00:00Z
CRW_SST|2002-06-24 12:00:00,27.964573235817266,2002-06-24T12:00:00Z
CRW_SST|2002-06-25 12:00:00,27.63296812959449,2002-06-25T12:00:00Z
CRW_SST|2002-06-26 12:00:00,27.541376944500687,2002-06-26T12:00:00Z
CRW_SST|2002-06-27 12:00:00,27.49594515378873,2002-06-27T12:00:00Z
CRW_SST|2002-06-28 12:00:00,27.754549829537822,2002-06-28T12:00:00Z
CRW_SST|2002-06-29 12:00:00,27.957330192495778,2002-06-29T12:00:00Z
CRW_SST|2002-06-30 12:00:00,27.976317575844806,2002-06-30T12:00:00Z
CRW_SST|2002-07-01 12:00:00,27.95784561743387,2002-07-01T12:00:00Z
CRW_SST|2002-07-02 12:00:00,27.56786648737841,2002-07-02T12:00:00Z
CRW_SST|2002-07-03 12:00:00,27.74028847388903,2002-07-03T12:00:00Z
CRW_SST|2002-07-04 12:00:00,27.88842378259982,2002-07-04T12:00:00Z
CRW_SST|2002-07-05 12:00:00,27.88223528154132,2002-07-05T12:00:00Z
CRW_SST|2002-07-06 12:00:00,27.895081546346148,2002-07-06T12:00:00Z
CRW_SST|2002-07-07 12:00:00,27.973597091770557,2002-07-07T12:00:00Z
CRW_SST|2002-07-08 12:00:00,28.2168494046273,2002-07-08T12:00:00Z
CRW_SST|2002-07-09 12:00:00,28.222453878835996,2002-07-09T12:00:00Z
CRW_SST|2002-07-10 12:00:00,28.373539435500224,2002-07-10T12:00:00Z
CRW_SST|2002-07-11 12:00:00,28.349959833652402,2002-07-11T12:00:00Z
CRW_SST|2002-07-12 12:00:00,28.348781259444944,2002-07-12T12:00:00Z
CRW_SST|2002-07-13 12:00:00,28.305410559085352,2002-07-13T12:00:00Z
CRW_SST|2002-07-14 12:00:00,28.222863281818977,2002-07-14T12:00:00Z
CRW_SST|2002-07-15 12:00:00,28.124732013106087,2002-07-15T12:00:00Z
CRW_SST|2002-07-16 12:00:00,27.977973986213733,2002-07-16T12:00:00Z
CRW_SST|2002-07-17 12:00:00,27.982370331051193,2002-07-17T12:00:00Z
CRW_SST|2002-07-18 12:00:00,28.120661164613384,2002-07-18T12:00:00Z
CRW_SST|2002-07-19 12:00:00,28.135695090658643,2002-07-19T12:00:00Z
CRW_SST|2002-07-20 12:00:00,28.123402501898806,2002-07-20T12:00:00Z
CRW_SST|2002-07-21 12:00:00,27.765235137006155,2002-07-21T12:00:00Z
CRW_SST|2002-07-22 12:00:00,27.530254300371592,2002-07-22T12:00:00Z
CRW_SST|2002-07-23 12:00:00,27.409270369927274,2002-07-23T12:00:00Z
CRW_SST|2002-07-24 12:00:00,27.33026633291043,2002-07-24T12:00:00Z
CRW_SST|2002-07-25 12:00:00,27.77663298024644,2002-07-25T12:00:00Z
CRW_SST|2002-07-26 12:00:00,27.721650475647884,2002-07-26T12:00:00Z
CRW_SST|2002-07-27 12:00:00,27.77480722294665,2002-07-27T12:00:00Z
CRW_SST|2002-07-28 12:00:00,27.57942901296087,2002-07-28T12:00:00Z
CRW_SST|2002-07-29 12:00:00,27.799620186785074,2002-07-29T12:00:00Z
CRW_SST|2002-07-30 12:00:00,27.88184221936804,2002-07-30T12:00:00Z
CRW_SST|2002-07-31 12:00:00,27.900506131028823,2002-07-31T12:00:00Z
CRW_SST|2002-08-01 12:00:00,27.867109266879826,2002-08-01T12:00:00Z
CRW_SST|2002-08-02 12:00:00,27.95191205987477,2002-08-02T12:00:00Z
CRW_SST|2002-08-03 12:00:00,27.58395838402595,2002-08-03T12:00:00Z
CRW_SST|2002-08-04 12:00:00,27.471288975467075,2002-08-04T12:00:00Z
CRW_SST|2002-08-05 12:00:00,27.35275745766264,2002-08-05T12:00:00Z
CRW_SST|2002-08-06 12:00:00,27.322790861964815,2002-08-06T12:00:00Z
CRW_SST|2002-08-07 12:00:00,27.20879097154985,2002-08-07T12:00:00Z
CRW_SST|2002-08-08 12:00:00,27.23793515102005,2002-08-08T12:00:00Z
CRW_SST|2002-08-09 12:00:00,27.249398126666886,2002-08-09T12:00:00Z
CRW_SST|2002-08-10 12:00:00,27.178968680638224,2002-08-10T12:00:00Z
CRW_SST|2002-08-11 12:00:00,27.195672105749306,2002-08-11T12:00:00Z
CRW_SST|2002-08-12 12:00:00,26.931495326179434,2002-08-12T12:00:00Z
CRW_SST|2002-08-13 12:00:00,26.925661945415168,2002-08-13T12:00:00Z
CRW_SST|2002-08-14 12:00:00,27.202472190174447,2002-08-14T12:00:00Z
CRW_SST|2002-08-15 12:00:00,27.45237269864814,2002-08-15T12:00:00Z
CRW_SST|2002-08-16 12:00:00,27.482847771139607,2002-08-16T12:00:00Z
CRW_SST|2002-08-17 12:00:00,27.828109485790602,2002-08-17T12:00:00Z
CRW_SST|2002-08-18 12:00:00,27.88054207572436,2002-08-18T12:00:00Z
CRW_SST|2002-08-19 12:00:00,27.827698104272724,2002-08-19T12:00:00Z
CRW_SST|2002-08-20 12:00:00,27.726491789959834,2002-08-20T12:00:00Z
CRW_SST|2002-08-21 12:00:00,27.636838054738902,2002-08-21T12:00:00Z
CRW_SST|2002-08-22 12:00:00,27.616549773753455,2002-08-22T12:00:00Z
CRW_SST|2002-08-23 12:00:00,27.422226061970942,2002-08-23T12:00:00Z
CRW_SST|2002-08-24 12:00:00,27.32660722201093,2002-08-24T12:00:00Z
CRW_SST|2002-08-25 12:00:00,27.233968908446965,2002-08-25T12:00:00Z
CRW_SST|2002-08-26 12:00:00,27.243202479864763,2002-08-26T12:00:00Z
CRW_SST|2002-08-27 12:00:00,27.224012163436818,2002-08-27T12:00:00Z
CRW_SST|2002-08-28 12:00:00,27.499092349436168,2002-08-28T12:00:00Z
CRW_SST|2002-08-29 12:00:00,27.401165139006565,2002-08-29T12:00:00Z
CRW_SST|2002-08-30 12:00:00,27.581895643856697,2002-08-30T12:00:00Z
CRW_SST|2002-08-31 12:00:00,27.622159132172598,2002-08-31T12:00:00Z
CRW_SST|2002-09-01 12:00:00,27.525943697847328,2002-09-01T12:00:00Z
CRW_SST|2002-09-02 12:00:00,27.30745974803454,2002-09-02T12:00:00Z
CRW_SST|2002-09-03 12:00:00,27.263057558136417,2002-09-03T12:00:00Z
CRW_SST|2002-09-04 12:00:00,27.30494780697998,2002-09-04T12:00:00Z
CRW_SST|2002-09-05 12:00:00,27.35860476368193,2002-09-05T12:00:00Z
CRW_SST|2002-09-06 12:00:00,27.29483793285888,2002-09-06T12:00:00Z
CRW_SST|2002-09-07 12:00:00,27.17838418537714,2002-09-07T12:00:00Z
CRW_SST|2002-09-08 12:00:00,26.86215407391353,2002-09-08T12:00:00Z
CRW_SST|2002-09-09 12:00:00,27.106989351548354,2002-09-09T12:00:00Z
CRW_SST|2002-09-10 12:00:00,27.80334099079455,2002-09-10T12:00:00Z
CRW_SST|2002-09-11 12:00:00,27.82423147856957,2002-09-11T12:00:00Z
CRW_SST|2002-09-12 12:00:00,27.93452120971662,2002-09-12T12:00:00Z
CRW_SST|2002-09-13 12:00:00,27.964325457142603,2002-09-13T12:00:00Z
CRW_SST|2002-09-14 12:00:00,27.796550774447606,2002-09-14T12:00:00Z
CRW_SST|2002-09-15 12:00:00,27.67594216224878,2002-09-15T12:00:00Z
CRW_SST|2002-09-16 12:00:00,27.23539912034756,2002-09-16T12:00:00Z
CRW_SST|2002-09-17 12:00:00,27.625026077494727,2002-09-17T12:00:00Z
CRW_SST|2002-09-18 12:00:00,27.740130007236473,2002-09-18T12:00:00Z
CRW_SST|2002-09-19 12:00:00,27.742136579698595,2002-09-19T12:00:00Z
CRW_SST|2002-09-20 12:00:00,27.701644453566743,2002-09-20T12:00:00Z
CRW_SST|2002-09-21 12:00:00,27.720056773607148,2002-09-21T12:00:00Z
CRW_SST|2002-09-22 12:00:00,27.66443165204112,2002-09-22T12:00:00Z
CRW_SST|2002-09-23 12:00:00,27.751796642692085,2002-09-23T12:00:00Z
CRW_SST|2002-09-24 12:00:00,27.6799990171027,2002-09-24T12:00:00Z
CRW_SST|2002-09-25 12:00:00,27.665334444029288,2002-09-25T12:00:00Z
CRW_SST|2002-09-26 12:00:00,27.5984089813652,2002-09-26T12:00:00Z
CRW_SST|2002-09-27 12:00:00,27.575086348125616,2002-09-27T12:00:00Z
CRW_SST|2002-09-28 12:00:00,27.38912305691487,2002-09-28T12:00:00Z
CRW_SST|2002-09-29 12:00:00,27.18107465607186,2002-09-29T12:00:00Z
CRW_SST|2002-09-30 12:00:00,27.229213569597295,2002-09-30T12:00:00Z
CRW_SST|2002-10-01 12:00:00,27.29640725634833,2002-10-01T12:00:00Z
CRW_SST|2002-10-02 12:00:00,27.452982107002804,2002-10-02T12:00:00Z
CRW_SST|2002-10-03 12:00:00,27.51760917983768,2002-10-03T12:00:00Z
CRW_SST|2002-10-04 12:00:00,27.81708369669319,2002-10-04T12:00:00Z
CRW_SST|2002-10-05 12:00:00,27.798480978844907,2002-10-05T12:00:00Z
CRW_SST|2002-10-06 12:00:00,27.868954227315403,2002-10-06T12:00:00Z
CRW_SST|2002-10-07 12:00:00,27.770599386882918,2002-10-07T12:00:00Z
CRW_SST|2002-10-08 12:00:00,27.825255289164513,2002-10-08T12:00:00Z
CRW_SST|2002-10-09 12:00:00,27.857080080934114,2002-10-09T12:00:00Z
CRW_SST|2002-10-10 12:00:00,27.938258059347497,2002-10-10T12:00:00Z
CRW_SST|2002-10-11 12:00:00,27.946997211369002,2002-10-11T12:00:00Z
CRW_SST|2002-10-12 12:00:00,27.846214056173572,2002-10-12T12:00:00Z
CRW_SST|2002-10-13 12:00:00,27.84344178185136,2002-10-13T12:00:00Z
CRW_SST|2002-10-14 12:00:00,27.87878200584563,2002-10-14T12:00:00Z
CRW_SST|2002-10-15 12:00:00,27.790858554872663,2002-10-15T12:00:00Z
CRW_SST|2002-10-16 12:00:00,27.2855917795697,2002-10-16T12:00:00Z
CRW_SST|2002-10-17 12:00:00,26.8184781898793,2002-10-17T12:00:00Z
CRW_SST|2002-10-18 12:00:00,26.76311036086077,2002-10-18T12:00:00Z
CRW_SST|2002-10-19 12:00:00,26.88131378167335,2002-10-19T12:00:00Z
CRW_SST|2002-10-20 12:00:00,27.457523861547504,2002-10-20T12:00:00Z
CRW_SST|2002-10-21 12:00:00,27.869072686511192,2002-10-21T12:00:00Z
CRW_SST|2002-10-22 12:00:00,27.525231168296752,2002-10-22T12:00:00Z
CRW_SST|2002-10-23 12:00:00,28.14261302584487,2002-10-23T12:00:00Z
CRW_SST|2002-10-24 12:00:00,28.29062621567185,2002-10-24T12:00:00Z
CRW_SST|2002-10-25 12:00:00,28.308094938318874,2002-10-25T12:00:00Z
CRW_SST|2002-10-26 12:00:00,28.604295663876613,2002-10-26T12:00:00Z
CRW_SST|2002-10-27 12:00:00,28.615378942124703,2002-10-27T12:00:00Z
CRW_SST|2002-10-28 12:00:00,28.679850561935996,2002-10-28T12:00:00Z
CRW_SST|2002-10-29 12:00:00,28.637929708658763,2002-10-29T12:00:00Z
CRW_SST|2002-10-30 12:00:00,28.61681660275567,2002-10-30T12:00:00Z
CRW_SST|2002-10-31 12:00:00,28.586218628964787,2002-10-31T12:00:00Z
CRW_SST|2002-11-01 12:00:00,28.260525117405237,2002-11-01T12:00:00Z
CRW_SST|2002-11-02 12:00:00,28.22263738563641,2002-11-02T12:00:00Z
CRW_SST|2002-11-03 12:00:00,28.33132114222017,2002-11-03T12:00:00Z
CRW_SST|2002-11-04 12:00:00,28.339307026991793,2002-11-04T12:00:00Z
CRW_SST|2002-11-05 12:00:00,28.740273121555248,2002-11-05T12:00:00Z
CRW_SST|2002-11-06 12:00:00,28.813139560268937,2002-11-06T12:00:00Z
CRW_SST|2002-11-07 12:00:00,28.8792298608157,2002-11-07T12:00:00Z
CRW_SST|2002-11-08 12:00:00,28.897413637605478,2002-11-08T12:00:00Z
CRW_SST|2002-11-09 12:00:00,28.834790206169483,2002-11-09T12:00:00Z
CRW_SST|2002-11-10 12:00:00,29.00732384043494,2002-11-10T12:00:00Z
CRW_SST|2002-11-11 12:00:00,29.008149087622343,2002-11-11T12:00:00Z
CRW_SST|2002-11-12 12:00:00,29.047961776865044,2002-11-12T12:00:00Z
CRW_SST|2002-11-13 12:00:00,29.221165766520418,2002-11-13T12:00:00Z
CRW_SST|2002-11-14 12:00:00,29.41167831797542,2002-11-14T12:00:00Z
CRW_SST|2002-11-15 12:00:00,29.453581348913804,2002-11-15T12:00:00Z
CRW_SST|2002-11-16 12:00:00,29.345434351483355,2002-11-16T12:00:00Z
CRW_SST|2002-11-17 12:00:00,29.24143871643401,2002-11-17T12:00:00Z
CRW_SST|2002-11-18 12:00:00,29.327993665338727,2002-11-18T12:00:00Z
