lyr,mean,time
CRW_SST|2010-01-01 12:00:00,8.583996158258135,2010-01-01T12:00:00Z
CRW_SST|2010-01-02 12:00:00,8.543339742652776,2010-01-02T12:00:00Z
CRW_SST|2010-01-03 12:00:00,8.470899604123215,2010-01-03T12:00:00Z
CRW_SST|2010-01-04 12:00:00,8.070796293527048,2010-01-04T12:00:00Z
CRW_SST|2010-01-05 12:00:00,8.325947672776143,2010-01-05T12:00:00Z
CRW_SST|2010-01-06 12:00:00,8.54856993517759,2010-01-06T12:00:00Z
CRW_SST|2010-01-07 12:00:00,8.401333982076927,2010-01-07T12:00:00Z
CRW_SST|2010-01-08 12:00:00,8.335622335151736,2010-01-08T12:00:00Z
CRW_SST|2010-01-09 12:00:00,8.674567689561124,2010-01-09T12:00:00Z
CRW_SST|2010-01-10 12:00:00,8.568245078756156,2010-01-10T12:00:00Z
CRW_SST|2010-01-11 12:00:00,8.867254769311437,2010-01-11T12:00:00Z
CRW_SST|2010-01-12 12:00:00,8.975291962479034,2010-01-12T12:00:00Z
CRW_SST|2010-01-13 12:00:00,9.14514775450109,2010-01-13T12:00:00Z
CRW_SST|2010-01-14 12:00:00,9.046640391570977,2010-01-14T12:00:00Z
CRW_SST|2010-01-15 12:00:00,9.08061348162672,2010-01-15T12:00:00Z
CRW_SST|2010-01-16 12:00:00,9.183457586510121,2010-01-16T12:00:00Z
CRW_SST|2010-01-17 12:00:00,8.946714161645986,2010-01-17T12:00:00Z
CRW_SST|2010-01-18 12:00:00,8.810401333159382,2010-01-18T12:00:00Z
CRW_SST|2010-01-19 12:00:00,8.720440962798987,2010-01-19T12:00:00Z
CRW_SST|2010-01-20 12:00:00,9.02894735369538,2010-01-20T12:00:00Z
CRW_SST|2010-01-21 12:00:00,9.017490610473867,2010-01-21T12:00:00Z
CRW_SST|2010-01-22 12:00:00,9.325118747259733,2010-01-22T12:00:00Z
CRW_SST|2010-01-23 12:00:00,9.144789297072387,2010-01-23T12:00:00Z
CRW_SST|2010-01-24 12:00:00,9.133844976219624,2010-01-24T12:00:00Z
CRW_SST|2010-01-25 12:00:00,9.124825424385914,2010-01-25T12:00:00Z
CRW_SST|2010-01-26 12:00:00,9.025765356876228,2010-01-26T12:00:00Z
CRW_SST|2010-01-27 12:00:00,9.243456259308159,2010-01-27T12:00:00Z
CRW_SST|2010-01-28 12:00:00,9.491823996502886,2010-01-28T12:00:00Z
CRW_SST|2010-01-29 12:00:00,9.260180663435321,2010-01-29T12:00:00Z
CRW_SST|2010-01-30 12:00:00,8.979528533478923,2010-01-30T12:00:00Z
CRW_SST|2010-01-31 12:00:00,8.98166711205349,2010-01-31T12:00:00Z
CRW_SST|2010-02-01 12:00:00,8.971708440359238,2010-02-01T12:00:00Z
CRW_SST|2010-02-02 12:00:00,8.91267369721151,2010-02-02T12:00:00Z
CRW_SST|2010-02-03 12:00:00,8.726911399193689,2010-02-03T12:00:00Z
CRW_SST|2010-02-04 12:00:00,8.711439835856067,2010-02-04T12:00:00Z
CRW_SST|2010-02-05 12:00:00,9.087503589225527,2010-02-05T12:00:00Z
CRW_SST|2010-02-06 12:00:00,9.10810259594975,2010-02-06T12:00:00Z
CRW_SST|2010-02-07 12:00:00,9.348318177005423,2010-02-07T12:00:00Z
CRW_SST|2010-02-08 12:00:00,9.388570727994125,2010-02-08T12:00:00Z
CRW_SST|2010-02-09 12:00:00,9.518416255260428,2010-02-09T12:00:00Z
CRW_SST|2010-02-10 12:00:00,9.601613768922359,2010-02-10T12:00:00Z
CRW_SST|2010-02-11 12:00:00,9.546500158686364,2010-02-11T12:00:00Z
CRW_SST|2010-02-12 12:00:00,9.441035360877683,2010-02-12T12:00:00Z
CRW_SST|2010-02-13 12:00:00,9.32359771489951,2010-02-13T12:00:00Z
CRW_SST|2010-02-14 12:00:00,9.298813873952085,2010-02-14T12:00:00Z
