lyr,mean,time
CRW_SST|2020-01-01 12:00:00,7.106143382135328,2020-01-01T12:00:00Z
CRW_SST|2020-01-02 12:00:00,7.213227195695329,2020-01-02T12:00:00Z
CRW_SST|2020-01-03 12:00:00,7.152938190988023,2020-01-03T12:00:00Z
CRW_SST|2020-01-04 12:00:00,7.039601031133063,2020-01-04T12:00:00Z
CRW_SST|2020-01-05 12:00:00,6.975213550755797,2020-01-05T12:00:00Z
CRW_SST|2020-01-06 12:00:00,7.0651600771498835,2020-01-06T12:00:00Z
CRW_SST|2020-01-07 12:00:00,6.941975061183957,2020-01-07T12:00:00Z
CRW_SST|2020-01-08 12:00:00,6.7146279130575195,2020-01-08T12:00:00Z
CRW_SST|2020-01-09 12:00:00,6.637857218447413,2020-01-09T12:00:00Z
CRW_SST|2020-01-10 12:00:00,6.408574579955367,2020-01-10T12:00:00Z
CRW_SST|2020-01-11 12:00:00,6.735573317008329,2020-01-11T12:00:00Z
CRW_SST|2020-01-12 12:00:00,6.615232067012136,2020-01-12T12:00:00Z
CRW_SST|2020-01-13 12:00:00,6.9744992970741695,2020-01-13T12:00:00Z
CRW_SST|2020-01-14 12:00:00,6.66004471851075,2020-01-14T12:00:00Z
CRW_SST|2020-01-15 12:00:00,6.7201028041139566,2020-01-15T12:00:00Z
CRW_SST|2020-01-16 12:00:00,6.661771258315654,2020-01-16T12:00:00Z
CRW_SST|2020-01-17 12:00:00,6.685196286583806,2020-01-17T12:00:00Z
CRW_SST|2020-01-18 12:00:00,6.620828264690834,2020-01-18T12:00:00Z
CRW_SST|2020-01-19 12:00:00,6.2950631713692635,2020-01-19T12:00:00Z
CRW_SST|2020-01-20 12:00:00,6.593504517141695,2020-01-20T12:00:00Z
CRW_SST|2020-01-21 12:00:00,6.346198613977815,2020-01-21T12:00:00Z
CRW_SST|2020-01-22 12:00:00,6.102353534515013,2020-01-22T12:00:00Z
CRW_SST|2020-01-23 12:00:00,6.255443829795878,2020-01-23T12:00:00Z
CRW_SST|2020-01-24 12:00:00,6.129306467732024,2020-01-24T12:00:00Z
CRW_SST|2020-01-25 12:00:00,5.9649678830421555,2020-01-25T12:00:00Z
CRW_SST|2020-01-26 12:00:00,6.101234073194514,2020-01-26T12:00:00Z
CRW_SST|2020-01-27 12:00:00,6.080222916365304,2020-01-27T12:00:00Z
CRW_SST|2020-01-28 12:00:00,6.0208874158264925,2020-01-28T12:00:00Z
CRW_SST|2020-01-29 12:00:00,6.193710767721881,2020-01-29T12:00:00Z
CRW_SST|2020-01-30 12:00:00,6.106350044549894,2020-01-30T12:00:00Z
CRW_SST|2020-01-31 12:00:00,5.880419795338769,2020-01-31T12:00:00Z
CRW_SST|2020-02-01 12:00:00,5.791366377002491,2020-02-01T12:00:00Z
CRW_SST|2020-02-02 12:00:00,5.702022629656606,2020-02-02T12:00:00Z
CRW_SST|2020-02-03 12:00:00,5.823434036508005,2020-02-03T12:00:00Z
CRW_SST|2020-02-04 12:00:00,5.958882165510105,2020-02-04T12:00:00Z
CRW_SST|2020-02-05 12:00:00,5.819774689844404,2020-02-05T12:00:00Z
CRW_SST|2020-02-06 12:00:00,5.4690034235093865,2020-02-06T12:00:00Z
CRW_SST|2020-02-07 12:00:00,5.734765720716579,2020-02-07T12:00:00Z
CRW_SST|2020-02-08 12:00:00,5.778312781029708,2020-02-08T12:00:00Z
CRW_SST|2020-02-09 12:00:00,5.755258652070078,2020-02-09T12:00:00Z
CRW_SST|2020-02-10 12:00:00,5.662606157158729,2020-02-10T12:00:00Z
CRW_SST|2020-02-11 12:00:00,5.64189178047644,2020-02-11T12:00:00Z
CRW_SST|2020-02-12 12:00:00,5.744688555620566,2020-02-12T12:00:00Z
CRW_SST|2020-02-13 12:00:00,5.582188964321048,2020-02-13T12:00:00Z
CRW_SST|2020-02-14 12:00:00,5.740860719328446,2020-02-14T12:00:00Z
CRW_SST|2020-02-15 12:00:00,5.5387106220790825,2020-02-15T12:00:00Z
CRW_SST|2020-02-16 12:00:00,5.3245740056275235,2020-02-16T12:00:00Z
CRW_SST|2020-02-17 12:00:00,5.3228972762033555,2020-02-17T12:00:00Z
CRW_SST|2020-02-18 12:00:00,5.35820099430919,2020-02-18T12:00:00Z
CRW_SST|2020-02-19 12:00:00,5.342803170961427,2020-02-19T12:00:00Z
CRW_SST|2020-02-20 12:00:00,5.238191859214193,2020-02-20T12:00:00Z
CRW_SST|2020-02-21 12:00:00,5.13887031239693,2020-02-21T12:00:00Z
CRW_SST|2020-02-22 12:00:00,5.220999462295562,2020-02-22T12:00:00Z
CRW_SST|2020-02-23 12:00:00,5.2007844521051885,2020-02-23T12:00:00Z
CRW_SST|2020-02-24 12:00:00,5.304395001391634,2020-02-24T12:00:00Z
CRW_SST|2020-02-25 12:00:00,5.244228551269284,2020-02-25T12:00:00Z
CRW_SST|2020-02-26 12:00:00,5.301282497804018,2020-02-26T12:00:00Z
CRW_SST|2020-02-27 12:00:00,5.2185052441804105,2020-02-27T12:00:00Z
CRW_SST|2020-02-28 12:00:00,5.246909533744578,2020-02-28T12:00:00Z
CRW_SST|2020-02-29 12:00:00,5.158645219345554,2020-02-29T12:00:00Z
CRW_SST|2020-03-01 12:00:00,5.052849183949908,2020-03-01T12:00:00Z
CRW_SST|2020-03-02 12:00:00,5.071465804456608,2020-03-02T12:00:00Z
CRW_SST|2020-03-03 12:00:00,5.35221328578619,2020-03-03T12:00:00Z
CRW_SST|2020-03-04 12:00:00,5.314031722913698,2020-03-04T12:00:00Z
CRW_SST|2020-03-05 12:00:00,5.272061947138274,2020-03-05T12:00:00Z
