lyr,mean,time
sss|2013-01-01 12:00:00,37.243526458740234,2013-01-01T12:00:00Z
sss|2013-01-04 12:00:00,37.64103879072743,2013-01-04T12:00:00Z
sss|2013-01-07 12:00:00,37.43926542476518,2013-01-07T12:00:00Z
sss|2013-01-10 12:00:00,36.3997913163742,2013-01-10T12:00:00Z
sss|2013-01-13 12:00:00,36.239966949845886,2013-01-13T12:00:00Z
sss|2013-01-16 12:00:00,NA,2013-01-16T12:00:00Z
sss|2013-01-19 12:00:00,NA,2013-01-19T12:00:00Z
sss|2013-01-22 12:00:00,37.471823753213734,2013-01-22T12:00:00Z
sss|2013-01-25 12:00:00,37.39941476816351,2013-01-25T12:00:00Z
sss|2013-01-28 12:00:00,36.714121167786416,2013-01-28T12:00:00Z
sss|2013-01-31 12:00:00,34.9086235113544,2013-01-31T12:00:00Z
sss|2013-02-03 12:00:00,37.732300160849285,2013-02-03T12:00:00Z
sss|2013-02-06 12:00:00,35.80623959254697,2013-02-06T12:00:00Z
sss|2013-02-09 12:00:00,37.224110624389795,2013-02-09T12:00:00Z
sss|2013-02-12 12:00:00,38.2352468657375,2013-02-12T12:00:00Z
sss|2013-02-15 12:00:00,36.46757091793464,2013-02-15T12:00:00Z
sss|2013-02-18 12:00:00,35.92356864453586,2013-02-18T12:00:00Z
sss|2013-02-21 12:00:00,37.53919456749076,2013-02-21T12:00:00Z
sss|2013-02-24 12:00:00,36.13053776039004,2013-02-24T12:00:00Z
sss|2013-02-27 12:00:00,36.998252303249934,2013-02-27T12:00:00Z
sss|2013-03-02 12:00:00,36.56095918707744,2013-03-02T12:00:00Z
sss|2013-03-05 12:00:00,37.18446749475969,2013-03-05T12:00:00Z
sss|2013-03-08 12:00:00,37.09522099640783,2013-03-08T12:00:00Z
sss|2013-03-11 12:00:00,38.07005805708795,2013-03-11T12:00:00Z
sss|2013-03-14 12:00:00,35.95172824378548,2013-03-14T12:00:00Z
sss|2013-03-17 12:00:00,36.306558913088786,2013-03-17T12:00:00Z
sss|2013-03-20 12:00:00,36.406715573922554,2013-03-20T12:00:00Z
sss|2013-03-23 12:00:00,36.32594111147366,2013-03-23T12:00:00Z
sss|2013-03-26 12:00:00,36.82350173776186,2013-03-26T12:00:00Z
sss|2013-03-29 12:00:00,36.76251239835127,2013-03-29T12:00:00Z
sss|2013-04-01 12:00:00,37.413931503975554,2013-04-01T12:00:00Z
sss|2013-04-04 12:00:00,35.934910621843834,2013-04-04T12:00:00Z
sss|2013-04-07 12:00:00,37.1744382206957,2013-04-07T12:00:00Z
sss|2013-04-10 12:00:00,37.47650909423828,2013-04-10T12:00:00Z
sss|2013-04-13 12:00:00,36.58822651044688,2013-04-13T12:00:00Z
sss|2013-04-16 12:00:00,37.344083440133595,2013-04-16T12:00:00Z
sss|2013-04-19 12:00:00,36.31161891036479,2013-04-19T12:00:00Z
sss|2013-04-22 12:00:00,37.44263326012065,2013-04-22T12:00:00Z
sss|2013-04-25 12:00:00,36.52030347821542,2013-04-25T12:00:00Z
sss|2013-04-28 12:00:00,37.39673338320563,2013-04-28T12:00:00Z
sss|2013-05-01 12:00:00,36.9690342566079,2013-05-01T12:00:00Z
sss|2013-05-04 12:00:00,36.939510537143164,2013-05-04T12:00:00Z
sss|2013-05-07 12:00:00,36.313254951897036,2013-05-07T12:00:00Z
sss|2013-05-10 12:00:00,35.82041180667835,2013-05-10T12:00:00Z
sss|2013-05-13 12:00:00,35.9774583289646,2013-05-13T12:00:00Z
sss|2013-05-16 12:00:00,35.91107054954829,2013-05-16T12:00:00Z
sss|2013-05-19 12:00:00,36.83808488785432,2013-05-19T12:00:00Z
sss|2013-05-22 12:00:00,36.02012634277344,2013-05-22T12:00:00Z
sss|2013-05-25 12:00:00,36.67396988922055,2013-05-25T12:00:00Z
sss|2013-05-28 12:00:00,36.966299221573486,2013-05-28T12:00:00Z
sss|2013-05-31 12:00:00,36.59687815024106,2013-05-31T12:00:00Z
sss|2013-06-03 12:00:00,35.50572204589844,2013-06-03T12:00:00Z
sss|2013-06-06 12:00:00,36.59938701086589,2013-06-06T12:00:00Z
sss|2013-06-09 12:00:00,36.15446844758146,2013-06-09T12:00:00Z
sss|2013-06-12 12:00:00,36.28021630322899,2013-06-12T12:00:00Z
sss|2013-06-15 12:00:00,36.225845612807476,2013-06-15T12:00:00Z
sss|2013-06-18 12:00:00,36.13901330415402,2013-06-18T12:00:00Z
sss|2013-06-21 12:00:00,35.59167195824308,2013-06-21T12:00:00Z
sss|2013-06-24 12:00:00,36.9559861402444,2013-06-24T12:00:00Z
