dataset,var,depth,time,stat,value
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-01T00:00:00Z,mean,10.913419170379639
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-02T00:00:00Z,mean,10.827967319488526
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-03T00:00:00Z,mean,11.029389533996582
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-04T00:00:00Z,mean,18.442336139678954
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-05T00:00:00Z,mean,24.51246784210205
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-06T00:00:00Z,mean,30.350659103393554
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-07T00:00:00Z,mean,33.133947219848636
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-08T00:00:00Z,mean,27.976319046020507
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-09T00:00:00Z,mean,23.36802381515503
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-10T00:00:00Z,mean,24.1889719581604
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-11T00:00:00Z,mean,30.079044342041016
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-12T00:00:00Z,mean,33.19498432159424
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-13T00:00:00Z,mean,33.9976212310791
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-14T00:00:00Z,mean,31.336407127380372
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-15T00:00:00Z,mean,25.18387519836426
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-16T00:00:00Z,mean,20.053713512420654
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-17T00:00:00Z,mean,20.36805431365967
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-18T00:00:00Z,mean,18.836025104522705
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-19T00:00:00Z,mean,16.17786262512207
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-20T00:00:00Z,mean,18.869595432281493
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-21T00:00:00Z,mean,19.32126926422119
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-22T00:00:00Z,mean,18.317210330963135
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-23T00:00:00Z,mean,19.092380542755127
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-24T00:00:00Z,mean,13.946959419250488
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-25T00:00:00Z,mean,11.886959991455079
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-26T00:00:00Z,mean,13.29691514968872
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-27T00:00:00Z,mean,11.426130332946776
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-28T00:00:00Z,mean,12.485122737884522
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-29T00:00:00Z,mean,13.074130058288574
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-30T00:00:00Z,mean,13.339641056060792
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-01-31T00:00:00Z,mean,12.997833862304688
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-01T00:00:00Z,mean,13.345744819641114
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-02T00:00:00Z,mean,14.578692607879638
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-03T00:00:00Z,mean,17.560351181030274
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-04T00:00:00Z,mean,18.75667688369751
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-05T00:00:00Z,mean,22.089298191070558
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-06T00:00:00Z,mean,23.502305393218993
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-07T00:00:00Z,mean,19.873654289245607
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-08T00:00:00Z,mean,18.753624935150146
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-09T00:00:00Z,mean,21.955016765594483
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-10T00:00:00Z,mean,15.500351638793946
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-11T00:00:00Z,mean,16.834010581970215
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-12T00:00:00Z,mean,22.46467580795288
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-13T00:00:00Z,mean,25.257119636535645
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-14T00:00:00Z,mean,21.884824180603026
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-15T00:00:00Z,mean,13.678396663665772
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-16T00:00:00Z,mean,12.637715339660645
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-17T00:00:00Z,mean,15.237892456054688
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-18T00:00:00Z,mean,25.48600845336914
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-19T00:00:00Z,mean,23.783075523376464
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-20T00:00:00Z,mean,23.459579372406004
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-21T00:00:00Z,mean,24.707786407470703
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-22T00:00:00Z,mean,18.439284439086915
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-23T00:00:00Z,mean,20.578632011413575
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-24T00:00:00Z,mean,21.002839221954346
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-25T00:00:00Z,mean,21.552172470092774
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-26T00:00:00Z,mean,24.420912494659422
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-27T00:00:00Z,mean,28.495133686065675
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-02-28T00:00:00Z,mean,31.681266021728515
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-01T00:00:00Z,mean,26.55720823287964
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-02T00:00:00Z,mean,15.085300006866454
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-03T00:00:00Z,mean,21.979431610107422
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-04T00:00:00Z,mean,27.436141414642336
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-05T00:00:00Z,mean,21.704764919281004
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-06T00:00:00Z,mean,14.206366786956787
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-07T00:00:00Z,mean,17.578662338256837
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-08T00:00:00Z,mean,18.265328807830812
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-09T00:00:00Z,mean,17.56645486831665
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-10T00:00:00Z,mean,12.332530155181885
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-11T00:00:00Z,mean,10.831019229888916
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-12T00:00:00Z,mean,11.328471031188965
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-13T00:00:00Z,mean,13.766900272369385
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-14T00:00:00Z,mean,14.3620112991333
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-15T00:00:00Z,mean,12.509537601470948
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-16T00:00:00Z,mean,10.531937713623046
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-17T00:00:00Z,mean,10.53193769454956
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-18T00:00:00Z,mean,10.528885841369629
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-19T00:00:00Z,mean,10.528885841369629
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-20T00:00:00Z,mean,10.53193769454956
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-21T00:00:00Z,mean,10.602130336761475
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-22T00:00:00Z,mean,10.65095998764038
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-23T00:00:00Z,mean,10.91647117614746
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-24T00:00:00Z,mean,11.944945087432862
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-25T00:00:00Z,mean,10.672322978973389
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-26T00:00:00Z,mean,10.528885860443115
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-27T00:00:00Z,mean,10.559404411315917
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-28T00:00:00Z,mean,11.484115581512452
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-29T00:00:00Z,mean,12.854396724700928
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-30T00:00:00Z,mean,10.663167419433593
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-03-31T00:00:00Z,mean,11.648915615081787
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-04-01T00:00:00Z,mean,17.902158584594726
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,1997-04-02T00:00:00Z,mean,22.19916477203369
