dataset,var,depth,time,stat,value
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-01T00:00:00Z,mean,22.523536162564405
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-02T00:00:00Z,mean,21.545084228652353
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-03T00:00:00Z,mean,24.41316798083671
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-04T00:00:00Z,mean,26.65994297902644
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-05T00:00:00Z,mean,26.98262964952804
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-06T00:00:00Z,mean,28.042573710069007
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-07T00:00:00Z,mean,29.755001245860985
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-08T00:00:00Z,mean,31.826212619795168
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-09T00:00:00Z,mean,32.72043776426691
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-10T00:00:00Z,mean,33.11367827247975
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-11T00:00:00Z,mean,34.33223086531444
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-12T00:00:00Z,mean,36.14912148957612
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-13T00:00:00Z,mean,37.09530493008193
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-14T00:00:00Z,mean,36.428054129351
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-15T00:00:00Z,mean,34.01337278359252
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-16T00:00:00Z,mean,30.499368541129602
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-17T00:00:00Z,mean,23.307282112832564
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-18T00:00:00Z,mean,23.122420926247873
cmems_mod_glo_phy_myint_0.083deg_P1D-m,mlotst,,2024-01-19T00:00:00Z,mean,30.02627696444057
