dataset,var,depth,time,stat,value
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-01T00:00:00Z,mean,52.19114163342644
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-02T00:00:00Z,mean,53.052840681637036
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-03T00:00:00Z,mean,52.20460571962244
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-04T00:00:00Z,mean,52.61301517486572
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-05T00:00:00Z,mean,52.90473618226893
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-06T00:00:00Z,mean,51.96225284127628
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-07T00:00:00Z,mean,26.82487336327048
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-08T00:00:00Z,mean,43.65493471482221
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-09T00:00:00Z,mean,50.64726386350744
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-10T00:00:00Z,mean,49.70029241898481
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-11T00:00:00Z,mean,40.66591554529526
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-12T00:00:00Z,mean,47.51911685046028
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-13T00:00:00Z,mean,28.673936058493222
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-14T00:00:00Z,mean,49.52077209248262
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-15T00:00:00Z,mean,35.62587350957534
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-16T00:00:00Z,mean,44.70064269795137
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-17T00:00:00Z,mean,50.42735094182632
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-18T00:00:00Z,mean,49.974061236662024
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-19T00:00:00Z,mean,51.028745146358716
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-20T00:00:00Z,mean,50.38695901982925
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-21T00:00:00Z,mean,50.54852771759033
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-22T00:00:00Z,mean,51.27558612823486
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-23T00:00:00Z,mean,52.13728540083941
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-24T00:00:00Z,mean,38.57898813135483
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-25T00:00:00Z,mean,43.72674263224882
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-26T00:00:00Z,mean,49.34125114889706
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-27T00:00:00Z,mean,37.3223435458015
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-28T00:00:00Z,mean,41.74303963605095
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-29T00:00:00Z,mean,37.63201679902918
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-30T00:00:00Z,mean,31.95916431090411
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-01-31T00:00:00Z,mean,44.13515253628002
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-01T00:00:00Z,mean,36.195851774776685
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-02T00:00:00Z,mean,47.10621889899759
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-03T00:00:00Z,mean,55.56612974054673
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-04T00:00:00Z,mean,49.359203450820026
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-05T00:00:00Z,mean,57.186303699717804
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-06T00:00:00Z,mean,62.10068180981804
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-07T00:00:00Z,mean,62.096193594091076
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-08T00:00:00Z,mean,60.5882204841165
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-09T00:00:00Z,mean,65.35000548643224
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-10T00:00:00Z,mean,66.08604055292466
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-11T00:00:00Z,mean,55.08142398385441
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-12T00:00:00Z,mean,65.64621437297149
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-13T00:00:00Z,mean,65.81227117426255
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-14T00:00:00Z,mean,66.92529897128834
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-15T00:00:00Z,mean,65.3903975206263
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-16T00:00:00Z,mean,51.19031395631678
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-17T00:00:00Z,mean,30.419774728662826
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-18T00:00:00Z,mean,50.79985635420855
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-19T00:00:00Z,mean,66.13092035405776
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-20T00:00:00Z,mean,49.121338451609894
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-21T00:00:00Z,mean,28.907312982222614
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-22T00:00:00Z,mean,16.13441851559807
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-23T00:00:00Z,mean,38.17506677964155
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-24T00:00:00Z,mean,55.70974678151748
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-25T00:00:00Z,mean,45.43218881943647
cmems_mod_glo_phy_my_0.083deg_P1D-m,mlotst,,2002-02-26T00:00:00Z,mean,38.60591661228853
