lyr,mean,time
sss|2018-02-27 12:00:00,31.82710208187865,2018-02-27T12:00:00Z
sss|2018-03-11 12:00:00,32.36092105519741,2018-03-11T12:00:00Z
sss|2018-03-14 12:00:00,32.97099325722619,2018-03-14T12:00:00Z
sss|2018-03-17 12:00:00,32.38672197770038,2018-03-17T12:00:00Z
sss|2018-03-20 12:00:00,33.283764453249056,2018-03-20T12:00:00Z
sss|2018-03-23 12:00:00,33.30926061236655,2018-03-23T12:00:00Z
sss|2018-03-26 12:00:00,34.02563751789844,2018-03-26T12:00:00Z
sss|2018-03-29 12:00:00,33.48127737847127,2018-03-29T12:00:00Z
sss|2018-04-01 12:00:00,33.63424220097555,2018-04-01T12:00:00Z
sss|2018-04-04 12:00:00,30.98446360874711,2018-04-04T12:00:00Z
sss|2018-04-07 12:00:00,31.892077210520014,2018-04-07T12:00:00Z
sss|2018-04-10 12:00:00,32.07017728237433,2018-04-10T12:00:00Z
sss|2018-04-13 12:00:00,34.224500174072794,2018-04-13T12:00:00Z
sss|2018-04-16 12:00:00,31.913559898525296,2018-04-16T12:00:00Z
sss|2018-04-19 12:00:00,33.50291763864624,2018-04-19T12:00:00Z
sss|2018-04-22 12:00:00,NA,2018-04-22T12:00:00Z
sss|2018-04-25 12:00:00,32.587616631767126,2018-04-25T12:00:00Z
sss|2018-04-28 12:00:00,31.342041240295615,2018-04-28T12:00:00Z
sss|2018-05-01 12:00:00,NA,2018-05-01T12:00:00Z
sss|2018-05-04 12:00:00,33.21699066537719,2018-05-04T12:00:00Z
sss|2018-05-07 12:00:00,31.59809266106863,2018-05-07T12:00:00Z
sss|2018-05-10 12:00:00,31.519064953626582,2018-05-10T12:00:00Z
sss|2018-05-13 12:00:00,34.356994631910936,2018-05-13T12:00:00Z
sss|2018-05-16 12:00:00,31.806618009457026,2018-05-16T12:00:00Z
sss|2018-05-19 12:00:00,NA,2018-05-19T12:00:00Z
sss|2018-05-22 12:00:00,33.483696591508306,2018-05-22T12:00:00Z
sss|2018-05-25 12:00:00,32.49919950181846,2018-05-25T12:00:00Z
sss|2018-05-28 12:00:00,31.128708209691403,2018-05-28T12:00:00Z
sss|2018-05-31 12:00:00,35.15527658320275,2018-05-31T12:00:00Z
sss|2018-06-03 12:00:00,NA,2018-06-03T12:00:00Z
sss|2018-06-06 12:00:00,31.077415340228224,2018-06-06T12:00:00Z
sss|2018-06-09 12:00:00,32.77131546034317,2018-06-09T12:00:00Z
sss|2018-06-12 12:00:00,NA,2018-06-12T12:00:00Z
sss|2018-06-15 12:00:00,34.478097031013185,2018-06-15T12:00:00Z
sss|2018-06-18 12:00:00,34.29905764328538,2018-06-18T12:00:00Z
sss|2018-06-21 12:00:00,NA,2018-06-21T12:00:00Z
sss|2018-06-24 12:00:00,33.17079674876622,2018-06-24T12:00:00Z
sss|2018-06-27 12:00:00,32.3134661683029,2018-06-27T12:00:00Z
sss|2018-06-30 12:00:00,33.187206000807656,2018-06-30T12:00:00Z
sss|2018-07-03 12:00:00,33.45648369305043,2018-07-03T12:00:00Z
sss|2018-07-06 12:00:00,30.815634998717577,2018-07-06T12:00:00Z
sss|2018-07-09 12:00:00,32.87671746925423,2018-07-09T12:00:00Z
sss|2018-07-12 12:00:00,33.48255882598417,2018-07-12T12:00:00Z
sss|2018-07-18 12:00:00,32.910878114113416,2018-07-18T12:00:00Z
sss|2018-07-21 12:00:00,32.572535881305505,2018-07-21T12:00:00Z
sss|2018-07-24 12:00:00,33.570770647352454,2018-07-24T12:00:00Z
sss|2018-07-27 12:00:00,NA,2018-07-27T12:00:00Z
sss|2018-07-30 12:00:00,33.84092254857016,2018-07-30T12:00:00Z
sss|2018-08-02 12:00:00,34.112838395260454,2018-08-02T12:00:00Z
sss|2018-08-05 12:00:00,32.533771454935916,2018-08-05T12:00:00Z
sss|2018-08-08 12:00:00,32.752694512381964,2018-08-08T12:00:00Z
sss|2018-08-11 12:00:00,32.66182697134109,2018-08-11T12:00:00Z
sss|2018-08-14 12:00:00,33.97622069078503,2018-08-14T12:00:00Z
sss|2018-08-17 12:00:00,33.41217148896874,2018-08-17T12:00:00Z
sss|2018-08-20 12:00:00,33.11692620826056,2018-08-20T12:00:00Z
sss|2018-08-23 12:00:00,34.18190502857748,2018-08-23T12:00:00Z
sss|2018-08-26 12:00:00,32.81699178311362,2018-08-26T12:00:00Z
sss|2018-08-29 12:00:00,33.95067302824647,2018-08-29T12:00:00Z
sss|2018-09-01 12:00:00,32.70499351501964,2018-09-01T12:00:00Z
sss|2018-09-04 12:00:00,33.24912970757672,2018-09-04T12:00:00Z
sss|2018-09-07 12:00:00,31.7563413469044,2018-09-07T12:00:00Z
sss|2018-09-10 12:00:00,32.573304323029994,2018-09-10T12:00:00Z
sss|2018-09-13 12:00:00,32.133717134213484,2018-09-13T12:00:00Z
sss|2018-09-16 12:00:00,32.413303513996254,2018-09-16T12:00:00Z
sss|2018-09-19 12:00:00,34.194750251568976,2018-09-19T12:00:00Z
sss|2018-09-22 12:00:00,33.659756895818454,2018-09-22T12:00:00Z
sss|2018-09-25 12:00:00,31.475559916805953,2018-09-25T12:00:00Z
sss|2018-09-28 12:00:00,32.2440762586469,2018-09-28T12:00:00Z
sss|2018-10-01 12:00:00,33.33950300234738,2018-10-01T12:00:00Z
sss|2018-10-04 12:00:00,32.67384748255381,2018-10-04T12:00:00Z
sss|2018-10-07 12:00:00,31.07765941868033,2018-10-07T12:00:00Z
sss|2018-10-10 12:00:00,32.86621126426861,2018-10-10T12:00:00Z
sss|2018-10-13 12:00:00,33.78091240388145,2018-10-13T12:00:00Z
sss|2018-10-16 12:00:00,32.80545191034239,2018-10-16T12:00:00Z
sss|2018-10-19 12:00:00,32.60414767837275,2018-10-19T12:00:00Z
sss|2018-10-22 12:00:00,33.27885989786254,2018-10-22T12:00:00Z
sss|2018-10-25 12:00:00,33.20957033562896,2018-10-25T12:00:00Z
sss|2018-10-28 12:00:00,33.54666590259616,2018-10-28T12:00:00Z
sss|2018-10-31 12:00:00,33.10203387660924,2018-10-31T12:00:00Z
sss|2018-11-03 12:00:00,NA,2018-11-03T12:00:00Z
sss|2018-11-09 12:00:00,35.58087921142578,2018-11-09T12:00:00Z
sss|2018-11-12 12:00:00,NA,2018-11-12T12:00:00Z
sss|2018-11-15 12:00:00,38.941402435302734,2018-11-15T12:00:00Z
sss|2018-11-18 12:00:00,NA,2018-11-18T12:00:00Z
sss|2018-11-21 12:00:00,34.502320098343,2018-11-21T12:00:00Z
sss|2018-11-24 12:00:00,31.204566317055704,2018-11-24T12:00:00Z
sss|2018-11-27 12:00:00,35.43170305524833,2018-11-27T12:00:00Z
sss|2018-11-30 12:00:00,NA,2018-11-30T12:00:00Z
sss|2018-12-03 12:00:00,35.98206433706125,2018-12-03T12:00:00Z
sss|2018-12-06 12:00:00,35.15848812475022,2018-12-06T12:00:00Z
sss|2018-12-09 12:00:00,33.64046005962243,2018-12-09T12:00:00Z
sss|2018-12-12 12:00:00,32.72404053791782,2018-12-12T12:00:00Z
sss|2018-12-15 12:00:00,32.884502123854425,2018-12-15T12:00:00Z
sss|2018-12-18 12:00:00,32.38853463165495,2018-12-18T12:00:00Z
sss|2018-12-21 12:00:00,35.58526474778068,2018-12-21T12:00:00Z
sss|2018-12-24 12:00:00,33.85193204362467,2018-12-24T12:00:00Z
sss|2018-12-27 12:00:00,32.496040862394764,2018-12-27T12:00:00Z
sss|2018-12-30 12:00:00,NA,2018-12-30T12:00:00Z
