lyr,mean,time
sss|2020-01-01 12:00:00,33.36198935965934,2020-01-01T12:00:00Z
sss|2020-01-04 12:00:00,NA,2020-01-04T12:00:00Z
sss|2020-01-07 12:00:00,32.83580644536989,2020-01-07T12:00:00Z
sss|2020-01-10 12:00:00,32.5630558740315,2020-01-10T12:00:00Z
sss|2020-01-13 12:00:00,34.30345124235906,2020-01-13T12:00:00Z
sss|2020-01-16 12:00:00,32.70304864116597,2020-01-16T12:00:00Z
sss|2020-01-19 12:00:00,33.09608134467191,2020-01-19T12:00:00Z
sss|2020-01-22 12:00:00,31.263017654418945,2020-01-22T12:00:00Z
sss|2020-01-25 12:00:00,33.11034966231824,2020-01-25T12:00:00Z
sss|2020-01-28 12:00:00,32.058221761177315,2020-01-28T12:00:00Z
sss|2020-01-31 12:00:00,33.31364013816472,2020-01-31T12:00:00Z
sss|2020-02-03 12:00:00,32.835344681277356,2020-02-03T12:00:00Z
sss|2020-02-06 12:00:00,33.13409360395838,2020-02-06T12:00:00Z
sss|2020-02-09 12:00:00,32.02120164758101,2020-02-09T12:00:00Z
sss|2020-02-12 12:00:00,33.631065637869625,2020-02-12T12:00:00Z
sss|2020-02-15 12:00:00,32.517612971609225,2020-02-15T12:00:00Z
sss|2020-02-18 12:00:00,32.983488464029655,2020-02-18T12:00:00Z
sss|2020-02-21 12:00:00,32.738393352231505,2020-02-21T12:00:00Z
sss|2020-02-24 12:00:00,32.8661100243299,2020-02-24T12:00:00Z
sss|2020-03-04 12:00:00,32.86622811098517,2020-03-04T12:00:00Z
sss|2020-03-07 12:00:00,32.49581287490922,2020-03-07T12:00:00Z
sss|2020-03-10 12:00:00,32.51918135309528,2020-03-10T12:00:00Z
sss|2020-03-13 12:00:00,33.35190943388931,2020-03-13T12:00:00Z
sss|2020-03-16 12:00:00,NA,2020-03-16T12:00:00Z
sss|2020-03-19 12:00:00,32.8201234521486,2020-03-19T12:00:00Z
sss|2020-03-22 12:00:00,33.19526567170342,2020-03-22T12:00:00Z
sss|2020-03-25 12:00:00,32.684643073680526,2020-03-25T12:00:00Z
sss|2020-03-28 12:00:00,32.73953587378385,2020-03-28T12:00:00Z
sss|2020-03-31 12:00:00,32.739590001800714,2020-03-31T12:00:00Z
sss|2020-04-03 12:00:00,32.94710060919365,2020-04-03T12:00:00Z
sss|2020-04-06 12:00:00,33.50724433542752,2020-04-06T12:00:00Z
sss|2020-04-09 12:00:00,32.820207843655325,2020-04-09T12:00:00Z
sss|2020-04-12 12:00:00,33.23201201374065,2020-04-12T12:00:00Z
sss|2020-04-15 12:00:00,32.787654865521134,2020-04-15T12:00:00Z
sss|2020-04-18 12:00:00,32.64227548093083,2020-04-18T12:00:00Z
sss|2020-04-21 12:00:00,NA,2020-04-21T12:00:00Z
sss|2020-04-24 12:00:00,32.880960161239535,2020-04-24T12:00:00Z
sss|2020-04-27 12:00:00,33.99901310305758,2020-04-27T12:00:00Z
sss|2020-04-30 12:00:00,32.27074583779978,2020-04-30T12:00:00Z
