lyr,mean,time
sss|2018-02-27 12:00:00,35.536198337420984,2018-02-27T12:00:00Z
sss|2018-03-11 12:00:00,35.375307514623906,2018-03-11T12:00:00Z
sss|2018-03-14 12:00:00,34.85380183896476,2018-03-14T12:00:00Z
sss|2018-03-17 12:00:00,35.421713133290645,2018-03-17T12:00:00Z
sss|2018-03-20 12:00:00,35.948977844350445,2018-03-20T12:00:00Z
sss|2018-03-23 12:00:00,35.904455312113285,2018-03-23T12:00:00Z
sss|2018-03-26 12:00:00,36.00747564006382,2018-03-26T12:00:00Z
sss|2018-03-29 12:00:00,35.531469441211385,2018-03-29T12:00:00Z
sss|2018-04-01 12:00:00,NA,2018-04-01T12:00:00Z
sss|2018-04-04 12:00:00,36.22078473719265,2018-04-04T12:00:00Z
sss|2018-04-07 12:00:00,35.878383493250766,2018-04-07T12:00:00Z
sss|2018-04-10 12:00:00,37.00728512672002,2018-04-10T12:00:00Z
sss|2018-04-13 12:00:00,35.528679935808,2018-04-13T12:00:00Z
sss|2018-04-16 12:00:00,35.61156574973567,2018-04-16T12:00:00Z
sss|2018-04-19 12:00:00,34.735575259359166,2018-04-19T12:00:00Z
sss|2018-04-22 12:00:00,35.44646727877442,2018-04-22T12:00:00Z
sss|2018-04-25 12:00:00,36.51169365696879,2018-04-25T12:00:00Z
sss|2018-04-28 12:00:00,36.20480695431455,2018-04-28T12:00:00Z
sss|2018-05-01 12:00:00,35.791234113931495,2018-05-01T12:00:00Z
sss|2018-05-04 12:00:00,35.77701925889483,2018-05-04T12:00:00Z
sss|2018-05-07 12:00:00,35.81736845976019,2018-05-07T12:00:00Z
sss|2018-05-10 12:00:00,35.733837797941206,2018-05-10T12:00:00Z
sss|2018-05-13 12:00:00,33.906577503335335,2018-05-13T12:00:00Z
sss|2018-05-16 12:00:00,33.57803471537565,2018-05-16T12:00:00Z
sss|2018-05-19 12:00:00,34.34977201368064,2018-05-19T12:00:00Z
sss|2018-05-22 12:00:00,34.102180748555384,2018-05-22T12:00:00Z
sss|2018-05-25 12:00:00,34.48277288274105,2018-05-25T12:00:00Z
sss|2018-05-28 12:00:00,33.41385958382379,2018-05-28T12:00:00Z
sss|2018-05-31 12:00:00,32.572679852634764,2018-05-31T12:00:00Z
sss|2018-06-03 12:00:00,32.083612485208604,2018-06-03T12:00:00Z
sss|2018-06-06 12:00:00,31.92917263548547,2018-06-06T12:00:00Z
sss|2018-06-09 12:00:00,31.18946489912252,2018-06-09T12:00:00Z
sss|2018-06-12 12:00:00,32.936105165161884,2018-06-12T12:00:00Z
sss|2018-06-15 12:00:00,32.948195499674945,2018-06-15T12:00:00Z
sss|2018-06-18 12:00:00,33.43562790785291,2018-06-18T12:00:00Z
sss|2018-06-21 12:00:00,34.063922431275664,2018-06-21T12:00:00Z
sss|2018-06-24 12:00:00,33.461955508689485,2018-06-24T12:00:00Z
sss|2018-06-27 12:00:00,33.87870671712997,2018-06-27T12:00:00Z
sss|2018-06-30 12:00:00,33.465816010596264,2018-06-30T12:00:00Z
sss|2018-07-03 12:00:00,33.875724919048366,2018-07-03T12:00:00Z
sss|2018-07-06 12:00:00,34.44641643969999,2018-07-06T12:00:00Z
sss|2018-07-09 12:00:00,34.39239501953125,2018-07-09T12:00:00Z
sss|2018-07-12 12:00:00,35.248354403344564,2018-07-12T12:00:00Z
sss|2018-07-18 12:00:00,33.19347721333453,2018-07-18T12:00:00Z
sss|2018-07-21 12:00:00,33.19353456735093,2018-07-21T12:00:00Z
sss|2018-07-24 12:00:00,34.622028878306196,2018-07-24T12:00:00Z
sss|2018-07-27 12:00:00,35.315969780431764,2018-07-27T12:00:00Z
sss|2018-07-30 12:00:00,35.95014953613281,2018-07-30T12:00:00Z
sss|2018-08-02 12:00:00,35.34590206334252,2018-08-02T12:00:00Z
sss|2018-08-05 12:00:00,35.443523571061405,2018-08-05T12:00:00Z
sss|2018-08-08 12:00:00,36.256728386581294,2018-08-08T12:00:00Z
sss|2018-08-11 12:00:00,35.48895189555833,2018-08-11T12:00:00Z
sss|2018-08-14 12:00:00,35.79681209719127,2018-08-14T12:00:00Z
sss|2018-08-17 12:00:00,35.42545474988812,2018-08-17T12:00:00Z
sss|2018-08-20 12:00:00,36.59811075282387,2018-08-20T12:00:00Z
sss|2018-08-23 12:00:00,35.08360332653668,2018-08-23T12:00:00Z
sss|2018-08-26 12:00:00,35.296714852289135,2018-08-26T12:00:00Z
sss|2018-08-29 12:00:00,35.51092028549761,2018-08-29T12:00:00Z
sss|2018-09-01 12:00:00,34.828321937864,2018-09-01T12:00:00Z
