lyr,mean,time
sss|2014-01-01 12:00:00,36.08323310006869,2014-01-01T12:00:00Z
sss|2014-01-04 12:00:00,36.3952632351277,2014-01-04T12:00:00Z
sss|2014-01-07 12:00:00,36.10868701872032,2014-01-07T12:00:00Z
sss|2014-01-10 12:00:00,36.823372075118925,2014-01-10T12:00:00Z
sss|2014-01-13 12:00:00,NA,2014-01-13T12:00:00Z
sss|2014-01-16 12:00:00,37.50781886464748,2014-01-16T12:00:00Z
sss|2014-01-19 12:00:00,36.79963267957725,2014-01-19T12:00:00Z
sss|2014-01-22 12:00:00,36.520219519077365,2014-01-22T12:00:00Z
sss|2014-01-25 12:00:00,36.612125593650454,2014-01-25T12:00:00Z
sss|2014-01-28 12:00:00,NA,2014-01-28T12:00:00Z
sss|2014-01-31 12:00:00,NA,2014-01-31T12:00:00Z
sss|2014-02-03 12:00:00,35.240827014802505,2014-02-03T12:00:00Z
sss|2014-02-06 12:00:00,36.00592978276523,2014-02-06T12:00:00Z
sss|2014-02-09 12:00:00,37.06523906480554,2014-02-09T12:00:00Z
sss|2014-02-12 12:00:00,36.03185881222319,2014-02-12T12:00:00Z
sss|2014-02-15 12:00:00,36.88024785079372,2014-02-15T12:00:00Z
sss|2014-02-18 12:00:00,37.685294146526864,2014-02-18T12:00:00Z
sss|2014-02-21 12:00:00,37.63470355325619,2014-02-21T12:00:00Z
sss|2014-02-24 12:00:00,36.73525085801405,2014-02-24T12:00:00Z
sss|2014-02-27 12:00:00,37.095891760784504,2014-02-27T12:00:00Z
sss|2014-03-02 12:00:00,34.835368710147705,2014-03-02T12:00:00Z
sss|2014-03-05 12:00:00,36.45472132417668,2014-03-05T12:00:00Z
sss|2014-03-08 12:00:00,36.50060583119692,2014-03-08T12:00:00Z
sss|2014-03-11 12:00:00,NA,2014-03-11T12:00:00Z
sss|2014-03-14 12:00:00,36.150087117891076,2014-03-14T12:00:00Z
sss|2014-03-17 12:00:00,36.47091703435088,2014-03-17T12:00:00Z
sss|2014-03-20 12:00:00,34.7733014018585,2014-03-20T12:00:00Z
sss|2014-03-23 12:00:00,NA,2014-03-23T12:00:00Z
sss|2014-03-26 12:00:00,36.932338095105465,2014-03-26T12:00:00Z
sss|2014-03-29 12:00:00,35.9094384317962,2014-03-29T12:00:00Z
sss|2014-04-01 12:00:00,36.77943490038682,2014-04-01T12:00:00Z
sss|2014-04-04 12:00:00,35.87036535837549,2014-04-04T12:00:00Z
