lyr,mean,time
sss|2023-01-01 12:00:00,38.39708868834337,2023-01-01T12:00:00Z
sss|2023-01-04 12:00:00,32.143802840125126,2023-01-04T12:00:00Z
sss|2023-01-07 12:00:00,33.131284660028825,2023-01-07T12:00:00Z
sss|2023-01-10 12:00:00,NA,2023-01-10T12:00:00Z
sss|2023-01-13 12:00:00,32.26528695392421,2023-01-13T12:00:00Z
sss|2023-01-16 12:00:00,31.895321365274324,2023-01-16T12:00:00Z
sss|2023-01-19 12:00:00,32.03402782982504,2023-01-19T12:00:00Z
sss|2023-01-22 12:00:00,31.541438550195704,2023-01-22T12:00:00Z
sss|2023-01-25 12:00:00,33.51462983733976,2023-01-25T12:00:00Z
sss|2023-01-28 12:00:00,32.63242731895586,2023-01-28T12:00:00Z
sss|2023-01-31 12:00:00,33.495568127473774,2023-01-31T12:00:00Z
sss|2023-02-03 12:00:00,32.1041203275047,2023-02-03T12:00:00Z
sss|2023-02-06 12:00:00,32.12099744435421,2023-02-06T12:00:00Z
sss|2023-02-09 12:00:00,32.12940054285571,2023-02-09T12:00:00Z
sss|2023-02-12 12:00:00,33.111679931994345,2023-02-12T12:00:00Z
sss|2023-02-15 12:00:00,31.507093089392608,2023-02-15T12:00:00Z
sss|2023-02-18 12:00:00,33.045092406277305,2023-02-18T12:00:00Z
sss|2023-02-21 12:00:00,NA,2023-02-21T12:00:00Z
sss|2023-02-24 12:00:00,32.44329037185124,2023-02-24T12:00:00Z
sss|2023-02-27 12:00:00,32.77022787798807,2023-02-27T12:00:00Z
sss|2023-03-02 12:00:00,32.52544607089943,2023-03-02T12:00:00Z
sss|2023-03-05 12:00:00,35.153280614995765,2023-03-05T12:00:00Z
sss|2023-03-08 12:00:00,31.257406298764323,2023-03-08T12:00:00Z
sss|2023-03-11 12:00:00,34.10063320432033,2023-03-11T12:00:00Z
sss|2023-03-14 12:00:00,32.38158276794345,2023-03-14T12:00:00Z
sss|2023-03-17 12:00:00,32.150173926272096,2023-03-17T12:00:00Z
sss|2023-03-20 12:00:00,32.45117053532212,2023-03-20T12:00:00Z
sss|2023-03-23 12:00:00,32.754286063962006,2023-03-23T12:00:00Z
sss|2023-03-26 12:00:00,33.034829945207214,2023-03-26T12:00:00Z
sss|2023-03-29 12:00:00,31.942440496289148,2023-03-29T12:00:00Z
sss|2023-04-01 12:00:00,31.66597064727463,2023-04-01T12:00:00Z
sss|2023-04-04 12:00:00,32.70217104517372,2023-04-04T12:00:00Z
sss|2023-04-07 12:00:00,33.056373173698326,2023-04-07T12:00:00Z
sss|2023-04-10 12:00:00,33.72033056853883,2023-04-10T12:00:00Z
sss|2023-04-13 12:00:00,32.842602855671124,2023-04-13T12:00:00Z
sss|2023-04-16 12:00:00,32.416529172685436,2023-04-16T12:00:00Z
sss|2023-04-19 12:00:00,32.790720847115615,2023-04-19T12:00:00Z
sss|2023-04-22 12:00:00,32.67131360860783,2023-04-22T12:00:00Z
sss|2023-04-25 12:00:00,32.60502115592278,2023-04-25T12:00:00Z
sss|2023-04-28 12:00:00,34.855827108834475,2023-04-28T12:00:00Z
sss|2023-05-01 12:00:00,31.22725735150678,2023-05-01T12:00:00Z
sss|2023-05-10 12:00:00,32.94972635163684,2023-05-10T12:00:00Z
sss|2023-05-13 12:00:00,32.496132932397515,2023-05-13T12:00:00Z
sss|2023-05-16 12:00:00,33.05544376426471,2023-05-16T12:00:00Z
sss|2023-05-19 12:00:00,31.097289513357953,2023-05-19T12:00:00Z
sss|2023-05-22 12:00:00,31.933203835572044,2023-05-22T12:00:00Z
sss|2023-05-25 12:00:00,32.24712073986499,2023-05-25T12:00:00Z
sss|2023-05-28 12:00:00,32.82623327462192,2023-05-28T12:00:00Z
sss|2023-06-03 12:00:00,31.320911555845036,2023-06-03T12:00:00Z
sss|2023-06-06 12:00:00,31.81770422458055,2023-06-06T12:00:00Z
