lyr,mean,time
sss|2016-01-01 12:00:00,36.24390411376953,2016-01-01T12:00:00Z
sss|2016-01-04 12:00:00,36.44459533691406,2016-01-04T12:00:00Z
sss|2016-01-07 12:00:00,NA,2016-01-07T12:00:00Z
sss|2016-01-10 12:00:00,32.42681376943434,2016-01-10T12:00:00Z
sss|2016-01-13 12:00:00,NA,2016-01-13T12:00:00Z
sss|2016-01-16 12:00:00,34.072331739816754,2016-01-16T12:00:00Z
sss|2016-01-19 12:00:00,NA,2016-01-19T12:00:00Z
sss|2016-01-22 12:00:00,35.490615172783166,2016-01-22T12:00:00Z
sss|2016-01-25 12:00:00,NA,2016-01-25T12:00:00Z
sss|2016-01-28 12:00:00,32.98510515188822,2016-01-28T12:00:00Z
sss|2016-01-31 12:00:00,32.212114707245156,2016-01-31T12:00:00Z
sss|2016-02-03 12:00:00,NA,2016-02-03T12:00:00Z
sss|2016-02-06 12:00:00,NA,2016-02-06T12:00:00Z
sss|2016-02-09 12:00:00,34.02957534790039,2016-02-09T12:00:00Z
sss|2016-02-12 12:00:00,34.702518463134766,2016-02-12T12:00:00Z
sss|2016-02-15 12:00:00,33.81776428222656,2016-02-15T12:00:00Z
sss|2016-02-18 12:00:00,31.487489192071276,2016-02-18T12:00:00Z
sss|2016-02-21 12:00:00,33.60192396254539,2016-02-21T12:00:00Z
sss|2016-02-24 12:00:00,NA,2016-02-24T12:00:00Z
sss|2016-02-27 12:00:00,34.71501645329994,2016-02-27T12:00:00Z
sss|2016-03-01 12:00:00,34.058613538826854,2016-03-01T12:00:00Z
sss|2016-03-04 12:00:00,34.32359313964844,2016-03-04T12:00:00Z
sss|2016-03-07 12:00:00,NA,2016-03-07T12:00:00Z
sss|2016-03-10 12:00:00,NA,2016-03-10T12:00:00Z
sss|2016-03-13 12:00:00,NA,2016-03-13T12:00:00Z
sss|2016-03-16 12:00:00,33.533565521240234,2016-03-16T12:00:00Z
sss|2016-03-19 12:00:00,33.47553634643555,2016-03-19T12:00:00Z
sss|2016-03-22 12:00:00,34.54531478881836,2016-03-22T12:00:00Z
sss|2016-03-25 12:00:00,NA,2016-03-25T12:00:00Z
sss|2016-03-28 12:00:00,NA,2016-03-28T12:00:00Z
sss|2016-03-31 12:00:00,34.20818811691275,2016-03-31T12:00:00Z
sss|2016-04-03 12:00:00,35.73602669020823,2016-04-03T12:00:00Z
sss|2016-04-06 12:00:00,34.41873724170344,2016-04-06T12:00:00Z
sss|2016-04-09 12:00:00,34.95808410644531,2016-04-09T12:00:00Z
sss|2016-04-12 12:00:00,31.20124088903032,2016-04-12T12:00:00Z
sss|2016-04-15 12:00:00,33.84361502756859,2016-04-15T12:00:00Z
sss|2016-04-18 12:00:00,33.325463199185045,2016-04-18T12:00:00Z
sss|2016-04-21 12:00:00,36.162574768066406,2016-04-21T12:00:00Z
sss|2016-04-24 12:00:00,33.680932418608954,2016-04-24T12:00:00Z
sss|2016-04-27 12:00:00,34.27869223737998,2016-04-27T12:00:00Z
sss|2016-04-30 12:00:00,33.59443180762624,2016-04-30T12:00:00Z
sss|2016-05-03 12:00:00,34.34816360473633,2016-05-03T12:00:00Z
sss|2016-05-06 12:00:00,32.36270035660849,2016-05-06T12:00:00Z
sss|2016-05-09 12:00:00,33.90650939941406,2016-05-09T12:00:00Z
sss|2016-05-12 12:00:00,34.278525018289955,2016-05-12T12:00:00Z
sss|2016-05-15 12:00:00,NA,2016-05-15T12:00:00Z
sss|2016-05-18 12:00:00,33.987191110298646,2016-05-18T12:00:00Z
sss|2016-05-21 12:00:00,NA,2016-05-21T12:00:00Z
sss|2016-05-24 12:00:00,33.25778907063197,2016-05-24T12:00:00Z
sss|2016-05-27 12:00:00,NA,2016-05-27T12:00:00Z
sss|2016-05-30 12:00:00,35.23794180736655,2016-05-30T12:00:00Z
sss|2016-06-02 12:00:00,33.91149139404297,2016-06-02T12:00:00Z
sss|2016-06-05 12:00:00,33.61042898329123,2016-06-05T12:00:00Z
sss|2016-06-08 12:00:00,35.41679000854492,2016-06-08T12:00:00Z
sss|2016-06-11 12:00:00,32.696622812209114,2016-06-11T12:00:00Z
sss|2016-06-14 12:00:00,NA,2016-06-14T12:00:00Z
sss|2016-06-17 12:00:00,34.87356290071979,2016-06-17T12:00:00Z
sss|2016-06-20 12:00:00,NA,2016-06-20T12:00:00Z
sss|2016-06-23 12:00:00,34.68699908781169,2016-06-23T12:00:00Z
sss|2016-06-26 12:00:00,NA,2016-06-26T12:00:00Z
sss|2016-06-29 12:00:00,NA,2016-06-29T12:00:00Z
sss|2016-07-02 12:00:00,NA,2016-07-02T12:00:00Z
sss|2016-07-05 12:00:00,33.42796423236969,2016-07-05T12:00:00Z
sss|2016-07-08 12:00:00,NA,2016-07-08T12:00:00Z
sss|2016-07-11 12:00:00,34.09726699894994,2016-07-11T12:00:00Z
sss|2016-07-14 12:00:00,NA,2016-07-14T12:00:00Z
sss|2016-07-17 12:00:00,35.477474212646484,2016-07-17T12:00:00Z
sss|2016-07-20 12:00:00,35.44646072387695,2016-07-20T12:00:00Z
sss|2016-07-23 12:00:00,32.93942142670771,2016-07-23T12:00:00Z
sss|2016-07-26 12:00:00,32.68160629272461,2016-07-26T12:00:00Z
sss|2016-07-29 12:00:00,32.77137303686648,2016-07-29T12:00:00Z
sss|2016-08-01 12:00:00,35.07181930541992,2016-08-01T12:00:00Z
sss|2016-08-04 12:00:00,33.377769470214844,2016-08-04T12:00:00Z
sss|2016-08-07 12:00:00,NA,2016-08-07T12:00:00Z
sss|2016-08-10 12:00:00,34.47063682845598,2016-08-10T12:00:00Z
sss|2016-08-13 12:00:00,34.420799255371094,2016-08-13T12:00:00Z
sss|2016-08-19 12:00:00,NA,2016-08-19T12:00:00Z
