lyr,mean,time
sss|2013-01-01 12:00:00,32.80039584621171,2013-01-01T12:00:00Z
sss|2013-01-04 12:00:00,33.890111474520445,2013-01-04T12:00:00Z
sss|2013-01-07 12:00:00,33.55323364941093,2013-01-07T12:00:00Z
sss|2013-01-10 12:00:00,NA,2013-01-10T12:00:00Z
sss|2013-01-13 12:00:00,37.27093505859375,2013-01-13T12:00:00Z
sss|2013-01-16 12:00:00,32.56660036124652,2013-01-16T12:00:00Z
sss|2013-01-19 12:00:00,NA,2013-01-19T12:00:00Z
sss|2013-01-22 12:00:00,32.74910006340297,2013-01-22T12:00:00Z
sss|2013-01-25 12:00:00,31.73928121839764,2013-01-25T12:00:00Z
sss|2013-01-28 12:00:00,NA,2013-01-28T12:00:00Z
sss|2013-01-31 12:00:00,33.9866650657407,2013-01-31T12:00:00Z
sss|2013-02-03 12:00:00,33.503314596322724,2013-02-03T12:00:00Z
sss|2013-02-06 12:00:00,32.84974208363209,2013-02-06T12:00:00Z
sss|2013-02-09 12:00:00,33.25755008388545,2013-02-09T12:00:00Z
sss|2013-02-12 12:00:00,33.4778505808189,2013-02-12T12:00:00Z
sss|2013-02-15 12:00:00,NA,2013-02-15T12:00:00Z
sss|2013-02-18 12:00:00,33.81116964999805,2013-02-18T12:00:00Z
sss|2013-02-21 12:00:00,34.082817078576824,2013-02-21T12:00:00Z
sss|2013-02-24 12:00:00,32.66655812065806,2013-02-24T12:00:00Z
sss|2013-02-27 12:00:00,32.701878894807635,2013-02-27T12:00:00Z
sss|2013-03-02 12:00:00,32.83851064692814,2013-03-02T12:00:00Z
sss|2013-03-05 12:00:00,31.61843385723583,2013-03-05T12:00:00Z
sss|2013-03-08 12:00:00,33.04899497376277,2013-03-08T12:00:00Z
sss|2013-03-11 12:00:00,32.952201577648324,2013-03-11T12:00:00Z
sss|2013-03-14 12:00:00,33.84715612927874,2013-03-14T12:00:00Z
sss|2013-03-17 12:00:00,33.65720501197703,2013-03-17T12:00:00Z
sss|2013-03-20 12:00:00,33.782211835956915,2013-03-20T12:00:00Z
sss|2013-03-23 12:00:00,31.774570547342545,2013-03-23T12:00:00Z
sss|2013-03-26 12:00:00,33.900572413229476,2013-03-26T12:00:00Z
sss|2013-03-29 12:00:00,33.889863634069805,2013-03-29T12:00:00Z
sss|2013-04-01 12:00:00,32.21473777168285,2013-04-01T12:00:00Z
sss|2013-04-04 12:00:00,34.79596682845169,2013-04-04T12:00:00Z
sss|2013-04-07 12:00:00,33.14227243495953,2013-04-07T12:00:00Z
sss|2013-04-10 12:00:00,33.04835484115507,2013-04-10T12:00:00Z
sss|2013-04-13 12:00:00,NA,2013-04-13T12:00:00Z
sss|2013-04-16 12:00:00,33.27617935631914,2013-04-16T12:00:00Z
sss|2013-04-19 12:00:00,32.323582766811306,2013-04-19T12:00:00Z
sss|2013-04-22 12:00:00,32.38219133392845,2013-04-22T12:00:00Z
sss|2013-04-25 12:00:00,33.74840467817703,2013-04-25T12:00:00Z
sss|2013-04-28 12:00:00,32.5463838761766,2013-04-28T12:00:00Z
sss|2013-05-01 12:00:00,32.83771164798625,2013-05-01T12:00:00Z
sss|2013-05-04 12:00:00,33.43439501387615,2013-05-04T12:00:00Z
sss|2013-05-07 12:00:00,33.08902274120168,2013-05-07T12:00:00Z
sss|2013-05-10 12:00:00,32.72122633208271,2013-05-10T12:00:00Z
