lyr,mean,time
sss|2013-01-01 12:00:00,33.37067296878567,2013-01-01T12:00:00Z
sss|2013-01-04 12:00:00,35.523529799679146,2013-01-04T12:00:00Z
sss|2013-01-07 12:00:00,33.314129841409255,2013-01-07T12:00:00Z
sss|2013-01-10 12:00:00,NA,2013-01-10T12:00:00Z
sss|2013-01-13 12:00:00,34.47990075128682,2013-01-13T12:00:00Z
sss|2013-01-16 12:00:00,33.26072498800514,2013-01-16T12:00:00Z
sss|2013-01-19 12:00:00,33.17973147502028,2013-01-19T12:00:00Z
sss|2013-01-22 12:00:00,34.52438525322767,2013-01-22T12:00:00Z
sss|2013-01-25 12:00:00,32.99038914976562,2013-01-25T12:00:00Z
sss|2013-01-28 12:00:00,NA,2013-01-28T12:00:00Z
sss|2013-01-31 12:00:00,33.978347972335044,2013-01-31T12:00:00Z
sss|2013-02-03 12:00:00,33.49786409753756,2013-02-03T12:00:00Z
sss|2013-02-06 12:00:00,33.01076557668428,2013-02-06T12:00:00Z
sss|2013-02-09 12:00:00,33.6903369995274,2013-02-09T12:00:00Z
sss|2013-02-12 12:00:00,32.84911336587847,2013-02-12T12:00:00Z
sss|2013-02-15 12:00:00,34.377595422586346,2013-02-15T12:00:00Z
sss|2013-02-18 12:00:00,33.88805583365073,2013-02-18T12:00:00Z
sss|2013-02-21 12:00:00,34.17688308977306,2013-02-21T12:00:00Z
sss|2013-02-24 12:00:00,33.166250214601526,2013-02-24T12:00:00Z
sss|2013-02-27 12:00:00,32.99444088801966,2013-02-27T12:00:00Z
sss|2013-03-02 12:00:00,32.98864347864936,2013-03-02T12:00:00Z
sss|2013-03-05 12:00:00,32.09294930907307,2013-03-05T12:00:00Z
sss|2013-03-08 12:00:00,33.43943677758073,2013-03-08T12:00:00Z
sss|2013-03-11 12:00:00,33.97837121184597,2013-03-11T12:00:00Z
sss|2013-03-14 12:00:00,33.3940626930777,2013-03-14T12:00:00Z
sss|2013-03-17 12:00:00,33.45035216747904,2013-03-17T12:00:00Z
sss|2013-03-20 12:00:00,34.336702257875324,2013-03-20T12:00:00Z
sss|2013-03-23 12:00:00,32.92392674397448,2013-03-23T12:00:00Z
sss|2013-03-26 12:00:00,34.292332638285735,2013-03-26T12:00:00Z
sss|2013-03-29 12:00:00,33.501623724316076,2013-03-29T12:00:00Z
sss|2013-04-01 12:00:00,33.22253028213124,2013-04-01T12:00:00Z
sss|2013-04-04 12:00:00,35.238944613122314,2013-04-04T12:00:00Z
sss|2013-04-07 12:00:00,33.767300862512016,2013-04-07T12:00:00Z
sss|2013-04-10 12:00:00,33.19812873283121,2013-04-10T12:00:00Z
sss|2013-04-13 12:00:00,33.217911599809646,2013-04-13T12:00:00Z
sss|2013-04-16 12:00:00,33.1347510142709,2013-04-16T12:00:00Z
sss|2013-04-19 12:00:00,33.8862483032528,2013-04-19T12:00:00Z
sss|2013-04-22 12:00:00,33.31097227412639,2013-04-22T12:00:00Z
sss|2013-04-25 12:00:00,33.25228349896815,2013-04-25T12:00:00Z
sss|2013-04-28 12:00:00,34.05843652945742,2013-04-28T12:00:00Z
sss|2013-05-01 12:00:00,33.9336413405717,2013-05-01T12:00:00Z
sss|2013-05-04 12:00:00,33.67800621681419,2013-05-04T12:00:00Z
