lyr,mean,time
sss|2016-01-01 12:00:00,NA,2016-01-01T12:00:00Z
sss|2016-01-04 12:00:00,34.888657195657544,2016-01-04T12:00:00Z
sss|2016-01-07 12:00:00,NA,2016-01-07T12:00:00Z
sss|2016-01-10 12:00:00,34.83888198267576,2016-01-10T12:00:00Z
sss|2016-01-13 12:00:00,31.889623641967773,2016-01-13T12:00:00Z
sss|2016-01-16 12:00:00,37.28794504874066,2016-01-16T12:00:00Z
sss|2016-01-19 12:00:00,39.133358001708984,2016-01-19T12:00:00Z
sss|2016-01-22 12:00:00,39.455465857497494,2016-01-22T12:00:00Z
sss|2016-01-25 12:00:00,NA,2016-01-25T12:00:00Z
sss|2016-01-28 12:00:00,NA,2016-01-28T12:00:00Z
sss|2016-01-31 12:00:00,35.01326118315971,2016-01-31T12:00:00Z
sss|2016-02-03 12:00:00,38.62970483145858,2016-02-03T12:00:00Z
sss|2016-02-06 12:00:00,30.579849889969534,2016-02-06T12:00:00Z
sss|2016-02-09 12:00:00,38.32710647583008,2016-02-09T12:00:00Z
sss|2016-02-12 12:00:00,35.422828674316406,2016-02-12T12:00:00Z
sss|2016-02-15 12:00:00,35.24575424194336,2016-02-15T12:00:00Z
sss|2016-02-18 12:00:00,35.057003021240234,2016-02-18T12:00:00Z
sss|2016-02-21 12:00:00,NA,2016-02-21T12:00:00Z
sss|2016-02-24 12:00:00,39.42981658119382,2016-02-24T12:00:00Z
sss|2016-02-27 12:00:00,35.05090335635424,2016-02-27T12:00:00Z
sss|2016-03-01 12:00:00,NA,2016-03-01T12:00:00Z
sss|2016-03-04 12:00:00,NA,2016-03-04T12:00:00Z
sss|2016-03-07 12:00:00,37.84351448716879,2016-03-07T12:00:00Z
sss|2016-03-10 12:00:00,37.95706558227539,2016-03-10T12:00:00Z
sss|2016-03-13 12:00:00,NA,2016-03-13T12:00:00Z
sss|2016-03-16 12:00:00,35.97133132635049,2016-03-16T12:00:00Z
sss|2016-03-19 12:00:00,36.85371730210082,2016-03-19T12:00:00Z
sss|2016-03-22 12:00:00,36.26166924942235,2016-03-22T12:00:00Z
sss|2016-03-25 12:00:00,36.56547997949971,2016-03-25T12:00:00Z
sss|2016-03-28 12:00:00,34.79121810437625,2016-03-28T12:00:00Z
sss|2016-03-31 12:00:00,39.10240936279297,2016-03-31T12:00:00Z
sss|2016-04-03 12:00:00,NA,2016-04-03T12:00:00Z
