lyr,mean,time
analysed_sst|2006-01-01 12:00:00,13.022905151383453,2006-01-01T12:00:00Z
analysed_sst|2006-01-02 12:00:00,13.0447871143596,2006-01-02T12:00:00Z
analysed_sst|2006-01-03 12:00:00,12.708716093160772,2006-01-03T12:00:00Z
analysed_sst|2006-01-04 12:00:00,12.76206927825991,2006-01-04T12:00:00Z
analysed_sst|2006-01-05 12:00:00,12.827637621933958,2006-01-05T12:00:00Z
analysed_sst|2006-01-06 12:00:00,12.755299047687553,2006-01-06T12:00:00Z
analysed_sst|2006-01-07 12:00:00,12.834921550550233,2006-01-07T12:00:00Z
analysed_sst|2006-01-08 12:00:00,12.661609794436833,2006-01-08T12:00:00Z
analysed_sst|2006-01-09 12:00:00,12.843288965870363,2006-01-09T12:00:00Z
analysed_sst|2006-01-10 12:00:00,12.670620811185414,2006-01-10T12:00:00Z
analysed_sst|2006-01-11 12:00:00,12.568387336886742,2006-01-11T12:00:00Z
analysed_sst|2006-01-12 12:00:00,12.607795500560188,2006-01-12T12:00:00Z
analysed_sst|2006-01-13 12:00:00,12.513440442881004,2006-01-13T12:00:00Z
analysed_sst|2006-01-14 12:00:00,12.476586564172884,2006-01-14T12:00:00Z
analysed_sst|2006-01-15 12:00:00,12.47880545552586,2006-01-15T12:00:00Z
analysed_sst|2006-01-16 12:00:00,12.38908399649689,2006-01-16T12:00:00Z
analysed_sst|2006-01-17 12:00:00,12.192705410377657,2006-01-17T12:00:00Z
analysed_sst|2006-01-18 12:00:00,12.2777988973295,2006-01-18T12:00:00Z
analysed_sst|2006-01-19 12:00:00,12.348726156531566,2006-01-19T12:00:00Z
analysed_sst|2006-01-20 12:00:00,12.387626828879831,2006-01-20T12:00:00Z
analysed_sst|2006-01-21 12:00:00,12.127700282216512,2006-01-21T12:00:00Z
analysed_sst|2006-01-22 12:00:00,12.248395494187303,2006-01-22T12:00:00Z
analysed_sst|2006-01-23 12:00:00,12.264420023690743,2006-01-23T12:00:00Z
analysed_sst|2006-01-24 12:00:00,12.31291637449295,2006-01-24T12:00:00Z
analysed_sst|2006-01-25 12:00:00,12.31770391983177,2006-01-25T12:00:00Z
analysed_sst|2006-01-26 12:00:00,12.28427545692393,2006-01-26T12:00:00Z
analysed_sst|2006-01-27 12:00:00,12.307649706308311,2006-01-27T12:00:00Z
analysed_sst|2006-01-28 12:00:00,12.501614478896641,2006-01-28T12:00:00Z
analysed_sst|2006-01-29 12:00:00,12.373503917518695,2006-01-29T12:00:00Z
analysed_sst|2006-01-30 12:00:00,12.606674800943983,2006-01-30T12:00:00Z
analysed_sst|2006-01-31 12:00:00,12.135810588660723,2006-01-31T12:00:00Z
analysed_sst|2006-02-01 12:00:00,12.419037786207863,2006-02-01T12:00:00Z
analysed_sst|2006-02-02 12:00:00,12.489435857425534,2006-02-02T12:00:00Z
analysed_sst|2006-02-03 12:00:00,12.47303793719213,2006-02-03T12:00:00Z
analysed_sst|2006-02-04 12:00:00,12.646867025415292,2006-02-04T12:00:00Z
analysed_sst|2006-02-05 12:00:00,12.78803064740766,2006-02-05T12:00:00Z
analysed_sst|2006-02-06 12:00:00,12.534354145973401,2006-02-06T12:00:00Z
analysed_sst|2006-02-07 12:00:00,12.897250728309965,2006-02-07T12:00:00Z
analysed_sst|2006-02-08 12:00:00,12.845810808584247,2006-02-08T12:00:00Z
analysed_sst|2006-02-09 12:00:00,12.683251184188562,2006-02-09T12:00:00Z
analysed_sst|2006-02-10 12:00:00,12.633054524877183,2006-02-10T12:00:00Z
analysed_sst|2006-02-11 12:00:00,12.498296848227927,2006-02-11T12:00:00Z
analysed_sst|2006-02-12 12:00:00,12.467053460656384,2006-02-12T12:00:00Z
analysed_sst|2006-02-13 12:00:00,12.503464155878687,2006-02-13T12:00:00Z
analysed_sst|2006-02-14 12:00:00,12.449372987206095,2006-02-14T12:00:00Z
analysed_sst|2006-02-15 12:00:00,11.56109860646868,2006-02-15T12:00:00Z
analysed_sst|2006-02-16 12:00:00,11.270187144282952,2006-02-16T12:00:00Z
analysed_sst|2006-02-17 12:00:00,11.687490235676524,2006-02-17T12:00:00Z
analysed_sst|2006-02-18 12:00:00,11.712511628046474,2006-02-18T12:00:00Z
analysed_sst|2006-02-19 12:00:00,11.670244786267267,2006-02-19T12:00:00Z
analysed_sst|2006-02-20 12:00:00,11.773817744540166,2006-02-20T12:00:00Z
