lyr,mean,time
analysed_sst|2011-01-01 12:00:00,12.726916895574524,2011-01-01T12:00:00Z
analysed_sst|2011-01-02 12:00:00,12.954949542230766,2011-01-02T12:00:00Z
analysed_sst|2011-01-03 12:00:00,12.782637491169174,2011-01-03T12:00:00Z
analysed_sst|2011-01-04 12:00:00,12.521568797903498,2011-01-04T12:00:00Z
analysed_sst|2011-01-05 12:00:00,12.446868218620692,2011-01-05T12:00:00Z
analysed_sst|2011-01-06 12:00:00,12.56486421281597,2011-01-06T12:00:00Z
analysed_sst|2011-01-07 12:00:00,12.473713306775018,2011-01-07T12:00:00Z
analysed_sst|2011-01-08 12:00:00,12.430250234497773,2011-01-08T12:00:00Z
analysed_sst|2011-01-09 12:00:00,12.382724176904484,2011-01-09T12:00:00Z
analysed_sst|2011-01-10 12:00:00,12.090667219439707,2011-01-10T12:00:00Z
analysed_sst|2011-01-11 12:00:00,12.183728670470641,2011-01-11T12:00:00Z
analysed_sst|2011-01-12 12:00:00,12.239740129760943,2011-01-12T12:00:00Z
analysed_sst|2011-01-13 12:00:00,12.351167706324455,2011-01-13T12:00:00Z
analysed_sst|2011-01-14 12:00:00,12.449555117083786,2011-01-14T12:00:00Z
analysed_sst|2011-01-15 12:00:00,12.678635109142169,2011-01-15T12:00:00Z
analysed_sst|2011-01-16 12:00:00,12.887181866953874,2011-01-16T12:00:00Z
analysed_sst|2011-01-17 12:00:00,13.26639003931897,2011-01-17T12:00:00Z
analysed_sst|2011-01-18 12:00:00,13.15217626709349,2011-01-18T12:00:00Z
analysed_sst|2011-01-19 12:00:00,13.124056457795852,2011-01-19T12:00:00Z
analysed_sst|2011-01-20 12:00:00,12.94608017870226,2011-01-20T12:00:00Z
analysed_sst|2011-01-21 12:00:00,13.160908007341815,2011-01-21T12:00:00Z
analysed_sst|2011-01-22 12:00:00,13.340349044325396,2011-01-22T12:00:00Z
analysed_sst|2011-01-23 12:00:00,13.246711246187331,2011-01-23T12:00:00Z
analysed_sst|2011-01-24 12:00:00,13.22362422390476,2011-01-24T12:00:00Z
analysed_sst|2011-01-25 12:00:00,13.381269030530943,2011-01-25T12:00:00Z
analysed_sst|2011-01-26 12:00:00,13.629458198213134,2011-01-26T12:00:00Z
analysed_sst|2011-01-27 12:00:00,13.638563666897783,2011-01-27T12:00:00Z
analysed_sst|2011-01-28 12:00:00,13.80366829158722,2011-01-28T12:00:00Z
analysed_sst|2011-01-29 12:00:00,13.775618496036012,2011-01-29T12:00:00Z
analysed_sst|2011-01-30 12:00:00,13.397772768278418,2011-01-30T12:00:00Z
analysed_sst|2011-01-31 12:00:00,13.285379956745347,2011-01-31T12:00:00Z
analysed_sst|2011-02-01 12:00:00,13.29498476720291,2011-02-01T12:00:00Z
analysed_sst|2011-02-02 12:00:00,13.273824580226494,2011-02-02T12:00:00Z
analysed_sst|2011-02-03 12:00:00,13.125631048273616,2011-02-03T12:00:00Z
analysed_sst|2011-02-04 12:00:00,13.173525804137263,2011-02-04T12:00:00Z
analysed_sst|2011-02-05 12:00:00,13.369695218576824,2011-02-05T12:00:00Z
analysed_sst|2011-02-06 12:00:00,13.334497777067329,2011-02-06T12:00:00Z
analysed_sst|2011-02-07 12:00:00,13.511651132151385,2011-02-07T12:00:00Z
analysed_sst|2011-02-08 12:00:00,13.449260185309154,2011-02-08T12:00:00Z
analysed_sst|2011-02-09 12:00:00,13.107963435742578,2011-02-09T12:00:00Z
analysed_sst|2011-02-10 12:00:00,13.100637568763464,2011-02-10T12:00:00Z
analysed_sst|2011-02-11 12:00:00,13.374169617034006,2011-02-11T12:00:00Z
analysed_sst|2011-02-12 12:00:00,13.68596153659325,2011-02-12T12:00:00Z
analysed_sst|2011-02-13 12:00:00,13.730851473853695,2011-02-13T12:00:00Z
analysed_sst|2011-02-14 12:00:00,13.372748070068893,2011-02-14T12:00:00Z
analysed_sst|2011-02-15 12:00:00,13.513932881841255,2011-02-15T12:00:00Z
analysed_sst|2011-02-16 12:00:00,13.638899864505676,2011-02-16T12:00:00Z
analysed_sst|2011-02-17 12:00:00,13.27074779814508,2011-02-17T12:00:00Z
analysed_sst|2011-02-18 12:00:00,13.268467883025176,2011-02-18T12:00:00Z
analysed_sst|2011-02-19 12:00:00,12.876626111669704,2011-02-19T12:00:00Z
analysed_sst|2011-02-20 12:00:00,12.73936689842384,2011-02-20T12:00:00Z
analysed_sst|2011-02-21 12:00:00,12.5565116697304,2011-02-21T12:00:00Z
analysed_sst|2011-02-22 12:00:00,12.79289794051401,2011-02-22T12:00:00Z
analysed_sst|2011-02-23 12:00:00,12.92571816718174,2011-02-23T12:00:00Z
analysed_sst|2011-02-24 12:00:00,12.892434015387511,2011-02-24T12:00:00Z
analysed_sst|2011-02-25 12:00:00,12.869569605326364,2011-02-25T12:00:00Z
analysed_sst|2011-02-26 12:00:00,12.724177437371287,2011-02-26T12:00:00Z
analysed_sst|2011-02-27 12:00:00,12.580983841711289,2011-02-27T12:00:00Z
analysed_sst|2011-02-28 12:00:00,12.6258740213836,2011-02-28T12:00:00Z
analysed_sst|2011-03-01 12:00:00,12.731680451560852,2011-03-01T12:00:00Z
analysed_sst|2011-03-02 12:00:00,12.746545525035263,2011-03-02T12:00:00Z
analysed_sst|2011-03-03 12:00:00,12.895688799228415,2011-03-03T12:00:00Z
analysed_sst|2011-03-04 12:00:00,12.8132182992629,2011-03-04T12:00:00Z
analysed_sst|2011-03-05 12:00:00,12.90626775989159,2011-03-05T12:00:00Z
analysed_sst|2011-03-06 12:00:00,12.72861562902594,2011-03-06T12:00:00Z
analysed_sst|2011-03-07 12:00:00,12.649672548477497,2011-03-07T12:00:00Z
analysed_sst|2011-03-08 12:00:00,12.05076239300616,2011-03-08T12:00:00Z
analysed_sst|2011-03-09 12:00:00,12.292015392846375,2011-03-09T12:00:00Z
analysed_sst|2011-03-10 12:00:00,12.519236592943036,2011-03-10T12:00:00Z
analysed_sst|2011-03-11 12:00:00,12.231709788182116,2011-03-11T12:00:00Z
analysed_sst|2011-03-12 12:00:00,11.898650691025795,2011-03-12T12:00:00Z
analysed_sst|2011-03-13 12:00:00,11.969375479449058,2011-03-13T12:00:00Z
analysed_sst|2011-03-14 12:00:00,11.794669530786834,2011-03-14T12:00:00Z
analysed_sst|2011-03-15 12:00:00,11.783901287202168,2011-03-15T12:00:00Z
analysed_sst|2011-03-16 12:00:00,11.859340655790259,2011-03-16T12:00:00Z
analysed_sst|2011-03-17 12:00:00,11.829402687704896,2011-03-17T12:00:00Z
analysed_sst|2011-03-18 12:00:00,11.678855850505336,2011-03-18T12:00:00Z
analysed_sst|2011-03-19 12:00:00,11.893078260963255,2011-03-19T12:00:00Z
analysed_sst|2011-03-20 12:00:00,12.068387442463258,2011-03-20T12:00:00Z
analysed_sst|2011-03-21 12:00:00,11.999479632754685,2011-03-21T12:00:00Z
analysed_sst|2011-03-22 12:00:00,11.984584154221562,2011-03-22T12:00:00Z
analysed_sst|2011-03-23 12:00:00,12.095336587618231,2011-03-23T12:00:00Z
analysed_sst|2011-03-24 12:00:00,11.903955109768138,2011-03-24T12:00:00Z
analysed_sst|2011-03-25 12:00:00,12.38605242473781,2011-03-25T12:00:00Z
analysed_sst|2011-03-26 12:00:00,12.20614437854367,2011-03-26T12:00:00Z
analysed_sst|2011-03-27 12:00:00,12.680589794013772,2011-03-27T12:00:00Z
analysed_sst|2011-03-28 12:00:00,12.734408293360033,2011-03-28T12:00:00Z
analysed_sst|2011-03-29 12:00:00,12.631820255578912,2011-03-29T12:00:00Z
analysed_sst|2011-03-30 12:00:00,12.800476389788521,2011-03-30T12:00:00Z
analysed_sst|2011-03-31 12:00:00,13.19286750585834,2011-03-31T12:00:00Z
analysed_sst|2011-04-01 12:00:00,13.746040372605838,2011-04-01T12:00:00Z
analysed_sst|2011-04-02 12:00:00,13.781244836209916,2011-04-02T12:00:00Z
analysed_sst|2011-04-03 12:00:00,13.570787440991918,2011-04-03T12:00:00Z
analysed_sst|2011-04-04 12:00:00,13.647744087161598,2011-04-04T12:00:00Z
analysed_sst|2011-04-05 12:00:00,13.889933417682833,2011-04-05T12:00:00Z
analysed_sst|2011-04-06 12:00:00,13.643827100015827,2011-04-06T12:00:00Z
analysed_sst|2011-04-07 12:00:00,13.170894663652348,2011-04-07T12:00:00Z
analysed_sst|2011-04-08 12:00:00,12.466052194700366,2011-04-08T12:00:00Z
analysed_sst|2011-04-09 12:00:00,12.487618785028372,2011-04-09T12:00:00Z
analysed_sst|2011-04-10 12:00:00,12.82262583761355,2011-04-10T12:00:00Z
analysed_sst|2011-04-11 12:00:00,13.042927019457116,2011-04-11T12:00:00Z
analysed_sst|2011-04-12 12:00:00,12.945698313108846,2011-04-12T12:00:00Z
analysed_sst|2011-04-13 12:00:00,12.927766036228158,2011-04-13T12:00:00Z
analysed_sst|2011-04-14 12:00:00,12.488157270137304,2011-04-14T12:00:00Z
analysed_sst|2011-04-15 12:00:00,13.143621773678294,2011-04-15T12:00:00Z
