lyr,mean,time
analysed_sst|2001-01-01 12:00:00,21.772564002571794,2001-01-01T12:00:00Z
analysed_sst|2001-01-02 12:00:00,21.683575595890982,2001-01-02T12:00:00Z
analysed_sst|2001-01-03 12:00:00,21.083800020291967,2001-01-03T12:00:00Z
analysed_sst|2001-01-04 12:00:00,21.031949586426443,2001-01-04T12:00:00Z
analysed_sst|2001-01-05 12:00:00,20.971485984581697,2001-01-05T12:00:00Z
analysed_sst|2001-01-06 12:00:00,20.81499660366749,2001-01-06T12:00:00Z
analysed_sst|2001-01-07 12:00:00,20.827536613522202,2001-01-07T12:00:00Z
analysed_sst|2001-01-08 12:00:00,20.793571695178905,2001-01-08T12:00:00Z
analysed_sst|2001-01-09 12:00:00,20.733416669877887,2001-01-09T12:00:00Z
analysed_sst|2001-01-10 12:00:00,20.831598412189447,2001-01-10T12:00:00Z
analysed_sst|2001-01-11 12:00:00,20.82712339982163,2001-01-11T12:00:00Z
analysed_sst|2001-01-12 12:00:00,20.76077291178458,2001-01-12T12:00:00Z
analysed_sst|2001-01-13 12:00:00,20.671749871737273,2001-01-13T12:00:00Z
analysed_sst|2001-01-14 12:00:00,20.613209732367256,2001-01-14T12:00:00Z
analysed_sst|2001-01-15 12:00:00,20.59560368684202,2001-01-15T12:00:00Z
analysed_sst|2001-01-16 12:00:00,20.580851286277618,2001-01-16T12:00:00Z
analysed_sst|2001-01-17 12:00:00,21.01511576901485,2001-01-17T12:00:00Z
analysed_sst|2001-01-18 12:00:00,21.031818545349307,2001-01-18T12:00:00Z
analysed_sst|2001-01-19 12:00:00,20.829144316687415,2001-01-19T12:00:00Z
analysed_sst|2001-01-20 12:00:00,20.094298958018264,2001-01-20T12:00:00Z
analysed_sst|2001-01-21 12:00:00,20.308824351157757,2001-01-21T12:00:00Z
analysed_sst|2001-01-22 12:00:00,20.192305173196846,2001-01-22T12:00:00Z
analysed_sst|2001-01-23 12:00:00,20.23246532018741,2001-01-23T12:00:00Z
analysed_sst|2001-01-24 12:00:00,20.14061014063184,2001-01-24T12:00:00Z
analysed_sst|2001-01-25 12:00:00,19.886446867689717,2001-01-25T12:00:00Z
analysed_sst|2001-01-26 12:00:00,20.034596587849382,2001-01-26T12:00:00Z
analysed_sst|2001-01-27 12:00:00,20.595295909544056,2001-01-27T12:00:00Z
analysed_sst|2001-01-28 12:00:00,20.86816046533707,2001-01-28T12:00:00Z
analysed_sst|2001-01-29 12:00:00,20.90388061019639,2001-01-29T12:00:00Z
analysed_sst|2001-01-30 12:00:00,20.8975903650544,2001-01-30T12:00:00Z
analysed_sst|2001-01-31 12:00:00,21.086649611383436,2001-01-31T12:00:00Z
analysed_sst|2001-02-01 12:00:00,21.071783525405987,2001-02-01T12:00:00Z
analysed_sst|2001-02-02 12:00:00,20.962466282630324,2001-02-02T12:00:00Z
analysed_sst|2001-02-03 12:00:00,19.780240138013795,2001-02-03T12:00:00Z
analysed_sst|2001-02-04 12:00:00,20.05042208988014,2001-02-04T12:00:00Z
analysed_sst|2001-02-05 12:00:00,20.39752275041188,2001-02-05T12:00:00Z
analysed_sst|2001-02-06 12:00:00,20.55891318799722,2001-02-06T12:00:00Z
analysed_sst|2001-02-07 12:00:00,20.668813094066707,2001-02-07T12:00:00Z
analysed_sst|2001-02-08 12:00:00,20.28586296375214,2001-02-08T12:00:00Z
analysed_sst|2001-02-09 12:00:00,20.3657409238598,2001-02-09T12:00:00Z
analysed_sst|2001-02-10 12:00:00,20.517527366445204,2001-02-10T12:00:00Z
analysed_sst|2001-02-11 12:00:00,20.494845839551605,2001-02-11T12:00:00Z
analysed_sst|2001-02-12 12:00:00,20.467008374257752,2001-02-12T12:00:00Z
analysed_sst|2001-02-13 12:00:00,20.836716349048828,2001-02-13T12:00:00Z
analysed_sst|2001-02-14 12:00:00,20.803582018017025,2001-02-14T12:00:00Z
analysed_sst|2001-02-15 12:00:00,20.83878641265793,2001-02-15T12:00:00Z
analysed_sst|2001-02-16 12:00:00,20.680690964436852,2001-02-16T12:00:00Z
analysed_sst|2001-02-17 12:00:00,20.572495430447024,2001-02-17T12:00:00Z
analysed_sst|2001-02-18 12:00:00,19.94654336055622,2001-02-18T12:00:00Z
analysed_sst|2001-02-19 12:00:00,20.119116988797074,2001-02-19T12:00:00Z
analysed_sst|2001-02-20 12:00:00,20.43836825960472,2001-02-20T12:00:00Z
analysed_sst|2001-02-21 12:00:00,20.59769889518681,2001-02-21T12:00:00Z
analysed_sst|2001-02-22 12:00:00,20.926178402374305,2001-02-22T12:00:00Z
analysed_sst|2001-02-23 12:00:00,20.974465770123953,2001-02-23T12:00:00Z
analysed_sst|2001-02-24 12:00:00,21.119750120417432,2001-02-24T12:00:00Z
analysed_sst|2001-02-25 12:00:00,21.417300425518746,2001-02-25T12:00:00Z
analysed_sst|2001-02-26 12:00:00,21.626353957128476,2001-02-26T12:00:00Z
analysed_sst|2001-02-27 12:00:00,21.7770288337562,2001-02-27T12:00:00Z
analysed_sst|2001-02-28 12:00:00,22.101752411712564,2001-02-28T12:00:00Z
analysed_sst|2001-03-01 12:00:00,22.23695593254351,2001-03-01T12:00:00Z
analysed_sst|2001-03-02 12:00:00,22.249655726354643,2001-03-02T12:00:00Z
analysed_sst|2001-03-03 12:00:00,22.079065911972926,2001-03-03T12:00:00Z
analysed_sst|2001-03-04 12:00:00,21.872066060413793,2001-03-04T12:00:00Z
analysed_sst|2001-03-05 12:00:00,21.287198429530473,2001-03-05T12:00:00Z
analysed_sst|2001-03-06 12:00:00,20.972939835498693,2001-03-06T12:00:00Z
analysed_sst|2001-03-07 12:00:00,20.92128730630451,2001-03-07T12:00:00Z
analysed_sst|2001-03-08 12:00:00,20.58983618618541,2001-03-08T12:00:00Z
analysed_sst|2001-03-09 12:00:00,20.747927396208098,2001-03-09T12:00:00Z
analysed_sst|2001-03-10 12:00:00,20.970288820277297,2001-03-10T12:00:00Z
analysed_sst|2001-03-11 12:00:00,20.843296157624632,2001-03-11T12:00:00Z
analysed_sst|2001-03-12 12:00:00,20.89705659932021,2001-03-12T12:00:00Z
analysed_sst|2001-03-13 12:00:00,20.941973159873974,2001-03-13T12:00:00Z
analysed_sst|2001-03-14 12:00:00,20.855216989786438,2001-03-14T12:00:00Z
analysed_sst|2001-03-15 12:00:00,20.767985685628986,2001-03-15T12:00:00Z
analysed_sst|2001-03-16 12:00:00,20.723981905189206,2001-03-16T12:00:00Z
analysed_sst|2001-03-17 12:00:00,20.78750926984222,2001-03-17T12:00:00Z
analysed_sst|2001-03-18 12:00:00,21.05916748836509,2001-03-18T12:00:00Z
analysed_sst|2001-03-19 12:00:00,20.792979558414086,2001-03-19T12:00:00Z
analysed_sst|2001-03-20 12:00:00,20.532643833250216,2001-03-20T12:00:00Z
analysed_sst|2001-03-21 12:00:00,20.480717048970767,2001-03-21T12:00:00Z
analysed_sst|2001-03-22 12:00:00,20.327987293005606,2001-03-22T12:00:00Z
analysed_sst|2001-03-23 12:00:00,20.264681112800687,2001-03-23T12:00:00Z
analysed_sst|2001-03-24 12:00:00,20.531814530975122,2001-03-24T12:00:00Z
analysed_sst|2001-03-25 12:00:00,20.519833793920704,2001-03-25T12:00:00Z
