lyr,mean,time
analysed_sst|1988-01-01 12:00:00,17.32199759629993,1988-01-01T12:00:00Z
analysed_sst|1988-01-02 12:00:00,17.5689799973668,1988-01-02T12:00:00Z
analysed_sst|1988-01-03 12:00:00,17.6424955359449,1988-01-03T12:00:00Z
analysed_sst|1988-01-04 12:00:00,18.7895999720668,1988-01-04T12:00:00Z
analysed_sst|1988-01-05 12:00:00,19.189108353985965,1988-01-05T12:00:00Z
analysed_sst|1988-01-06 12:00:00,19.335139472104185,1988-01-06T12:00:00Z
analysed_sst|1988-01-07 12:00:00,19.20569465430458,1988-01-07T12:00:00Z
analysed_sst|1988-01-08 12:00:00,18.837973323054598,1988-01-08T12:00:00Z
analysed_sst|1988-01-09 12:00:00,18.475694955137946,1988-01-09T12:00:00Z
analysed_sst|1988-01-10 12:00:00,17.982739461139467,1988-01-10T12:00:00Z
analysed_sst|1988-01-11 12:00:00,18.02658850974911,1988-01-11T12:00:00Z
analysed_sst|1988-01-12 12:00:00,18.385765402170886,1988-01-12T12:00:00Z
analysed_sst|1988-01-13 12:00:00,18.635586527224678,1988-01-13T12:00:00Z
analysed_sst|1988-01-14 12:00:00,18.689804607230208,1988-01-14T12:00:00Z
analysed_sst|1988-01-15 12:00:00,17.961093960762685,1988-01-15T12:00:00Z
analysed_sst|1988-01-16 12:00:00,18.24830569384709,1988-01-16T12:00:00Z
analysed_sst|1988-01-17 12:00:00,18.213608305736944,1988-01-17T12:00:00Z
analysed_sst|1988-01-18 12:00:00,18.443971107593786,1988-01-18T12:00:00Z
analysed_sst|1988-01-19 12:00:00,18.534531224124926,1988-01-19T12:00:00Z
analysed_sst|1988-01-20 12:00:00,18.63459472161116,1988-01-20T12:00:00Z
analysed_sst|1988-01-21 12:00:00,18.505742510698123,1988-01-21T12:00:00Z
analysed_sst|1988-01-22 12:00:00,18.72928323361159,1988-01-22T12:00:00Z
analysed_sst|1988-01-23 12:00:00,18.557381087978452,1988-01-23T12:00:00Z
analysed_sst|1988-01-24 12:00:00,18.84244755460143,1988-01-24T12:00:00Z
analysed_sst|1988-01-25 12:00:00,17.765562365413228,1988-01-25T12:00:00Z
analysed_sst|1988-01-26 12:00:00,17.56545317021809,1988-01-26T12:00:00Z
analysed_sst|1988-01-27 12:00:00,17.263986247948836,1988-01-27T12:00:00Z
analysed_sst|1988-01-28 12:00:00,16.937585303043317,1988-01-28T12:00:00Z
analysed_sst|1988-01-29 12:00:00,16.96700018720767,1988-01-29T12:00:00Z
analysed_sst|1988-01-30 12:00:00,17.308832336597813,1988-01-30T12:00:00Z
analysed_sst|1988-01-31 12:00:00,17.39165414689903,1988-01-31T12:00:00Z
analysed_sst|1988-02-01 12:00:00,18.280960384050772,1988-02-01T12:00:00Z
analysed_sst|1988-02-02 12:00:00,18.541949687952165,1988-02-02T12:00:00Z
analysed_sst|1988-02-03 12:00:00,18.984293669255035,1988-02-03T12:00:00Z
analysed_sst|1988-02-04 12:00:00,18.990171058842186,1988-02-04T12:00:00Z
analysed_sst|1988-02-05 12:00:00,19.03885648690586,1988-02-05T12:00:00Z
analysed_sst|1988-02-06 12:00:00,19.081153163338282,1988-02-06T12:00:00Z
analysed_sst|1988-02-07 12:00:00,18.641856440144696,1988-02-07T12:00:00Z
analysed_sst|1988-02-08 12:00:00,18.916334910598795,1988-02-08T12:00:00Z
analysed_sst|1988-02-09 12:00:00,18.83922026708253,1988-02-09T12:00:00Z
analysed_sst|1988-02-10 12:00:00,18.934108577307708,1988-02-10T12:00:00Z
analysed_sst|1988-02-11 12:00:00,19.083892724475685,1988-02-11T12:00:00Z
analysed_sst|1988-02-12 12:00:00,19.025992071952015,1988-02-12T12:00:00Z
analysed_sst|1988-02-13 12:00:00,18.902309695838294,1988-02-13T12:00:00Z
analysed_sst|1988-02-14 12:00:00,18.86996191162379,1988-02-14T12:00:00Z
analysed_sst|1988-02-15 12:00:00,18.964614004593386,1988-02-15T12:00:00Z
analysed_sst|1988-02-16 12:00:00,18.503892800769634,1988-02-16T12:00:00Z
analysed_sst|1988-02-17 12:00:00,18.342927804276382,1988-02-17T12:00:00Z
analysed_sst|1988-02-18 12:00:00,18.298013887728352,1988-02-18T12:00:00Z
analysed_sst|1988-02-19 12:00:00,18.251089469585445,1988-02-19T12:00:00Z
analysed_sst|1988-02-20 12:00:00,18.045505579260073,1988-02-20T12:00:00Z
analysed_sst|1988-02-21 12:00:00,17.77775812825355,1988-02-21T12:00:00Z
analysed_sst|1988-02-22 12:00:00,17.701484721630322,1988-02-22T12:00:00Z
analysed_sst|1988-02-23 12:00:00,17.92371777878505,1988-02-23T12:00:00Z
analysed_sst|1988-02-24 12:00:00,17.893621970941677,1988-02-24T12:00:00Z
analysed_sst|1988-02-25 12:00:00,17.62263297008766,1988-02-25T12:00:00Z
analysed_sst|1988-02-26 12:00:00,17.171170756853673,1988-02-26T12:00:00Z
analysed_sst|1988-02-27 12:00:00,17.235355543017867,1988-02-27T12:00:00Z
analysed_sst|1988-02-28 12:00:00,17.23901885632402,1988-02-28T12:00:00Z
analysed_sst|1988-02-29 12:00:00,17.28805544729067,1988-02-29T12:00:00Z
analysed_sst|1988-03-01 12:00:00,17.44940154981411,1988-03-01T12:00:00Z
analysed_sst|1988-03-02 12:00:00,17.54903203951874,1988-03-02T12:00:00Z
analysed_sst|1988-03-03 12:00:00,17.489530730045292,1988-03-03T12:00:00Z
analysed_sst|1988-03-04 12:00:00,16.26787760886557,1988-03-04T12:00:00Z
analysed_sst|1988-03-05 12:00:00,15.365326766705875,1988-03-05T12:00:00Z
analysed_sst|1988-03-06 12:00:00,16.13547779852307,1988-03-06T12:00:00Z
analysed_sst|1988-03-07 12:00:00,16.270494477306503,1988-03-07T12:00:00Z
analysed_sst|1988-03-08 12:00:00,16.33201988497935,1988-03-08T12:00:00Z
analysed_sst|1988-03-09 12:00:00,16.690214291213458,1988-03-09T12:00:00Z
analysed_sst|1988-03-10 12:00:00,16.494445310602135,1988-03-10T12:00:00Z
analysed_sst|1988-03-11 12:00:00,16.265101047099837,1988-03-11T12:00:00Z
analysed_sst|1988-03-12 12:00:00,15.958854121870848,1988-03-12T12:00:00Z
analysed_sst|1988-03-13 12:00:00,15.296742964755559,1988-03-13T12:00:00Z
analysed_sst|1988-03-14 12:00:00,15.090220592215058,1988-03-14T12:00:00Z
analysed_sst|1988-03-15 12:00:00,14.869805907208193,1988-03-15T12:00:00Z
analysed_sst|1988-03-16 12:00:00,14.823138539567607,1988-03-16T12:00:00Z
analysed_sst|1988-03-17 12:00:00,14.953886140517378,1988-03-17T12:00:00Z
analysed_sst|1988-03-18 12:00:00,14.926055959924993,1988-03-18T12:00:00Z
analysed_sst|1988-03-19 12:00:00,14.987019457195865,1988-03-19T12:00:00Z
analysed_sst|1988-03-20 12:00:00,14.952630143718636,1988-03-20T12:00:00Z
analysed_sst|1988-03-21 12:00:00,15.095477634581835,1988-03-21T12:00:00Z
analysed_sst|1988-03-22 12:00:00,15.191258764847458,1988-03-22T12:00:00Z
analysed_sst|1988-03-23 12:00:00,15.563436483254677,1988-03-23T12:00:00Z
analysed_sst|1988-03-24 12:00:00,15.877833165417124,1988-03-24T12:00:00Z
analysed_sst|1988-03-25 12:00:00,15.907010415216428,1988-03-25T12:00:00Z
analysed_sst|1988-03-26 12:00:00,16.416232552720512,1988-03-26T12:00:00Z
analysed_sst|1988-03-27 12:00:00,16.611344871854307,1988-03-27T12:00:00Z
analysed_sst|1988-03-28 12:00:00,16.93073741420741,1988-03-28T12:00:00Z
analysed_sst|1988-03-29 12:00:00,17.1636225228019,1988-03-29T12:00:00Z
analysed_sst|1988-03-30 12:00:00,17.48700999449272,1988-03-30T12:00:00Z
analysed_sst|1988-03-31 12:00:00,17.521351025859524,1988-03-31T12:00:00Z
analysed_sst|1988-04-01 12:00:00,17.717036001292712,1988-04-01T12:00:00Z
analysed_sst|1988-04-02 12:00:00,17.92253142660886,1988-04-02T12:00:00Z
analysed_sst|1988-04-03 12:00:00,18.148894522073565,1988-04-03T12:00:00Z
analysed_sst|1988-04-04 12:00:00,18.464264945106255,1988-04-04T12:00:00Z
analysed_sst|1988-04-05 12:00:00,18.68736582653108,1988-04-05T12:00:00Z
analysed_sst|1988-04-06 12:00:00,18.71719888348817,1988-04-06T12:00:00Z
analysed_sst|1988-04-07 12:00:00,18.784098099493107,1988-04-07T12:00:00Z
analysed_sst|1988-04-08 12:00:00,18.00083235624642,1988-04-08T12:00:00Z
analysed_sst|1988-04-09 12:00:00,17.885790806200355,1988-04-09T12:00:00Z
analysed_sst|1988-04-10 12:00:00,18.156359978925977,1988-04-10T12:00:00Z
analysed_sst|1988-04-11 12:00:00,18.047693656851735,1988-04-11T12:00:00Z
analysed_sst|1988-04-12 12:00:00,18.031642302054294,1988-04-12T12:00:00Z
analysed_sst|1988-04-13 12:00:00,18.275074888700114,1988-04-13T12:00:00Z
analysed_sst|1988-04-14 12:00:00,18.280749073754727,1988-04-14T12:00:00Z
analysed_sst|1988-04-15 12:00:00,18.43007175186597,1988-04-15T12:00:00Z
analysed_sst|1988-04-16 12:00:00,18.483612893031815,1988-04-16T12:00:00Z
analysed_sst|1988-04-17 12:00:00,18.4935873477306,1988-04-17T12:00:00Z
analysed_sst|1988-04-18 12:00:00,18.786497728988095,1988-04-18T12:00:00Z
analysed_sst|1988-04-19 12:00:00,18.805042844642134,1988-04-19T12:00:00Z
analysed_sst|1988-04-20 12:00:00,18.588584090211466,1988-04-20T12:00:00Z
analysed_sst|1988-04-21 12:00:00,18.59045424694476,1988-04-21T12:00:00Z
analysed_sst|1988-04-22 12:00:00,18.91766526578599,1988-04-22T12:00:00Z
analysed_sst|1988-04-23 12:00:00,19.235342071808603,1988-04-23T12:00:00Z
analysed_sst|1988-04-24 12:00:00,19.400524433155784,1988-04-24T12:00:00Z
