lyr,mean,time
analysed_sst|2003-01-01 12:00:00,13.449249835098598,2003-01-01T12:00:00Z
analysed_sst|2003-01-02 12:00:00,13.480499852261259,2003-01-02T12:00:00Z
analysed_sst|2003-01-03 12:00:00,13.45137531273668,2003-01-03T12:00:00Z
analysed_sst|2003-01-04 12:00:00,13.389125327327262,2003-01-04T12:00:00Z
analysed_sst|2003-01-05 12:00:00,13.529875363949861,2003-01-05T12:00:00Z
analysed_sst|2003-01-06 12:00:00,13.583750811642158,2003-01-06T12:00:00Z
analysed_sst|2003-01-07 12:00:00,13.356125376831782,2003-01-07T12:00:00Z
analysed_sst|2003-01-08 12:00:00,13.585125485366985,2003-01-08T12:00:00Z
analysed_sst|2003-01-09 12:00:00,13.479375593228674,2003-01-09T12:00:00Z
analysed_sst|2003-01-10 12:00:00,13.644750571963534,2003-01-10T12:00:00Z
analysed_sst|2003-01-11 12:00:00,13.4767507926631,2003-01-11T12:00:00Z
analysed_sst|2003-01-12 12:00:00,13.67225051807257,2003-01-12T12:00:00Z
analysed_sst|2003-01-13 12:00:00,13.707500481645798,2003-01-13T12:00:00Z
analysed_sst|2003-01-14 12:00:00,13.831625431767385,2003-01-14T12:00:00Z
analysed_sst|2003-01-15 12:00:00,14.108875367100438,2003-01-15T12:00:00Z
analysed_sst|2003-01-16 12:00:00,14.304375384838881,2003-01-16T12:00:00Z
analysed_sst|2003-01-17 12:00:00,14.138125088222404,2003-01-17T12:00:00Z
analysed_sst|2003-01-18 12:00:00,14.155499876103729,2003-01-18T12:00:00Z
analysed_sst|2003-01-19 12:00:00,14.58362517558261,2003-01-19T12:00:00Z
analysed_sst|2003-01-20 12:00:00,14.403125425850375,2003-01-20T12:00:00Z
analysed_sst|2003-01-21 12:00:00,14.430375454655353,2003-01-21T12:00:00Z
analysed_sst|2003-01-22 12:00:00,14.295000467813122,2003-01-22T12:00:00Z
analysed_sst|2003-01-23 12:00:00,14.2152504003867,2003-01-23T12:00:00Z
analysed_sst|2003-01-24 12:00:00,13.924625432338312,2003-01-24T12:00:00Z
analysed_sst|2003-01-25 12:00:00,13.736873965653631,2003-01-25T12:00:00Z
analysed_sst|2003-01-26 12:00:00,13.628749482114031,2003-01-26T12:00:00Z
analysed_sst|2003-01-27 12:00:00,13.91337509089206,2003-01-27T12:00:00Z
analysed_sst|2003-01-28 12:00:00,14.256500937350113,2003-01-28T12:00:00Z
analysed_sst|2003-01-29 12:00:00,14.504000369384922,2003-01-29T12:00:00Z
analysed_sst|2003-01-30 12:00:00,14.29225019046705,2003-01-30T12:00:00Z
analysed_sst|2003-01-31 12:00:00,14.026375369486129,2003-01-31T12:00:00Z
analysed_sst|2003-02-01 12:00:00,14.003375267338551,2003-02-01T12:00:00Z
analysed_sst|2003-02-02 12:00:00,13.743500455132647,2003-02-02T12:00:00Z
analysed_sst|2003-02-03 12:00:00,13.773500289656996,2003-02-03T12:00:00Z
analysed_sst|2003-02-04 12:00:00,13.779000475728958,2003-02-04T12:00:00Z
analysed_sst|2003-02-05 12:00:00,13.87425067535427,2003-02-05T12:00:00Z
analysed_sst|2003-02-06 12:00:00,13.852125655992728,2003-02-06T12:00:00Z
analysed_sst|2003-02-07 12:00:00,13.516375764815505,2003-02-07T12:00:00Z
analysed_sst|2003-02-08 12:00:00,13.838000627664787,2003-02-08T12:00:00Z
analysed_sst|2003-02-09 12:00:00,13.721625543834111,2003-02-09T12:00:00Z
analysed_sst|2003-02-10 12:00:00,13.476250324278642,2003-02-10T12:00:00Z
analysed_sst|2003-02-11 12:00:00,13.505125242159554,2003-02-11T12:00:00Z
analysed_sst|2003-02-12 12:00:00,13.263875371389203,2003-02-12T12:00:00Z
analysed_sst|2003-02-13 12:00:00,13.307000377115457,2003-02-13T12:00:00Z
analysed_sst|2003-02-14 12:00:00,13.426625278208355,2003-02-14T12:00:00Z
analysed_sst|2003-02-15 12:00:00,13.392125230141012,2003-02-15T12:00:00Z
