lyr,mean,time
analysed_sst|1990-01-01 12:00:00,13.268854410811585,1990-01-01T12:00:00Z
analysed_sst|1990-01-02 12:00:00,13.419531995551393,1990-01-02T12:00:00Z
analysed_sst|1990-01-03 12:00:00,13.178892099065342,1990-01-03T12:00:00Z
analysed_sst|1990-01-04 12:00:00,12.995168333299755,1990-01-04T12:00:00Z
analysed_sst|1990-01-05 12:00:00,13.012493834450654,1990-01-05T12:00:00Z
analysed_sst|1990-01-06 12:00:00,13.03623139463128,1990-01-06T12:00:00Z
analysed_sst|1990-01-07 12:00:00,12.853587287619014,1990-01-07T12:00:00Z
analysed_sst|1990-01-08 12:00:00,12.895382980903097,1990-01-08T12:00:00Z
analysed_sst|1990-01-09 12:00:00,13.027294248740306,1990-01-09T12:00:00Z
analysed_sst|1990-01-10 12:00:00,13.098032823498535,1990-01-10T12:00:00Z
analysed_sst|1990-01-11 12:00:00,13.146272588760686,1990-01-11T12:00:00Z
analysed_sst|1990-01-12 12:00:00,13.225224016799503,1990-01-12T12:00:00Z
analysed_sst|1990-01-13 12:00:00,13.178159786340085,1990-01-13T12:00:00Z
analysed_sst|1990-01-14 12:00:00,13.14164083270607,1990-01-14T12:00:00Z
analysed_sst|1990-01-15 12:00:00,13.109176411268855,1990-01-15T12:00:00Z
analysed_sst|1990-01-16 12:00:00,12.975881105973752,1990-01-16T12:00:00Z
analysed_sst|1990-01-17 12:00:00,12.914938520163611,1990-01-17T12:00:00Z
analysed_sst|1990-01-18 12:00:00,12.850605370041169,1990-01-18T12:00:00Z
analysed_sst|1990-01-19 12:00:00,12.943807797985482,1990-01-19T12:00:00Z
analysed_sst|1990-01-20 12:00:00,12.893246572050506,1990-01-20T12:00:00Z
analysed_sst|1990-01-21 12:00:00,12.951847606575692,1990-01-21T12:00:00Z
analysed_sst|1990-01-22 12:00:00,13.016886783759942,1990-01-22T12:00:00Z
analysed_sst|1990-01-23 12:00:00,13.00304453374906,1990-01-23T12:00:00Z
analysed_sst|1990-01-24 12:00:00,13.049237460345267,1990-01-24T12:00:00Z
analysed_sst|1990-01-25 12:00:00,13.14451769208448,1990-01-25T12:00:00Z
analysed_sst|1990-01-26 12:00:00,12.970659296096743,1990-01-26T12:00:00Z
analysed_sst|1990-01-27 12:00:00,12.95002040366866,1990-01-27T12:00:00Z
analysed_sst|1990-01-28 12:00:00,12.748925200249143,1990-01-28T12:00:00Z
analysed_sst|1990-01-29 12:00:00,12.743015422956944,1990-01-29T12:00:00Z
analysed_sst|1990-01-30 12:00:00,12.49208220625358,1990-01-30T12:00:00Z
analysed_sst|1990-01-31 12:00:00,12.307661007815337,1990-01-31T12:00:00Z
analysed_sst|1990-02-01 12:00:00,12.385888324966746,1990-02-01T12:00:00Z
analysed_sst|1990-02-02 12:00:00,12.455063174102174,1990-02-02T12:00:00Z
analysed_sst|1990-02-03 12:00:00,12.44840045133386,1990-02-03T12:00:00Z
analysed_sst|1990-02-04 12:00:00,12.303555895575748,1990-02-04T12:00:00Z
analysed_sst|1990-02-05 12:00:00,12.187896484044664,1990-02-05T12:00:00Z
analysed_sst|1990-02-06 12:00:00,12.189017484341642,1990-02-06T12:00:00Z
analysed_sst|1990-02-07 12:00:00,11.853071789922273,1990-02-07T12:00:00Z
analysed_sst|1990-02-08 12:00:00,11.73422252693732,1990-02-08T12:00:00Z
analysed_sst|1990-02-09 12:00:00,11.880019486863905,1990-02-09T12:00:00Z
analysed_sst|1990-02-10 12:00:00,11.935172982363724,1990-02-10T12:00:00Z
analysed_sst|1990-02-11 12:00:00,11.967101450590745,1990-02-11T12:00:00Z
analysed_sst|1990-02-12 12:00:00,11.67458156496318,1990-02-12T12:00:00Z
analysed_sst|1990-02-13 12:00:00,11.491070513324637,1990-02-13T12:00:00Z
analysed_sst|1990-02-14 12:00:00,11.45824631807734,1990-02-14T12:00:00Z
