lyr,mean,time
analysed_sst|1986-01-01 12:00:00,12.70572550944035,1986-01-01T12:00:00Z
analysed_sst|1986-01-02 12:00:00,12.601857544416239,1986-01-02T12:00:00Z
analysed_sst|1986-01-03 12:00:00,12.514506514439342,1986-01-03T12:00:00Z
analysed_sst|1986-01-04 12:00:00,12.63361059937279,1986-01-04T12:00:00Z
analysed_sst|1986-01-05 12:00:00,12.746712369600756,1986-01-05T12:00:00Z
analysed_sst|1986-01-06 12:00:00,12.818969829586853,1986-01-06T12:00:00Z
analysed_sst|1986-01-07 12:00:00,12.704320566020968,1986-01-07T12:00:00Z
analysed_sst|1986-01-08 12:00:00,13.07143553174236,1986-01-08T12:00:00Z
analysed_sst|1986-01-09 12:00:00,13.053770206678042,1986-01-09T12:00:00Z
analysed_sst|1986-01-10 12:00:00,13.054182278995436,1986-01-10T12:00:00Z
analysed_sst|1986-01-11 12:00:00,13.04761044255438,1986-01-11T12:00:00Z
analysed_sst|1986-01-12 12:00:00,13.099336583803913,1986-01-12T12:00:00Z
analysed_sst|1986-01-13 12:00:00,13.116757378832904,1986-01-13T12:00:00Z
analysed_sst|1986-01-14 12:00:00,13.090587553029895,1986-01-14T12:00:00Z
analysed_sst|1986-01-15 12:00:00,13.061987256133122,1986-01-15T12:00:00Z
analysed_sst|1986-01-16 12:00:00,13.144710976126317,1986-01-16T12:00:00Z
analysed_sst|1986-01-17 12:00:00,13.489650070938163,1986-01-17T12:00:00Z
analysed_sst|1986-01-18 12:00:00,13.080493033725535,1986-01-18T12:00:00Z
analysed_sst|1986-01-19 12:00:00,12.896521585413797,1986-01-19T12:00:00Z
analysed_sst|1986-01-20 12:00:00,12.944540097632645,1986-01-20T12:00:00Z
analysed_sst|1986-01-21 12:00:00,12.841214353009564,1986-01-21T12:00:00Z
analysed_sst|1986-01-22 12:00:00,12.868731355723481,1986-01-22T12:00:00Z
analysed_sst|1986-01-23 12:00:00,12.978378518361142,1986-01-23T12:00:00Z
analysed_sst|1986-01-24 12:00:00,13.047387694745568,1986-01-24T12:00:00Z
analysed_sst|1986-01-25 12:00:00,13.48742845021296,1986-01-25T12:00:00Z
analysed_sst|1986-01-26 12:00:00,13.470448656471504,1986-01-26T12:00:00Z
analysed_sst|1986-01-27 12:00:00,13.505030771153738,1986-01-27T12:00:00Z
analysed_sst|1986-01-28 12:00:00,13.474709868637788,1986-01-28T12:00:00Z
analysed_sst|1986-01-29 12:00:00,13.303464255551862,1986-01-29T12:00:00Z
analysed_sst|1986-01-30 12:00:00,13.271800703852811,1986-01-30T12:00:00Z
analysed_sst|1986-01-31 12:00:00,13.42582414432281,1986-01-31T12:00:00Z
analysed_sst|1986-02-01 12:00:00,13.34187815518278,1986-02-01T12:00:00Z
analysed_sst|1986-02-02 12:00:00,13.353737404720361,1986-02-02T12:00:00Z
analysed_sst|1986-02-03 12:00:00,13.245979869970677,1986-02-03T12:00:00Z
analysed_sst|1986-02-04 12:00:00,13.038091221064814,1986-02-04T12:00:00Z
analysed_sst|1986-02-05 12:00:00,13.371947580432765,1986-02-05T12:00:00Z
analysed_sst|1986-02-06 12:00:00,13.186399394016561,1986-02-06T12:00:00Z
analysed_sst|1986-02-07 12:00:00,13.095965559743634,1986-02-07T12:00:00Z
analysed_sst|1986-02-08 12:00:00,13.117949345592434,1986-02-08T12:00:00Z
analysed_sst|1986-02-09 12:00:00,13.193957583438207,1986-02-09T12:00:00Z
analysed_sst|1986-02-10 12:00:00,13.225493672454418,1986-02-10T12:00:00Z
analysed_sst|1986-02-11 12:00:00,13.146533221731035,1986-02-11T12:00:00Z
analysed_sst|1986-02-12 12:00:00,13.181256747200518,1986-02-12T12:00:00Z
analysed_sst|1986-02-13 12:00:00,13.265700422648763,1986-02-13T12:00:00Z
analysed_sst|1986-02-14 12:00:00,13.163594180591842,1986-02-14T12:00:00Z
analysed_sst|1986-02-15 12:00:00,13.201990248044673,1986-02-15T12:00:00Z
analysed_sst|1986-02-16 12:00:00,13.356759459369611,1986-02-16T12:00:00Z
analysed_sst|1986-02-17 12:00:00,13.228956244409078,1986-02-17T12:00:00Z
analysed_sst|1986-02-18 12:00:00,13.355676940858642,1986-02-18T12:00:00Z
analysed_sst|1986-02-19 12:00:00,13.053433784406568,1986-02-19T12:00:00Z
analysed_sst|1986-02-20 12:00:00,12.79473418361869,1986-02-20T12:00:00Z
analysed_sst|1986-02-21 12:00:00,12.749743807660018,1986-02-21T12:00:00Z
analysed_sst|1986-02-22 12:00:00,12.932865430984336,1986-02-22T12:00:00Z
analysed_sst|1986-02-23 12:00:00,13.089378340687864,1986-02-23T12:00:00Z
analysed_sst|1986-02-24 12:00:00,13.080053911414753,1986-02-24T12:00:00Z
analysed_sst|1986-02-25 12:00:00,13.421148427296428,1986-02-25T12:00:00Z
analysed_sst|1986-02-26 12:00:00,13.546890992737055,1986-02-26T12:00:00Z
analysed_sst|1986-02-27 12:00:00,13.597022788591065,1986-02-27T12:00:00Z
analysed_sst|1986-02-28 12:00:00,13.566511001236986,1986-02-28T12:00:00Z
analysed_sst|1986-03-01 12:00:00,13.349263959169296,1986-03-01T12:00:00Z
analysed_sst|1986-03-02 12:00:00,13.310759844955168,1986-03-02T12:00:00Z
analysed_sst|1986-03-03 12:00:00,13.382625046525472,1986-03-03T12:00:00Z
analysed_sst|1986-03-04 12:00:00,13.452111056246789,1986-03-04T12:00:00Z
analysed_sst|1986-03-05 12:00:00,13.41166171236927,1986-03-05T12:00:00Z
analysed_sst|1986-03-06 12:00:00,13.375474188355248,1986-03-06T12:00:00Z
analysed_sst|1986-03-07 12:00:00,13.366945103024372,1986-03-07T12:00:00Z
analysed_sst|1986-03-08 12:00:00,13.673952525492151,1986-03-08T12:00:00Z
analysed_sst|1986-03-09 12:00:00,13.758188465892546,1986-03-09T12:00:00Z
analysed_sst|1986-03-10 12:00:00,13.857978960588698,1986-03-10T12:00:00Z
analysed_sst|1986-03-11 12:00:00,13.901094282137851,1986-03-11T12:00:00Z
analysed_sst|1986-03-12 12:00:00,13.8489409169641,1986-03-12T12:00:00Z
analysed_sst|1986-03-13 12:00:00,13.820188059909245,1986-03-13T12:00:00Z
analysed_sst|1986-03-14 12:00:00,13.686882217690332,1986-03-14T12:00:00Z
analysed_sst|1986-03-15 12:00:00,13.588575501878758,1986-03-15T12:00:00Z
analysed_sst|1986-03-16 12:00:00,13.491521572109422,1986-03-16T12:00:00Z
analysed_sst|1986-03-17 12:00:00,13.683145523969944,1986-03-17T12:00:00Z
analysed_sst|1986-03-18 12:00:00,13.598880534821573,1986-03-18T12:00:00Z
analysed_sst|1986-03-19 12:00:00,13.558478472107472,1986-03-19T12:00:00Z
analysed_sst|1986-03-20 12:00:00,13.46369694824539,1986-03-20T12:00:00Z
analysed_sst|1986-03-21 12:00:00,13.95093754189622,1986-03-21T12:00:00Z
analysed_sst|1986-03-22 12:00:00,13.877720016058724,1986-03-22T12:00:00Z
analysed_sst|1986-03-23 12:00:00,13.550443748523213,1986-03-23T12:00:00Z
analysed_sst|1986-03-24 12:00:00,13.465280596732656,1986-03-24T12:00:00Z
analysed_sst|1986-03-25 12:00:00,13.437437708382616,1986-03-25T12:00:00Z
analysed_sst|1986-03-26 12:00:00,13.482309122709525,1986-03-26T12:00:00Z
analysed_sst|1986-03-27 12:00:00,13.672554981376633,1986-03-27T12:00:00Z
analysed_sst|1986-03-28 12:00:00,13.26582361725718,1986-03-28T12:00:00Z
analysed_sst|1986-03-29 12:00:00,13.334565073576409,1986-03-29T12:00:00Z
analysed_sst|1986-03-30 12:00:00,13.596984626269013,1986-03-30T12:00:00Z
analysed_sst|1986-03-31 12:00:00,13.741622296092723,1986-03-31T12:00:00Z
analysed_sst|1986-04-01 12:00:00,13.688136004884708,1986-04-01T12:00:00Z
analysed_sst|1986-04-02 12:00:00,13.213228040220683,1986-04-02T12:00:00Z
analysed_sst|1986-04-03 12:00:00,13.199854010505648,1986-04-03T12:00:00Z
analysed_sst|1986-04-04 12:00:00,13.050217291511016,1986-04-04T12:00:00Z
analysed_sst|1986-04-05 12:00:00,12.726250049321001,1986-04-05T12:00:00Z
analysed_sst|1986-04-06 12:00:00,12.771627914031683,1986-04-06T12:00:00Z
analysed_sst|1986-04-07 12:00:00,12.815204543837286,1986-04-07T12:00:00Z
analysed_sst|1986-04-08 12:00:00,12.907679449223087,1986-04-08T12:00:00Z
analysed_sst|1986-04-09 12:00:00,12.831323213506394,1986-04-09T12:00:00Z
analysed_sst|1986-04-10 12:00:00,12.64273184305572,1986-04-10T12:00:00Z
analysed_sst|1986-04-11 12:00:00,12.527127640448805,1986-04-11T12:00:00Z
analysed_sst|1986-04-12 12:00:00,12.246881466279804,1986-04-12T12:00:00Z
analysed_sst|1986-04-13 12:00:00,12.0659777021673,1986-04-13T12:00:00Z
analysed_sst|1986-04-14 12:00:00,12.092704082065369,1986-04-14T12:00:00Z
analysed_sst|1986-04-15 12:00:00,12.447137841987344,1986-04-15T12:00:00Z
analysed_sst|1986-04-16 12:00:00,12.407886245593865,1986-04-16T12:00:00Z
analysed_sst|1986-04-17 12:00:00,12.191526830643571,1986-04-17T12:00:00Z
analysed_sst|1986-04-18 12:00:00,12.03560938901577,1986-04-18T12:00:00Z
analysed_sst|1986-04-19 12:00:00,12.00830848377351,1986-04-19T12:00:00Z
analysed_sst|1986-04-20 12:00:00,12.163673874634837,1986-04-20T12:00:00Z
analysed_sst|1986-04-21 12:00:00,12.312255346517393,1986-04-21T12:00:00Z
analysed_sst|1986-04-22 12:00:00,12.101558142229543,1986-04-22T12:00:00Z
