lyr,mean,time
analysed_sst|1995-01-01 12:00:00,28.27673643089628,1995-01-01T12:00:00Z
analysed_sst|1995-01-02 12:00:00,28.285383169548567,1995-01-02T12:00:00Z
analysed_sst|1995-01-03 12:00:00,28.063246275993677,1995-01-03T12:00:00Z
analysed_sst|1995-01-04 12:00:00,28.088916942383197,1995-01-04T12:00:00Z
analysed_sst|1995-01-05 12:00:00,28.439339425181142,1995-01-05T12:00:00Z
analysed_sst|1995-01-06 12:00:00,28.6361371656114,1995-01-06T12:00:00Z
analysed_sst|1995-01-07 12:00:00,28.546653242433035,1995-01-07T12:00:00Z
analysed_sst|1995-01-08 12:00:00,28.660313162132567,1995-01-08T12:00:00Z
analysed_sst|1995-01-09 12:00:00,28.634836311809647,1995-01-09T12:00:00Z
analysed_sst|1995-01-10 12:00:00,28.710543038886193,1995-01-10T12:00:00Z
analysed_sst|1995-01-11 12:00:00,28.693223286425415,1995-01-11T12:00:00Z
analysed_sst|1995-01-12 12:00:00,28.78760608311825,1995-01-12T12:00:00Z
analysed_sst|1995-01-13 12:00:00,28.51882597444174,1995-01-13T12:00:00Z
analysed_sst|1995-01-14 12:00:00,28.4328772789701,1995-01-14T12:00:00Z
analysed_sst|1995-01-15 12:00:00,28.52467056032119,1995-01-15T12:00:00Z
analysed_sst|1995-01-16 12:00:00,28.400570106747487,1995-01-16T12:00:00Z
analysed_sst|1995-01-17 12:00:00,28.461476302132432,1995-01-17T12:00:00Z
analysed_sst|1995-01-18 12:00:00,28.106262503681354,1995-01-18T12:00:00Z
analysed_sst|1995-01-19 12:00:00,27.925568822141127,1995-01-19T12:00:00Z
analysed_sst|1995-01-20 12:00:00,27.82219198234753,1995-01-20T12:00:00Z
analysed_sst|1995-01-21 12:00:00,28.017156671544004,1995-01-21T12:00:00Z
analysed_sst|1995-01-22 12:00:00,28.351839129316158,1995-01-22T12:00:00Z
analysed_sst|1995-01-23 12:00:00,28.467025449753592,1995-01-23T12:00:00Z
analysed_sst|1995-01-24 12:00:00,28.43730720147376,1995-01-24T12:00:00Z
analysed_sst|1995-01-25 12:00:00,28.45164801075763,1995-01-25T12:00:00Z
analysed_sst|1995-01-26 12:00:00,28.235748439575946,1995-01-26T12:00:00Z
analysed_sst|1995-01-27 12:00:00,28.336206339209127,1995-01-27T12:00:00Z
analysed_sst|1995-01-28 12:00:00,28.23734423066986,1995-01-28T12:00:00Z
analysed_sst|1995-01-29 12:00:00,27.915978157976067,1995-01-29T12:00:00Z
analysed_sst|1995-01-30 12:00:00,27.984148094306953,1995-01-30T12:00:00Z
analysed_sst|1995-01-31 12:00:00,28.19086694662635,1995-01-31T12:00:00Z
analysed_sst|1995-02-01 12:00:00,28.239153466081756,1995-02-01T12:00:00Z
analysed_sst|1995-02-02 12:00:00,28.26468164525629,1995-02-02T12:00:00Z
analysed_sst|1995-02-03 12:00:00,29.188995226048757,1995-02-03T12:00:00Z
analysed_sst|1995-02-04 12:00:00,29.49846764209568,1995-02-04T12:00:00Z
analysed_sst|1995-02-05 12:00:00,29.697729963186475,1995-02-05T12:00:00Z
analysed_sst|1995-02-06 12:00:00,30.047575277267043,1995-02-06T12:00:00Z
analysed_sst|1995-02-07 12:00:00,30.2818958018215,1995-02-07T12:00:00Z
analysed_sst|1995-02-08 12:00:00,29.908996468660085,1995-02-08T12:00:00Z
analysed_sst|1995-02-09 12:00:00,29.954864097950892,1995-02-09T12:00:00Z
analysed_sst|1995-02-10 12:00:00,29.849685772509396,1995-02-10T12:00:00Z
analysed_sst|1995-02-11 12:00:00,29.579989734351663,1995-02-11T12:00:00Z
