lyr,mean,time
analysed_sst|2023-01-01 12:00:00,8.791999671526021,2023-01-01T12:00:00Z
analysed_sst|2023-01-02 12:00:00,8.96550708427452,2023-01-02T12:00:00Z
analysed_sst|2023-01-03 12:00:00,8.940817102885532,2023-01-03T12:00:00Z
analysed_sst|2023-01-04 12:00:00,8.849056197186723,2023-01-04T12:00:00Z
analysed_sst|2023-01-05 12:00:00,8.9532515103256,2023-01-05T12:00:00Z
analysed_sst|2023-01-06 12:00:00,9.050114088836482,2023-01-06T12:00:00Z
analysed_sst|2023-01-07 12:00:00,8.940339122680092,2023-01-07T12:00:00Z
analysed_sst|2023-01-08 12:00:00,9.097842626370987,2023-01-08T12:00:00Z
analysed_sst|2023-01-09 12:00:00,9.055763086896935,2023-01-09T12:00:00Z
analysed_sst|2023-01-10 12:00:00,9.121673495857898,2023-01-10T12:00:00Z
analysed_sst|2023-01-11 12:00:00,9.439404295648533,2023-01-11T12:00:00Z
analysed_sst|2023-01-12 12:00:00,9.400232306680529,2023-01-12T12:00:00Z
analysed_sst|2023-01-13 12:00:00,9.377470855464788,2023-01-13T12:00:00Z
analysed_sst|2023-01-14 12:00:00,9.313085081516753,2023-01-14T12:00:00Z
analysed_sst|2023-01-15 12:00:00,9.428267334836207,2023-01-15T12:00:00Z
analysed_sst|2023-01-16 12:00:00,9.405344140173783,2023-01-16T12:00:00Z
analysed_sst|2023-01-17 12:00:00,9.329926072120303,2023-01-17T12:00:00Z
analysed_sst|2023-01-18 12:00:00,9.640684901613684,2023-01-18T12:00:00Z
analysed_sst|2023-01-19 12:00:00,9.595304824676495,2023-01-19T12:00:00Z
analysed_sst|2023-01-20 12:00:00,9.367716636985994,2023-01-20T12:00:00Z
analysed_sst|2023-01-21 12:00:00,9.694530598665835,2023-01-21T12:00:00Z
analysed_sst|2023-01-22 12:00:00,9.545910538528382,2023-01-22T12:00:00Z
analysed_sst|2023-01-23 12:00:00,9.384676206679465,2023-01-23T12:00:00Z
analysed_sst|2023-01-24 12:00:00,8.946775303085658,2023-01-24T12:00:00Z
analysed_sst|2023-01-25 12:00:00,9.02351478284947,2023-01-25T12:00:00Z
analysed_sst|2023-01-26 12:00:00,8.828249830388556,2023-01-26T12:00:00Z
analysed_sst|2023-01-27 12:00:00,8.970152010281534,2023-01-27T12:00:00Z
