lyr,mean,time
analysed_sst|1998-01-01 12:00:00,5.29998137000946,1998-01-01T12:00:00Z
analysed_sst|1998-01-02 12:00:00,6.012695625863136,1998-01-02T12:00:00Z
analysed_sst|1998-01-03 12:00:00,6.418143435593414,1998-01-03T12:00:00Z
analysed_sst|1998-01-04 12:00:00,6.418683513979152,1998-01-04T12:00:00Z
analysed_sst|1998-01-05 12:00:00,6.230398054689323,1998-01-05T12:00:00Z
analysed_sst|1998-01-06 12:00:00,5.962045337276334,1998-01-06T12:00:00Z
analysed_sst|1998-01-07 12:00:00,5.9877949594029305,1998-01-07T12:00:00Z
analysed_sst|1998-01-08 12:00:00,6.016844904805569,1998-01-08T12:00:00Z
analysed_sst|1998-01-09 12:00:00,6.573738445637774,1998-01-09T12:00:00Z
analysed_sst|1998-01-10 12:00:00,5.811728066862348,1998-01-10T12:00:00Z
analysed_sst|1998-01-11 12:00:00,5.625786984556382,1998-01-11T12:00:00Z
analysed_sst|1998-01-12 12:00:00,5.666385290150495,1998-01-12T12:00:00Z
analysed_sst|1998-01-13 12:00:00,5.4861489180245675,1998-01-13T12:00:00Z
analysed_sst|1998-01-14 12:00:00,5.166829234473997,1998-01-14T12:00:00Z
analysed_sst|1998-01-15 12:00:00,5.039141958235392,1998-01-15T12:00:00Z
analysed_sst|1998-01-16 12:00:00,5.598356066455403,1998-01-16T12:00:00Z
analysed_sst|1998-01-17 12:00:00,5.442933100262516,1998-01-17T12:00:00Z
analysed_sst|1998-01-18 12:00:00,5.310623196265909,1998-01-18T12:00:00Z
analysed_sst|1998-01-19 12:00:00,5.267728229724275,1998-01-19T12:00:00Z
analysed_sst|1998-01-20 12:00:00,5.158711860837501,1998-01-20T12:00:00Z
analysed_sst|1998-01-21 12:00:00,5.401866997464772,1998-01-21T12:00:00Z
analysed_sst|1998-01-22 12:00:00,5.557804044551104,1998-01-22T12:00:00Z
analysed_sst|1998-01-23 12:00:00,5.837256484411225,1998-01-23T12:00:00Z
analysed_sst|1998-01-24 12:00:00,5.190213462227601,1998-01-24T12:00:00Z
analysed_sst|1998-01-25 12:00:00,5.328242776169165,1998-01-25T12:00:00Z
analysed_sst|1998-01-26 12:00:00,5.126229967345134,1998-01-26T12:00:00Z
analysed_sst|1998-01-27 12:00:00,5.016239899601675,1998-01-27T12:00:00Z
analysed_sst|1998-01-28 12:00:00,4.991613281631692,1998-01-28T12:00:00Z
analysed_sst|1998-01-29 12:00:00,4.7149089758026,1998-01-29T12:00:00Z
analysed_sst|1998-01-30 12:00:00,4.661152090724542,1998-01-30T12:00:00Z
analysed_sst|1998-01-31 12:00:00,4.364393622860443,1998-01-31T12:00:00Z
analysed_sst|1998-02-01 12:00:00,4.469169692260204,1998-02-01T12:00:00Z
analysed_sst|1998-02-02 12:00:00,4.495556454761643,1998-02-02T12:00:00Z
analysed_sst|1998-02-03 12:00:00,4.66545589539302,1998-02-03T12:00:00Z
analysed_sst|1998-02-04 12:00:00,4.461034183487053,1998-02-04T12:00:00Z
analysed_sst|1998-02-05 12:00:00,4.789117513873273,1998-02-05T12:00:00Z
analysed_sst|1998-02-06 12:00:00,4.414628168548509,1998-02-06T12:00:00Z
analysed_sst|1998-02-07 12:00:00,4.414397118038456,1998-02-07T12:00:00Z
analysed_sst|1998-02-08 12:00:00,4.312527320597223,1998-02-08T12:00:00Z
analysed_sst|1998-02-09 12:00:00,4.037744017786661,1998-02-09T12:00:00Z
analysed_sst|1998-02-10 12:00:00,4.0359006450702495,1998-02-10T12:00:00Z
analysed_sst|1998-02-11 12:00:00,3.9920230572149698,1998-02-11T12:00:00Z
analysed_sst|1998-02-12 12:00:00,4.325787108622399,1998-02-12T12:00:00Z
analysed_sst|1998-02-13 12:00:00,4.188439769750943,1998-02-13T12:00:00Z
analysed_sst|1998-02-14 12:00:00,3.8307222120544573,1998-02-14T12:00:00Z
analysed_sst|1998-02-15 12:00:00,3.548181478824645,1998-02-15T12:00:00Z
analysed_sst|1998-02-16 12:00:00,3.323118233756975,1998-02-16T12:00:00Z
analysed_sst|1998-02-17 12:00:00,3.957175605651886,1998-02-17T12:00:00Z
analysed_sst|1998-02-18 12:00:00,3.6851728009081994,1998-02-18T12:00:00Z
analysed_sst|1998-02-19 12:00:00,4.143342681377137,1998-02-19T12:00:00Z
analysed_sst|1998-02-20 12:00:00,4.011606117979742,1998-02-20T12:00:00Z
analysed_sst|1998-02-21 12:00:00,3.938822454589284,1998-02-21T12:00:00Z
analysed_sst|1998-02-22 12:00:00,3.09779103519528,1998-02-22T12:00:00Z
analysed_sst|1998-02-23 12:00:00,3.1420459291474545,1998-02-23T12:00:00Z
analysed_sst|1998-02-24 12:00:00,3.3102962160665443,1998-02-24T12:00:00Z
analysed_sst|1998-02-25 12:00:00,3.134789972326395,1998-02-25T12:00:00Z
