lyr,mean,time
sss|2017-01-01 12:00:00,33.064249865368545,2017-01-01T12:00:00Z
sss|2017-01-04 12:00:00,34.44898834775181,2017-01-04T12:00:00Z
sss|2017-01-07 12:00:00,34.30996176526156,2017-01-07T12:00:00Z
sss|2017-01-10 12:00:00,32.96187162140068,2017-01-10T12:00:00Z
sss|2017-01-13 12:00:00,34.06170530313173,2017-01-13T12:00:00Z
sss|2017-01-16 12:00:00,33.11537897630394,2017-01-16T12:00:00Z
sss|2017-01-19 12:00:00,34.58991382141129,2017-01-19T12:00:00Z
sss|2017-01-22 12:00:00,31.97530425325999,2017-01-22T12:00:00Z
sss|2017-01-25 12:00:00,32.63270504461542,2017-01-25T12:00:00Z
sss|2017-01-28 12:00:00,32.04487558910037,2017-01-28T12:00:00Z
sss|2017-01-31 12:00:00,32.97351369289535,2017-01-31T12:00:00Z
sss|2017-02-03 12:00:00,33.173386164262425,2017-02-03T12:00:00Z
sss|2017-02-06 12:00:00,32.40683871120072,2017-02-06T12:00:00Z
sss|2017-02-09 12:00:00,31.683782980904738,2017-02-09T12:00:00Z
sss|2017-02-12 12:00:00,31.88260002295863,2017-02-12T12:00:00Z
sss|2017-02-15 12:00:00,32.49950318961192,2017-02-15T12:00:00Z
sss|2017-02-18 12:00:00,32.48037302415981,2017-02-18T12:00:00Z
sss|2017-02-21 12:00:00,32.17163444649836,2017-02-21T12:00:00Z
sss|2017-02-24 12:00:00,31.270840712136117,2017-02-24T12:00:00Z
sss|2017-02-27 12:00:00,32.07885605961442,2017-02-27T12:00:00Z
sss|2017-03-02 12:00:00,32.237924441587744,2017-03-02T12:00:00Z
sss|2017-03-05 12:00:00,31.96131663889352,2017-03-05T12:00:00Z
sss|2017-03-08 12:00:00,33.471162677276354,2017-03-08T12:00:00Z
sss|2017-03-11 12:00:00,33.03648886589963,2017-03-11T12:00:00Z
sss|2017-03-14 12:00:00,34.224373822983736,2017-03-14T12:00:00Z
sss|2017-03-17 12:00:00,32.42124726312234,2017-03-17T12:00:00Z
sss|2017-03-20 12:00:00,32.77169459311846,2017-03-20T12:00:00Z
sss|2017-03-23 12:00:00,31.717269405653997,2017-03-23T12:00:00Z
sss|2017-03-26 12:00:00,32.618134857245686,2017-03-26T12:00:00Z
sss|2017-03-29 12:00:00,32.18467455670035,2017-03-29T12:00:00Z
sss|2017-04-01 12:00:00,31.330368551246636,2017-04-01T12:00:00Z
sss|2017-04-04 12:00:00,32.13692039167286,2017-04-04T12:00:00Z
sss|2017-04-07 12:00:00,33.467115658354665,2017-04-07T12:00:00Z
sss|2017-04-10 12:00:00,33.208201629635354,2017-04-10T12:00:00Z
sss|2017-04-13 12:00:00,32.139347623537596,2017-04-13T12:00:00Z
sss|2017-04-16 12:00:00,31.550911427623102,2017-04-16T12:00:00Z
sss|2017-04-19 12:00:00,33.24770159976365,2017-04-19T12:00:00Z
sss|2017-04-22 12:00:00,32.13065742560793,2017-04-22T12:00:00Z
sss|2017-04-25 12:00:00,33.59093652731074,2017-04-25T12:00:00Z
sss|2017-04-28 12:00:00,34.40395255862752,2017-04-28T12:00:00Z
sss|2017-05-01 12:00:00,NA,2017-05-01T12:00:00Z
