lyr,mean,time
sss|2023-01-01 12:00:00,34.54679870605469,2023-01-01T12:00:00Z
sss|2023-01-04 12:00:00,32.12211055541649,2023-01-04T12:00:00Z
sss|2023-01-07 12:00:00,33.110408782958984,2023-01-07T12:00:00Z
sss|2023-01-10 12:00:00,34.74376015953654,2023-01-10T12:00:00Z
sss|2023-01-13 12:00:00,32.69751439518224,2023-01-13T12:00:00Z
sss|2023-01-16 12:00:00,32.79601452021123,2023-01-16T12:00:00Z
sss|2023-01-19 12:00:00,32.54434972327236,2023-01-19T12:00:00Z
sss|2023-01-22 12:00:00,32.32519220370217,2023-01-22T12:00:00Z
sss|2023-01-25 12:00:00,33.66508161490724,2023-01-25T12:00:00Z
sss|2023-01-28 12:00:00,33.80620888354348,2023-01-28T12:00:00Z
sss|2023-01-31 12:00:00,34.202471749167934,2023-01-31T12:00:00Z
sss|2023-02-03 12:00:00,34.450871859834685,2023-02-03T12:00:00Z
sss|2023-02-06 12:00:00,32.83142479879163,2023-02-06T12:00:00Z
sss|2023-02-09 12:00:00,33.65284907490933,2023-02-09T12:00:00Z
sss|2023-02-12 12:00:00,34.18198421179213,2023-02-12T12:00:00Z
sss|2023-02-15 12:00:00,33.92847458850693,2023-02-15T12:00:00Z
sss|2023-02-18 12:00:00,33.81323613317055,2023-02-18T12:00:00Z
sss|2023-02-21 12:00:00,NA,2023-02-21T12:00:00Z
sss|2023-02-24 12:00:00,34.18271789598686,2023-02-24T12:00:00Z
sss|2023-02-27 12:00:00,33.40663593755657,2023-02-27T12:00:00Z
sss|2023-03-02 12:00:00,32.79586079058556,2023-03-02T12:00:00Z
sss|2023-03-05 12:00:00,33.44626760026515,2023-03-05T12:00:00Z
sss|2023-03-08 12:00:00,35.25911836503494,2023-03-08T12:00:00Z
sss|2023-03-11 12:00:00,34.157956803168226,2023-03-11T12:00:00Z
sss|2023-03-14 12:00:00,33.87899300990498,2023-03-14T12:00:00Z
sss|2023-03-17 12:00:00,32.912995786213735,2023-03-17T12:00:00Z
sss|2023-03-20 12:00:00,33.07603114934865,2023-03-20T12:00:00Z
sss|2023-03-23 12:00:00,35.916605742257346,2023-03-23T12:00:00Z
sss|2023-03-26 12:00:00,33.07881713296444,2023-03-26T12:00:00Z
sss|2023-03-29 12:00:00,32.83753277685256,2023-03-29T12:00:00Z
sss|2023-04-01 12:00:00,33.3393185554776,2023-04-01T12:00:00Z
sss|2023-04-04 12:00:00,33.24430534024248,2023-04-04T12:00:00Z
sss|2023-04-07 12:00:00,33.21233840337617,2023-04-07T12:00:00Z
sss|2023-04-10 12:00:00,31.835903756351343,2023-04-10T12:00:00Z
sss|2023-04-13 12:00:00,33.40864918974119,2023-04-13T12:00:00Z
