lyr,mean,time
sss|2021-01-01 12:00:00,35.56636281258941,2021-01-01T12:00:00Z
sss|2021-01-04 12:00:00,35.44009824786692,2021-01-04T12:00:00Z
sss|2021-01-07 12:00:00,34.79580706766378,2021-01-07T12:00:00Z
sss|2021-01-10 12:00:00,35.43827417599985,2021-01-10T12:00:00Z
sss|2021-01-13 12:00:00,33.98750825071502,2021-01-13T12:00:00Z
sss|2021-01-16 12:00:00,34.44649909907436,2021-01-16T12:00:00Z
sss|2021-01-19 12:00:00,34.80374108634526,2021-01-19T12:00:00Z
sss|2021-01-22 12:00:00,34.67854088826624,2021-01-22T12:00:00Z
sss|2021-01-25 12:00:00,34.87078853601354,2021-01-25T12:00:00Z
sss|2021-01-28 12:00:00,34.688653679173626,2021-01-28T12:00:00Z
sss|2021-01-31 12:00:00,35.66095297991981,2021-01-31T12:00:00Z
sss|2021-02-03 12:00:00,35.41168263545007,2021-02-03T12:00:00Z
sss|2021-02-06 12:00:00,34.439149038781785,2021-02-06T12:00:00Z
sss|2021-02-09 12:00:00,34.40028750448077,2021-02-09T12:00:00Z
sss|2021-02-12 12:00:00,NA,2021-02-12T12:00:00Z
sss|2021-02-15 12:00:00,33.93092237257688,2021-02-15T12:00:00Z
sss|2021-02-18 12:00:00,35.28409164023658,2021-02-18T12:00:00Z
sss|2021-02-21 12:00:00,NA,2021-02-21T12:00:00Z
sss|2021-02-24 12:00:00,NA,2021-02-24T12:00:00Z
sss|2021-02-27 12:00:00,35.771250318166466,2021-02-27T12:00:00Z
sss|2021-03-02 12:00:00,35.27159919539485,2021-03-02T12:00:00Z
sss|2021-03-05 12:00:00,34.741974946191725,2021-03-05T12:00:00Z
sss|2021-03-08 12:00:00,35.65030510427901,2021-03-08T12:00:00Z
sss|2021-03-11 12:00:00,35.26770251867131,2021-03-11T12:00:00Z
sss|2021-03-14 12:00:00,36.17796646110993,2021-03-14T12:00:00Z
sss|2021-03-17 12:00:00,35.511255780692416,2021-03-17T12:00:00Z
sss|2021-03-20 12:00:00,35.74511076268682,2021-03-20T12:00:00Z
sss|2021-03-23 12:00:00,35.24597945972126,2021-03-23T12:00:00Z
sss|2021-03-26 12:00:00,35.399567141564035,2021-03-26T12:00:00Z
sss|2021-03-29 12:00:00,35.96069604584378,2021-03-29T12:00:00Z
sss|2021-04-01 12:00:00,35.32799035816522,2021-04-01T12:00:00Z
sss|2021-04-04 12:00:00,36.34740204497644,2021-04-04T12:00:00Z
sss|2021-04-07 12:00:00,36.21218101024831,2021-04-07T12:00:00Z
sss|2021-04-16 12:00:00,35.14428998812733,2021-04-16T12:00:00Z
sss|2021-04-25 12:00:00,NA,2021-04-25T12:00:00Z
sss|2021-04-28 12:00:00,35.47860206711793,2021-04-28T12:00:00Z
sss|2021-05-01 12:00:00,35.81830359662934,2021-05-01T12:00:00Z
sss|2021-05-04 12:00:00,35.40352361575332,2021-05-04T12:00:00Z
sss|2021-05-10 12:00:00,35.302302084039475,2021-05-10T12:00:00Z
sss|2021-05-13 12:00:00,35.566307587301125,2021-05-13T12:00:00Z
sss|2021-05-16 12:00:00,35.030905845704616,2021-05-16T12:00:00Z
sss|2021-05-19 12:00:00,34.32113255595015,2021-05-19T12:00:00Z
sss|2021-05-22 12:00:00,34.92850682069502,2021-05-22T12:00:00Z
sss|2021-05-28 12:00:00,36.04454237280829,2021-05-28T12:00:00Z
sss|2021-05-31 12:00:00,35.29108647473598,2021-05-31T12:00:00Z
sss|2021-06-03 12:00:00,35.88154734465219,2021-06-03T12:00:00Z
sss|2021-06-06 12:00:00,35.587413638840225,2021-06-06T12:00:00Z
sss|2021-06-09 12:00:00,36.28704481528973,2021-06-09T12:00:00Z
sss|2021-06-12 12:00:00,35.46093827519359,2021-06-12T12:00:00Z
sss|2021-06-15 12:00:00,35.58192203803971,2021-06-15T12:00:00Z
sss|2021-06-18 12:00:00,34.462856448472245,2021-06-18T12:00:00Z
sss|2021-06-21 12:00:00,34.88855108970105,2021-06-21T12:00:00Z
sss|2021-06-24 12:00:00,34.29591945209824,2021-06-24T12:00:00Z
sss|2021-06-27 12:00:00,35.057781928902315,2021-06-27T12:00:00Z
