lyr,mean,time
sss|2012-01-01 12:00:00,37.07268142700195,2012-01-01T12:00:00Z
sss|2012-01-04 12:00:00,36.64539511713529,2012-01-04T12:00:00Z
sss|2012-01-07 12:00:00,36.06278803144147,2012-01-07T12:00:00Z
sss|2012-01-10 12:00:00,35.559596043404945,2012-01-10T12:00:00Z
sss|2012-01-13 12:00:00,36.31503087153076,2012-01-13T12:00:00Z
sss|2012-01-16 12:00:00,36.6201856991731,2012-01-16T12:00:00Z
sss|2012-01-19 12:00:00,35.8159491666738,2012-01-19T12:00:00Z
sss|2012-01-22 12:00:00,35.86026035324815,2012-01-22T12:00:00Z
sss|2012-01-25 12:00:00,NA,2012-01-25T12:00:00Z
sss|2012-01-28 12:00:00,35.902817765477415,2012-01-28T12:00:00Z
sss|2012-01-31 12:00:00,36.04327103501856,2012-01-31T12:00:00Z
sss|2012-02-03 12:00:00,34.94008342278689,2012-02-03T12:00:00Z
sss|2012-02-06 12:00:00,36.08272757790667,2012-02-06T12:00:00Z
sss|2012-02-09 12:00:00,35.02117342335734,2012-02-09T12:00:00Z
sss|2012-02-12 12:00:00,36.94440992568497,2012-02-12T12:00:00Z
sss|2012-02-15 12:00:00,34.40462049324326,2012-02-15T12:00:00Z
sss|2012-02-18 12:00:00,36.3430803756509,2012-02-18T12:00:00Z
sss|2012-02-21 12:00:00,36.272117385815804,2012-02-21T12:00:00Z
sss|2012-02-24 12:00:00,35.37632098553267,2012-02-24T12:00:00Z
sss|2012-02-27 12:00:00,36.10487844574929,2012-02-27T12:00:00Z
sss|2012-03-01 12:00:00,36.42486511027653,2012-03-01T12:00:00Z
sss|2012-03-04 12:00:00,35.7523601137853,2012-03-04T12:00:00Z
sss|2012-03-07 12:00:00,36.35864239695736,2012-03-07T12:00:00Z
sss|2012-03-10 12:00:00,36.39841569690763,2012-03-10T12:00:00Z
sss|2012-03-13 12:00:00,35.88334694804516,2012-03-13T12:00:00Z
sss|2012-03-16 12:00:00,36.828239327863145,2012-03-16T12:00:00Z
sss|2012-03-19 12:00:00,35.647995567320926,2012-03-19T12:00:00Z
sss|2012-03-22 12:00:00,36.45630154054718,2012-03-22T12:00:00Z
sss|2012-03-25 12:00:00,36.71068193430445,2012-03-25T12:00:00Z
sss|2012-03-28 12:00:00,35.92633393619728,2012-03-28T12:00:00Z
sss|2012-03-31 12:00:00,35.87457235406305,2012-03-31T12:00:00Z
sss|2012-04-03 12:00:00,37.23518717338906,2012-04-03T12:00:00Z
sss|2012-04-06 12:00:00,37.01315116368983,2012-04-06T12:00:00Z
sss|2012-04-09 12:00:00,35.676560793032586,2012-04-09T12:00:00Z
sss|2012-04-12 12:00:00,36.84729649639355,2012-04-12T12:00:00Z
sss|2012-04-15 12:00:00,36.98146189034709,2012-04-15T12:00:00Z
sss|2012-04-18 12:00:00,NA,2012-04-18T12:00:00Z
sss|2012-04-21 12:00:00,NA,2012-04-21T12:00:00Z
sss|2012-04-24 12:00:00,36.277935229714366,2012-04-24T12:00:00Z
sss|2012-04-27 12:00:00,36.45779515902669,2012-04-27T12:00:00Z
sss|2012-04-30 12:00:00,36.46505394329084,2012-04-30T12:00:00Z
sss|2012-05-03 12:00:00,38.07357544339569,2012-05-03T12:00:00Z
sss|2012-05-06 12:00:00,NA,2012-05-06T12:00:00Z
sss|2012-05-09 12:00:00,36.73250677082222,2012-05-09T12:00:00Z
sss|2012-05-12 12:00:00,37.03175527676538,2012-05-12T12:00:00Z
sss|2012-05-15 12:00:00,36.91077106594389,2012-05-15T12:00:00Z
sss|2012-05-18 12:00:00,36.46004612401982,2012-05-18T12:00:00Z
sss|2012-05-21 12:00:00,38.10802199589352,2012-05-21T12:00:00Z
sss|2012-05-24 12:00:00,36.864450972257835,2012-05-24T12:00:00Z
sss|2012-05-27 12:00:00,36.06118348804416,2012-05-27T12:00:00Z
sss|2012-05-30 12:00:00,NA,2012-05-30T12:00:00Z
