lyr,mean,time
sss|2019-01-01 12:00:00,33.12470390672096,2019-01-01T12:00:00Z
sss|2019-01-04 12:00:00,33.50029003052239,2019-01-04T12:00:00Z
sss|2019-01-07 12:00:00,32.08221210607692,2019-01-07T12:00:00Z
sss|2019-01-10 12:00:00,31.883010441931976,2019-01-10T12:00:00Z
sss|2019-01-13 12:00:00,33.700385395086556,2019-01-13T12:00:00Z
sss|2019-01-16 12:00:00,33.8739444032426,2019-01-16T12:00:00Z
sss|2019-01-19 12:00:00,32.79286762735888,2019-01-19T12:00:00Z
sss|2019-01-22 12:00:00,32.66189832901935,2019-01-22T12:00:00Z
sss|2019-01-25 12:00:00,30.878040316183807,2019-01-25T12:00:00Z
sss|2019-01-28 12:00:00,32.58078197804295,2019-01-28T12:00:00Z
sss|2019-01-31 12:00:00,34.11680586599126,2019-01-31T12:00:00Z
sss|2019-02-03 12:00:00,NA,2019-02-03T12:00:00Z
sss|2019-02-06 12:00:00,32.40262676703266,2019-02-06T12:00:00Z
sss|2019-02-09 12:00:00,32.41567115580599,2019-02-09T12:00:00Z
sss|2019-02-12 12:00:00,NA,2019-02-12T12:00:00Z
sss|2019-02-15 12:00:00,30.838660446627646,2019-02-15T12:00:00Z
sss|2019-02-18 12:00:00,32.166543216258994,2019-02-18T12:00:00Z
sss|2019-02-21 12:00:00,34.65413267388504,2019-02-21T12:00:00Z
sss|2019-02-24 12:00:00,33.75788041894475,2019-02-24T12:00:00Z
sss|2019-02-27 12:00:00,33.31094753102919,2019-02-27T12:00:00Z
sss|2019-03-02 12:00:00,32.61846931553089,2019-03-02T12:00:00Z
sss|2019-03-05 12:00:00,32.687638767234915,2019-03-05T12:00:00Z
sss|2019-03-08 12:00:00,32.314529496408184,2019-03-08T12:00:00Z
sss|2019-03-11 12:00:00,32.67564304820248,2019-03-11T12:00:00Z
sss|2019-03-14 12:00:00,32.809326270405236,2019-03-14T12:00:00Z
sss|2019-03-17 12:00:00,31.936705974746076,2019-03-17T12:00:00Z
sss|2019-03-20 12:00:00,31.273452792039297,2019-03-20T12:00:00Z
sss|2019-03-23 12:00:00,31.882259964975454,2019-03-23T12:00:00Z
