lyr,mean,time
sss|2024-01-01 12:00:00,32.326022429187546,2024-01-01T12:00:00Z
sss|2024-01-04 12:00:00,NA,2024-01-04T12:00:00Z
sss|2024-01-07 12:00:00,34.39845360409714,2024-01-07T12:00:00Z
sss|2024-01-10 12:00:00,NA,2024-01-10T12:00:00Z
sss|2024-01-13 12:00:00,NA,2024-01-13T12:00:00Z
sss|2024-01-16 12:00:00,NA,2024-01-16T12:00:00Z
sss|2024-01-19 12:00:00,35.260968967030344,2024-01-19T12:00:00Z
sss|2024-01-22 12:00:00,NA,2024-01-22T12:00:00Z
sss|2024-01-25 12:00:00,NA,2024-01-25T12:00:00Z
sss|2024-01-28 12:00:00,NA,2024-01-28T12:00:00Z
sss|2024-01-31 12:00:00,32.72271728515625,2024-01-31T12:00:00Z
sss|2024-02-03 12:00:00,NA,2024-02-03T12:00:00Z
sss|2024-02-06 12:00:00,32.179390410280845,2024-02-06T12:00:00Z
sss|2024-02-12 12:00:00,NA,2024-02-12T12:00:00Z
sss|2024-02-15 12:00:00,NA,2024-02-15T12:00:00Z
sss|2024-02-18 12:00:00,35.72726042129495,2024-02-18T12:00:00Z
sss|2024-03-10 12:00:00,33.47898483276367,2024-03-10T12:00:00Z
sss|2024-03-13 12:00:00,33.71592505520752,2024-03-13T12:00:00Z
sss|2024-03-16 12:00:00,32.88182128989637,2024-03-16T12:00:00Z
sss|2024-03-19 12:00:00,35.85187215186728,2024-03-19T12:00:00Z
sss|2024-03-22 12:00:00,NA,2024-03-22T12:00:00Z
sss|2024-03-25 12:00:00,34.765403573755414,2024-03-25T12:00:00Z
sss|2024-03-28 12:00:00,NA,2024-03-28T12:00:00Z
sss|2024-03-31 12:00:00,33.86165523762642,2024-03-31T12:00:00Z
sss|2024-04-03 12:00:00,32.42176944594478,2024-04-03T12:00:00Z
sss|2024-04-06 12:00:00,33.877831279463436,2024-04-06T12:00:00Z
sss|2024-04-09 12:00:00,NA,2024-04-09T12:00:00Z
sss|2024-04-12 12:00:00,34.43484648503739,2024-04-12T12:00:00Z
sss|2024-04-15 12:00:00,NA,2024-04-15T12:00:00Z
sss|2024-04-18 12:00:00,33.93137359204244,2024-04-18T12:00:00Z
sss|2024-04-21 12:00:00,32.307932359619656,2024-04-21T12:00:00Z
sss|2024-04-24 12:00:00,34.16639709472656,2024-04-24T12:00:00Z
sss|2024-04-27 12:00:00,NA,2024-04-27T12:00:00Z
sss|2024-04-30 12:00:00,35.69458750552205,2024-04-30T12:00:00Z
sss|2024-05-03 12:00:00,33.51241582813152,2024-05-03T12:00:00Z
sss|2024-05-06 12:00:00,34.350367170160844,2024-05-06T12:00:00Z
sss|2024-05-09 12:00:00,34.58973693847656,2024-05-09T12:00:00Z
sss|2024-05-12 12:00:00,34.061439817818844,2024-05-12T12:00:00Z
sss|2024-05-15 12:00:00,33.73987579345703,2024-05-15T12:00:00Z
sss|2024-05-18 12:00:00,34.683677762214344,2024-05-18T12:00:00Z
sss|2024-05-21 12:00:00,34.97902955538352,2024-05-21T12:00:00Z
sss|2024-05-24 12:00:00,32.78386124515282,2024-05-24T12:00:00Z
sss|2024-05-27 12:00:00,NA,2024-05-27T12:00:00Z
sss|2024-05-30 12:00:00,35.24280983107839,2024-05-30T12:00:00Z
sss|2024-06-02 12:00:00,33.118106842041016,2024-06-02T12:00:00Z
sss|2024-06-05 12:00:00,35.4716682434082,2024-06-05T12:00:00Z
sss|2024-06-08 12:00:00,33.261229810172146,2024-06-08T12:00:00Z
sss|2024-06-11 12:00:00,32.234569512948674,2024-06-11T12:00:00Z
sss|2024-06-14 12:00:00,34.376216888427734,2024-06-14T12:00:00Z
sss|2024-06-17 12:00:00,35.086644556080486,2024-06-17T12:00:00Z
sss|2024-06-20 12:00:00,33.27913284301758,2024-06-20T12:00:00Z
sss|2024-06-23 12:00:00,34.56580655658983,2024-06-23T12:00:00Z
sss|2024-06-26 12:00:00,34.151145935058594,2024-06-26T12:00:00Z
sss|2024-07-02 12:00:00,33.18571557554383,2024-07-02T12:00:00Z
sss|2024-07-05 12:00:00,34.23921247764701,2024-07-05T12:00:00Z
sss|2024-07-08 12:00:00,33.77746898503538,2024-07-08T12:00:00Z
sss|2024-07-11 12:00:00,34.92988769415679,2024-07-11T12:00:00Z
sss|2024-07-14 12:00:00,34.228327094657736,2024-07-14T12:00:00Z
sss|2024-07-17 12:00:00,33.84223668133258,2024-07-17T12:00:00Z
sss|2024-07-20 12:00:00,NA,2024-07-20T12:00:00Z
sss|2024-07-23 12:00:00,NA,2024-07-23T12:00:00Z
sss|2024-07-26 12:00:00,33.693986856056924,2024-07-26T12:00:00Z
sss|2024-07-29 12:00:00,35.49612308018498,2024-07-29T12:00:00Z
sss|2024-08-01 12:00:00,34.50060263482132,2024-08-01T12:00:00Z
sss|2024-08-04 12:00:00,33.25154113769531,2024-08-04T12:00:00Z
sss|2024-08-07 12:00:00,35.180885314941406,2024-08-07T12:00:00Z
sss|2024-08-10 12:00:00,33.61822985825231,2024-08-10T12:00:00Z
sss|2024-08-13 12:00:00,NA,2024-08-13T12:00:00Z
sss|2024-08-16 12:00:00,35.894524725732914,2024-08-16T12:00:00Z
sss|2024-08-19 12:00:00,34.1538291872626,2024-08-19T12:00:00Z
sss|2024-08-22 12:00:00,33.69666742756502,2024-08-22T12:00:00Z
sss|2024-08-25 12:00:00,31.022976029132003,2024-08-25T12:00:00Z
sss|2024-08-28 12:00:00,33.41423797607422,2024-08-28T12:00:00Z
sss|2024-08-31 12:00:00,32.151357388759564,2024-08-31T12:00:00Z
sss|2024-09-03 12:00:00,35.27521030184673,2024-09-03T12:00:00Z
sss|2024-09-06 12:00:00,34.110158702513644,2024-09-06T12:00:00Z
sss|2024-09-09 12:00:00,33.6290397644043,2024-09-09T12:00:00Z
sss|2024-09-12 12:00:00,32.87753702048838,2024-09-12T12:00:00Z
sss|2024-09-15 12:00:00,34.23082733154297,2024-09-15T12:00:00Z
sss|2024-09-18 12:00:00,31.928814053497984,2024-09-18T12:00:00Z
sss|2024-09-21 12:00:00,34.16095556643629,2024-09-21T12:00:00Z
sss|2024-09-24 12:00:00,35.54198099898934,2024-09-24T12:00:00Z
sss|2024-09-27 12:00:00,NA,2024-09-27T12:00:00Z
sss|2024-09-30 12:00:00,NA,2024-09-30T12:00:00Z
sss|2024-10-03 12:00:00,NA,2024-10-03T12:00:00Z
sss|2024-10-06 12:00:00,31.862472924904115,2024-10-06T12:00:00Z
sss|2024-10-09 12:00:00,36.131080452480546,2024-10-09T12:00:00Z
sss|2024-10-12 12:00:00,34.18644023027508,2024-10-12T12:00:00Z
sss|2024-10-15 12:00:00,NA,2024-10-15T12:00:00Z
sss|2024-10-18 12:00:00,NA,2024-10-18T12:00:00Z
sss|2024-10-21 12:00:00,NA,2024-10-21T12:00:00Z
sss|2024-10-24 12:00:00,NA,2024-10-24T12:00:00Z
sss|2024-10-27 12:00:00,32.3170001820962,2024-10-27T12:00:00Z
sss|2024-10-30 12:00:00,33.78108301872031,2024-10-30T12:00:00Z
sss|2024-11-02 12:00:00,NA,2024-11-02T12:00:00Z
sss|2024-11-05 12:00:00,NA,2024-11-05T12:00:00Z
sss|2024-11-08 12:00:00,32.09459686279297,2024-11-08T12:00:00Z
sss|2024-11-11 12:00:00,NA,2024-11-11T12:00:00Z
sss|2024-11-14 12:00:00,37.15869140625,2024-11-14T12:00:00Z
sss|2024-11-17 12:00:00,35.288123377126375,2024-11-17T12:00:00Z
sss|2024-11-20 12:00:00,NA,2024-11-20T12:00:00Z
sss|2024-11-23 12:00:00,NA,2024-11-23T12:00:00Z
sss|2024-11-26 12:00:00,NA,2024-11-26T12:00:00Z
sss|2024-11-29 12:00:00,34.51806595983521,2024-11-29T12:00:00Z
sss|2024-12-02 12:00:00,NA,2024-12-02T12:00:00Z
sss|2024-12-05 12:00:00,NA,2024-12-05T12:00:00Z
sss|2024-12-08 12:00:00,NA,2024-12-08T12:00:00Z
sss|2024-12-11 12:00:00,NA,2024-12-11T12:00:00Z
sss|2024-12-14 12:00:00,NA,2024-12-14T12:00:00Z
sss|2024-12-17 12:00:00,NA,2024-12-17T12:00:00Z
sss|2024-12-20 12:00:00,NA,2024-12-20T12:00:00Z
sss|2024-12-23 12:00:00,34.69494315238024,2024-12-23T12:00:00Z
sss|2024-12-26 12:00:00,NA,2024-12-26T12:00:00Z
sss|2024-12-29 12:00:00,NA,2024-12-29T12:00:00Z
