lyr,mean,time
sss|2011-01-13 12:00:00,NA,2011-01-13T12:00:00Z
sss|2011-01-16 12:00:00,NA,2011-01-16T12:00:00Z
sss|2011-01-19 12:00:00,NA,2011-01-19T12:00:00Z
sss|2011-01-22 12:00:00,31.011295318603516,2011-01-22T12:00:00Z
sss|2011-01-25 12:00:00,NA,2011-01-25T12:00:00Z
sss|2011-01-28 12:00:00,32.0171020195983,2011-01-28T12:00:00Z
sss|2011-01-31 12:00:00,NA,2011-01-31T12:00:00Z
sss|2011-02-03 12:00:00,33.242153837415714,2011-02-03T12:00:00Z
sss|2011-02-06 12:00:00,32.84248317958156,2011-02-06T12:00:00Z
sss|2011-02-09 12:00:00,33.553028070270045,2011-02-09T12:00:00Z
sss|2011-02-12 12:00:00,31.476297471181034,2011-02-12T12:00:00Z
sss|2011-02-15 12:00:00,32.872767710370425,2011-02-15T12:00:00Z
sss|2011-02-18 12:00:00,31.73761558541869,2011-02-18T12:00:00Z
sss|2011-02-21 12:00:00,32.593754213039425,2011-02-21T12:00:00Z
sss|2011-02-24 12:00:00,32.58834846761059,2011-02-24T12:00:00Z
sss|2011-02-27 12:00:00,NA,2011-02-27T12:00:00Z
sss|2011-03-02 12:00:00,32.29622829814826,2011-03-02T12:00:00Z
sss|2011-03-05 12:00:00,31.712960816942942,2011-03-05T12:00:00Z
sss|2011-03-08 12:00:00,32.01700759058632,2011-03-08T12:00:00Z
sss|2011-03-11 12:00:00,33.38867773733208,2011-03-11T12:00:00Z
sss|2011-03-14 12:00:00,32.750318527279596,2011-03-14T12:00:00Z
sss|2011-03-17 12:00:00,33.17705243391221,2011-03-17T12:00:00Z
sss|2011-03-20 12:00:00,33.614753468658975,2011-03-20T12:00:00Z
sss|2011-03-23 12:00:00,32.47407012283148,2011-03-23T12:00:00Z
sss|2011-03-26 12:00:00,32.94360014142418,2011-03-26T12:00:00Z
sss|2011-03-29 12:00:00,NA,2011-03-29T12:00:00Z
sss|2011-04-01 12:00:00,33.26641105676541,2011-04-01T12:00:00Z
sss|2011-04-04 12:00:00,32.52521097044115,2011-04-04T12:00:00Z
sss|2011-04-07 12:00:00,33.886743971231965,2011-04-07T12:00:00Z
sss|2011-04-10 12:00:00,32.940020018755384,2011-04-10T12:00:00Z
sss|2011-04-13 12:00:00,31.717533609573785,2011-04-13T12:00:00Z
sss|2011-04-16 12:00:00,33.08797513693271,2011-04-16T12:00:00Z
sss|2011-04-19 12:00:00,NA,2011-04-19T12:00:00Z
sss|2011-04-22 12:00:00,33.04466115831816,2011-04-22T12:00:00Z
sss|2011-04-25 12:00:00,33.25463265944658,2011-04-25T12:00:00Z
sss|2011-04-28 12:00:00,32.971728895092326,2011-04-28T12:00:00Z
sss|2011-05-01 12:00:00,32.32389820360903,2011-05-01T12:00:00Z
sss|2011-05-04 12:00:00,NA,2011-05-04T12:00:00Z
