lyr,mean,time
sss|2023-01-01 12:00:00,36.8633867796904,2023-01-01T12:00:00Z
sss|2023-01-04 12:00:00,32.97463642688981,2023-01-04T12:00:00Z
sss|2023-01-07 12:00:00,33.66674838425449,2023-01-07T12:00:00Z
sss|2023-01-10 12:00:00,NA,2023-01-10T12:00:00Z
sss|2023-01-13 12:00:00,35.77674337465747,2023-01-13T12:00:00Z
sss|2023-01-16 12:00:00,31.32630017245169,2023-01-16T12:00:00Z
sss|2023-01-19 12:00:00,33.09795977224587,2023-01-19T12:00:00Z
sss|2023-01-22 12:00:00,31.441410543304443,2023-01-22T12:00:00Z
sss|2023-01-25 12:00:00,32.620580658859375,2023-01-25T12:00:00Z
sss|2023-01-28 12:00:00,33.33703741393727,2023-01-28T12:00:00Z
sss|2023-01-31 12:00:00,32.63138808598492,2023-01-31T12:00:00Z
sss|2023-02-03 12:00:00,32.09117183294234,2023-02-03T12:00:00Z
sss|2023-02-06 12:00:00,33.75478295171095,2023-02-06T12:00:00Z
sss|2023-02-09 12:00:00,33.310427007336216,2023-02-09T12:00:00Z
sss|2023-02-12 12:00:00,32.09155192914583,2023-02-12T12:00:00Z
sss|2023-02-15 12:00:00,33.06147087811953,2023-02-15T12:00:00Z
sss|2023-02-18 12:00:00,32.75387286131996,2023-02-18T12:00:00Z
sss|2023-02-21 12:00:00,NA,2023-02-21T12:00:00Z
sss|2023-02-24 12:00:00,35.62442767385998,2023-02-24T12:00:00Z
sss|2023-02-27 12:00:00,33.226382155053194,2023-02-27T12:00:00Z
sss|2023-03-02 12:00:00,32.80010176805606,2023-03-02T12:00:00Z
sss|2023-03-05 12:00:00,33.2149326443268,2023-03-05T12:00:00Z
sss|2023-03-08 12:00:00,34.48579243912476,2023-03-08T12:00:00Z
sss|2023-03-11 12:00:00,33.59325271206595,2023-03-11T12:00:00Z
sss|2023-03-14 12:00:00,34.32010976669459,2023-03-14T12:00:00Z
sss|2023-03-17 12:00:00,33.40024745489805,2023-03-17T12:00:00Z
sss|2023-03-20 12:00:00,32.64555352366014,2023-03-20T12:00:00Z
sss|2023-03-23 12:00:00,33.635112791970705,2023-03-23T12:00:00Z
sss|2023-03-26 12:00:00,33.02888506578048,2023-03-26T12:00:00Z
sss|2023-03-29 12:00:00,32.10613259187599,2023-03-29T12:00:00Z
sss|2023-04-01 12:00:00,34.73777110921774,2023-04-01T12:00:00Z
sss|2023-04-04 12:00:00,33.95801779835682,2023-04-04T12:00:00Z
sss|2023-04-07 12:00:00,33.08688693973415,2023-04-07T12:00:00Z
sss|2023-04-10 12:00:00,34.73643325311564,2023-04-10T12:00:00Z
sss|2023-04-13 12:00:00,32.475340545517504,2023-04-13T12:00:00Z
sss|2023-04-16 12:00:00,32.7136094892541,2023-04-16T12:00:00Z
sss|2023-04-19 12:00:00,33.2834630550225,2023-04-19T12:00:00Z
sss|2023-04-22 12:00:00,32.5307144614066,2023-04-22T12:00:00Z
sss|2023-04-25 12:00:00,32.67508030629631,2023-04-25T12:00:00Z
sss|2023-04-28 12:00:00,33.12970764519584,2023-04-28T12:00:00Z
sss|2023-05-01 12:00:00,34.151936751762165,2023-05-01T12:00:00Z
sss|2023-05-10 12:00:00,32.5744491017928,2023-05-10T12:00:00Z
sss|2023-05-13 12:00:00,33.43359217553381,2023-05-13T12:00:00Z
sss|2023-05-16 12:00:00,31.358103748185755,2023-05-16T12:00:00Z
sss|2023-05-19 12:00:00,31.89549895648123,2023-05-19T12:00:00Z
sss|2023-05-22 12:00:00,31.23942765561452,2023-05-22T12:00:00Z
sss|2023-05-25 12:00:00,34.16166170454061,2023-05-25T12:00:00Z
sss|2023-05-28 12:00:00,33.112033388756736,2023-05-28T12:00:00Z
sss|2023-06-03 12:00:00,32.39388120170049,2023-06-03T12:00:00Z
sss|2023-06-06 12:00:00,32.42039549178123,2023-06-06T12:00:00Z
sss|2023-06-09 12:00:00,31.456158710211763,2023-06-09T12:00:00Z
sss|2023-06-12 12:00:00,34.65063705014881,2023-06-12T12:00:00Z
sss|2023-06-15 12:00:00,33.61813203389425,2023-06-15T12:00:00Z
sss|2023-06-18 12:00:00,32.22195830238887,2023-06-18T12:00:00Z
sss|2023-06-21 12:00:00,32.7496533980675,2023-06-21T12:00:00Z
sss|2023-06-24 12:00:00,32.952991496959825,2023-06-24T12:00:00Z
sss|2023-06-27 12:00:00,32.1935548531704,2023-06-27T12:00:00Z
sss|2023-06-30 12:00:00,33.38715301712789,2023-06-30T12:00:00Z
sss|2023-07-03 12:00:00,34.525166589874964,2023-07-03T12:00:00Z
sss|2023-07-06 12:00:00,32.538462231930815,2023-07-06T12:00:00Z
sss|2023-07-09 12:00:00,32.668236996399735,2023-07-09T12:00:00Z
sss|2023-07-12 12:00:00,33.381418915225396,2023-07-12T12:00:00Z
sss|2023-07-15 12:00:00,31.472165139702444,2023-07-15T12:00:00Z
sss|2023-07-18 12:00:00,33.804850334752125,2023-07-18T12:00:00Z
sss|2023-07-21 12:00:00,33.71236461013587,2023-07-21T12:00:00Z
sss|2023-07-24 12:00:00,33.30899513443863,2023-07-24T12:00:00Z
sss|2023-07-27 12:00:00,33.294905896805155,2023-07-27T12:00:00Z
sss|2023-07-30 12:00:00,33.80765854344506,2023-07-30T12:00:00Z
sss|2023-08-02 12:00:00,33.06370638438194,2023-08-02T12:00:00Z
sss|2023-08-05 12:00:00,33.24736224058341,2023-08-05T12:00:00Z
sss|2023-08-08 12:00:00,33.28443013670179,2023-08-08T12:00:00Z
sss|2023-08-11 12:00:00,32.53926332084068,2023-08-11T12:00:00Z
sss|2023-08-14 12:00:00,32.01689552388096,2023-08-14T12:00:00Z
sss|2023-08-17 12:00:00,32.19602959311035,2023-08-17T12:00:00Z
sss|2023-08-20 12:00:00,33.26876236858842,2023-08-20T12:00:00Z
sss|2023-08-23 12:00:00,31.77871570549731,2023-08-23T12:00:00Z
sss|2023-08-26 12:00:00,32.40785483463632,2023-08-26T12:00:00Z
sss|2023-08-29 12:00:00,32.98404555927193,2023-08-29T12:00:00Z
sss|2023-09-01 12:00:00,33.347228667291596,2023-09-01T12:00:00Z
sss|2023-09-04 12:00:00,32.33625901025175,2023-09-04T12:00:00Z
sss|2023-09-07 12:00:00,33.15823729259975,2023-09-07T12:00:00Z
sss|2023-09-13 12:00:00,31.907295145540505,2023-09-13T12:00:00Z
sss|2023-09-16 12:00:00,35.76149884109468,2023-09-16T12:00:00Z
sss|2023-09-19 12:00:00,32.86008626756692,2023-09-19T12:00:00Z
sss|2023-09-22 12:00:00,33.342145333944046,2023-09-22T12:00:00Z
sss|2023-09-25 12:00:00,32.128733904533,2023-09-25T12:00:00Z
sss|2023-09-28 12:00:00,32.45132131914094,2023-09-28T12:00:00Z
sss|2023-10-01 12:00:00,33.24079049712524,2023-10-01T12:00:00Z
sss|2023-10-04 12:00:00,33.02939056865693,2023-10-04T12:00:00Z
sss|2023-10-10 12:00:00,31.788893028527678,2023-10-10T12:00:00Z
sss|2023-10-13 12:00:00,32.40188204649649,2023-10-13T12:00:00Z
sss|2023-10-16 12:00:00,32.177384023581915,2023-10-16T12:00:00Z
sss|2023-10-19 12:00:00,33.24636491969491,2023-10-19T12:00:00Z
sss|2023-10-22 12:00:00,32.47466557098064,2023-10-22T12:00:00Z
sss|2023-10-25 12:00:00,33.88932585612475,2023-10-25T12:00:00Z
sss|2023-10-28 12:00:00,33.02606020032136,2023-10-28T12:00:00Z
sss|2023-10-31 12:00:00,33.59092064529753,2023-10-31T12:00:00Z
sss|2023-11-03 12:00:00,32.27137444559707,2023-11-03T12:00:00Z
sss|2023-11-06 12:00:00,32.58800576055713,2023-11-06T12:00:00Z
sss|2023-11-09 12:00:00,34.063084716349756,2023-11-09T12:00:00Z
sss|2023-11-12 12:00:00,32.70950497652122,2023-11-12T12:00:00Z
sss|2023-11-15 12:00:00,32.67383442148331,2023-11-15T12:00:00Z
sss|2023-11-18 12:00:00,32.89007749258041,2023-11-18T12:00:00Z
sss|2023-11-21 12:00:00,32.27438673954291,2023-11-21T12:00:00Z
sss|2023-11-24 12:00:00,31.703194761196517,2023-11-24T12:00:00Z
sss|2023-11-27 12:00:00,33.27763015931972,2023-11-27T12:00:00Z
sss|2023-11-30 12:00:00,32.881234668738315,2023-11-30T12:00:00Z
sss|2023-12-03 12:00:00,32.095531876443395,2023-12-03T12:00:00Z
sss|2023-12-06 12:00:00,34.342860439211435,2023-12-06T12:00:00Z
