lyr,mean,time
sss|2010-06-03 12:00:00,33.04912258859694,2010-06-03T12:00:00Z
sss|2010-06-09 12:00:00,34.09212607404999,2010-06-09T12:00:00Z
sss|2010-06-12 12:00:00,34.00090165982254,2010-06-12T12:00:00Z
sss|2010-06-15 12:00:00,NA,2010-06-15T12:00:00Z
sss|2010-06-18 12:00:00,33.83702251451515,2010-06-18T12:00:00Z
sss|2010-06-24 12:00:00,32.28979687227776,2010-06-24T12:00:00Z
sss|2010-06-27 12:00:00,33.869202084216916,2010-06-27T12:00:00Z
sss|2010-06-30 12:00:00,33.44544883358792,2010-06-30T12:00:00Z
sss|2010-07-03 12:00:00,33.66268617166669,2010-07-03T12:00:00Z
sss|2010-07-06 12:00:00,33.79177274265356,2010-07-06T12:00:00Z
sss|2010-07-09 12:00:00,34.10649611807135,2010-07-09T12:00:00Z
sss|2010-07-12 12:00:00,NA,2010-07-12T12:00:00Z
sss|2010-07-15 12:00:00,34.125405919874915,2010-07-15T12:00:00Z
sss|2010-07-18 12:00:00,32.16645585955968,2010-07-18T12:00:00Z
sss|2010-07-21 12:00:00,33.7605515992119,2010-07-21T12:00:00Z
sss|2010-07-24 12:00:00,34.677199822124756,2010-07-24T12:00:00Z
sss|2010-07-27 12:00:00,33.175150294512434,2010-07-27T12:00:00Z
sss|2010-07-30 12:00:00,33.55756301917014,2010-07-30T12:00:00Z
sss|2010-08-02 12:00:00,33.588060036338256,2010-08-02T12:00:00Z
sss|2010-08-05 12:00:00,33.8514826001139,2010-08-05T12:00:00Z
sss|2010-08-08 12:00:00,33.76965463733899,2010-08-08T12:00:00Z
sss|2010-08-11 12:00:00,33.8094749405106,2010-08-11T12:00:00Z
sss|2010-08-14 12:00:00,33.21569674000177,2010-08-14T12:00:00Z
sss|2010-08-17 12:00:00,32.87126398007446,2010-08-17T12:00:00Z
sss|2010-08-20 12:00:00,35.347760261531725,2010-08-20T12:00:00Z
sss|2010-08-23 12:00:00,33.2504003400451,2010-08-23T12:00:00Z
sss|2010-08-26 12:00:00,33.43995192163955,2010-08-26T12:00:00Z
sss|2010-08-29 12:00:00,33.84810056091333,2010-08-29T12:00:00Z
sss|2010-09-01 12:00:00,33.018160577401034,2010-09-01T12:00:00Z
sss|2010-09-04 12:00:00,32.837830392548355,2010-09-04T12:00:00Z
sss|2010-09-07 12:00:00,34.55620013869274,2010-09-07T12:00:00Z
sss|2010-09-10 12:00:00,33.990270876420865,2010-09-10T12:00:00Z
sss|2010-09-13 12:00:00,35.54236475594555,2010-09-13T12:00:00Z
sss|2010-09-16 12:00:00,33.453637943105726,2010-09-16T12:00:00Z
sss|2010-09-19 12:00:00,33.663487426284014,2010-09-19T12:00:00Z
sss|2010-09-22 12:00:00,32.5975317360622,2010-09-22T12:00:00Z
sss|2010-09-25 12:00:00,33.08669604169379,2010-09-25T12:00:00Z
sss|2010-09-28 12:00:00,32.78695093590164,2010-09-28T12:00:00Z
sss|2010-10-01 12:00:00,33.12137026674275,2010-10-01T12:00:00Z
sss|2010-10-04 12:00:00,34.67884583869045,2010-10-04T12:00:00Z
sss|2010-10-07 12:00:00,33.35230345586121,2010-10-07T12:00:00Z
sss|2010-10-10 12:00:00,33.90919286757812,2010-10-10T12:00:00Z
sss|2010-10-13 12:00:00,33.13961474390396,2010-10-13T12:00:00Z
sss|2010-10-16 12:00:00,33.68405342850787,2010-10-16T12:00:00Z
sss|2010-10-19 12:00:00,33.09822515306359,2010-10-19T12:00:00Z
sss|2010-10-22 12:00:00,32.60911315856709,2010-10-22T12:00:00Z
sss|2010-10-25 12:00:00,32.96794237770957,2010-10-25T12:00:00Z
sss|2010-10-28 12:00:00,32.13805893432686,2010-10-28T12:00:00Z
sss|2010-10-31 12:00:00,33.063967100964504,2010-10-31T12:00:00Z
sss|2010-11-03 12:00:00,NA,2010-11-03T12:00:00Z
sss|2010-11-06 12:00:00,33.549611888345154,2010-11-06T12:00:00Z
sss|2010-11-09 12:00:00,33.45240051501959,2010-11-09T12:00:00Z
sss|2010-11-12 12:00:00,33.072905281845806,2010-11-12T12:00:00Z
sss|2010-11-15 12:00:00,34.06761276767312,2010-11-15T12:00:00Z
sss|2010-11-18 12:00:00,32.27145593564702,2010-11-18T12:00:00Z
sss|2010-11-21 12:00:00,33.82560294975397,2010-11-21T12:00:00Z
sss|2010-11-24 12:00:00,34.38789397082175,2010-11-24T12:00:00Z
sss|2010-11-27 12:00:00,33.030043443762686,2010-11-27T12:00:00Z
sss|2010-11-30 12:00:00,32.58663605931811,2010-11-30T12:00:00Z
sss|2010-12-03 12:00:00,33.75404641593353,2010-12-03T12:00:00Z
sss|2010-12-06 12:00:00,33.33575785291537,2010-12-06T12:00:00Z
sss|2010-12-09 12:00:00,NA,2010-12-09T12:00:00Z
sss|2010-12-12 12:00:00,33.44890767580177,2010-12-12T12:00:00Z
sss|2010-12-15 12:00:00,33.119447265221744,2010-12-15T12:00:00Z
sss|2010-12-18 12:00:00,NA,2010-12-18T12:00:00Z
sss|2010-12-21 12:00:00,34.8970295796597,2010-12-21T12:00:00Z
sss|2010-12-24 12:00:00,NA,2010-12-24T12:00:00Z
