lyr,mean,time
sss|2013-01-01 12:00:00,34.8747621067368,2013-01-01T12:00:00Z
sss|2013-01-04 12:00:00,35.58683990787575,2013-01-04T12:00:00Z
sss|2013-01-07 12:00:00,35.55433808021611,2013-01-07T12:00:00Z
sss|2013-01-10 12:00:00,34.61742969772389,2013-01-10T12:00:00Z
sss|2013-01-13 12:00:00,35.419617469813375,2013-01-13T12:00:00Z
sss|2013-01-16 12:00:00,35.67682288071339,2013-01-16T12:00:00Z
sss|2013-01-19 12:00:00,35.265562818683506,2013-01-19T12:00:00Z
sss|2013-01-22 12:00:00,34.30421454151009,2013-01-22T12:00:00Z
sss|2013-01-25 12:00:00,35.74183323903528,2013-01-25T12:00:00Z
sss|2013-01-28 12:00:00,34.597487796823074,2013-01-28T12:00:00Z
sss|2013-01-31 12:00:00,35.06217761770657,2013-01-31T12:00:00Z
sss|2013-02-03 12:00:00,35.50961818195465,2013-02-03T12:00:00Z
sss|2013-02-06 12:00:00,35.538181840870344,2013-02-06T12:00:00Z
sss|2013-02-09 12:00:00,36.03956101653125,2013-02-09T12:00:00Z
sss|2013-02-12 12:00:00,35.71605201077906,2013-02-12T12:00:00Z
sss|2013-02-15 12:00:00,35.31981145037738,2013-02-15T12:00:00Z
sss|2013-02-18 12:00:00,35.397193035092286,2013-02-18T12:00:00Z
sss|2013-02-21 12:00:00,35.697515312083446,2013-02-21T12:00:00Z
sss|2013-02-24 12:00:00,35.695492302844656,2013-02-24T12:00:00Z
sss|2013-02-27 12:00:00,35.24931461492118,2013-02-27T12:00:00Z
sss|2013-03-02 12:00:00,35.751514834068146,2013-03-02T12:00:00Z
sss|2013-03-05 12:00:00,35.078887638894884,2013-03-05T12:00:00Z
sss|2013-03-08 12:00:00,35.18982956123962,2013-03-08T12:00:00Z
sss|2013-03-11 12:00:00,35.21548607431115,2013-03-11T12:00:00Z
sss|2013-03-14 12:00:00,35.72833223273792,2013-03-14T12:00:00Z
sss|2013-03-17 12:00:00,36.03606682787043,2013-03-17T12:00:00Z
