lyr,mean,time
sss|2015-01-01 12:00:00,33.857280426461074,2015-01-01T12:00:00Z
sss|2015-01-04 12:00:00,33.29987759868652,2015-01-04T12:00:00Z
sss|2015-01-07 12:00:00,33.762402417346415,2015-01-07T12:00:00Z
sss|2015-01-10 12:00:00,32.50117253568942,2015-01-10T12:00:00Z
sss|2015-01-13 12:00:00,32.985787982298426,2015-01-13T12:00:00Z
sss|2015-01-16 12:00:00,32.35939943284809,2015-01-16T12:00:00Z
sss|2015-01-19 12:00:00,33.53226498891132,2015-01-19T12:00:00Z
sss|2015-01-22 12:00:00,33.6476477226861,2015-01-22T12:00:00Z
sss|2015-01-25 12:00:00,31.070881467407826,2015-01-25T12:00:00Z
sss|2015-01-28 12:00:00,31.04710644221302,2015-01-28T12:00:00Z
sss|2015-01-31 12:00:00,33.43615256523367,2015-01-31T12:00:00Z
sss|2015-02-03 12:00:00,30.719224460476184,2015-02-03T12:00:00Z
sss|2015-02-06 12:00:00,35.95477223593931,2015-02-06T12:00:00Z
sss|2015-02-09 12:00:00,33.591432382503505,2015-02-09T12:00:00Z
sss|2015-02-12 12:00:00,31.03257801422188,2015-02-12T12:00:00Z
sss|2015-02-15 12:00:00,31.80106129373797,2015-02-15T12:00:00Z
sss|2015-02-18 12:00:00,33.883060134908135,2015-02-18T12:00:00Z
sss|2015-02-21 12:00:00,33.36963721029501,2015-02-21T12:00:00Z
sss|2015-02-24 12:00:00,31.746045974857058,2015-02-24T12:00:00Z
sss|2015-02-27 12:00:00,32.00044639310274,2015-02-27T12:00:00Z
sss|2015-03-02 12:00:00,31.28476279346568,2015-03-02T12:00:00Z
sss|2015-03-05 12:00:00,30.87236976623535,2015-03-05T12:00:00Z
sss|2015-03-08 12:00:00,33.228955597300036,2015-03-08T12:00:00Z
sss|2015-03-11 12:00:00,34.60274546934877,2015-03-11T12:00:00Z
sss|2015-03-14 12:00:00,32.57868597257622,2015-03-14T12:00:00Z
sss|2015-03-17 12:00:00,32.94145230988177,2015-03-17T12:00:00Z
sss|2015-03-20 12:00:00,31.45998155029642,2015-03-20T12:00:00Z
sss|2015-03-23 12:00:00,30.938336637205637,2015-03-23T12:00:00Z
sss|2015-03-26 12:00:00,31.906865590691172,2015-03-26T12:00:00Z
sss|2015-03-29 12:00:00,30.4316933669503,2015-03-29T12:00:00Z
sss|2015-04-01 12:00:00,32.10986908449732,2015-04-01T12:00:00Z
sss|2015-04-04 12:00:00,31.96049808849144,2015-04-04T12:00:00Z
sss|2015-04-07 12:00:00,32.29180782807386,2015-04-07T12:00:00Z
sss|2015-04-10 12:00:00,30.865094348290246,2015-04-10T12:00:00Z
sss|2015-04-13 12:00:00,31.686723575020718,2015-04-13T12:00:00Z
sss|2015-04-16 12:00:00,31.228448787111912,2015-04-16T12:00:00Z
sss|2015-04-19 12:00:00,32.03141172107622,2015-04-19T12:00:00Z
sss|2015-04-22 12:00:00,32.72784974052402,2015-04-22T12:00:00Z
sss|2015-04-25 12:00:00,31.996284478834244,2015-04-25T12:00:00Z
sss|2015-04-28 12:00:00,31.975016947221164,2015-04-28T12:00:00Z
sss|2015-05-01 12:00:00,32.60979984432058,2015-05-01T12:00:00Z
sss|2015-05-04 12:00:00,31.811252648874788,2015-05-04T12:00:00Z
sss|2015-05-07 12:00:00,32.45230539852961,2015-05-07T12:00:00Z
sss|2015-05-10 12:00:00,32.263038952118855,2015-05-10T12:00:00Z
sss|2015-05-13 12:00:00,31.653878237769543,2015-05-13T12:00:00Z
sss|2015-05-16 12:00:00,31.35995214629605,2015-05-16T12:00:00Z
sss|2015-05-19 12:00:00,32.8594672200656,2015-05-19T12:00:00Z
sss|2015-05-22 12:00:00,32.09396648630582,2015-05-22T12:00:00Z
sss|2015-05-25 12:00:00,31.90217527078426,2015-05-25T12:00:00Z
sss|2015-05-28 12:00:00,31.58439820823287,2015-05-28T12:00:00Z
sss|2015-05-31 12:00:00,30.82432578996017,2015-05-31T12:00:00Z
sss|2015-06-03 12:00:00,NA,2015-06-03T12:00:00Z
sss|2015-06-06 12:00:00,31.509318133182425,2015-06-06T12:00:00Z
sss|2015-06-09 12:00:00,32.94486359267951,2015-06-09T12:00:00Z
sss|2015-06-12 12:00:00,31.91910785599786,2015-06-12T12:00:00Z
sss|2015-06-15 12:00:00,33.727783423132756,2015-06-15T12:00:00Z
sss|2015-06-18 12:00:00,32.28386442801016,2015-06-18T12:00:00Z
sss|2015-06-21 12:00:00,33.30755033284233,2015-06-21T12:00:00Z
sss|2015-06-24 12:00:00,31.331608020640342,2015-06-24T12:00:00Z
sss|2015-06-27 12:00:00,32.71055240253515,2015-06-27T12:00:00Z
sss|2015-06-30 12:00:00,32.29013432733813,2015-06-30T12:00:00Z
sss|2015-07-03 12:00:00,31.900215170839445,2015-07-03T12:00:00Z
sss|2015-07-06 12:00:00,31.53443809614761,2015-07-06T12:00:00Z
sss|2015-07-09 12:00:00,31.368553634757934,2015-07-09T12:00:00Z
sss|2015-07-12 12:00:00,31.90228492975607,2015-07-12T12:00:00Z
sss|2015-07-15 12:00:00,32.40064005503237,2015-07-15T12:00:00Z
sss|2015-07-18 12:00:00,32.57797093959077,2015-07-18T12:00:00Z
sss|2015-07-21 12:00:00,32.13586426481063,2015-07-21T12:00:00Z
sss|2015-07-24 12:00:00,32.03192928942692,2015-07-24T12:00:00Z
sss|2015-07-27 12:00:00,32.022152858208884,2015-07-27T12:00:00Z
sss|2015-07-30 12:00:00,32.255324266271835,2015-07-30T12:00:00Z
sss|2015-08-02 12:00:00,33.22934519558017,2015-08-02T12:00:00Z
sss|2015-08-05 12:00:00,31.22152217584555,2015-08-05T12:00:00Z
sss|2015-08-08 12:00:00,31.578064210639333,2015-08-08T12:00:00Z
sss|2015-08-11 12:00:00,31.893802433120513,2015-08-11T12:00:00Z
sss|2015-08-14 12:00:00,32.05103576888122,2015-08-14T12:00:00Z
sss|2015-08-17 12:00:00,32.21119795232055,2015-08-17T12:00:00Z
sss|2015-08-20 12:00:00,33.4325805578491,2015-08-20T12:00:00Z
sss|2015-08-23 12:00:00,32.13035003707209,2015-08-23T12:00:00Z
sss|2015-08-26 12:00:00,33.85544192259318,2015-08-26T12:00:00Z
sss|2015-08-29 12:00:00,30.36004638671875,2015-08-29T12:00:00Z
sss|2015-09-01 12:00:00,33.68052963205769,2015-09-01T12:00:00Z
sss|2015-09-04 12:00:00,31.48257769702767,2015-09-04T12:00:00Z
sss|2015-09-07 12:00:00,31.512195587158203,2015-09-07T12:00:00Z
sss|2015-09-10 12:00:00,31.041838893246,2015-09-10T12:00:00Z
sss|2015-09-13 12:00:00,32.057974069168516,2015-09-13T12:00:00Z
sss|2015-09-16 12:00:00,33.03387583533554,2015-09-16T12:00:00Z
sss|2015-09-19 12:00:00,32.85710833513368,2015-09-19T12:00:00Z
sss|2015-09-22 12:00:00,31.130342402177067,2015-09-22T12:00:00Z
sss|2015-09-25 12:00:00,31.56670176907549,2015-09-25T12:00:00Z
sss|2015-09-28 12:00:00,31.963886476187305,2015-09-28T12:00:00Z
sss|2015-10-01 12:00:00,32.85137415075869,2015-10-01T12:00:00Z
sss|2015-10-04 12:00:00,32.842738983299064,2015-10-04T12:00:00Z
sss|2015-10-07 12:00:00,31.87773562734359,2015-10-07T12:00:00Z
sss|2015-10-10 12:00:00,31.947521235852683,2015-10-10T12:00:00Z
sss|2015-10-13 12:00:00,31.854573509530812,2015-10-13T12:00:00Z
sss|2015-10-16 12:00:00,32.58240528369135,2015-10-16T12:00:00Z
sss|2015-10-19 12:00:00,32.90777667366825,2015-10-19T12:00:00Z
sss|2015-10-22 12:00:00,32.81675495730812,2015-10-22T12:00:00Z
sss|2015-10-25 12:00:00,33.03487599856109,2015-10-25T12:00:00Z
sss|2015-10-28 12:00:00,32.651493853412454,2015-10-28T12:00:00Z
sss|2015-10-31 12:00:00,32.647042421922926,2015-10-31T12:00:00Z
sss|2015-11-03 12:00:00,32.61551467255977,2015-11-03T12:00:00Z
sss|2015-11-06 12:00:00,31.676332257815176,2015-11-06T12:00:00Z
sss|2015-11-09 12:00:00,33.64106943289835,2015-11-09T12:00:00Z
sss|2015-11-12 12:00:00,32.68105089215133,2015-11-12T12:00:00Z
sss|2015-11-15 12:00:00,NA,2015-11-15T12:00:00Z
sss|2015-11-18 12:00:00,NA,2015-11-18T12:00:00Z
sss|2015-11-21 12:00:00,33.1455632162972,2015-11-21T12:00:00Z
sss|2015-11-24 12:00:00,32.75401416342518,2015-11-24T12:00:00Z
sss|2015-11-27 12:00:00,32.508490158346035,2015-11-27T12:00:00Z
sss|2015-11-30 12:00:00,33.3182675704044,2015-11-30T12:00:00Z
sss|2015-12-03 12:00:00,34.0962156726535,2015-12-03T12:00:00Z
sss|2015-12-06 12:00:00,NA,2015-12-06T12:00:00Z
sss|2015-12-09 12:00:00,35.572154972902105,2015-12-09T12:00:00Z
sss|2015-12-12 12:00:00,NA,2015-12-12T12:00:00Z
sss|2015-12-15 12:00:00,33.41237053713997,2015-12-15T12:00:00Z
sss|2015-12-18 12:00:00,33.03577902901221,2015-12-18T12:00:00Z
sss|2015-12-21 12:00:00,NA,2015-12-21T12:00:00Z
sss|2015-12-24 12:00:00,33.611049653805075,2015-12-24T12:00:00Z
sss|2015-12-27 12:00:00,32.13066515095125,2015-12-27T12:00:00Z
sss|2015-12-30 12:00:00,31.800950306973558,2015-12-30T12:00:00Z
