lyr,mean,time
sss|2011-01-13 12:00:00,NA,2011-01-13T12:00:00Z
sss|2011-01-16 12:00:00,NA,2011-01-16T12:00:00Z
sss|2011-01-19 12:00:00,35.442779541015625,2011-01-19T12:00:00Z
sss|2011-01-22 12:00:00,37.173867657376356,2011-01-22T12:00:00Z
sss|2011-01-25 12:00:00,37.98476866395274,2011-01-25T12:00:00Z
sss|2011-01-28 12:00:00,NA,2011-01-28T12:00:00Z
sss|2011-01-31 12:00:00,34.85008323830997,2011-01-31T12:00:00Z
sss|2011-02-03 12:00:00,NA,2011-02-03T12:00:00Z
sss|2011-02-06 12:00:00,30.916984298909767,2011-02-06T12:00:00Z
sss|2011-02-09 12:00:00,33.46044888337144,2011-02-09T12:00:00Z
sss|2011-02-12 12:00:00,36.102535247802734,2011-02-12T12:00:00Z
sss|2011-02-15 12:00:00,34.100013732910156,2011-02-15T12:00:00Z
sss|2011-02-18 12:00:00,NA,2011-02-18T12:00:00Z
sss|2011-02-21 12:00:00,NA,2011-02-21T12:00:00Z
sss|2011-02-24 12:00:00,37.314429731578265,2011-02-24T12:00:00Z
sss|2011-02-27 12:00:00,31.730128969211354,2011-02-27T12:00:00Z
sss|2011-03-02 12:00:00,NA,2011-03-02T12:00:00Z
sss|2011-03-05 12:00:00,NA,2011-03-05T12:00:00Z
sss|2011-03-08 12:00:00,35.19519713824229,2011-03-08T12:00:00Z
sss|2011-03-11 12:00:00,NA,2011-03-11T12:00:00Z
sss|2011-03-14 12:00:00,37.75708380541072,2011-03-14T12:00:00Z
sss|2011-03-17 12:00:00,35.6674265984374,2011-03-17T12:00:00Z
sss|2011-03-20 12:00:00,34.41038207764854,2011-03-20T12:00:00Z
sss|2011-03-23 12:00:00,35.064247131347656,2011-03-23T12:00:00Z
sss|2011-03-26 12:00:00,NA,2011-03-26T12:00:00Z
sss|2011-03-29 12:00:00,34.057017692855275,2011-03-29T12:00:00Z
sss|2011-04-01 12:00:00,NA,2011-04-01T12:00:00Z
sss|2011-04-04 12:00:00,NA,2011-04-04T12:00:00Z
sss|2011-04-07 12:00:00,35.44374620630046,2011-04-07T12:00:00Z
sss|2011-04-10 12:00:00,NA,2011-04-10T12:00:00Z
sss|2011-04-13 12:00:00,NA,2011-04-13T12:00:00Z
sss|2011-04-16 12:00:00,NA,2011-04-16T12:00:00Z
sss|2011-04-19 12:00:00,NA,2011-04-19T12:00:00Z
sss|2011-04-22 12:00:00,NA,2011-04-22T12:00:00Z
sss|2011-04-25 12:00:00,35.0355224609375,2011-04-25T12:00:00Z
sss|2011-04-28 12:00:00,NA,2011-04-28T12:00:00Z
sss|2011-05-01 12:00:00,NA,2011-05-01T12:00:00Z
sss|2011-05-04 12:00:00,NA,2011-05-04T12:00:00Z
sss|2011-05-07 12:00:00,NA,2011-05-07T12:00:00Z
