lyr,mean,time
analysed_sst|2007-01-01 12:00:00,11.497602899327193,2007-01-01T12:00:00Z
analysed_sst|2007-01-02 12:00:00,11.68514653243421,2007-01-02T12:00:00Z
analysed_sst|2007-01-03 12:00:00,11.361073681843576,2007-01-03T12:00:00Z
analysed_sst|2007-01-04 12:00:00,11.383380349175146,2007-01-04T12:00:00Z
analysed_sst|2007-01-05 12:00:00,11.395563028745853,2007-01-05T12:00:00Z
analysed_sst|2007-01-06 12:00:00,11.256319945797404,2007-01-06T12:00:00Z
analysed_sst|2007-01-07 12:00:00,10.922952622387406,2007-01-07T12:00:00Z
analysed_sst|2007-01-08 12:00:00,11.261484945856758,2007-01-08T12:00:00Z
analysed_sst|2007-01-09 12:00:00,11.264681576117598,2007-01-09T12:00:00Z
analysed_sst|2007-01-10 12:00:00,10.89974720278902,2007-01-10T12:00:00Z
analysed_sst|2007-01-11 12:00:00,10.71954384276027,2007-01-11T12:00:00Z
analysed_sst|2007-01-12 12:00:00,10.645275002444706,2007-01-12T12:00:00Z
analysed_sst|2007-01-13 12:00:00,10.608650420921974,2007-01-13T12:00:00Z
analysed_sst|2007-01-14 12:00:00,10.833195071836068,2007-01-14T12:00:00Z
analysed_sst|2007-01-15 12:00:00,10.98137308584827,2007-01-15T12:00:00Z
analysed_sst|2007-01-16 12:00:00,10.813240166888761,2007-01-16T12:00:00Z
analysed_sst|2007-01-17 12:00:00,10.78149572909799,2007-01-17T12:00:00Z
analysed_sst|2007-01-18 12:00:00,10.77238319017689,2007-01-18T12:00:00Z
analysed_sst|2007-01-19 12:00:00,10.745607141128593,2007-01-19T12:00:00Z
analysed_sst|2007-01-20 12:00:00,10.43612362706946,2007-01-20T12:00:00Z
analysed_sst|2007-01-21 12:00:00,10.383128169239972,2007-01-21T12:00:00Z
analysed_sst|2007-01-22 12:00:00,10.381550658596554,2007-01-22T12:00:00Z
analysed_sst|2007-01-23 12:00:00,10.339694956638386,2007-01-23T12:00:00Z
analysed_sst|2007-01-24 12:00:00,10.696272958540971,2007-01-24T12:00:00Z
analysed_sst|2007-01-25 12:00:00,10.676879005847518,2007-01-25T12:00:00Z
analysed_sst|2007-01-26 12:00:00,10.654025247992447,2007-01-26T12:00:00Z
analysed_sst|2007-01-27 12:00:00,10.804632445010487,2007-01-27T12:00:00Z
analysed_sst|2007-01-28 12:00:00,10.974155984217914,2007-01-28T12:00:00Z
analysed_sst|2007-01-29 12:00:00,11.006474840953615,2007-01-29T12:00:00Z
analysed_sst|2007-01-30 12:00:00,11.287977717657759,2007-01-30T12:00:00Z
analysed_sst|2007-01-31 12:00:00,11.271351224572818,2007-01-31T12:00:00Z
analysed_sst|2007-02-01 12:00:00,11.149917358070025,2007-02-01T12:00:00Z
analysed_sst|2007-02-02 12:00:00,11.175942234885389,2007-02-02T12:00:00Z
analysed_sst|2007-02-03 12:00:00,11.513536226202518,2007-02-03T12:00:00Z
analysed_sst|2007-02-04 12:00:00,11.490794176352477,2007-02-04T12:00:00Z
analysed_sst|2007-02-05 12:00:00,10.724444577507443,2007-02-05T12:00:00Z
analysed_sst|2007-02-06 12:00:00,11.349469409221792,2007-02-06T12:00:00Z
analysed_sst|2007-02-07 12:00:00,11.503334079773827,2007-02-07T12:00:00Z
analysed_sst|2007-02-08 12:00:00,11.351196850654077,2007-02-08T12:00:00Z
analysed_sst|2007-02-09 12:00:00,11.578523331011958,2007-02-09T12:00:00Z
analysed_sst|2007-02-10 12:00:00,11.527853867361838,2007-02-10T12:00:00Z
analysed_sst|2007-02-11 12:00:00,11.639693256548831,2007-02-11T12:00:00Z
analysed_sst|2007-02-12 12:00:00,11.410568084750397,2007-02-12T12:00:00Z
analysed_sst|2007-02-13 12:00:00,11.455849584383632,2007-02-13T12:00:00Z
analysed_sst|2007-02-14 12:00:00,11.422350882111953,2007-02-14T12:00:00Z
analysed_sst|2007-02-15 12:00:00,11.440493884675988,2007-02-15T12:00:00Z
analysed_sst|2007-02-16 12:00:00,11.48160834206734,2007-02-16T12:00:00Z
analysed_sst|2007-02-17 12:00:00,11.383418184066329,2007-02-17T12:00:00Z
analysed_sst|2007-02-18 12:00:00,10.916245120063625,2007-02-18T12:00:00Z
analysed_sst|2007-02-19 12:00:00,10.85166503965272,2007-02-19T12:00:00Z
analysed_sst|2007-02-20 12:00:00,10.817310075018861,2007-02-20T12:00:00Z
analysed_sst|2007-02-21 12:00:00,11.049824318260498,2007-02-21T12:00:00Z
analysed_sst|2007-02-22 12:00:00,10.971634381541465,2007-02-22T12:00:00Z
analysed_sst|2007-02-23 12:00:00,10.972618141519916,2007-02-23T12:00:00Z
analysed_sst|2007-02-24 12:00:00,11.034996504425747,2007-02-24T12:00:00Z
analysed_sst|2007-02-25 12:00:00,11.173541321494827,2007-02-25T12:00:00Z
analysed_sst|2007-02-26 12:00:00,11.096113178834996,2007-02-26T12:00:00Z
analysed_sst|2007-02-27 12:00:00,11.022936416019224,2007-02-27T12:00:00Z
analysed_sst|2007-02-28 12:00:00,10.916028163583388,2007-02-28T12:00:00Z
analysed_sst|2007-03-01 12:00:00,10.898670276442386,2007-03-01T12:00:00Z
analysed_sst|2007-03-02 12:00:00,11.147731095351485,2007-03-02T12:00:00Z
analysed_sst|2007-03-03 12:00:00,11.327300174660236,2007-03-03T12:00:00Z
analysed_sst|2007-03-04 12:00:00,11.248403203600008,2007-03-04T12:00:00Z
analysed_sst|2007-03-05 12:00:00,11.426099137179094,2007-03-05T12:00:00Z
analysed_sst|2007-03-06 12:00:00,11.525626409344433,2007-03-06T12:00:00Z
analysed_sst|2007-03-07 12:00:00,11.40411477874068,2007-03-07T12:00:00Z
analysed_sst|2007-03-08 12:00:00,11.078897991808658,2007-03-08T12:00:00Z
analysed_sst|2007-03-09 12:00:00,11.565570071181064,2007-03-09T12:00:00Z
analysed_sst|2007-03-10 12:00:00,11.607239508796855,2007-03-10T12:00:00Z
