lyr,mean,time
analysed_sst|2023-01-01 12:00:00,14.299863778517961,2023-01-01T12:00:00Z
analysed_sst|2023-01-02 12:00:00,14.06675425919453,2023-01-02T12:00:00Z
analysed_sst|2023-01-03 12:00:00,13.801214763037315,2023-01-03T12:00:00Z
analysed_sst|2023-01-04 12:00:00,13.806775954874814,2023-01-04T12:00:00Z
analysed_sst|2023-01-05 12:00:00,13.889578609464893,2023-01-05T12:00:00Z
analysed_sst|2023-01-06 12:00:00,13.929838314222991,2023-01-06T12:00:00Z
analysed_sst|2023-01-07 12:00:00,14.002455012211337,2023-01-07T12:00:00Z
analysed_sst|2023-01-08 12:00:00,13.98286947827191,2023-01-08T12:00:00Z
analysed_sst|2023-01-09 12:00:00,13.937089473445004,2023-01-09T12:00:00Z
analysed_sst|2023-01-10 12:00:00,13.941299000096619,2023-01-10T12:00:00Z
analysed_sst|2023-01-11 12:00:00,13.971565296475728,2023-01-11T12:00:00Z
analysed_sst|2023-01-12 12:00:00,14.128793271317107,2023-01-12T12:00:00Z
analysed_sst|2023-01-13 12:00:00,13.856887476155192,2023-01-13T12:00:00Z
analysed_sst|2023-01-14 12:00:00,14.063931877534003,2023-01-14T12:00:00Z
analysed_sst|2023-01-15 12:00:00,14.246989569934833,2023-01-15T12:00:00Z
analysed_sst|2023-01-16 12:00:00,14.104211762397636,2023-01-16T12:00:00Z
analysed_sst|2023-01-17 12:00:00,14.055456885466409,2023-01-17T12:00:00Z
analysed_sst|2023-01-18 12:00:00,13.921546062323031,2023-01-18T12:00:00Z
analysed_sst|2023-01-19 12:00:00,13.878865345424586,2023-01-19T12:00:00Z
analysed_sst|2023-01-20 12:00:00,13.889433660305126,2023-01-20T12:00:00Z
analysed_sst|2023-01-21 12:00:00,13.806730655681685,2023-01-21T12:00:00Z
analysed_sst|2023-01-22 12:00:00,13.83919941381976,2023-01-22T12:00:00Z
analysed_sst|2023-01-23 12:00:00,13.631045442464993,2023-01-23T12:00:00Z
analysed_sst|2023-01-24 12:00:00,13.570880298610458,2023-01-24T12:00:00Z
analysed_sst|2023-01-25 12:00:00,13.677524867705301,2023-01-25T12:00:00Z
analysed_sst|2023-01-26 12:00:00,13.66226070626562,2023-01-26T12:00:00Z
analysed_sst|2023-01-27 12:00:00,13.601015243491647,2023-01-27T12:00:00Z
analysed_sst|2023-01-28 12:00:00,13.465769770278039,2023-01-28T12:00:00Z
analysed_sst|2023-01-29 12:00:00,13.355578972759949,2023-01-29T12:00:00Z
