lyr,mean,time
analysed_sst|2001-01-01 12:00:00,13.089798930595435,2001-01-01T12:00:00Z
analysed_sst|2001-01-02 12:00:00,13.111894446890075,2001-01-02T12:00:00Z
analysed_sst|2001-01-03 12:00:00,13.144795234903745,2001-01-03T12:00:00Z
analysed_sst|2001-01-04 12:00:00,13.16901707333894,2001-01-04T12:00:00Z
analysed_sst|2001-01-05 12:00:00,13.417862302479941,2001-01-05T12:00:00Z
analysed_sst|2001-01-06 12:00:00,13.389399133397589,2001-01-06T12:00:00Z
analysed_sst|2001-01-07 12:00:00,13.311941824100332,2001-01-07T12:00:00Z
analysed_sst|2001-01-08 12:00:00,13.222167636944352,2001-01-08T12:00:00Z
analysed_sst|2001-01-09 12:00:00,13.181465545185286,2001-01-09T12:00:00Z
analysed_sst|2001-01-10 12:00:00,13.137317509354702,2001-01-10T12:00:00Z
analysed_sst|2001-01-11 12:00:00,13.127006188993985,2001-01-11T12:00:00Z
analysed_sst|2001-01-12 12:00:00,12.974437125827787,2001-01-12T12:00:00Z
analysed_sst|2001-01-13 12:00:00,13.12735078126516,2001-01-13T12:00:00Z
analysed_sst|2001-01-14 12:00:00,13.116563263814214,2001-01-14T12:00:00Z
analysed_sst|2001-01-15 12:00:00,13.055594079094854,2001-01-15T12:00:00Z
analysed_sst|2001-01-16 12:00:00,12.904707131268282,2001-01-16T12:00:00Z
analysed_sst|2001-01-17 12:00:00,12.871446747540515,2001-01-17T12:00:00Z
analysed_sst|2001-01-18 12:00:00,12.797262754813593,2001-01-18T12:00:00Z
analysed_sst|2001-01-19 12:00:00,12.691294184580435,2001-01-19T12:00:00Z
analysed_sst|2001-01-20 12:00:00,12.672915077425667,2001-01-20T12:00:00Z
analysed_sst|2001-01-21 12:00:00,12.768957656819584,2001-01-21T12:00:00Z
analysed_sst|2001-01-22 12:00:00,12.917682117411323,2001-01-22T12:00:00Z
analysed_sst|2001-01-23 12:00:00,12.818823938737173,2001-01-23T12:00:00Z
analysed_sst|2001-01-24 12:00:00,12.621888505311908,2001-01-24T12:00:00Z
analysed_sst|2001-01-25 12:00:00,12.427132601884438,2001-01-25T12:00:00Z
analysed_sst|2001-01-26 12:00:00,12.38060581029468,2001-01-26T12:00:00Z
analysed_sst|2001-01-27 12:00:00,12.413087272853389,2001-01-27T12:00:00Z
analysed_sst|2001-01-28 12:00:00,12.442380001472948,2001-01-28T12:00:00Z
analysed_sst|2001-01-29 12:00:00,12.817268475472218,2001-01-29T12:00:00Z
analysed_sst|2001-01-30 12:00:00,12.714615706612058,2001-01-30T12:00:00Z
analysed_sst|2001-01-31 12:00:00,12.837903569346542,2001-01-31T12:00:00Z
analysed_sst|2001-02-01 12:00:00,12.641908141011172,2001-02-01T12:00:00Z
analysed_sst|2001-02-02 12:00:00,12.47770616984096,2001-02-02T12:00:00Z
analysed_sst|2001-02-03 12:00:00,12.367511009582191,2001-02-03T12:00:00Z
analysed_sst|2001-02-04 12:00:00,12.639904915928119,2001-02-04T12:00:00Z
analysed_sst|2001-02-05 12:00:00,12.569687568261667,2001-02-05T12:00:00Z
analysed_sst|2001-02-06 12:00:00,12.67902463143659,2001-02-06T12:00:00Z
analysed_sst|2001-02-07 12:00:00,12.182337213953687,2001-02-07T12:00:00Z
analysed_sst|2001-02-08 12:00:00,11.785238781543422,2001-02-08T12:00:00Z
analysed_sst|2001-02-09 12:00:00,11.77068735935903,2001-02-09T12:00:00Z
analysed_sst|2001-02-10 12:00:00,11.82732280919701,2001-02-10T12:00:00Z
analysed_sst|2001-02-11 12:00:00,11.821649055092598,2001-02-11T12:00:00Z
analysed_sst|2001-02-12 12:00:00,11.694870521560754,2001-02-12T12:00:00Z
analysed_sst|2001-02-13 12:00:00,11.632032601793119,2001-02-13T12:00:00Z
analysed_sst|2001-02-14 12:00:00,11.526138671938453,2001-02-14T12:00:00Z
analysed_sst|2001-02-15 12:00:00,11.610140862896735,2001-02-15T12:00:00Z
analysed_sst|2001-02-16 12:00:00,11.727183315932926,2001-02-16T12:00:00Z
analysed_sst|2001-02-17 12:00:00,12.21239039396661,2001-02-17T12:00:00Z
analysed_sst|2001-02-18 12:00:00,12.25096364127603,2001-02-18T12:00:00Z
analysed_sst|2001-02-19 12:00:00,12.280081767103258,2001-02-19T12:00:00Z
analysed_sst|2001-02-20 12:00:00,12.14383693865716,2001-02-20T12:00:00Z
analysed_sst|2001-02-21 12:00:00,12.227128153535682,2001-02-21T12:00:00Z
analysed_sst|2001-02-22 12:00:00,12.236332295117537,2001-02-22T12:00:00Z
analysed_sst|2001-02-23 12:00:00,12.236411003602859,2001-02-23T12:00:00Z
analysed_sst|2001-02-24 12:00:00,12.122451328869685,2001-02-24T12:00:00Z
analysed_sst|2001-02-25 12:00:00,12.058877518230346,2001-02-25T12:00:00Z
analysed_sst|2001-02-26 12:00:00,12.148822843161321,2001-02-26T12:00:00Z
analysed_sst|2001-02-27 12:00:00,12.361494333395196,2001-02-27T12:00:00Z
analysed_sst|2001-02-28 12:00:00,12.501132814902338,2001-02-28T12:00:00Z
analysed_sst|2001-03-01 12:00:00,12.485002491171869,2001-03-01T12:00:00Z
analysed_sst|2001-03-02 12:00:00,12.364594362376323,2001-03-02T12:00:00Z
analysed_sst|2001-03-03 12:00:00,12.397736780198445,2001-03-03T12:00:00Z
analysed_sst|2001-03-04 12:00:00,12.36974532768644,2001-03-04T12:00:00Z
analysed_sst|2001-03-05 12:00:00,12.332117876329617,2001-03-05T12:00:00Z
analysed_sst|2001-03-06 12:00:00,12.35489607209422,2001-03-06T12:00:00Z
analysed_sst|2001-03-07 12:00:00,12.227458251680995,2001-03-07T12:00:00Z
analysed_sst|2001-03-08 12:00:00,12.230390341776152,2001-03-08T12:00:00Z
analysed_sst|2001-03-09 12:00:00,12.311882919141349,2001-03-09T12:00:00Z
analysed_sst|2001-03-10 12:00:00,12.337486091582548,2001-03-10T12:00:00Z
analysed_sst|2001-03-11 12:00:00,12.35031024939001,2001-03-11T12:00:00Z
