lyr,mean,time
analysed_sst|2023-01-01 12:00:00,23.56334651967714,2023-01-01T12:00:00Z
analysed_sst|2023-01-02 12:00:00,23.696642948792203,2023-01-02T12:00:00Z
analysed_sst|2023-01-03 12:00:00,23.85693523044485,2023-01-03T12:00:00Z
analysed_sst|2023-01-04 12:00:00,24.219590830327647,2023-01-04T12:00:00Z
analysed_sst|2023-01-05 12:00:00,24.42982201711295,2023-01-05T12:00:00Z
analysed_sst|2023-01-06 12:00:00,24.354445586461885,2023-01-06T12:00:00Z
analysed_sst|2023-01-07 12:00:00,23.736081314282284,2023-01-07T12:00:00Z
analysed_sst|2023-01-08 12:00:00,23.456139343414446,2023-01-08T12:00:00Z
analysed_sst|2023-01-09 12:00:00,23.56119681896964,2023-01-09T12:00:00Z
analysed_sst|2023-01-10 12:00:00,23.31890678012357,2023-01-10T12:00:00Z
analysed_sst|2023-01-11 12:00:00,23.073350153840604,2023-01-11T12:00:00Z
analysed_sst|2023-01-12 12:00:00,22.900428254458895,2023-01-12T12:00:00Z
analysed_sst|2023-01-13 12:00:00,22.924616888703042,2023-01-13T12:00:00Z
analysed_sst|2023-01-14 12:00:00,22.660132207435094,2023-01-14T12:00:00Z
analysed_sst|2023-01-15 12:00:00,21.948095470984995,2023-01-15T12:00:00Z
analysed_sst|2023-01-16 12:00:00,21.555433195981454,2023-01-16T12:00:00Z
analysed_sst|2023-01-17 12:00:00,21.406944081933247,2023-01-17T12:00:00Z
analysed_sst|2023-01-18 12:00:00,21.711202681310194,2023-01-18T12:00:00Z
analysed_sst|2023-01-19 12:00:00,22.19710542715885,2023-01-19T12:00:00Z
analysed_sst|2023-01-20 12:00:00,22.540253326652568,2023-01-20T12:00:00Z
analysed_sst|2023-01-21 12:00:00,22.855555274402434,2023-01-21T12:00:00Z
analysed_sst|2023-01-22 12:00:00,23.450195939392668,2023-01-22T12:00:00Z
analysed_sst|2023-01-23 12:00:00,23.865427468637787,2023-01-23T12:00:00Z
