lyr,mean,time
analysed_sst|2006-01-01 12:00:00,12.843420728182178,2006-01-01T12:00:00Z
analysed_sst|2006-01-02 12:00:00,12.872585099753476,2006-01-02T12:00:00Z
analysed_sst|2006-01-03 12:00:00,12.596295557912388,2006-01-03T12:00:00Z
analysed_sst|2006-01-04 12:00:00,12.738908032195715,2006-01-04T12:00:00Z
analysed_sst|2006-01-05 12:00:00,12.762743883192755,2006-01-05T12:00:00Z
analysed_sst|2006-01-06 12:00:00,12.618240114335975,2006-01-06T12:00:00Z
analysed_sst|2006-01-07 12:00:00,12.741449060789899,2006-01-07T12:00:00Z
analysed_sst|2006-01-08 12:00:00,12.559029423416684,2006-01-08T12:00:00Z
analysed_sst|2006-01-09 12:00:00,12.720571075998565,2006-01-09T12:00:00Z
analysed_sst|2006-01-10 12:00:00,12.553077676456091,2006-01-10T12:00:00Z
analysed_sst|2006-01-11 12:00:00,12.499541136575285,2006-01-11T12:00:00Z
analysed_sst|2006-01-12 12:00:00,12.560206066832777,2006-01-12T12:00:00Z
analysed_sst|2006-01-13 12:00:00,12.550324564931513,2006-01-13T12:00:00Z
analysed_sst|2006-01-14 12:00:00,12.53511882933279,2006-01-14T12:00:00Z
analysed_sst|2006-01-15 12:00:00,12.472622324759394,2006-01-15T12:00:00Z
analysed_sst|2006-01-16 12:00:00,12.343994205680735,2006-01-16T12:00:00Z
analysed_sst|2006-01-17 12:00:00,12.199666305806621,2006-01-17T12:00:00Z
analysed_sst|2006-01-18 12:00:00,12.309597170462146,2006-01-18T12:00:00Z
analysed_sst|2006-01-19 12:00:00,12.281634597874447,2006-01-19T12:00:00Z
analysed_sst|2006-01-20 12:00:00,12.204918882565691,2006-01-20T12:00:00Z
analysed_sst|2006-01-21 12:00:00,12.02695434085164,2006-01-21T12:00:00Z
analysed_sst|2006-01-22 12:00:00,12.05954602121433,2006-01-22T12:00:00Z
analysed_sst|2006-01-23 12:00:00,11.999373688672085,2006-01-23T12:00:00Z
analysed_sst|2006-01-24 12:00:00,12.072843348558717,2006-01-24T12:00:00Z
analysed_sst|2006-01-25 12:00:00,12.09049545047112,2006-01-25T12:00:00Z
analysed_sst|2006-01-26 12:00:00,12.097093822990967,2006-01-26T12:00:00Z
analysed_sst|2006-01-27 12:00:00,12.155179177838361,2006-01-27T12:00:00Z
analysed_sst|2006-01-28 12:00:00,12.290711418406561,2006-01-28T12:00:00Z
analysed_sst|2006-01-29 12:00:00,12.10729013943011,2006-01-29T12:00:00Z
analysed_sst|2006-01-30 12:00:00,12.342386996291893,2006-01-30T12:00:00Z
analysed_sst|2006-01-31 12:00:00,12.095564626499748,2006-01-31T12:00:00Z
analysed_sst|2006-02-01 12:00:00,12.321135551288158,2006-02-01T12:00:00Z
analysed_sst|2006-02-02 12:00:00,12.388103523600064,2006-02-02T12:00:00Z
analysed_sst|2006-02-03 12:00:00,12.487978730819908,2006-02-03T12:00:00Z
analysed_sst|2006-02-04 12:00:00,12.58664768048847,2006-02-04T12:00:00Z
analysed_sst|2006-02-05 12:00:00,12.550211807342926,2006-02-05T12:00:00Z
analysed_sst|2006-02-06 12:00:00,12.401735550033447,2006-02-06T12:00:00Z
analysed_sst|2006-02-07 12:00:00,12.663088219422763,2006-02-07T12:00:00Z
analysed_sst|2006-02-08 12:00:00,12.625350611866462,2006-02-08T12:00:00Z
analysed_sst|2006-02-09 12:00:00,12.478607804130075,2006-02-09T12:00:00Z
analysed_sst|2006-02-10 12:00:00,12.4805353239928,2006-02-10T12:00:00Z
analysed_sst|2006-02-11 12:00:00,12.349189677098437,2006-02-11T12:00:00Z
analysed_sst|2006-02-12 12:00:00,12.261432311416803,2006-02-12T12:00:00Z
analysed_sst|2006-02-13 12:00:00,12.296885967339016,2006-02-13T12:00:00Z
analysed_sst|2006-02-14 12:00:00,12.040658607305144,2006-02-14T12:00:00Z
analysed_sst|2006-02-15 12:00:00,11.038530168680584,2006-02-15T12:00:00Z
analysed_sst|2006-02-16 12:00:00,10.645701584939014,2006-02-16T12:00:00Z
analysed_sst|2006-02-17 12:00:00,10.995852536559056,2006-02-17T12:00:00Z
analysed_sst|2006-02-18 12:00:00,11.077348643614094,2006-02-18T12:00:00Z
analysed_sst|2006-02-19 12:00:00,11.114975096768331,2006-02-19T12:00:00Z
analysed_sst|2006-02-20 12:00:00,11.14062429905376,2006-02-20T12:00:00Z
analysed_sst|2006-02-21 12:00:00,11.153803433667958,2006-02-21T12:00:00Z
analysed_sst|2006-02-22 12:00:00,11.192593722252147,2006-02-22T12:00:00Z
analysed_sst|2006-02-23 12:00:00,11.353866700724854,2006-02-23T12:00:00Z
analysed_sst|2006-02-24 12:00:00,11.530269334886208,2006-02-24T12:00:00Z
analysed_sst|2006-02-25 12:00:00,11.618437966269685,2006-02-25T12:00:00Z
analysed_sst|2006-02-26 12:00:00,11.601545570058374,2006-02-26T12:00:00Z
analysed_sst|2006-02-27 12:00:00,11.655811721693622,2006-02-27T12:00:00Z
analysed_sst|2006-02-28 12:00:00,11.774068060006712,2006-02-28T12:00:00Z
analysed_sst|2006-03-01 12:00:00,11.718195868643706,2006-03-01T12:00:00Z
analysed_sst|2006-03-02 12:00:00,11.680655071442853,2006-03-02T12:00:00Z
analysed_sst|2006-03-03 12:00:00,11.759014445982723,2006-03-03T12:00:00Z
analysed_sst|2006-03-04 12:00:00,11.53686585201886,2006-03-04T12:00:00Z
analysed_sst|2006-03-05 12:00:00,11.643780712637465,2006-03-05T12:00:00Z
analysed_sst|2006-03-06 12:00:00,11.682447531834557,2006-03-06T12:00:00Z
analysed_sst|2006-03-07 12:00:00,11.66539871581678,2006-03-07T12:00:00Z
analysed_sst|2006-03-08 12:00:00,11.531554409827146,2006-03-08T12:00:00Z
analysed_sst|2006-03-09 12:00:00,11.692807614181575,2006-03-09T12:00:00Z
analysed_sst|2006-03-10 12:00:00,11.422886683201256,2006-03-10T12:00:00Z
analysed_sst|2006-03-11 12:00:00,11.11621012172476,2006-03-11T12:00:00Z
analysed_sst|2006-03-12 12:00:00,11.130141006232734,2006-03-12T12:00:00Z
analysed_sst|2006-03-13 12:00:00,11.15512938340729,2006-03-13T12:00:00Z
analysed_sst|2006-03-14 12:00:00,11.182821228375424,2006-03-14T12:00:00Z
analysed_sst|2006-03-15 12:00:00,11.300713865704891,2006-03-15T12:00:00Z
analysed_sst|2006-03-16 12:00:00,11.381839825164212,2006-03-16T12:00:00Z
analysed_sst|2006-03-17 12:00:00,11.287367661075843,2006-03-17T12:00:00Z
analysed_sst|2006-03-18 12:00:00,11.37632492214336,2006-03-18T12:00:00Z
analysed_sst|2006-03-19 12:00:00,11.220519932115991,2006-03-19T12:00:00Z
analysed_sst|2006-03-20 12:00:00,11.248866783465642,2006-03-20T12:00:00Z
analysed_sst|2006-03-21 12:00:00,10.913704435195672,2006-03-21T12:00:00Z
analysed_sst|2006-03-22 12:00:00,10.73252645062862,2006-03-22T12:00:00Z
analysed_sst|2006-03-23 12:00:00,10.739876578211582,2006-03-23T12:00:00Z
analysed_sst|2006-03-24 12:00:00,11.146778497547688,2006-03-24T12:00:00Z
analysed_sst|2006-03-25 12:00:00,11.250648965089844,2006-03-25T12:00:00Z
analysed_sst|2006-03-26 12:00:00,11.11084566337828,2006-03-26T12:00:00Z
analysed_sst|2006-03-27 12:00:00,11.345716958279073,2006-03-27T12:00:00Z
analysed_sst|2006-03-28 12:00:00,10.997685168429616,2006-03-28T12:00:00Z
analysed_sst|2006-03-29 12:00:00,11.06449597166868,2006-03-29T12:00:00Z
analysed_sst|2006-03-30 12:00:00,11.2625571234404,2006-03-30T12:00:00Z
analysed_sst|2006-03-31 12:00:00,11.30067443295026,2006-03-31T12:00:00Z
analysed_sst|2006-04-01 12:00:00,11.230087226429252,2006-04-01T12:00:00Z
analysed_sst|2006-04-02 12:00:00,11.302197488681884,2006-04-02T12:00:00Z
