lyr,mean,time
analysed_sst|2000-01-01 12:00:00,16.371072644942704,2000-01-01T12:00:00Z
analysed_sst|2000-01-02 12:00:00,16.967173110243312,2000-01-02T12:00:00Z
analysed_sst|2000-01-03 12:00:00,17.575194017054574,2000-01-03T12:00:00Z
analysed_sst|2000-01-04 12:00:00,17.985980231177074,2000-01-04T12:00:00Z
analysed_sst|2000-01-05 12:00:00,17.214355445700885,2000-01-05T12:00:00Z
analysed_sst|2000-01-06 12:00:00,16.869314312290676,2000-01-06T12:00:00Z
analysed_sst|2000-01-07 12:00:00,16.692970736249816,2000-01-07T12:00:00Z
analysed_sst|2000-01-08 12:00:00,17.149271410812386,2000-01-08T12:00:00Z
analysed_sst|2000-01-09 12:00:00,17.438904303687377,2000-01-09T12:00:00Z
analysed_sst|2000-01-10 12:00:00,17.738005760018492,2000-01-10T12:00:00Z
analysed_sst|2000-01-11 12:00:00,17.831879981647365,2000-01-11T12:00:00Z
analysed_sst|2000-01-12 12:00:00,18.116359788920764,2000-01-12T12:00:00Z
analysed_sst|2000-01-13 12:00:00,18.24863825923254,2000-01-13T12:00:00Z
analysed_sst|2000-01-14 12:00:00,18.263500714638308,2000-01-14T12:00:00Z
analysed_sst|2000-01-15 12:00:00,17.914694742852685,2000-01-15T12:00:00Z
analysed_sst|2000-01-16 12:00:00,17.615588848487388,2000-01-16T12:00:00Z
analysed_sst|2000-01-17 12:00:00,17.207368213644614,2000-01-17T12:00:00Z
analysed_sst|2000-01-18 12:00:00,15.180881399366992,2000-01-18T12:00:00Z
analysed_sst|2000-01-19 12:00:00,14.582073898679505,2000-01-19T12:00:00Z
analysed_sst|2000-01-20 12:00:00,14.371625356937885,2000-01-20T12:00:00Z
analysed_sst|2000-01-21 12:00:00,14.492331630119397,2000-01-21T12:00:00Z
analysed_sst|2000-01-22 12:00:00,14.451546469891479,2000-01-22T12:00:00Z
analysed_sst|2000-01-23 12:00:00,14.17975950423834,2000-01-23T12:00:00Z
analysed_sst|2000-01-24 12:00:00,13.442649771025412,2000-01-24T12:00:00Z
analysed_sst|2000-01-25 12:00:00,13.306120375879663,2000-01-25T12:00:00Z
analysed_sst|2000-01-26 12:00:00,13.184078498969672,2000-01-26T12:00:00Z
analysed_sst|2000-01-27 12:00:00,13.724264392554838,2000-01-27T12:00:00Z
analysed_sst|2000-01-28 12:00:00,14.157647171466586,2000-01-28T12:00:00Z
analysed_sst|2000-01-29 12:00:00,14.364641224196374,2000-01-29T12:00:00Z
analysed_sst|2000-01-30 12:00:00,12.129051896913584,2000-01-30T12:00:00Z
analysed_sst|2000-01-31 12:00:00,12.54989095455739,2000-01-31T12:00:00Z
analysed_sst|2000-02-01 12:00:00,12.146757392083355,2000-02-01T12:00:00Z
analysed_sst|2000-02-02 12:00:00,12.292878975851261,2000-02-02T12:00:00Z
analysed_sst|2000-02-03 12:00:00,12.313090288808345,2000-02-03T12:00:00Z
analysed_sst|2000-02-04 12:00:00,12.26107485234451,2000-02-04T12:00:00Z
analysed_sst|2000-02-05 12:00:00,12.076461447696396,2000-02-05T12:00:00Z
analysed_sst|2000-02-06 12:00:00,12.471535321355226,2000-02-06T12:00:00Z
analysed_sst|2000-02-07 12:00:00,12.466597956356928,2000-02-07T12:00:00Z
analysed_sst|2000-02-08 12:00:00,12.478275985610212,2000-02-08T12:00:00Z
analysed_sst|2000-02-09 12:00:00,12.616904698571009,2000-02-09T12:00:00Z
analysed_sst|2000-02-10 12:00:00,12.630266755664458,2000-02-10T12:00:00Z
analysed_sst|2000-02-11 12:00:00,12.211651721873803,2000-02-11T12:00:00Z
analysed_sst|2000-02-12 12:00:00,12.280758675122732,2000-02-12T12:00:00Z
analysed_sst|2000-02-13 12:00:00,12.446668361528063,2000-02-13T12:00:00Z
analysed_sst|2000-02-14 12:00:00,12.623177631246165,2000-02-14T12:00:00Z
analysed_sst|2000-02-15 12:00:00,13.299805750518102,2000-02-15T12:00:00Z
analysed_sst|2000-02-16 12:00:00,13.593494878786176,2000-02-16T12:00:00Z
analysed_sst|2000-02-17 12:00:00,13.748510659396395,2000-02-17T12:00:00Z
analysed_sst|2000-02-18 12:00:00,13.917374929935962,2000-02-18T12:00:00Z
analysed_sst|2000-02-19 12:00:00,13.88586839101568,2000-02-19T12:00:00Z
analysed_sst|2000-02-20 12:00:00,13.932364714039561,2000-02-20T12:00:00Z
analysed_sst|2000-02-21 12:00:00,13.647833071690329,2000-02-21T12:00:00Z
analysed_sst|2000-02-22 12:00:00,13.567508852141842,2000-02-22T12:00:00Z
analysed_sst|2000-02-23 12:00:00,13.461693762997523,2000-02-23T12:00:00Z
analysed_sst|2000-02-24 12:00:00,13.601482560994492,2000-02-24T12:00:00Z
analysed_sst|2000-02-25 12:00:00,13.742233536279386,2000-02-25T12:00:00Z
analysed_sst|2000-02-26 12:00:00,13.931199660937018,2000-02-26T12:00:00Z
analysed_sst|2000-02-27 12:00:00,14.06299942444153,2000-02-27T12:00:00Z
analysed_sst|2000-02-28 12:00:00,14.580995254906114,2000-02-28T12:00:00Z
analysed_sst|2000-02-29 12:00:00,14.824829120517084,2000-02-29T12:00:00Z
analysed_sst|2000-03-01 12:00:00,14.958939253656963,2000-03-01T12:00:00Z
analysed_sst|2000-03-02 12:00:00,14.918186867997598,2000-03-02T12:00:00Z
analysed_sst|2000-03-03 12:00:00,15.047555294536176,2000-03-03T12:00:00Z
analysed_sst|2000-03-04 12:00:00,15.13931696003286,2000-03-04T12:00:00Z
analysed_sst|2000-03-05 12:00:00,15.310567960671701,2000-03-05T12:00:00Z
analysed_sst|2000-03-06 12:00:00,15.818743821854396,2000-03-06T12:00:00Z
analysed_sst|2000-03-07 12:00:00,16.040850830226322,2000-03-07T12:00:00Z
analysed_sst|2000-03-08 12:00:00,16.303784807567958,2000-03-08T12:00:00Z
analysed_sst|2000-03-09 12:00:00,16.73654861357909,2000-03-09T12:00:00Z
analysed_sst|2000-03-10 12:00:00,16.923746738742825,2000-03-10T12:00:00Z
analysed_sst|2000-03-11 12:00:00,16.96584531839994,2000-03-11T12:00:00Z
analysed_sst|2000-03-12 12:00:00,16.315940713038263,2000-03-12T12:00:00Z
analysed_sst|2000-03-13 12:00:00,16.366119481366972,2000-03-13T12:00:00Z
analysed_sst|2000-03-14 12:00:00,16.263317502676284,2000-03-14T12:00:00Z
analysed_sst|2000-03-15 12:00:00,16.24318862482334,2000-03-15T12:00:00Z
analysed_sst|2000-03-16 12:00:00,16.187478287586156,2000-03-16T12:00:00Z
analysed_sst|2000-03-17 12:00:00,16.239826251986205,2000-03-17T12:00:00Z
analysed_sst|2000-03-18 12:00:00,16.188156039678102,2000-03-18T12:00:00Z
analysed_sst|2000-03-19 12:00:00,16.04423673911349,2000-03-19T12:00:00Z
analysed_sst|2000-03-20 12:00:00,16.538300152190605,2000-03-20T12:00:00Z
analysed_sst|2000-03-21 12:00:00,16.821211075111368,2000-03-21T12:00:00Z
analysed_sst|2000-03-22 12:00:00,16.923974800486135,2000-03-22T12:00:00Z
analysed_sst|2000-03-23 12:00:00,16.91676363339943,2000-03-23T12:00:00Z
analysed_sst|2000-03-24 12:00:00,16.812531061885963,2000-03-24T12:00:00Z
analysed_sst|2000-03-25 12:00:00,17.257905804839726,2000-03-25T12:00:00Z
