lyr,mean,time
analysed_sst|1989-01-01 12:00:00,25.589105690115996,1989-01-01T12:00:00Z
analysed_sst|1989-01-02 12:00:00,25.873325239746393,1989-01-02T12:00:00Z
analysed_sst|1989-01-03 12:00:00,25.88976660699187,1989-01-03T12:00:00Z
analysed_sst|1989-01-04 12:00:00,25.803440961392003,1989-01-04T12:00:00Z
analysed_sst|1989-01-05 12:00:00,25.412427688989354,1989-01-05T12:00:00Z
analysed_sst|1989-01-06 12:00:00,25.273301483954107,1989-01-06T12:00:00Z
analysed_sst|1989-01-07 12:00:00,24.95225612648086,1989-01-07T12:00:00Z
analysed_sst|1989-01-08 12:00:00,24.842356025587655,1989-01-08T12:00:00Z
analysed_sst|1989-01-09 12:00:00,24.76369065771018,1989-01-09T12:00:00Z
analysed_sst|1989-01-10 12:00:00,24.751732146416238,1989-01-10T12:00:00Z
analysed_sst|1989-01-11 12:00:00,24.621371429695067,1989-01-11T12:00:00Z
analysed_sst|1989-01-12 12:00:00,24.65747369176232,1989-01-12T12:00:00Z
analysed_sst|1989-01-13 12:00:00,24.76994959414826,1989-01-13T12:00:00Z
analysed_sst|1989-01-14 12:00:00,24.862438572151206,1989-01-14T12:00:00Z
analysed_sst|1989-01-15 12:00:00,24.729455615430314,1989-01-15T12:00:00Z
analysed_sst|1989-01-16 12:00:00,24.822724992229524,1989-01-16T12:00:00Z
analysed_sst|1989-01-17 12:00:00,24.810023735983126,1989-01-17T12:00:00Z
analysed_sst|1989-01-18 12:00:00,24.91317910085954,1989-01-18T12:00:00Z
analysed_sst|1989-01-19 12:00:00,24.782946178838277,1989-01-19T12:00:00Z
analysed_sst|1989-01-20 12:00:00,24.728772709542213,1989-01-20T12:00:00Z
analysed_sst|1989-01-21 12:00:00,24.760580810268852,1989-01-21T12:00:00Z
analysed_sst|1989-01-22 12:00:00,24.68880718223287,1989-01-22T12:00:00Z
analysed_sst|1989-01-23 12:00:00,24.759109231624123,1989-01-23T12:00:00Z
analysed_sst|1989-01-24 12:00:00,25.02557965158846,1989-01-24T12:00:00Z
analysed_sst|1989-01-25 12:00:00,24.918561743862877,1989-01-25T12:00:00Z
analysed_sst|1989-01-26 12:00:00,25.344722509582976,1989-01-26T12:00:00Z
analysed_sst|1989-01-27 12:00:00,25.39979241002103,1989-01-27T12:00:00Z
analysed_sst|1989-01-28 12:00:00,25.692707237789396,1989-01-28T12:00:00Z
analysed_sst|1989-01-29 12:00:00,25.50005426269119,1989-01-29T12:00:00Z
analysed_sst|1989-01-30 12:00:00,25.231005555469505,1989-01-30T12:00:00Z
analysed_sst|1989-01-31 12:00:00,24.649212527438,1989-01-31T12:00:00Z
analysed_sst|1989-02-01 12:00:00,24.566885987730767,1989-02-01T12:00:00Z
analysed_sst|1989-02-02 12:00:00,24.48576199767287,1989-02-02T12:00:00Z
analysed_sst|1989-02-03 12:00:00,24.502911361859553,1989-02-03T12:00:00Z
analysed_sst|1989-02-04 12:00:00,24.452697773392067,1989-02-04T12:00:00Z
analysed_sst|1989-02-05 12:00:00,23.90941288480007,1989-02-05T12:00:00Z
analysed_sst|1989-02-06 12:00:00,24.002898160544216,1989-02-06T12:00:00Z
analysed_sst|1989-02-07 12:00:00,24.07869423263581,1989-02-07T12:00:00Z
analysed_sst|1989-02-08 12:00:00,24.314060300576703,1989-02-08T12:00:00Z
analysed_sst|1989-02-09 12:00:00,24.4203851192431,1989-02-09T12:00:00Z
analysed_sst|1989-02-10 12:00:00,24.483351310003425,1989-02-10T12:00:00Z
analysed_sst|1989-02-11 12:00:00,24.504888905413477,1989-02-11T12:00:00Z
analysed_sst|1989-02-12 12:00:00,24.538751797699472,1989-02-12T12:00:00Z
analysed_sst|1989-02-13 12:00:00,24.58779826152805,1989-02-13T12:00:00Z
analysed_sst|1989-02-14 12:00:00,24.69992860245873,1989-02-14T12:00:00Z
analysed_sst|1989-02-15 12:00:00,24.730037993581075,1989-02-15T12:00:00Z
analysed_sst|1989-02-16 12:00:00,24.624440207005208,1989-02-16T12:00:00Z
analysed_sst|1989-02-17 12:00:00,24.758397909825305,1989-02-17T12:00:00Z
analysed_sst|1989-02-18 12:00:00,24.81849913949441,1989-02-18T12:00:00Z
analysed_sst|1989-02-19 12:00:00,24.87405083022872,1989-02-19T12:00:00Z
analysed_sst|1989-02-20 12:00:00,24.848257218574133,1989-02-20T12:00:00Z
analysed_sst|1989-02-21 12:00:00,24.849526459966153,1989-02-21T12:00:00Z
analysed_sst|1989-02-22 12:00:00,24.705099082429,1989-02-22T12:00:00Z
analysed_sst|1989-02-23 12:00:00,24.68074162551983,1989-02-23T12:00:00Z
analysed_sst|1989-02-24 12:00:00,24.34656062645605,1989-02-24T12:00:00Z
analysed_sst|1989-02-25 12:00:00,24.450304281367217,1989-02-25T12:00:00Z
analysed_sst|1989-02-26 12:00:00,24.490096330800075,1989-02-26T12:00:00Z
analysed_sst|1989-02-27 12:00:00,24.606543598845683,1989-02-27T12:00:00Z
analysed_sst|1989-02-28 12:00:00,24.856203022143717,1989-02-28T12:00:00Z
analysed_sst|1989-03-01 12:00:00,24.55510417929933,1989-03-01T12:00:00Z
analysed_sst|1989-03-02 12:00:00,24.222740737578416,1989-03-02T12:00:00Z
analysed_sst|1989-03-03 12:00:00,24.175409818556,1989-03-03T12:00:00Z
analysed_sst|1989-03-04 12:00:00,24.16409678816045,1989-03-04T12:00:00Z
analysed_sst|1989-03-05 12:00:00,24.285677860003318,1989-03-05T12:00:00Z
analysed_sst|1989-03-06 12:00:00,24.14121454699326,1989-03-06T12:00:00Z
analysed_sst|1989-03-07 12:00:00,24.275945762275025,1989-03-07T12:00:00Z
analysed_sst|1989-03-08 12:00:00,24.377601092833103,1989-03-08T12:00:00Z
analysed_sst|1989-03-09 12:00:00,24.264553152630814,1989-03-09T12:00:00Z
analysed_sst|1989-03-10 12:00:00,24.574663829973275,1989-03-10T12:00:00Z
analysed_sst|1989-03-11 12:00:00,24.43014656500016,1989-03-11T12:00:00Z
analysed_sst|1989-03-12 12:00:00,24.52123583859261,1989-03-12T12:00:00Z
analysed_sst|1989-03-13 12:00:00,24.40126885492622,1989-03-13T12:00:00Z
analysed_sst|1989-03-14 12:00:00,24.255324352578658,1989-03-14T12:00:00Z
analysed_sst|1989-03-15 12:00:00,23.877033679365116,1989-03-15T12:00:00Z
analysed_sst|1989-03-16 12:00:00,23.957036170789586,1989-03-16T12:00:00Z
analysed_sst|1989-03-17 12:00:00,24.405820281827157,1989-03-17T12:00:00Z
analysed_sst|1989-03-18 12:00:00,24.846006477019635,1989-03-18T12:00:00Z
analysed_sst|1989-03-19 12:00:00,25.02468540335825,1989-03-19T12:00:00Z
analysed_sst|1989-03-20 12:00:00,24.84534663935358,1989-03-20T12:00:00Z
analysed_sst|1989-03-21 12:00:00,24.70095121512948,1989-03-21T12:00:00Z
analysed_sst|1989-03-22 12:00:00,24.63530319049222,1989-03-22T12:00:00Z
analysed_sst|1989-03-23 12:00:00,24.64022919160185,1989-03-23T12:00:00Z
analysed_sst|1989-03-24 12:00:00,24.71621463375209,1989-03-24T12:00:00Z
