lyr,mean,time
analysed_sst|2010-01-01 12:00:00,12.960999626795148,2010-01-01T12:00:00Z
analysed_sst|2010-01-02 12:00:00,13.198874791986995,2010-01-02T12:00:00Z
analysed_sst|2010-01-03 12:00:00,12.98137435325389,2010-01-03T12:00:00Z
analysed_sst|2010-01-04 12:00:00,12.941874360510296,2010-01-04T12:00:00Z
analysed_sst|2010-01-05 12:00:00,12.945999152301809,2010-01-05T12:00:00Z
analysed_sst|2010-01-06 12:00:00,13.09224938120606,2010-01-06T12:00:00Z
analysed_sst|2010-01-07 12:00:00,13.132374239473776,2010-01-07T12:00:00Z
analysed_sst|2010-01-08 12:00:00,12.997749793323928,2010-01-08T12:00:00Z
analysed_sst|2010-01-09 12:00:00,12.947249668759332,2010-01-09T12:00:00Z
analysed_sst|2010-01-10 12:00:00,12.628124265608646,2010-01-10T12:00:00Z
analysed_sst|2010-01-11 12:00:00,13.267249254835233,2010-01-11T12:00:00Z
analysed_sst|2010-01-12 12:00:00,13.444124408382132,2010-01-12T12:00:00Z
analysed_sst|2010-01-13 12:00:00,13.242624675149218,2010-01-13T12:00:00Z
analysed_sst|2010-01-14 12:00:00,13.178124517876357,2010-01-14T12:00:00Z
analysed_sst|2010-01-15 12:00:00,12.995249195315047,2010-01-15T12:00:00Z
analysed_sst|2010-01-16 12:00:00,13.200124689935393,2010-01-16T12:00:00Z
analysed_sst|2010-01-17 12:00:00,13.38974968735699,2010-01-17T12:00:00Z
analysed_sst|2010-01-18 12:00:00,13.394749427942081,2010-01-18T12:00:00Z
analysed_sst|2010-01-19 12:00:00,13.280749760032345,2010-01-19T12:00:00Z
analysed_sst|2010-01-20 12:00:00,13.290874900620384,2010-01-20T12:00:00Z
analysed_sst|2010-01-21 12:00:00,13.31524981048706,2010-01-21T12:00:00Z
analysed_sst|2010-01-22 12:00:00,13.090999684979321,2010-01-22T12:00:00Z
analysed_sst|2010-01-23 12:00:00,12.981249810676207,2010-01-23T12:00:00Z
analysed_sst|2010-01-24 12:00:00,13.131875122549607,2010-01-24T12:00:00Z
analysed_sst|2010-01-25 12:00:00,13.370375044064048,2010-01-25T12:00:00Z
analysed_sst|2010-01-26 12:00:00,13.216874977107256,2010-01-26T12:00:00Z
analysed_sst|2010-01-27 12:00:00,13.085749795801782,2010-01-27T12:00:00Z
analysed_sst|2010-01-28 12:00:00,13.461750013920035,2010-01-28T12:00:00Z
analysed_sst|2010-01-29 12:00:00,13.159374886505095,2010-01-29T12:00:00Z
analysed_sst|2010-01-30 12:00:00,12.938874761946227,2010-01-30T12:00:00Z
analysed_sst|2010-01-31 12:00:00,13.025624482109821,2010-01-31T12:00:00Z
analysed_sst|2010-02-01 12:00:00,13.041999609817376,2010-02-01T12:00:00Z
analysed_sst|2010-02-02 12:00:00,13.14237458330565,2010-02-02T12:00:00Z
analysed_sst|2010-02-03 12:00:00,13.12999975774921,2010-02-03T12:00:00Z
analysed_sst|2010-02-04 12:00:00,13.118499639194404,2010-02-04T12:00:00Z
analysed_sst|2010-02-05 12:00:00,13.148375124748442,2010-02-05T12:00:00Z
analysed_sst|2010-02-06 12:00:00,13.088625148400292,2010-02-06T12:00:00Z
analysed_sst|2010-02-07 12:00:00,13.070875211546438,2010-02-07T12:00:00Z
analysed_sst|2010-02-08 12:00:00,13.146625048832398,2010-02-08T12:00:00Z
analysed_sst|2010-02-09 12:00:00,13.092249963944862,2010-02-09T12:00:00Z
analysed_sst|2010-02-10 12:00:00,13.173250008974815,2010-02-10T12:00:00Z
analysed_sst|2010-02-11 12:00:00,12.808624779772941,2010-02-11T12:00:00Z
analysed_sst|2010-02-12 12:00:00,12.970999885269915,2010-02-12T12:00:00Z
analysed_sst|2010-02-13 12:00:00,13.304750125603492,2010-02-13T12:00:00Z
analysed_sst|2010-02-14 12:00:00,13.450749917885842,2010-02-14T12:00:00Z
analysed_sst|2010-02-15 12:00:00,13.397624918357495,2010-02-15T12:00:00Z
analysed_sst|2010-02-16 12:00:00,13.135999949644628,2010-02-16T12:00:00Z
analysed_sst|2010-02-17 12:00:00,13.4313750933757,2010-02-17T12:00:00Z
analysed_sst|2010-02-18 12:00:00,13.304625264476398,2010-02-18T12:00:00Z
analysed_sst|2010-02-19 12:00:00,13.213250054750258,2010-02-19T12:00:00Z
analysed_sst|2010-02-20 12:00:00,13.357124952124197,2010-02-20T12:00:00Z
analysed_sst|2010-02-21 12:00:00,13.15587490300312,2010-02-21T12:00:00Z
analysed_sst|2010-02-22 12:00:00,13.119125379784451,2010-02-22T12:00:00Z
analysed_sst|2010-02-23 12:00:00,13.483000324375073,2010-02-23T12:00:00Z
analysed_sst|2010-02-24 12:00:00,13.391375073820988,2010-02-24T12:00:00Z
analysed_sst|2010-02-25 12:00:00,13.40075038474511,2010-02-25T12:00:00Z
analysed_sst|2010-02-26 12:00:00,13.6291253063435,2010-02-26T12:00:00Z
analysed_sst|2010-02-27 12:00:00,13.479750424610883,2010-02-27T12:00:00Z
analysed_sst|2010-02-28 12:00:00,13.461750307684285,2010-02-28T12:00:00Z
analysed_sst|2010-03-01 12:00:00,13.44437540105317,2010-03-01T12:00:00Z
analysed_sst|2010-03-02 12:00:00,13.40850030109853,2010-03-02T12:00:00Z
analysed_sst|2010-03-03 12:00:00,13.482125138100194,2010-03-03T12:00:00Z
analysed_sst|2010-03-04 12:00:00,13.299625012678964,2010-03-04T12:00:00Z
analysed_sst|2010-03-05 12:00:00,13.275124824888238,2010-03-05T12:00:00Z
analysed_sst|2010-03-06 12:00:00,13.46699979008257,2010-03-06T12:00:00Z
analysed_sst|2010-03-07 12:00:00,13.26674995002258,2010-03-07T12:00:00Z
analysed_sst|2010-03-08 12:00:00,13.320124890697384,2010-03-08T12:00:00Z
analysed_sst|2010-03-09 12:00:00,13.176249877921155,2010-03-09T12:00:00Z
analysed_sst|2010-03-10 12:00:00,13.302999889456649,2010-03-10T12:00:00Z
analysed_sst|2010-03-11 12:00:00,13.128874956031446,2010-03-11T12:00:00Z
analysed_sst|2010-03-12 12:00:00,13.014124831374962,2010-03-12T12:00:00Z
analysed_sst|2010-03-13 12:00:00,12.934624823844407,2010-03-13T12:00:00Z
analysed_sst|2010-03-14 12:00:00,12.729374646636572,2010-03-14T12:00:00Z
