lyr,mean,time
analysed_sst|2021-01-01 12:00:00,12.109810499965555,2021-01-01T12:00:00Z
analysed_sst|2021-01-02 12:00:00,12.041216870592644,2021-01-02T12:00:00Z
analysed_sst|2021-01-03 12:00:00,12.091134979689429,2021-01-03T12:00:00Z
analysed_sst|2021-01-04 12:00:00,12.145077330764062,2021-01-04T12:00:00Z
analysed_sst|2021-01-05 12:00:00,12.277416103989275,2021-01-05T12:00:00Z
analysed_sst|2021-01-06 12:00:00,12.367043167729227,2021-01-06T12:00:00Z
analysed_sst|2021-01-07 12:00:00,12.153905341065474,2021-01-07T12:00:00Z
analysed_sst|2021-01-08 12:00:00,12.266259145441515,2021-01-08T12:00:00Z
analysed_sst|2021-01-09 12:00:00,12.4104407436908,2021-01-09T12:00:00Z
analysed_sst|2021-01-10 12:00:00,12.204135790463965,2021-01-10T12:00:00Z
analysed_sst|2021-01-11 12:00:00,11.957305786587538,2021-01-11T12:00:00Z
analysed_sst|2021-01-12 12:00:00,12.074719217749287,2021-01-12T12:00:00Z
analysed_sst|2021-01-13 12:00:00,12.161448789373715,2021-01-13T12:00:00Z
analysed_sst|2021-01-14 12:00:00,12.372351101265975,2021-01-14T12:00:00Z
analysed_sst|2021-01-15 12:00:00,12.542596772322982,2021-01-15T12:00:00Z
analysed_sst|2021-01-16 12:00:00,12.57943863207538,2021-01-16T12:00:00Z
analysed_sst|2021-01-17 12:00:00,12.39492647704034,2021-01-17T12:00:00Z
analysed_sst|2021-01-18 12:00:00,12.309573739042223,2021-01-18T12:00:00Z
analysed_sst|2021-01-19 12:00:00,12.369822397300046,2021-01-19T12:00:00Z
analysed_sst|2021-01-20 12:00:00,12.146900765668804,2021-01-20T12:00:00Z
analysed_sst|2021-01-21 12:00:00,12.1202314316635,2021-01-21T12:00:00Z
analysed_sst|2021-01-22 12:00:00,12.090527067034495,2021-01-22T12:00:00Z
analysed_sst|2021-01-23 12:00:00,12.056968290164605,2021-01-23T12:00:00Z
analysed_sst|2021-01-24 12:00:00,11.898596709390985,2021-01-24T12:00:00Z
analysed_sst|2021-01-25 12:00:00,11.911267500995562,2021-01-25T12:00:00Z
analysed_sst|2021-01-26 12:00:00,11.674484431093031,2021-01-26T12:00:00Z
analysed_sst|2021-01-27 12:00:00,11.500571620743965,2021-01-27T12:00:00Z
analysed_sst|2021-01-28 12:00:00,11.58384192745834,2021-01-28T12:00:00Z
analysed_sst|2021-01-29 12:00:00,11.54319458895905,2021-01-29T12:00:00Z
analysed_sst|2021-01-30 12:00:00,11.74130791360041,2021-01-30T12:00:00Z
analysed_sst|2021-01-31 12:00:00,11.935993226795446,2021-01-31T12:00:00Z
analysed_sst|2021-02-01 12:00:00,12.113751343178794,2021-02-01T12:00:00Z
analysed_sst|2021-02-02 12:00:00,11.952315342563688,2021-02-02T12:00:00Z
analysed_sst|2021-02-03 12:00:00,12.170426047143279,2021-02-03T12:00:00Z
analysed_sst|2021-02-04 12:00:00,12.242181133869378,2021-02-04T12:00:00Z
analysed_sst|2021-02-05 12:00:00,12.240114810343009,2021-02-05T12:00:00Z
analysed_sst|2021-02-06 12:00:00,12.105955087142911,2021-02-06T12:00:00Z
analysed_sst|2021-02-07 12:00:00,11.965686763153416,2021-02-07T12:00:00Z
analysed_sst|2021-02-08 12:00:00,12.011152992467112,2021-02-08T12:00:00Z
analysed_sst|2021-02-09 12:00:00,12.104080835090333,2021-02-09T12:00:00Z
analysed_sst|2021-02-10 12:00:00,11.946345412246234,2021-02-10T12:00:00Z
analysed_sst|2021-02-11 12:00:00,11.968530128212421,2021-02-11T12:00:00Z
analysed_sst|2021-02-12 12:00:00,11.951996394003313,2021-02-12T12:00:00Z
analysed_sst|2021-02-13 12:00:00,12.01577471415066,2021-02-13T12:00:00Z
analysed_sst|2021-02-14 12:00:00,11.933229798535944,2021-02-14T12:00:00Z
analysed_sst|2021-02-15 12:00:00,11.855573375763267,2021-02-15T12:00:00Z
analysed_sst|2021-02-16 12:00:00,11.85034824573901,2021-02-16T12:00:00Z
analysed_sst|2021-02-17 12:00:00,11.624983607263223,2021-02-17T12:00:00Z
analysed_sst|2021-02-18 12:00:00,11.602365619874925,2021-02-18T12:00:00Z
analysed_sst|2021-02-19 12:00:00,11.615345340893112,2021-02-19T12:00:00Z
analysed_sst|2021-02-20 12:00:00,11.531423157900571,2021-02-20T12:00:00Z
analysed_sst|2021-02-21 12:00:00,11.347500796148982,2021-02-21T12:00:00Z
analysed_sst|2021-02-22 12:00:00,11.441847246449331,2021-02-22T12:00:00Z
analysed_sst|2021-02-23 12:00:00,11.659799266505402,2021-02-23T12:00:00Z
analysed_sst|2021-02-24 12:00:00,11.605506571408917,2021-02-24T12:00:00Z
analysed_sst|2021-02-25 12:00:00,11.48493240241089,2021-02-25T12:00:00Z
analysed_sst|2021-02-26 12:00:00,11.246608482259237,2021-02-26T12:00:00Z
analysed_sst|2021-02-27 12:00:00,10.730069764686114,2021-02-27T12:00:00Z
analysed_sst|2021-02-28 12:00:00,10.662126808572376,2021-02-28T12:00:00Z
analysed_sst|2021-03-01 12:00:00,10.866713059144015,2021-03-01T12:00:00Z
analysed_sst|2021-03-02 12:00:00,10.977532091348968,2021-03-02T12:00:00Z
analysed_sst|2021-03-03 12:00:00,11.222609073307341,2021-03-03T12:00:00Z
analysed_sst|2021-03-04 12:00:00,10.982572934155819,2021-03-04T12:00:00Z
analysed_sst|2021-03-05 12:00:00,11.466703303484062,2021-03-05T12:00:00Z
analysed_sst|2021-03-06 12:00:00,11.405481812060321,2021-03-06T12:00:00Z
analysed_sst|2021-03-07 12:00:00,11.331427221919757,2021-03-07T12:00:00Z
analysed_sst|2021-03-08 12:00:00,11.227113267848733,2021-03-08T12:00:00Z
analysed_sst|2021-03-09 12:00:00,11.253937768936481,2021-03-09T12:00:00Z
analysed_sst|2021-03-10 12:00:00,11.318448800926243,2021-03-10T12:00:00Z
analysed_sst|2021-03-11 12:00:00,11.387823152254047,2021-03-11T12:00:00Z
analysed_sst|2021-03-12 12:00:00,11.303411719481518,2021-03-12T12:00:00Z
analysed_sst|2021-03-13 12:00:00,11.31515078146529,2021-03-13T12:00:00Z
analysed_sst|2021-03-14 12:00:00,11.256772665827647,2021-03-14T12:00:00Z
analysed_sst|2021-03-15 12:00:00,11.30021010998784,2021-03-15T12:00:00Z
analysed_sst|2021-03-16 12:00:00,11.06538630878429,2021-03-16T12:00:00Z
analysed_sst|2021-03-17 12:00:00,11.064477960191933,2021-03-17T12:00:00Z
analysed_sst|2021-03-18 12:00:00,11.089761451908334,2021-03-18T12:00:00Z
analysed_sst|2021-03-19 12:00:00,11.126098718021211,2021-03-19T12:00:00Z
analysed_sst|2021-03-20 12:00:00,11.225513762860025,2021-03-20T12:00:00Z
analysed_sst|2021-03-21 12:00:00,11.170766787051605,2021-03-21T12:00:00Z
analysed_sst|2021-03-22 12:00:00,10.92388628602776,2021-03-22T12:00:00Z
analysed_sst|2021-03-23 12:00:00,10.83740351627935,2021-03-23T12:00:00Z
analysed_sst|2021-03-24 12:00:00,10.926700554709122,2021-03-24T12:00:00Z
analysed_sst|2021-03-25 12:00:00,10.730800993603284,2021-03-25T12:00:00Z
analysed_sst|2021-03-26 12:00:00,10.672285888301687,2021-03-26T12:00:00Z
analysed_sst|2021-03-27 12:00:00,10.903191363627258,2021-03-27T12:00:00Z
analysed_sst|2021-03-28 12:00:00,11.14761331171799,2021-03-28T12:00:00Z
analysed_sst|2021-03-29 12:00:00,10.992074938327008,2021-03-29T12:00:00Z
analysed_sst|2021-03-30 12:00:00,10.979266104229641,2021-03-30T12:00:00Z
analysed_sst|2021-03-31 12:00:00,11.283022266026354,2021-03-31T12:00:00Z
analysed_sst|2021-04-01 12:00:00,11.65901972101818,2021-04-01T12:00:00Z
analysed_sst|2021-04-02 12:00:00,11.879555429967185,2021-04-02T12:00:00Z
analysed_sst|2021-04-03 12:00:00,11.615346167844539,2021-04-03T12:00:00Z
analysed_sst|2021-04-04 12:00:00,11.673547463613966,2021-04-04T12:00:00Z
analysed_sst|2021-04-05 12:00:00,11.395336404207294,2021-04-05T12:00:00Z
analysed_sst|2021-04-06 12:00:00,11.282510645021512,2021-04-06T12:00:00Z
analysed_sst|2021-04-07 12:00:00,11.460659742599326,2021-04-07T12:00:00Z
analysed_sst|2021-04-08 12:00:00,11.060762169605258,2021-04-08T12:00:00Z
analysed_sst|2021-04-09 12:00:00,10.999371237385239,2021-04-09T12:00:00Z
analysed_sst|2021-04-10 12:00:00,10.57279586259882,2021-04-10T12:00:00Z
analysed_sst|2021-04-11 12:00:00,10.574755384169118,2021-04-11T12:00:00Z
analysed_sst|2021-04-12 12:00:00,10.592491862378825,2021-04-12T12:00:00Z
analysed_sst|2021-04-13 12:00:00,10.63736864003027,2021-04-13T12:00:00Z
analysed_sst|2021-04-14 12:00:00,10.59561765550955,2021-04-14T12:00:00Z
analysed_sst|2021-04-15 12:00:00,10.988157607410184,2021-04-15T12:00:00Z
analysed_sst|2021-04-16 12:00:00,11.293805046771698,2021-04-16T12:00:00Z
analysed_sst|2021-04-17 12:00:00,11.06072857887814,2021-04-17T12:00:00Z
analysed_sst|2021-04-18 12:00:00,10.833139348003487,2021-04-18T12:00:00Z
analysed_sst|2021-04-19 12:00:00,11.13546849994987,2021-04-19T12:00:00Z
analysed_sst|2021-04-20 12:00:00,10.809648632396641,2021-04-20T12:00:00Z
analysed_sst|2021-04-21 12:00:00,10.57392226103827,2021-04-21T12:00:00Z
analysed_sst|2021-04-22 12:00:00,10.79644521591061,2021-04-22T12:00:00Z
analysed_sst|2021-04-23 12:00:00,10.839004829325964,2021-04-23T12:00:00Z
analysed_sst|2021-04-24 12:00:00,10.797917428533,2021-04-24T12:00:00Z
analysed_sst|2021-04-25 12:00:00,11.134834328973733,2021-04-25T12:00:00Z
analysed_sst|2021-04-26 12:00:00,11.314043280230079,2021-04-26T12:00:00Z
analysed_sst|2021-04-27 12:00:00,11.388116178385474,2021-04-27T12:00:00Z
analysed_sst|2021-04-28 12:00:00,11.545383081521493,2021-04-28T12:00:00Z
analysed_sst|2021-04-29 12:00:00,11.766925255495126,2021-04-29T12:00:00Z
analysed_sst|2021-04-30 12:00:00,11.655470012384201,2021-04-30T12:00:00Z
analysed_sst|2021-05-01 12:00:00,11.213683899046048,2021-05-01T12:00:00Z
analysed_sst|2021-05-02 12:00:00,10.981477977955688,2021-05-02T12:00:00Z
analysed_sst|2021-05-03 12:00:00,10.990471507305765,2021-05-03T12:00:00Z
analysed_sst|2021-05-04 12:00:00,11.093336333593244,2021-05-04T12:00:00Z
analysed_sst|2021-05-05 12:00:00,11.086984939738986,2021-05-05T12:00:00Z
analysed_sst|2021-05-06 12:00:00,11.167349556639117,2021-05-06T12:00:00Z
analysed_sst|2021-05-07 12:00:00,10.883010377091253,2021-05-07T12:00:00Z
analysed_sst|2021-05-08 12:00:00,10.852051124981644,2021-05-08T12:00:00Z
analysed_sst|2021-05-09 12:00:00,10.878846156429105,2021-05-09T12:00:00Z
analysed_sst|2021-05-10 12:00:00,10.710524801113337,2021-05-10T12:00:00Z
analysed_sst|2021-05-11 12:00:00,11.303210583531126,2021-05-11T12:00:00Z
analysed_sst|2021-05-12 12:00:00,11.006252707788297,2021-05-12T12:00:00Z
analysed_sst|2021-05-13 12:00:00,11.139534942728071,2021-05-13T12:00:00Z
