lyr,mean,time
analysed_sst|1988-01-01 12:00:00,11.881356544263495,1988-01-01T12:00:00Z
analysed_sst|1988-01-02 12:00:00,11.993546626678928,1988-01-02T12:00:00Z
analysed_sst|1988-01-03 12:00:00,12.03422295723434,1988-01-03T12:00:00Z
analysed_sst|1988-01-04 12:00:00,12.042762073362722,1988-01-04T12:00:00Z
analysed_sst|1988-01-05 12:00:00,12.225709113917063,1988-01-05T12:00:00Z
analysed_sst|1988-01-06 12:00:00,12.293881163009972,1988-01-06T12:00:00Z
analysed_sst|1988-01-07 12:00:00,12.184711851821147,1988-01-07T12:00:00Z
analysed_sst|1988-01-08 12:00:00,12.100682862964813,1988-01-08T12:00:00Z
analysed_sst|1988-01-09 12:00:00,12.136879023667447,1988-01-09T12:00:00Z
analysed_sst|1988-01-10 12:00:00,12.361663312960124,1988-01-10T12:00:00Z
analysed_sst|1988-01-11 12:00:00,12.248265162237603,1988-01-11T12:00:00Z
analysed_sst|1988-01-12 12:00:00,12.045735424478503,1988-01-12T12:00:00Z
analysed_sst|1988-01-13 12:00:00,11.842578023074385,1988-01-13T12:00:00Z
analysed_sst|1988-01-14 12:00:00,11.890455793619825,1988-01-14T12:00:00Z
analysed_sst|1988-01-15 12:00:00,11.960917748113651,1988-01-15T12:00:00Z
analysed_sst|1988-01-16 12:00:00,12.046681411062682,1988-01-16T12:00:00Z
analysed_sst|1988-01-17 12:00:00,12.118566321702101,1988-01-17T12:00:00Z
analysed_sst|1988-01-18 12:00:00,12.186041133132045,1988-01-18T12:00:00Z
analysed_sst|1988-01-19 12:00:00,11.91180274062479,1988-01-19T12:00:00Z
analysed_sst|1988-01-20 12:00:00,11.715359578156967,1988-01-20T12:00:00Z
analysed_sst|1988-01-21 12:00:00,11.405794642398346,1988-01-21T12:00:00Z
analysed_sst|1988-01-22 12:00:00,11.545304099575631,1988-01-22T12:00:00Z
analysed_sst|1988-01-23 12:00:00,11.670523179922604,1988-01-23T12:00:00Z
analysed_sst|1988-01-24 12:00:00,11.822352913559186,1988-01-24T12:00:00Z
analysed_sst|1988-01-25 12:00:00,11.943078191306583,1988-01-25T12:00:00Z
analysed_sst|1988-01-26 12:00:00,11.844986343755737,1988-01-26T12:00:00Z
analysed_sst|1988-01-27 12:00:00,12.047184571110815,1988-01-27T12:00:00Z
analysed_sst|1988-01-28 12:00:00,12.17265262648043,1988-01-28T12:00:00Z
analysed_sst|1988-01-29 12:00:00,11.97169992293392,1988-01-29T12:00:00Z
analysed_sst|1988-01-30 12:00:00,11.658405676334676,1988-01-30T12:00:00Z
analysed_sst|1988-01-31 12:00:00,11.686911923472655,1988-01-31T12:00:00Z
analysed_sst|1988-02-01 12:00:00,11.880556132319398,1988-02-01T12:00:00Z
analysed_sst|1988-02-02 12:00:00,11.86400311444421,1988-02-02T12:00:00Z
analysed_sst|1988-02-03 12:00:00,11.776901930931249,1988-02-03T12:00:00Z
analysed_sst|1988-02-04 12:00:00,11.80263708871256,1988-02-04T12:00:00Z
analysed_sst|1988-02-05 12:00:00,11.637580624602036,1988-02-05T12:00:00Z
analysed_sst|1988-02-06 12:00:00,11.885712497634616,1988-02-06T12:00:00Z
analysed_sst|1988-02-07 12:00:00,12.100954753595294,1988-02-07T12:00:00Z
analysed_sst|1988-02-08 12:00:00,12.219546095371156,1988-02-08T12:00:00Z
analysed_sst|1988-02-09 12:00:00,12.034817466296186,1988-02-09T12:00:00Z
analysed_sst|1988-02-10 12:00:00,11.464524153365213,1988-02-10T12:00:00Z
analysed_sst|1988-02-11 12:00:00,11.572520970751556,1988-02-11T12:00:00Z
analysed_sst|1988-02-12 12:00:00,11.971161069296663,1988-02-12T12:00:00Z
analysed_sst|1988-02-13 12:00:00,12.147959905050813,1988-02-13T12:00:00Z
analysed_sst|1988-02-14 12:00:00,12.063382957475875,1988-02-14T12:00:00Z
analysed_sst|1988-02-15 12:00:00,11.937292545617629,1988-02-15T12:00:00Z
