lyr,mean,time
analysed_sst|1993-01-01 12:00:00,28.786550673644484,1993-01-01T12:00:00Z
analysed_sst|1993-01-02 12:00:00,28.921232626707283,1993-01-02T12:00:00Z
analysed_sst|1993-01-03 12:00:00,29.110681294150172,1993-01-03T12:00:00Z
analysed_sst|1993-01-04 12:00:00,29.200276269746283,1993-01-04T12:00:00Z
analysed_sst|1993-01-05 12:00:00,28.973584675667055,1993-01-05T12:00:00Z
analysed_sst|1993-01-06 12:00:00,29.025489222716523,1993-01-06T12:00:00Z
analysed_sst|1993-01-07 12:00:00,28.997456792009935,1993-01-07T12:00:00Z
analysed_sst|1993-01-08 12:00:00,29.374779588975013,1993-01-08T12:00:00Z
analysed_sst|1993-01-09 12:00:00,28.936881543662174,1993-01-09T12:00:00Z
analysed_sst|1993-01-10 12:00:00,28.662969788920318,1993-01-10T12:00:00Z
analysed_sst|1993-01-11 12:00:00,28.88286296805752,1993-01-11T12:00:00Z
analysed_sst|1993-01-12 12:00:00,28.955944492819597,1993-01-12T12:00:00Z
analysed_sst|1993-01-13 12:00:00,29.098861400809,1993-01-13T12:00:00Z
analysed_sst|1993-01-14 12:00:00,29.467194370749972,1993-01-14T12:00:00Z
analysed_sst|1993-01-15 12:00:00,29.750481564809704,1993-01-15T12:00:00Z
analysed_sst|1993-01-16 12:00:00,29.94946954202059,1993-01-16T12:00:00Z
analysed_sst|1993-01-17 12:00:00,30.253063485115383,1993-01-17T12:00:00Z
analysed_sst|1993-01-18 12:00:00,30.121686170336027,1993-01-18T12:00:00Z
analysed_sst|1993-01-19 12:00:00,30.063548272424665,1993-01-19T12:00:00Z
analysed_sst|1993-01-20 12:00:00,29.76074477416417,1993-01-20T12:00:00Z
analysed_sst|1993-01-21 12:00:00,29.450292475734173,1993-01-21T12:00:00Z
analysed_sst|1993-01-22 12:00:00,29.471670718084503,1993-01-22T12:00:00Z
analysed_sst|1993-01-23 12:00:00,29.55283022341041,1993-01-23T12:00:00Z
analysed_sst|1993-01-24 12:00:00,29.705383049051594,1993-01-24T12:00:00Z
analysed_sst|1993-01-25 12:00:00,29.63547704104963,1993-01-25T12:00:00Z
analysed_sst|1993-01-26 12:00:00,29.50427005916109,1993-01-26T12:00:00Z
analysed_sst|1993-01-27 12:00:00,29.551107180399633,1993-01-27T12:00:00Z
analysed_sst|1993-01-28 12:00:00,29.636367494687423,1993-01-28T12:00:00Z
analysed_sst|1993-01-29 12:00:00,29.17849599683732,1993-01-29T12:00:00Z
analysed_sst|1993-01-30 12:00:00,28.911226317333476,1993-01-30T12:00:00Z
analysed_sst|1993-01-31 12:00:00,28.942098020753832,1993-01-31T12:00:00Z
analysed_sst|1993-02-01 12:00:00,28.96788451322726,1993-02-01T12:00:00Z
analysed_sst|1993-02-02 12:00:00,28.96596423460553,1993-02-02T12:00:00Z
analysed_sst|1993-02-03 12:00:00,28.962736225014545,1993-02-03T12:00:00Z
analysed_sst|1993-02-04 12:00:00,28.996137063102523,1993-02-04T12:00:00Z
analysed_sst|1993-02-05 12:00:00,28.92010896287453,1993-02-05T12:00:00Z
analysed_sst|1993-02-06 12:00:00,28.855728306960252,1993-02-06T12:00:00Z
analysed_sst|1993-02-07 12:00:00,28.778783258361855,1993-02-07T12:00:00Z
analysed_sst|1993-02-08 12:00:00,29.07537916031919,1993-02-08T12:00:00Z
