lyr,mean,time
analysed_sst|1985-01-01 12:00:00,8.49397254077001,1985-01-01T12:00:00Z
analysed_sst|1985-01-02 12:00:00,8.208995365442428,1985-01-02T12:00:00Z
analysed_sst|1985-01-03 12:00:00,8.252221732072043,1985-01-03T12:00:00Z
analysed_sst|1985-01-04 12:00:00,8.308216368978977,1985-01-04T12:00:00Z
analysed_sst|1985-01-05 12:00:00,8.390664725714625,1985-01-05T12:00:00Z
analysed_sst|1985-01-06 12:00:00,7.907213386619064,1985-01-06T12:00:00Z
analysed_sst|1985-01-07 12:00:00,7.75703183559535,1985-01-07T12:00:00Z
analysed_sst|1985-01-08 12:00:00,7.989297725473711,1985-01-08T12:00:00Z
analysed_sst|1985-01-09 12:00:00,7.9960213751104865,1985-01-09T12:00:00Z
analysed_sst|1985-01-10 12:00:00,8.025656744403877,1985-01-10T12:00:00Z
analysed_sst|1985-01-11 12:00:00,8.074054226361937,1985-01-11T12:00:00Z
analysed_sst|1985-01-12 12:00:00,7.918952836675289,1985-01-12T12:00:00Z
analysed_sst|1985-01-13 12:00:00,7.934006806463777,1985-01-13T12:00:00Z
analysed_sst|1985-01-14 12:00:00,7.717689104481925,1985-01-14T12:00:00Z
analysed_sst|1985-01-15 12:00:00,8.086766741476204,1985-01-15T12:00:00Z
analysed_sst|1985-01-16 12:00:00,8.170247604678732,1985-01-16T12:00:00Z
analysed_sst|1985-01-17 12:00:00,8.530943787589104,1985-01-17T12:00:00Z
analysed_sst|1985-01-18 12:00:00,8.343045533919375,1985-01-18T12:00:00Z
analysed_sst|1985-01-19 12:00:00,7.66779021240015,1985-01-19T12:00:00Z
analysed_sst|1985-01-20 12:00:00,7.668086760450429,1985-01-20T12:00:00Z
analysed_sst|1985-01-21 12:00:00,7.483229766784464,1985-01-21T12:00:00Z
analysed_sst|1985-01-22 12:00:00,7.815235229631583,1985-01-22T12:00:00Z
analysed_sst|1985-01-23 12:00:00,8.079559579881217,1985-01-23T12:00:00Z
analysed_sst|1985-01-24 12:00:00,8.43005157782471,1985-01-24T12:00:00Z
analysed_sst|1985-01-25 12:00:00,8.258424897522369,1985-01-25T12:00:00Z
analysed_sst|1985-01-26 12:00:00,8.090860354591436,1985-01-26T12:00:00Z
analysed_sst|1985-01-27 12:00:00,7.667221466504934,1985-01-27T12:00:00Z
analysed_sst|1985-01-28 12:00:00,7.380032378030807,1985-01-28T12:00:00Z
analysed_sst|1985-01-29 12:00:00,7.382466808114043,1985-01-29T12:00:00Z
analysed_sst|1985-01-30 12:00:00,7.424601667885776,1985-01-30T12:00:00Z
analysed_sst|1985-01-31 12:00:00,7.5044716438365375,1985-01-31T12:00:00Z
analysed_sst|1985-02-01 12:00:00,7.5712306134089395,1985-02-01T12:00:00Z
analysed_sst|1985-02-02 12:00:00,7.531580521262406,1985-02-02T12:00:00Z
analysed_sst|1985-02-03 12:00:00,7.722413465547276,1985-02-03T12:00:00Z
analysed_sst|1985-02-04 12:00:00,7.698400728690944,1985-02-04T12:00:00Z
analysed_sst|1985-02-05 12:00:00,7.5043874634717165,1985-02-05T12:00:00Z
analysed_sst|1985-02-06 12:00:00,7.658904458522299,1985-02-06T12:00:00Z
analysed_sst|1985-02-07 12:00:00,7.852267554849076,1985-02-07T12:00:00Z
analysed_sst|1985-02-08 12:00:00,8.056371398295889,1985-02-08T12:00:00Z
analysed_sst|1985-02-09 12:00:00,8.035850955091604,1985-02-09T12:00:00Z
analysed_sst|1985-02-10 12:00:00,8.09029297547035,1985-02-10T12:00:00Z
analysed_sst|1985-02-11 12:00:00,7.885544829175595,1985-02-11T12:00:00Z
analysed_sst|1985-02-12 12:00:00,7.634030845609727,1985-02-12T12:00:00Z
analysed_sst|1985-02-13 12:00:00,7.597785726032796,1985-02-13T12:00:00Z
analysed_sst|1985-02-14 12:00:00,7.335228447831313,1985-02-14T12:00:00Z
analysed_sst|1985-02-15 12:00:00,7.75956611831044,1985-02-15T12:00:00Z
analysed_sst|1985-02-16 12:00:00,7.206658588430704,1985-02-16T12:00:00Z
analysed_sst|1985-02-17 12:00:00,6.8307971863009485,1985-02-17T12:00:00Z
analysed_sst|1985-02-18 12:00:00,6.358298569628627,1985-02-18T12:00:00Z
analysed_sst|1985-02-19 12:00:00,6.620212590997637,1985-02-19T12:00:00Z
analysed_sst|1985-02-20 12:00:00,6.743434623894828,1985-02-20T12:00:00Z
analysed_sst|1985-02-21 12:00:00,6.961995392230156,1985-02-21T12:00:00Z
analysed_sst|1985-02-22 12:00:00,7.175129454200571,1985-02-22T12:00:00Z
analysed_sst|1985-02-23 12:00:00,7.322037829064108,1985-02-23T12:00:00Z
analysed_sst|1985-02-24 12:00:00,7.255819042591831,1985-02-24T12:00:00Z
analysed_sst|1985-02-25 12:00:00,7.023515526424427,1985-02-25T12:00:00Z
analysed_sst|1985-02-26 12:00:00,6.943316545656074,1985-02-26T12:00:00Z
analysed_sst|1985-02-27 12:00:00,6.913463985267768,1985-02-27T12:00:00Z
analysed_sst|1985-02-28 12:00:00,6.986239097367013,1985-02-28T12:00:00Z
analysed_sst|1985-03-01 12:00:00,7.26241624703312,1985-03-01T12:00:00Z
analysed_sst|1985-03-02 12:00:00,7.313972562624685,1985-03-02T12:00:00Z
analysed_sst|1985-03-03 12:00:00,7.467976511836862,1985-03-03T12:00:00Z
analysed_sst|1985-03-04 12:00:00,7.492575788566801,1985-03-04T12:00:00Z
analysed_sst|1985-03-05 12:00:00,7.913703443542945,1985-03-05T12:00:00Z
analysed_sst|1985-03-06 12:00:00,8.09559777167397,1985-03-06T12:00:00Z
analysed_sst|1985-03-07 12:00:00,7.762749675258331,1985-03-07T12:00:00Z
analysed_sst|1985-03-08 12:00:00,7.62362988880996,1985-03-08T12:00:00Z
analysed_sst|1985-03-09 12:00:00,7.486786766596882,1985-03-09T12:00:00Z
analysed_sst|1985-03-10 12:00:00,7.427252159597697,1985-03-10T12:00:00Z
analysed_sst|1985-03-11 12:00:00,7.508611661010143,1985-03-11T12:00:00Z
analysed_sst|1985-03-12 12:00:00,8.109948626216687,1985-03-12T12:00:00Z
analysed_sst|1985-03-13 12:00:00,8.192168052336694,1985-03-13T12:00:00Z
analysed_sst|1985-03-14 12:00:00,7.908423371789204,1985-03-14T12:00:00Z
analysed_sst|1985-03-15 12:00:00,7.670907178228064,1985-03-15T12:00:00Z
analysed_sst|1985-03-16 12:00:00,7.458873376565837,1985-03-16T12:00:00Z
analysed_sst|1985-03-17 12:00:00,7.04624295083526,1985-03-17T12:00:00Z
analysed_sst|1985-03-18 12:00:00,7.215193266501995,1985-03-18T12:00:00Z
analysed_sst|1985-03-19 12:00:00,7.129780230190923,1985-03-19T12:00:00Z
analysed_sst|1985-03-20 12:00:00,7.176869525889697,1985-03-20T12:00:00Z
analysed_sst|1985-03-21 12:00:00,7.567775690790591,1985-03-21T12:00:00Z
analysed_sst|1985-03-22 12:00:00,7.827740028169774,1985-03-22T12:00:00Z
analysed_sst|1985-03-23 12:00:00,8.240769336570844,1985-03-23T12:00:00Z
analysed_sst|1985-03-24 12:00:00,8.401423883225128,1985-03-24T12:00:00Z
analysed_sst|1985-03-25 12:00:00,8.441237000944097,1985-03-25T12:00:00Z
analysed_sst|1985-03-26 12:00:00,8.127879057841701,1985-03-26T12:00:00Z
analysed_sst|1985-03-27 12:00:00,8.099336611712404,1985-03-27T12:00:00Z
analysed_sst|1985-03-28 12:00:00,8.144780493833503,1985-03-28T12:00:00Z
analysed_sst|1985-03-29 12:00:00,8.230382841815182,1985-03-29T12:00:00Z
