lyr,mean,time
analysed_sst|2024-01-01 12:00:00,7.376420643108933,2024-01-01T12:00:00Z
analysed_sst|2024-01-02 12:00:00,7.516368426055834,2024-01-02T12:00:00Z
analysed_sst|2024-01-03 12:00:00,7.5227336290889015,2024-01-03T12:00:00Z
analysed_sst|2024-01-04 12:00:00,7.467822370463287,2024-01-04T12:00:00Z
analysed_sst|2024-01-05 12:00:00,7.319618289125432,2024-01-05T12:00:00Z
analysed_sst|2024-01-06 12:00:00,7.322066822570668,2024-01-06T12:00:00Z
analysed_sst|2024-01-07 12:00:00,7.229522525011812,2024-01-07T12:00:00Z
analysed_sst|2024-01-08 12:00:00,7.296768244989797,2024-01-08T12:00:00Z
analysed_sst|2024-01-09 12:00:00,7.088117749540101,2024-01-09T12:00:00Z
analysed_sst|2024-01-10 12:00:00,7.043885342037254,2024-01-10T12:00:00Z
analysed_sst|2024-01-11 12:00:00,7.0346885478146755,2024-01-11T12:00:00Z
analysed_sst|2024-01-12 12:00:00,6.822810403441787,2024-01-12T12:00:00Z
analysed_sst|2024-01-13 12:00:00,7.012225951978292,2024-01-13T12:00:00Z
analysed_sst|2024-01-14 12:00:00,6.93172921688427,2024-01-14T12:00:00Z
analysed_sst|2024-01-15 12:00:00,6.757181350994554,2024-01-15T12:00:00Z
analysed_sst|2024-01-16 12:00:00,6.612133772226357,2024-01-16T12:00:00Z
analysed_sst|2024-01-17 12:00:00,6.460648381630427,2024-01-17T12:00:00Z
analysed_sst|2024-01-18 12:00:00,6.240688174416571,2024-01-18T12:00:00Z
analysed_sst|2024-01-19 12:00:00,5.9040172652601335,2024-01-19T12:00:00Z
analysed_sst|2024-01-20 12:00:00,5.566801250595202,2024-01-20T12:00:00Z
analysed_sst|2024-01-21 12:00:00,5.762900980020038,2024-01-21T12:00:00Z
analysed_sst|2024-01-22 12:00:00,5.744681679898447,2024-01-22T12:00:00Z
analysed_sst|2024-01-23 12:00:00,5.514636649420533,2024-01-23T12:00:00Z
analysed_sst|2024-01-24 12:00:00,5.426203535955774,2024-01-24T12:00:00Z
analysed_sst|2024-01-25 12:00:00,5.347288471695095,2024-01-25T12:00:00Z
analysed_sst|2024-01-26 12:00:00,5.285251818586633,2024-01-26T12:00:00Z
analysed_sst|2024-01-27 12:00:00,5.3164444680882195,2024-01-27T12:00:00Z
analysed_sst|2024-01-28 12:00:00,5.336529878775712,2024-01-28T12:00:00Z
analysed_sst|2024-01-29 12:00:00,5.354711577725627,2024-01-29T12:00:00Z
analysed_sst|2024-01-30 12:00:00,5.328335548090381,2024-01-30T12:00:00Z
analysed_sst|2024-01-31 12:00:00,5.194681866972023,2024-01-31T12:00:00Z
analysed_sst|2024-02-01 12:00:00,4.9319630187377985,2024-02-01T12:00:00Z
analysed_sst|2024-02-02 12:00:00,4.940649793030611,2024-02-02T12:00:00Z
analysed_sst|2024-02-03 12:00:00,5.134618295836238,2024-02-03T12:00:00Z
analysed_sst|2024-02-04 12:00:00,5.135368243524275,2024-02-04T12:00:00Z
analysed_sst|2024-02-05 12:00:00,5.132371154735964,2024-02-05T12:00:00Z
analysed_sst|2024-02-06 12:00:00,4.719093156658542,2024-02-06T12:00:00Z
analysed_sst|2024-02-07 12:00:00,4.545685357988141,2024-02-07T12:00:00Z
analysed_sst|2024-02-08 12:00:00,4.625432536581343,2024-02-08T12:00:00Z
analysed_sst|2024-02-09 12:00:00,4.6742537468494,2024-02-09T12:00:00Z
analysed_sst|2024-02-10 12:00:00,4.478719233084617,2024-02-10T12:00:00Z
analysed_sst|2024-02-11 12:00:00,4.522859026923641,2024-02-11T12:00:00Z
analysed_sst|2024-02-12 12:00:00,4.692495158669822,2024-02-12T12:00:00Z
analysed_sst|2024-02-13 12:00:00,4.687235955633252,2024-02-13T12:00:00Z
analysed_sst|2024-02-14 12:00:00,4.672606203000817,2024-02-14T12:00:00Z
analysed_sst|2024-02-15 12:00:00,4.67025395114881,2024-02-15T12:00:00Z
analysed_sst|2024-02-16 12:00:00,4.6961829480172375,2024-02-16T12:00:00Z
analysed_sst|2024-02-17 12:00:00,4.480955072813156,2024-02-17T12:00:00Z
analysed_sst|2024-02-18 12:00:00,4.5315301661909375,2024-02-18T12:00:00Z
analysed_sst|2024-02-19 12:00:00,4.559439852476246,2024-02-19T12:00:00Z
analysed_sst|2024-02-20 12:00:00,4.447571277265877,2024-02-20T12:00:00Z
analysed_sst|2024-02-21 12:00:00,4.367660669735378,2024-02-21T12:00:00Z
analysed_sst|2024-02-22 12:00:00,4.259588339418242,2024-02-22T12:00:00Z
analysed_sst|2024-02-23 12:00:00,4.281861880533128,2024-02-23T12:00:00Z
analysed_sst|2024-02-24 12:00:00,4.110367503091684,2024-02-24T12:00:00Z
analysed_sst|2024-02-25 12:00:00,4.316052203658479,2024-02-25T12:00:00Z
analysed_sst|2024-02-26 12:00:00,4.2658395175648876,2024-02-26T12:00:00Z
analysed_sst|2024-02-27 12:00:00,4.428765490350904,2024-02-27T12:00:00Z
analysed_sst|2024-02-28 12:00:00,3.6204111818081115,2024-02-28T12:00:00Z
analysed_sst|2024-02-29 12:00:00,4.4468106156081895,2024-02-29T12:00:00Z
analysed_sst|2024-03-01 12:00:00,4.414395708152365,2024-03-01T12:00:00Z
analysed_sst|2024-03-02 12:00:00,4.486388179721356,2024-03-02T12:00:00Z
analysed_sst|2024-03-03 12:00:00,4.425791406730298,2024-03-03T12:00:00Z
analysed_sst|2024-03-04 12:00:00,4.252181938529506,2024-03-04T12:00:00Z
analysed_sst|2024-03-05 12:00:00,4.06294468663244,2024-03-05T12:00:00Z
analysed_sst|2024-03-06 12:00:00,4.176007207404682,2024-03-06T12:00:00Z
analysed_sst|2024-03-07 12:00:00,4.34660190482377,2024-03-07T12:00:00Z
analysed_sst|2024-03-08 12:00:00,4.535448116614563,2024-03-08T12:00:00Z
analysed_sst|2024-03-09 12:00:00,4.5663838841506115,2024-03-09T12:00:00Z
analysed_sst|2024-03-10 12:00:00,4.793776292404722,2024-03-10T12:00:00Z
analysed_sst|2024-03-11 12:00:00,4.653671514259025,2024-03-11T12:00:00Z
analysed_sst|2024-03-12 12:00:00,4.782457320134267,2024-03-12T12:00:00Z
analysed_sst|2024-03-13 12:00:00,4.8947831354988125,2024-03-13T12:00:00Z
analysed_sst|2024-03-14 12:00:00,4.765916326841126,2024-03-14T12:00:00Z
analysed_sst|2024-03-15 12:00:00,5.053233145410953,2024-03-15T12:00:00Z
analysed_sst|2024-03-16 12:00:00,4.976363632002547,2024-03-16T12:00:00Z
analysed_sst|2024-03-17 12:00:00,5.285866520600191,2024-03-17T12:00:00Z
analysed_sst|2024-03-18 12:00:00,5.3148807290384825,2024-03-18T12:00:00Z
analysed_sst|2024-03-19 12:00:00,5.188971130570495,2024-03-19T12:00:00Z
analysed_sst|2024-03-20 12:00:00,4.872088456557305,2024-03-20T12:00:00Z
analysed_sst|2024-03-21 12:00:00,5.083723657486188,2024-03-21T12:00:00Z
analysed_sst|2024-03-22 12:00:00,4.932293122347436,2024-03-22T12:00:00Z
analysed_sst|2024-03-23 12:00:00,4.883903033155776,2024-03-23T12:00:00Z
analysed_sst|2024-03-24 12:00:00,4.75235877862476,2024-03-24T12:00:00Z
analysed_sst|2024-03-25 12:00:00,4.774789291126895,2024-03-25T12:00:00Z
analysed_sst|2024-03-26 12:00:00,4.639081086967152,2024-03-26T12:00:00Z
analysed_sst|2024-03-27 12:00:00,4.269855709945241,2024-03-27T12:00:00Z
analysed_sst|2024-03-28 12:00:00,4.352146399749207,2024-03-28T12:00:00Z
analysed_sst|2024-03-29 12:00:00,4.706836200041832,2024-03-29T12:00:00Z
analysed_sst|2024-03-30 12:00:00,4.9575311108111055,2024-03-30T12:00:00Z
analysed_sst|2024-03-31 12:00:00,4.876606832300023,2024-03-31T12:00:00Z
analysed_sst|2024-04-01 12:00:00,4.913009819097398,2024-04-01T12:00:00Z
analysed_sst|2024-04-02 12:00:00,4.947949457289172,2024-04-02T12:00:00Z
analysed_sst|2024-04-03 12:00:00,4.857035042888436,2024-04-03T12:00:00Z
analysed_sst|2024-04-04 12:00:00,4.845261028323046,2024-04-04T12:00:00Z
analysed_sst|2024-04-05 12:00:00,4.84858684511064,2024-04-05T12:00:00Z
analysed_sst|2024-04-06 12:00:00,4.759380115083204,2024-04-06T12:00:00Z
analysed_sst|2024-04-07 12:00:00,4.82406993260672,2024-04-07T12:00:00Z
analysed_sst|2024-04-08 12:00:00,4.999662542618468,2024-04-08T12:00:00Z
analysed_sst|2024-04-09 12:00:00,5.177689761314141,2024-04-09T12:00:00Z
analysed_sst|2024-04-10 12:00:00,5.466259824847299,2024-04-10T12:00:00Z
analysed_sst|2024-04-11 12:00:00,5.462074406207284,2024-04-11T12:00:00Z
analysed_sst|2024-04-12 12:00:00,5.669463781108335,2024-04-12T12:00:00Z
analysed_sst|2024-04-13 12:00:00,5.87491343402276,2024-04-13T12:00:00Z
